😀;grínandi andlit;andlit|grín
🏃;persónur sum rennur;fólk|maraton|persónur|renn|rennur
🏃‍♂️;maður sum rennur;maður|maraton|renn|rennur
🏃‍♀️;kvinna sum rennur;kvinna|maraton|renn|rennur
🏃‍➡️;persónur sum rennur: til høgru;fólk|høgru|maraton|persónur|persónur sum rennur|renn|rennur|til
🏃‍♀️‍➡️;kvinna sum rennur: til høgru;høgru|kvinna|kvinna sum rennur|maraton|renn|rennur|til
🏃‍♂️‍➡️;maður sum rennur: til høgru;høgru|maður|maður sum rennur|maraton|renn|rennur|til
💃;kvinna sum dansar;dansar|dansur|kona|kvinna
🕺;maður sum dansar;dansar|dansur|maður
🕴️;maður í klædningi sveimar;klædningur|maður|sveimar
👯;fólk við haruoyrum;dansa|dansur|fólk|haruoyru|persónar
👯‍♂️;menn við haruoyrum;dansa|dansur|haruoyru|menn
👯‍♀️;kvinnur við haruoyrum;dansa|dansur|haruoyru|konur|kvinnur
🧖;persónur í sauna;baðstova|fólk|persónur|sauna
🧖‍♂️;maður í sauna;baðstova|maður|sauna
🧖‍♀️;kvinna í sauna;baðstova|kona|kvinna|sauna
🧗;persónur sum klatrar;fólk|klatra|klintra|klíva|klúgva|persónur
🧗‍♂️;maður sum klatrar;klatra|klintra|klíva|klúgva|maður
🧗‍♀️;kvinna sum klatrar;klatra|klintra|klíva|klúgva|kona|kvinna
🤺;fektari;fiktar|fólk|persónur
🏇;kappríðing;fólk|hestur|jockey|kappríðari|persónur|ross
⛷️;skíðrennari;fólk|kavi|persónur|skíð
🏂;persónur sum stendur á snjófjøl;fólk|persónur|snjófjøl|snowboard|snowboarder
🏌️;persónur sum spælir golf;fólk|golf|persónur
🏌️‍♂️;maður sum spælir golf;golf|maður
🏌️‍♀️;kona sum spælir golf;golf|kona|kvinna
🏄;persónur sum skreiður á brimfjøl;brimfjøl|fólk|persónur|surfa
🏄‍♂️;maður sum skreiður á brimfjøl;brimfjøl|maður|surfa
🏄‍♀️;kona sum skreiður á brimfjøl;brimfjøl|kona|kvinna|surfa
🚣;persónur í árabáti;árabátur|fólk|persónur|rógva|rør
🚣‍♂️;maður í árabáti;árabátur|maður|rógva|rør
🚣‍♀️;kvinna í árabáti;
🏊;persónur sum svimur;fólk|persónur|svimjari|svimur
🏊‍♂️;maður sum svimur;maður|svimjari|svimur
🏊‍♀️;kvinna sum svimur;kona|kvinna|svimjari|svimur
⛹️;persónur sum spælir kurvabólt;fólk|kurvabóltur|persónur
⛹️‍♂️;maður sum spælir kurvabólt;kurvabóltur|maður
⛹️‍♀️;kvinna sum spælir kurvabólt;kona|kurvabóltur|kvinna
🏋️;vektlyftari;fólk|lyftingarítrótt|persónur|vektlyfting
🏋️‍♂️;mannligur vektlyftari;lyftingarítrótt|maður|vektlyftari|vektlyfting
🏋️‍♀️;kvinnuligur vektlyftari;kona|kvinna|lyftingarítrótt|vektlyftari|vektlyfting
🚴;persónur sum súkklar;fólk|persónur|súkkla|súkklar|súkklari
🚴‍♂️;maður sum súkklar;maður|súkkla|súkklar|súkklari
🚴‍♀️;kvinna sum súkklar;kona|kvinna|súkkla|súkklar|súkklari
🚵;persónur á fjallasúkklu;fjallasúkkla|fólk|persónur|súkkla|súkklar|súkklari
🚵‍♂️;maður á fjallasúkklu;fjallasúkkla|maður|súkkla|súkklar|súkklari
🚵‍♀️;kvinna á fjallasúkklu;fjallasúkkla|kona|kvinna|súkkla|súkklar|súkklari
🤸;persónur sum ger myllulop;fimleik|fimleikur|fólk|myllulop|persónur
🤸‍♂️;maður sum ger myllulop;fimleik|fimleikur|maður|myllulop
🤸‍♀️;kvinna sum ger myllulop;fimleik|fimleikur|kona|kvinna|myllulop
🤼;glímingardystur;fólk|glíma|glíming|persónar
🤼‍♂️;mannligur glímingardystur;glíma|glíming|glímingardystur|menn
🤼‍♀️;kvinnuligur glímingardystur;glíma|glíming|glímingardystur|konur|kvinnur
🤽;persónur sum spælir vatnpolo;fólk|persónur|vatnpolo
🤽‍♂️;maður sum spælir vatnpolo;maður|vatnpolo
🤽‍♀️;kona sum spælir vatnpolo;kona|kvinna|vatnpolo
🤾;persónur sum spælir hondbólt;fólk|hondbólt|hondbóltur|persónur
🤾‍♂️;maður sum spælir hondbólt;hondbólt|hondbóltur|maður
🤾‍♀️;kvinna sum spælir hondbólt;hondbólt|hondbóltur|kona|kvinna
🤹;persónur sum fimlar;fimla|fimlari|fólk|persónur
🤹‍♂️;maður sum fimlar;fimla|fimlari|maður
🤹‍♀️;kvinna sum fimlar;fimla|fimlari|kona|kvinna
🧘;persónur í lotusstøðu;fólk|joga|lotus|lotusstøða|meditatión|persónur
🧘‍♂️;maður í lotusstøðu;joga|lotus|lotusstøða|maður|meditatión
🧘‍♀️;kvinna í lotusstøðu;joga|kona|kvinna|lotus|lotusstøða|meditatión
🛀;persónur í baðikari;bað|baðikar|fólk|persónur
🛌;persónur í song;fólk|persónur|song|svevur
🧑‍🤝‍🧑;fólk leiðast;fólk|leiðast|par
👭;kvinnur leiðast;konur|kvinnur|leiðast|par
👫;kvinna or maður leiðast;kona|kvinna|leiðast|maður|par
👬;menn leiðast;leiðast|maður|menn|par|stjørnutekin|tvíburar|Tvíburarnir
💏;tvey íð mussast;hjarta|muss|par
👩‍❤️‍💋‍👨;tvey íð mussast: kona, maður;hjarta|kona|maður|muss|par|tvey íð mussast
👨‍❤️‍💋‍👨;tvey íð mussast: maður, maður;hjarta|maður|muss|par|tvey íð mussast
👩‍❤️‍💋‍👩;tvey íð mussast: kona, kona;hjarta|kona|muss|par|tvey íð mussast
💑;par og hjarta;hjarta|kærleiki|par
👩‍❤️‍👨;par og hjarta: kona, maður;hjarta|kærleiki|kona|maður|par|par og hjarta
👨‍❤️‍👨;par og hjarta: maður, maður;hjarta|kærleiki|maður|par|par og hjarta
👩‍❤️‍👩;par og hjarta: kona, kona;hjarta|kærleiki|kona|par|par og hjarta
👨‍👩‍👦;familja: maður, kona, drongur;barn|drongur|familja|foreldur|kona|maður
👨‍👩‍👧;familja: maður, kona, genta;barn|familja|foreldur|genta|kona|maður
👨‍👩‍👧‍👦;familja: maður, kona, genta, drongur;barn|drongur|familja|foreldur|genta|kona|maður
👨‍👩‍👦‍👦;familja: maður, kona, drongur, drongur;barn|drongur|familja|foreldur|kona|maður
👨‍👩‍👧‍👧;familja: maður, kona, genta, genta;barn|familja|foreldur|genta|kona|maður
👨‍👨‍👦;familja: maður, maður, drongur;barn|drongur|familja|foreldur|maður
👨‍👨‍👧;familja: maður, maður, genta;barn|familja|foreldur|genta|maður
👨‍👨‍👧‍👦;familja: maður, maður, genta, drongur;barn|drongur|familja|foreldur|genta|maður
👨‍👨‍👦‍👦;familja: maður, maður, drongur, drongur;barn|drongur|familja|foreldur|maður
👨‍👨‍👧‍👧;familja: maður, maður, genta, genta;barn|familja|foreldur|genta|maður
👩‍👩‍👦;familja: kona, kona, drongur;barn|drongur|familja|foreldur|kona
👩‍👩‍👧;familja: kona, kona, genta;barn|familja|foreldur|genta|kona
👩‍👩‍👧‍👦;familja: kona, kona, genta, drongur;barn|drongur|familja|foreldur|genta|kona
👩‍👩‍👦‍👦;familja: kona, kona, drongur, drongur;barn|drongur|familja|foreldur|kona
👩‍👩‍👧‍👧;familja: kona, kona, genta, genta;barn|familja|foreldur|genta|kona
👨‍👦;familja: maður, drongur;barn|drongur|familja|foreldur|maður
👨‍👦‍👦;familja: maður, drongur, drongur;barn|drongur|familja|foreldur|maður
👨‍👧;familja: maður, genta;barn|familja|foreldur|genta|maður
👨‍👧‍👦;familja: maður, genta, drongur;barn|drongur|familja|foreldur|genta|maður
👨‍👧‍👧;familja: maður, genta, genta;barn|familja|foreldur|genta|maður
👩‍👦;familja: kona, drongur;barn|drongur|familja|foreldur|kona
👩‍👦‍👦;familja: kona, drongur, drongur;barn|drongur|familja|foreldur|kona
👩‍👧;familja: kona, genta;barn|familja|foreldur|genta|kona
👩‍👧‍👦;familja: kona, genta, drongur;barn|drongur|familja|foreldur|genta|kona
👩‍👧‍👧;familja: kona, genta, genta;barn|familja|foreldur|genta|kona
🗣️;høvd sum prátar;høvd|prát|prátar|skuggamynd|tosar
👤;skuggamynd av bringumynd;bringumynd|skuggamynd
👥;skuggamynd av bringumyndum;bringumynd|bryngumyndir|skuggamynd
🫂;fólk sum klemmast;bei|hey|klemm|takk
👪;familja;barn|foreldur
🧑‍🧑‍🧒;familja: vaksin, vaksin, barn;barn|familja|vaksin
🧑‍🧑‍🧒‍🧒;familja: vaksin, vaksin, barn, barn;barn|børn|familja|vaksin
🧑‍🧒;familja: vaksin, barn;barn|familja|vaksin
🧑‍🧒‍🧒;familja: vaksin, barn, barn;barn|børn|familja|vaksin
👣;fótaspor;føtur|il|slóð|spor
🫆;fingramerki;samleiki
🐵;apuandlit;andlit|apa
🐒;apa;dýr
🦍;gorilla;apa|dýr
🦧;orangutang;apa
🐶;hundaandlit;andlit|hundur|kelidýr
🐕;hundur;dýr|kelidýr
🦮;førarahundur;blindur|hundur
🐕‍🦺;tænastuhundur;hjálp|hundur|tænasta
🐩;puddilhundur;dýr|hundur|kelidýr|puddil
🐺;úlvur;andlit
🦊;revaandlit;andlit|revur
🦝;tváttarbjørn;forvitin
🐱;kettuandlit;andlit|ketta
🐈;ketta;dýr|kelidýr|køttur
🐈‍⬛;svørt ketta;ketta|óeydna|óheppin|svørt
🦁;leyvuandlit;andlit|leyva|stjørnumerki
🐯;tikaraandlit;andlit|tikari
🐅;tikari;dýr
🐆;leopardur;dýr
🐴;rossaandlit;andlit|hestur|ross
🫎;elgsdýr;elgur|hjartarhorn
🫏;esil;ásin|asni|dýr
🐎;hestur;dýr|kappríðingarross|kelidýr|ross
🦄;einhyrningaandlit;andlit|einhyrningur
🦓;sebra;dýr|strípur
🦌;hjørtur;dýr
🦬;bisonur;fylgi|visundur
🐮;kúgvaandlit;andlit|kúgv|neyt
🐂;oksi;dýr|neyt|stjørnumerki
🐃;búffil;bisonur|dýr|visundur
🐄;kúgv;dýr|neyt
🐷;grísaandlit;andlit|grísur|svín
🐖;grísur;dýr|súgv|svín
🐗;villsvínaandlit;andlit|gøltur|villsvín
🐽;grísasnúti;grísur|snúti|svín
🐏;veðrur;dýr|seyður|stjørnumerki
🐑;ær;dýr|seyður
🐐;geit;dýr|stjørnumerki
🐪;dromedárur;bunga|dýr|kúla
🐫;kamelur;bunga|dýr|kúla
🦙;lama;alpaka
🦒;giraffur;dýr|prikkar
🐘;fílur;dýr
🦣;mammuttur;loðfílur|útdeyður|útdeytt
🦏;nashyrningur;dýr
🦛;áarross;vatnhestur
🐭;músaandlit;andlit|mús
🐁;mús;dýr
🐀;rotta;dýr
🐹;hamstaraandlit;andlit|hamstari
🐰;kaninandlit;andlit|kanin
🐇;kanin;dýr|kelidýr
🐿️;jarðaríkorn;dýr|íkorn
🦫;bævur;
🦔;tindasvín;dýr|tindar|tornutur
🦇;flogmús;blóðsúgvari|dýr|vampýrur
🐻;bjarnarandlit;andlit|bjørn
🐻‍❄️;hvítabjørn;arktisk|bjørn|hvít|ísbjørn
🐨;koalaandlit;andlit|koala|pokabjørn
🐼;pandaandlit;andlit|panda
🦥;letidýr;dovin|sein|seinur
🦦;otur;
🦨;stinkdýr;skunkur
🦘;kenguru;Avstralia|posadýr
🦡;grevlingur;
🐾;labbaspor;labbar|slóð|spor
🦃;kalkun;dýr|fuglur
🐔;hønuandlit;andlit|høna|høsnarungi
🐓;hani;dýr|fuglur
🐣;høsnarungi í eggjaskali;eggjaskal|høsnarungi|klakt|kleking
🐤;høsnarungaandlit;andlit|høsnarungi
🐥;høsnarungi;dýr|fuglur
🐦;fuglaandlit;andlit|fuglur
🐧;pingvinandlit;andlit|pingvin
🕊️;dúgva við oljugrein;dúgva|dýr|friður|fuglur|oljugrein
🦅;ørn;dýr|fuglur
🦆;dunna;dýr|fuglur|steggi
🦢;svanur;fuglur|okn
🦉;ugla;dýr|fuglur|gløgg|klók
🦤;dronta;fuglur|Mauritius|útdeyður
🪶;fjøður;fjaðurhamur|fjøðurhamur|flúgva|fuglur|lætt
🦩;flamingo;fuglur|litfagur|tropiskur
🦚;páfuglur;erpin|fuglur|p´´afuglahøna|páfuglahani|reyp
🦜;pappageykur;fuglur|prát|sjórænari
🪽;vongur;einglaligt|himmalskt
🐦‍⬛;svartur fuglur;dýr|kráka|ravnur|stari
🪿;gás;býtt|dýr|fuglur|gásasteggi|steggi
🐦‍🔥;føniks;endurføðing|fuglur
🐸;froskaandlit;andlit|froskur
🐊;krokodilla;dýr
🐢;skjaldbøka;dýr|havskjaldbøka|landskjaldbøka|mýriskjaldbøka
🦎;oydla;dýr|edlur|ferføtlur
🐍;slanga;dýr|serpentin|stjørnumerki
🐲;andlit á dreka;ævintýr|andlit|dreki
🐉;dreki;ævintýr
🦕;Brontosaurus;apatosaurus|dinosaurur|dýr
🦖;T-rex;dinosaurur|dýr|Tyrannosaurus rex
🐳;hvalur sum sprænur;dýr|goysa|hvalur|spræna|vatn
🐋;hvalur;dýr
🐬;delfin;dýr
🦭;kópur;sjóljón
🐟;fiskur;dýr|stjørnumerki
🐠;tropiskur fiskur;dýr|fiskur|tropiskur
🐡;ígulfiskur;dýr|fiskur
🦈;hávur;dýr
🐙;høgguslokkur við átta ørmum;áttaarmaður|áttermdur|dýr|høgguslokkur
🐚;skel;sniglahús|snyril
🪸;korallur;hav|koral|riv
🪼;hvalspýggja;dýr|hav|ryggleysur
🦀;krabbi;dýr|havføði|sjógæti|stjørnumerki
🦞;hummari;dýr|havføði|sjógæti
🦐;rækja;dýr|havføði|matur|sjógæti
🦑;høgguslokkur;dýr|høgguslokkur við tíggju ørmum|matur|tíggjuarmaður|tíggjuermdur
🦪;ostra;dýr|perla
🐌;snigil;
🦋;firvaldur;skordýr|summarfuglur
🐛;skordýr;
🐜;meyra;skordýr
🐝;býfluga;skordýr
🪲;klukka;skordýr
🐞;mariubjalla;klukka|mariuhøna|skordýr
🦗;veggjasmiður;grashoppa
🪳;kakkulakkur;farsótt|pest|skaðadýr|skaðakykt|skordýr
🕷️;eiturkoppur;skordýr
🕸️;eiturkoppanót;eiturkoppur|nót|vev
🦂;skorpión;sporðdreki|stjørnumerki
🦟;mýggjabiti;farsótt|fepur|malaria|moskito|pest
🪰;fluga;pest|rot|sjúka|spilt
🪱;maðkur;ormur|reyðmaðkur|skriðkykt|sníkur|snultidýr
🦠;smávera;amøba|bakteria|skaploysingur|virus
💐;blómutyssi;blóma|blomstur|buket
🌸;kirsuberblóma;blóma|blomstur|kirsuber
💮;hvít blóma;blóma|blomstur
🪷;nyksblóma;blóma|buddatrúgv|buddisma|hinduatrúgv|hinduisma|lotus
🏵️;rósuprýði;blóma|blomstur|planta|stovnhviril
🌹;rósa;blóma|blomstur
🥀;følna blóma;blóma|blomstur|følna
🌺;hawaiiblóma;blóma|blomstur
🌻;sólblóma;blóma|blomstur
🌼;blóma;blomstur
🌷;tulipán;blóma|blomstur
🪻;hýasint;blóma|planta
🌱;fræplanta;fræ|planta
🪴;urtapottur;planta|pottaplanta|pottur|veksur
🌲;veturgrønt træ;træ|veturgrønt
🌳;træ sum fellir bløðini;bløð|fellir|træ
🌴;plámatræ;pálmi|træ
🌵;kaktus;planta
🌾;ríshólgi;hólgi|rís
🌿;urt;planta
☘️;smæra;planta
🍀;smæra við fýra;4|fýra|smæra
🍁;ahornsblað;
🍂;fallið blað;blað|falli
🍃;flagsandi bløð;bløð|flagsandi|vindur
🪹;tómt reiður;reiðrast|reiður|tómt
🪺;reiður við eggum;egg|reiðrast|reiðringartíð|reiður
🍄;soppur;hundaland
🪾;blaðleyst træ;blaðleyst|træ|vetur
🍇;víndrúvur;frukt|víndrúva
🍈;melón;frukt
🍉;vatnmelón;frukt
🍊;mandarin;frukt
🍋;sitrón;frukt|sitrus
🍋‍🟩;súraldin;frukt|grønt|sitrón|súrt
🍌;banan;frukt
🍍;ananas;frukt
🥭;mangofrukt;frukt|mango|tropisk
🍎;reytt súrepli;frukt|reytt|súrepli
🍏;grønt súrepli;frukt|grønt|súrepli
🍐;pera;frukt
🍑;ferska;frukt
🍒;kirsuber;ber|frukt
🍓;jarðber;ber|frukt
🫐;bláber;ber|blá|frukt
🥝;kivi;frukt
🍅;tomat;frukt|grønmeti
🫒;oljuber;matur|olja
🥥;kokusnøt;pálmi
🥑;avokado;frukt
🍆;aubergina;grønmeti
🥔;epli;grønmeti
🥕;gularót;grønmeti
🌽;maiskolba;aks|kolba|korn|mais|maisaks
🌶️;sterkt pipar;pipar|sterkt
🫑;piparfrukt;grønmeti|pipar
🥒;agurk;agurka|grønmeti
🥬;salatblað;blað|grønkál|grønmeti|salat
🥦;brokkoli;spergilkál
🧄;hvítleykur;matur|smakkur
🧅;leykur;matur|smakkur
🥜;jarðnøtur;matur|nøt
🫘;bønur;bøn|bøna|matur
🌰;kastanja;matur|nøt
🫚;ingifer;krydd|kryddurt|øl|urt
🫛;ertnabjølg;ertnabjølgur|ertur|grønmeti|matur
🍄‍🟫;brúnur soppur;champignon|hundaland|matur|sjampinjon|soppur
🫜;rótfrukt;grønmeti|hvítarót|matur|rót
🍞;breyð;matur
🥐;horn;croissant|franskbreyðshorn|matur
🥖;flute;breyð|matur|smábreyð
🫓;flatbreyð;breyð|naan|ósúrgað|pitabreyð
🥨;saltkringla;matur|saltstong
🥯;bagel;breyð|morgunbreyð
🥞;pannukaka;eggjakøka|matur
🧇;vafla;
🧀;osta stykki;matur|ostur
🍖;kjøt á beini;bein|kjøt|matur
🍗;høsnaungalær;bein|høsnarungi|kjøt|lær|matur
🥩;kotelett;búffur|kjøt|matur
🥓;flesk;kjøt|matur
🍔;burgari;búfftvíflís|búffur|hamborgari|hamburgari|matur
🍟;kips;matur
🍕;pitsaflís;flís|matur|pitsa|pizza
🌭;hotdog;matur
🥪;tvíflís;breyð|matur
🌮;tako;matur|meksikanskur|taco
🌯;burrito;matur|meksikanskur
🫔;tamales;ball|matur|Meksiko
🥙;fylt flatbreyð;falafel|flatbreyð|fylt|kebabb|matur
🧆;falafel;kjøtfrikadella|matur
🥚;egg;matur
🍳;matgerð;egg|matur|panna|steikipanna|steikja
🥘;grýturættur;fat|grýta|matur
🍲;djúpur tallerkur við mati;borðiskur|djúpur|matur
🫕;fondue;matur|sjokuláta|smelta|Sveis
🥣;bolli við skeið;kornflykrur|matur|morgunmatur
🥗;salat;grønmeti|matur
🍿;poppkorn;matur
🧈;smør;matur|mjólk|mjólkarvirki|rómi
🧂;salt;krydd|saltílat
🥫;dósamatur;dós|matur
🍱;bento matpakki;bento|matpakki|matur
🍘;ríssmákaka;kaka|matur|rís|smákaka
🍙;rísbolli;bolli|matur|rís
🍚;kókarís;kóka|matur|rís
🍛;karryrís;karry|matur|rís
🍜;nudlur;matur
🍝;spaghetti;matur|pasta|spagetti|tomatsós
🍠;søtt epli;epli|matur|søtt
🍢;matpinnur;grillspjót|kjøtpinnur|matur|pinnur|sprita|teinur
🍣;sushi;matur|susji
🍤;steikt rækja;matur|rækja|steikt
🍥;kamaboko;fiskur|japansk|kaka|matur
🥮;mánakaka;hátíð|heyst|yuèbǐng
🍡;dango;dessert|japansk|matur|pinnur|søtt
🥟;hveitibolli;empanada|gyōza|jiaozi|matur|pierogi
🥠;eydnukaka;lukkukaka|matur|spádómur|spákaka
🥡;tak við heim boks;boks|matur|takeaway|takeout
🍦;kramarhúsísur;ísur|kramarhús|matur
🍧;ísur í skál;dessert|ísur|matur|skál
🍨;rómaísur í skál;dessert|ísur|matur|skál
🍩;berlinarbolli;donut|matur
🍪;smákaka;matur
🎂;føðingardagskaka;føðingardagur|kaka|ljós|matur
🍰;kakustykki;dessert|kaka|matur|stykki
🧁;koppakaka;formakaka|kaka|søtt
🥧;pai;dessert|kaka|matur
🍫;sjokulátapláta;matur|pláta|sjokuláta
🍬;bomm;góðgæti|matur
🍭;sleikisneis;matur|sleikipinnur|slikkipinnur
🍮;lagkøka;budingur|dessert|krem|matur
🍯;hunangur;matur|søtt
🍼;boppufløska;drykkur|fløska|mjólk
🥛;glas av mjólk;drykkur|glas|mjólk
☕;heitur drykkur;drykkur|kaffi|te
🫖;tekanna;drykkur|te
🍵;koppur uttan handtak;drykkur|grønt|koppur|te
🍶;sake;drykkur|japanskt|rísbrennivín
🍾;fløska við tundurproppi;drykkur|fløska|tundurproppur
🍷;vínglas;drykkur|glas|reytt|vín
🍸;vínblandglas;barr|cocktail|drykkur|glas|vínbland
🍹;tropiskurdrykkur;barr|drykkur|tropiskur
🍺;ølkrúss;barr|drykkur|krúss|øl
🍻;ølkrúss sum skála;barr|drykkur|krúss|øl|ølkrúss|skál
🥂;gløs sum skála;barr|drykkur|glas|gløs|hátíðarhald|skál
🥃;whiskyglas;barr|drykkur|glas|sjussur|viski|whisky
🫗;stoyta niður;glas|skvøttur|stoyta|ups|væta|vatn
🥤;koppur við súgvirøri;djús|drykkur|saft|sodavatn
🧋;boba te;boba|Taivan|te
🧃;sunkist;drykkur|saft|sevja|søtt
🧉;mate;drykkur
🧊;ísterningur;ísfjall|ísur|kalt|terningur
🥢;etingarpinnar;pinnar
🍽️;gaffil knívur og talerkur;borðbúnaður|borðiskur|gaffil|knívur|talerkur
🍴;gaffil og knívur;borðbúnaður|gaffil|knívur
🥄;skeið;borðbúnaður
🔪;køksknívur;knívur|vápn
🫙;glas;ílat|tómt
🏺;amfora;krukka|stjørnumerki
🌍;globus har Evropa og Afrika síggjast;Afrika|Evropa|globus|heimurin|jørðin|verðin
🌎;globus har Amerika sæst;Amerika|globus|heimurin|jørðin|verðin
🌏;globus har Asia og Avstralia síggjast;Asia|Avstralia|globus|heimurin|jørðin|verðin
🌐;globus við longdarstigum;globus|heimurin|jørðin|longdarstig|meridianur|verðin
🗺️;verðinskort;heimurin|jørðin|kort|verðin
🗾;kort av Japan;Japan|kort
🧭;kumpass;ætt|kós|tól
🏔️;fjall við kava á toppinum;fjall|kavi
⛰️;fjall;
🌋;gosfjall;eldfjall|eldgos|gos|útbrot
🗻;fuji;fjall
🏕️;tjaldstaður;kampingpláss|legupláss|legutilvera|tjald|tjalding|tjaldlega
🏖️;sólskjól á strond;sólskjól|strond
🏜️;oyðimørk;
🏝️;oyðin oyggj;oyðin|oyggj|plámatræ
🏞️;tjóðarpark;friðað øki|park|tjóðgarður|tjóðlund
🏟️;ítróttastaður;ítróttavøllur|leikvøllur
🏛️;klassiskur bygningur;bygningur|klassiskur
🏗️;byggipláss;bygg|byggiídnaður
🧱;múrsteinur;leirur|mørtil|múrkálk|múrsteinar|veggur
🪨;steinur;grót|klettur|tungt
🪵;viður;bjálki|timbur|træ
🛖;smátta;heim|hús
🏘️;fleiri hús;hús
🏚️;vanrøkt hús;hús|oyði|vanrøkt
🏠;hús;heim
🏡;hús við hava;havi|heim|hús
🏢;skrivstovubygningur;bygningur|skrivstova
🏣;japanskt posthús;japanskt|posthús|poststova|postverk
🏤;posthús;poststova|postverk
🏥;sjúkrahús;bygningur
🏦;banki;bygningur
🏨;hotell;bygningur|gistingarhús
🏩;kærleikshotell;bygningur|gistingarhús|hotell|kærleiki
🏪;nærhandil;bygningur|handil
🏫;skúli;bygningur
🏬;vøruhús;handil|stórhandil
🏭;verksmiðja;bygningur|ídnaðarvirki|virki
🏯;japanskt slott;borg|japan|slott
🏰;slott;borg
💒;brúdleypshús;brúdleyp|bygningur|kapel
🗼;torn í Tokyo;Tokyo|torn
🗽;Frælsisgudinnan;frælsi|standmynd
⛪;kirkja;átrúnaður|átrúni|kristin|religión|trúgv
🕌;moska;átrúnaður|átrúni|bønhús|islamskt|muslimur|religión|trúgv
🛕;hinduitempul;hindui|tempul
🕍;synagoga;átrúnaður|átrúni|gýðingur|jødi|jødiskur|religión|samkomuhús|trúgv
⛩️;shinto altar;átrúnaður|átrúni|halgidómur|halgimannagrøv|halgiskrín|japan|religión|trúgv
🕋;Kaaba;átrúnaður|átrúni|halgidómur|islam|islamskt|mekka|muslimur|religión|trúgv
⛲;gosvatn;gosbrunnur
⛺;tjald;kampingpláss|legupláss|legutilvera|tjalda|tjalding|tjaldlega|tjaldstaður
🌁;fjallatoppur og mjørki;fjallatoppur|mjørki|toka
🌃;nátt við stjørnum;kvøld|nátt|stjørnur
🏙️;stórbýur;býur
🌄;sólarris ímillum fjøll;fjall|fjøll|morgun|sól|sólarris
🌅;sólarris;dagsbrún|lýsing|morgun|sól
🌆;skýming í stórbýi;kvøld|myrkja|skýming|sólsetur|stórbýur
🌇;sólsetur;kvøld|myrkja|skýming
🌉;brúgv á nátt;brúgv|nátt
♨️;heit kelda;heit|kelda
🎠;karusellhestur;hestur|karusell|tivoli|undirhaldsgarður
🛝;glíðibreyt;russjibani|spæl|spælipláss
🎡;parísarhjól;tivoli|undirhaldsgarður
🎢;russjibani;glíðibreyt|øka|tivoli|undirhaldsgarður
💈;hárskeraskelti;hárklipping|hárskering
🎪;sirkustjald;sirkus|tjald
🚂;lokomotiv;tok
🚃;jarnbreytarvognur;sporvognur|tokvognur|tráðbussur
🚄;háferðartok;tok
🚅;snartok;tok
🚆;tok;jarnbreyt
🚇;undirgrundarbreyt;metro
🚈;nærtok;tok
🚉;jarnbreytarstøð;jarnbreyt|støð|tok
🚊;gron á sporvogni;sporvognur|tráðbussur
🚝;einsporað jarnbreyt;tok
🚞;fjallajarnbreyt;jarnbreyt|tok
🚋;sporvognur;tráðbussur
🚌;bussur;
🚍;gron á bussi;bussur
🚎;tráðbussur;sporvognur
🚐;minibussur;bussur
🚑;sjúkrabilur;bilur
🚒;sløkkibilur;bilur|eldur|sløkkilið
🚓;løgreglubilur;bilur|løgregla|politi
🚔;gron á løgreglubili;bilur|løgregla|politi
🚕;taxabilur;bilur|taxa
🚖;gron á taxabili;bilur|taxa
🚗;bilur;
🚘;bilgron;bilur|gron
🚙;húsbilur;bilur
🛻;opin vørubilur;bilur|opin|pickup|vøruvognur
🚚;vøruvognur;bilur|lastbilur|liðbussur|vørubilur
🚛;liðlastbilur;bilur|lastbilur|liðbussur|vørubilur|vøruvognur
🚜;traktorur;
🏎️;rasarabilur;bilur|kappkoyring|kappkoyringarbilur|koyra kapp
🏍️;motorsúkkla;kappkoyring|koyra kapp
🛵;skutari;prutl
🦽;koyristólur;hjólstólur|rullistólur
🦼;motorkoyristólur;koyristólur|motorhjólstólur|motorrullistólur
🛺;motor rickshaw;rickshaw|tuk tuk
🚲;súkkla;
🛴;rennihjól;løpihjul
🛹;rennifjøl;akfjøl|rennibretti|rullibretti|skateboard|skíðifjøl|skoytufjøl
🛼;rulluskoyta;
🚏;busssteðgipláss;bussstopp|bussstoppistað|steðgipláss
🛣️;motorvegur;høvuðsvegur|vegur
🛤️;jarnbreyt;tok
🛢️;oljutunna;brennievni|olja|tumma
⛽;brennievnispumpa;bensinpumpa|dieselpumpa|pumpa
🛞;hjól;akfar|bildekk|dekk|felga
🚨;blunkljós;ljós|løgregla
🚥;vatnrætt ferðsluljós;ferðsla|ferðsluljós|ljóskurv
🚦;ferðsluljós;ferðsla|ljóskurv
🛑;stoppskelti;áttakantaður|steðgingarmerki|steðgitekn|stopp
🚧;byrging;bummur|hindur|stongsil
⚓;akker;bátur|skip
🛟;bjargingarringur;bjarging|flóta|reka|svimja|trygd
⛵;seglbátur;bátur|segl|stuttleikabátur
🛶;kano;bátur|eikja|holabátur|indiánabátur|kajakk
🚤;rasarabátur;bátur|snarbátur
🛳️;ferðamannaskip;ferðafólk|skip
⛴️;ferja;bátur|ferðafólk
🛥️;maskinbátur;bátur|motorbátur
🚢;skip;ferðafólk
✈️;flogfar;flúgvari
🛩️;lítið flogfar;flogfar|flúgvari
🛫;farandi flogfar;farandi|flogfar|flúgvari|fráferð|startur
