😀;خنده;صورت|صورت با لبخند|لبخند|نیش باز
🤦;با کف دست به پیشانی زدن;تعجب|رنجش|زن|شوک|صورت|عصبانیت|کف دست|گذاشتن دست ها روی صورت|ناامیدی|ناباوری|وای نه
🤦‍♂️;مرد با کف دست به پیشانی می‌زند;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|خجالت دارد|دست|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|مرد|مرد مستأصل|مرد ناراحت|ناامیدی
🤦‍♀️;زن با کف دست به پیشانی می‌زند;افتضاح|ای وای|با کف دست به پیشانی زدن|باورم نمیشه|باورم نمی‌شود|خجالت دارد|دست|زن|زن مستأصل|شوک|صورت|کف دست|گذاشتن دست ها روی صورت|ناامیدی
🤷;شانه بالا انداختن;بدن|به من چه|حالا هرچی|زن|شاید|شک|شک داشتن|کی میدونه|ندانستن|نمی‌دانم
🤷‍♂️;مرد شانه بالا می‌اندازد;احتمالا|به من چه|بی‌تفاوتی|حالا هر چی|شانه بالا انداختن|شاید|شک|کی میدونه|مرد|مطمئن نبودن|ندانستن|نمی دونم|نمی‌دانم
🤷‍♀️;زن شانه بالا می‌اندازد;آدم|احتمالا|بدن|به من چه|بی‌تفاوتی|حالا هر چی|زن|شانه بالا انداختن|شاید|شک|مطمئن نبودن|ندانستن|نمی دانم|نمی‌دانم
🧑‍⚕️;مأمور بهداشت;پرستار|پزشک|درمانگر|مراقبت بهداشتی
👨‍⚕️;مددکار بهداشت مرد;مددکار|مددکار بهداشت|مددکار بهداشت آقا
👩‍⚕️;مددکار بهداشت زن;مددکار|مددکار بهداشت|مددکار بهداشت خانم
🧑‍🎓;دانش‌آموز;دانشجو|فارغ‌التحصیل
👨‍🎓;دانشجوی مرد;دانش‌آموز|دانشجو|شاگرد|فارغ‌التحصیل|محصل
👩‍🎓;دانشجوی زن;دانش‌آموز|دانشجو|دانشجو زن|شاگرد|فارغ‌التحصیل|محصل
🧑‍🏫;معلم;استاد|مربی
👨‍🏫;آموزگار مرد;آقای معلم|استاد|دبیر|مدرس|معلم
👩‍🏫;آموزگار زن;استاد|خانم معلم|دبیر|مدرس|معلم
🧑‍⚖️;قاضی;ترازو
👨‍⚖️;قاضی مرد;آقای قاضی|آقای وکیل|دادرس|دادستان|دادگاه|وکیل
👩‍⚖️;قاضی زن;خانم قاضی|خانم وکیل|دادرس|دادگاه|وکیل
🧑‍🌾;کشاورز;باغبان|مزرعه‌دار
👨‍🌾;کشاورز مرد;برزگر|خوشه برنج|دهقان|زارع|کشت
👩‍🌾;کشاورز زن;برزگر|خوشه برنج|دهقان|زارع|کشت
🧑‍🍳;آشپز;سرآشپز
👨‍🍳;آشپز مرد;آشپزی|پخت و پز|سرآشپز|شف
👩‍🍳;آشپز زن;آشپزی|پخت و پز|سرآشپز|شف
🧑‍🔧;مکانیک;برق‌کار|لوله‌کش
👨‍🔧;تعمیرکار مرد;برق‌کار|کارگر|لوله‌کش|مکانیک
👩‍🔧;تعمیرکار زن;برق‌کار|کارگر|لوله‌کش|مکانیک
🧑‍🏭;کارگر کارخانه;صنعتی|کارخانه|کارگر|مونتاژ
👨‍🏭;کارگر کارخانه مرد;آدم|عمله|کارگر|کارگر کارخانه
👩‍🏭;کارگر کارخانه زن;آدم|عمله|کارگر|کارگر کارخانه
🧑‍💼;کارمند;کارمند اداری|کسب و کار|مدیر|معمار
👨‍💼;کارمند مرد;تاجر|کارمند اداری|مدیر|مهندس
👩‍💼;کارمند زن;تاجر|کارمند اداری|مدیر|مهندس
🧑‍🔬;دانشمند;زیست‌شناس|شیمی‌دان|فیزیک‌دان|مهندس
👨‍🔬;دانشمند مرد;آدم|زیست‌شناس|شیمی‌دان|فیزیک‌دان|محقق|میکروب‌شناس
👩‍🔬;دانشمند زن;زیست‌شناس|شیمی‌دان|فیزیک‌دان|محقق|میکروب‌شناس
🧑‍💻;متخصص;برنامه‌نویس|کدنویس|مخترع|نرم‌افزار
👨‍💻;کارشناس فناوری مرد;برنامه‌نویس|پی‌سی|رایانه|کامپیوتر|نرم‌افزار
👩‍💻;کارشناس فناوری زن;برنامه‌نویس|پی‌سی|رایانه|کامپیوتر|نرم‌افزار
🧑‍🎤;خواننده;بازیگر|راک|ستاره|هنرپیشه
👨‍🎤;خواننده مرد;خواننده|ستاره|میکروفن|هنرمند
👩‍🎤;خواننده زن;خواننده|ستاره|میکروفن|هنرمند
🧑‍🎨;هنرمند;پالت رنگ
👨‍🎨;هنرمند مرد;آرتیست|تخته‌رنگ|نقاش|نقاش مرد
👩‍🎨;هنرمند زن;آرتیست|تخته‌رنگ|نقاش|نقاش زن
🧑‍✈️;خلبان;هواپیما
👨‍✈️;خلبان مرد;خلبان هواپیما|مهماندار مرد|هواپیما|هوانورد
👩‍✈️;خلبان زن;خلبان هواپیما|مهماندار زن|هواپیما|هوانورد
🧑‍🚀;فضانورد;موشک
👨‍🚀;فضانورد مرد;فضا|فضانوردی|کیهان‌نورد
👩‍🚀;فضانورد زن;آدم|فضا|فضانوردی|کیهان‌نورد
🧑‍🚒;مأمور آتش‌نشانی;ماشین آتش‌نشانی
👨‍🚒;آتش‌نشان مرد;آتش‌نشانی|مأمور آتش‌نشانی|ماشین آتش‌نشانی
👩‍🚒;آتش‌نشان زن;آتش‌نشانی|مأمور آتش‌نشانی|ماشین آتش‌نشانی
👮;پلیس;افسر|امنیت|ایست بازرسی|بازداشت|جریمه|دستگیر کردن|قانون|متوقف کردن|مرد
👮‍♂️;پلیس مرد;افسر پلیس|افسر پلیس مرد|پلیس|مأمور پلیس مرد
👮‍♀️;پلیس زن;افسر پلیس|افسر پلیس زن|بازداشت|بزن بغل|پلیس|جرم|جریمه|دستگیری|زن|قانون|مأمور پلیس زن|مامور|متوقف کردن
🕵️;کارآگاه;جاسوس
🕵️‍♂️;کارآگاه مرد;جاسوس|کارآگاه|کارآگاهی کردن|مأمور آگاهی
🕵️‍♀️;کارآگاه زن;جاسوس|کارآگاه|کارآگاهی کردن|مأمور آگاهی
💂;گارد نظامی;سرباز هنگ|گارد|گارد سلطنتی انگلستان|لندن
💂‍♂️;گارد مرد;سرباز هنگ|گارد نظامی|گارد نظامی مرد
💂‍♀️;گارد زن;آدم|سرباز هنگ|گارد نظامی|گارد نظامی زن
🥷;نینجا;آدم|آدم‌کش|افراد|انسان|جنگ|جنگجو|دزدکی|سرباز|شخص|فرد|مبارزه|مخفی|مردم|مهارت
👷;کارگر;بازسازی|تعمیر|ساختمان سازی|ساختن|ساخت‌وساز|شغل|کار|کلاه|کلاه ایمنی|مرد|نوسازی
👷‍♂️;کارگر ساختمانی مرد;ساختمان‌سازی|ساخت‌و‌ساز|کارگر مرد|کلاه ایمنی
👷‍♀️;کارگر ساختمانی زن;ساختمان‌سازی|ساخت‌و‌ساز|کارگر مرد|کلاه ایمنی
🫅;آدم تاج‌دار;اشراف|افراد|بدن|پادشاه|پادشاهی|تاج|سلطنتی|شاه|شاهانه|ملکه
🤴;شاهزاده;آقازاده|تاج به سر|شهزاده
👸;شاهزاده خانم;آدم|افسانه|جن و پری|شاهدخت|شاهزاده|فانتزی
👳;مرد عمامه‌دار;آخوند|آدم|بدن|دستار|سربند|عمامه|مرد|ملا
👳‍♂️;مرد با دستار;دستار|عمامه|مرد توربان به سر|مرد دستار بر سر
👳‍♀️;زن با دستار;دستار|زن توربان به سر|عمامه|مرد دستار بر سر
👲;مرد با کلاه چینی;آدم|کلاه|کلاه ژاپنی|مرد
🧕;زن با روسری;پوشش سر زنان|تخل|حجاب|روسری|زن با حجاب|مانتیلا
🤵;شخص با کت و شلوار و پاپیون;پاپیون|جوان|خوش تیپ|داماد|شادوماد|شاه داماد|شخص|کت و شلوار و پاپیون|مرد
🤵‍♂️;مرد با کت و شلوار و پاپیون;کت و شلوار و پاپیون|مرد
🤵‍♀️;زن با کت و شلوار و پاپیون;زن|کت و شلوار و پاپیون
👰;شخص با تور عروس;ازدواج|تاج عروس|تور|شخص|عروس|عروسی
👰‍♂️;مرد با تور عروس;تور عروس|مرد
👰‍♀️;زن با تور عروس;تور عروس|زن
🤰;زن باردار;باردار|بچه در شکم|حامله|زن|شکم|شیکم
🫃;مرد باردار;افراد|باد کرده|باردار|بدن|پر|پرخور|پرخوری|پرخوری کردن|شکم|شکم برآمده|مرد
🫄;آدم باردار;افراد|باد کرده|باردار|بدن|پر|پرخور|پرخوری|پرخوری کردن|شکم
🤱;تغذیه با شیر مادر;تغذیه|سینه|شیر دادن به نوزاد|شیر مادر|شیردهی|طفل
👩‍🍼;زنی که به بچه شیر می‌دهد;بچه|پرستار بچه|تغذیه|دایه|زن|شیردادن به کودک|غذا دادن|مادر|مراقبت|نوزاد
👨‍🍼;مردی که به بچه شیر می‌دهد;انسان|بابا|بچه|بدن|پدر|پرستار کودک|دایه|شخص|شیر دادن|طفل|عشق|غذا دادن|فرد|مذکر|مراقبت|مرد|مردم|نفر|نوزاد
🧑‍🍼;شخصی که به بچه شیر می‌دهد;انسان|بابا|بچه|پدر|پرستار بچه|تغذیه|دایه|زن|شخص|شخصی که به بچه غذا می‌دهد|شیر|طقل|غذا دادن|فرد|مراقبت|مرد|مردم|نفر|نوزاد
👼;فرشته کوچولو;بچه|پری|صورت|فانتزی|فرشته|کودک
🎅;بابا نوئل;پدر|جشن|جن و پری|سانتا|فانتزی|کریسمس
🤶;مامان نوئل;پیرزن|خاله ریزه|کریسمس|مادربزرگ|مامان بزرگ
🧑‍🎄;نوئل;بابا نوئل|تعطیلات|شخص|کریسمس|کریسمس مبارک|کلاه|نوئل، کریسمس
🦸;ابرقهرمان;ابرقدرت|خوب|دلاور|سوپرمن|شیرزن|شیرمرد|قهرمان|مرد|نیکوکار
🦸‍♂️;ابرقهرمان مرد;ابرقدرت|ابرقهرمان|خوب|دلاور|شیرمرد|قهرمان
🦸‍♀️;ابرقهرمان زن;ابرقدرت|ابرقهرمان|خوب|دلاور|شیرزن|قهرمان
🦹;ابرشرور;آدم شرور|ابرقدرت|اهریمن|بدجنس|تبهکار|جانی|جنایتکار|خبیث|خلافکار|شرور|شرور بزرگ|مجرم|مرد
🦹‍♂️;ابرشرور مرد;آدم شرور|ابرقدرت|اهریمن|تبهکار|مرد
🦹‍♀️;ابرشرور زن;آدم شرور|ابرقدرت|اهریمن|تبهکار|زن
🧙;ساحر;آدم|احضار|افسانه|افسون|افسونگر|بدن|تخیلی|جادو|جادوگر|جادوگر زن|ساحره|فراخواندن|مرد
🧙‍♂️;ساحر مرد;ساحر|طلسم‌گر مرد|مرد جادوگر
🧙‍♀️;ساحر زن;افسونگر|جادوگر زن|زن جادوگر|ساحره
🧚;پری;ابرون|افسانه|بال|پادشاه پریان|پروانه|تخیلی|تیتانیا|جن و پری|زن|شاپرک|فانتزی|ملکه پریان|هاب‌گابلین
🧚‍♂️;پری مرد;ابرون|پادشاه پریان|جن و پری|لولو|هاب‌گابلین
🧚‍♀️;پری زن;تیتانیا|ملکه پریان
🧛;خون‌آشام;ترسناک|خون|خون آشام|دراکولا|دندان|دندان نیش|فرا طبیعی|لباس مخصوص|مرد|مرده متحرک|هالووین
🧛‍♂️;خون‌آشام مرد;دراکولا|مرده متحرک
🧛‍♀️;دراکولای زن;زن دراکولا|مرده متحرک
🧜;دریامردمان;افسانه|افسونگر|اقیانوس|بالاتنه انسان پایین‌تنه ماهی|پری|پری دریایی|دریازن|زن|زیر دریا|عمق دریا|ماهی|موجودات دریایی
🧜‍♂️;دریامرد;تریتون
🧜‍♀️;پری دریایی;دریازن
🧝;اِلف;آدم|افسانه|افسون|الف|جادویی|جن|سحرآمیز|فانتزی|کوتوله|مرد
🧝‍♂️;اِلف مرد;جادویی|سحرآمیز
🧝‍♀️;اِلف زن;جادویی|سحرآمیز
🧞;جن;آدم|آرزو|بدن|پری|چراغ جادو|غول چراغ|غول چراغ جادو|مالیدن چراغ جادو|مرد
🧞‍♂️;مرد جن;جن|جن مرد|غول چراغ
🧞‍♀️;زن جن;جن|جن زن|غول چراغ
🧟;مرده متحرک;آخر زمان|آخرالزمان|آدم|اسکلت|بدن|جسد متحرک|زامبی|زن زامبی|وحشتناک
🧟‍♂️;مرده متحرک مرد;جسد متحرک|زامبی زن|مرده متحرک زن
🧟‍♀️;مرده متحرک زن;جسد متحرک|زامبی مرد|مرده متحرک مرد
🧌;غول;افراد|افسانه|بدن|تخیلی|ترول|ترول کردن|قلدری کردن|مزاحمت|هیولا
🫈;جانور پشمالو;آدم وحشی|پاگنده|پشمالو|جنگل|ساسکواچ|غول‌پیکر|نهان‌جاندار|یتی
💆;ماساژ صورت;آرامش|اسپا|تراپی|تنش|زن|سالن|سردرد|صورت|ماساژ|ماساژ گرفتن|نوازش کردن
💆‍♂️;ماساژ صورت مرد;سالن ماساژ|ماساژ|ماساژ صورت برای آقایان
💆‍♀️;ماساژ صورت زن;سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها
💇;آرایشگاه;آدم|آرایش کردن|آرایشگر|زن|زیبایی|سالن زیبایی|عروس|قیچی کردن مو|کوتاه کردن مو
💇‍♂️;مرد مو کوتاه می‌کند;آرایشگاه|آرایشگر|کوتاه کردن مو|مو
💇‍♀️;زن مو کوتاه می‌کند;آرایشگاه|آرایشگر|کوتاه کردن مو|مو
🚶;عابر پیاده;آهسته قدم زدن|پرسه زدن|پیاده|پیاده روی|پیاده‌روی|پیاده‌گردی|پیمودن|راه رفتن|سرعت|قدم زدن|گردش|مرد
🚶‍♂️;مرد پیاده‌روی می‌کند;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی
🚶‍♀️;زن پیاده‌روی می‌کند;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی
🚶‍➡️;عابر پیاده: به سمت راست;آهسته قدم زدن|به|پرسه زدن|پیاده|پیاده روی|پیاده‌روی|پیاده‌گردی|پیمودن|راست|راه رفتن|سرعت|سمت|عابر پیاده|قدم زدن|گردش|مرد
🚶‍♀️‍➡️;زن پیاده‌روی می‌کند: به سمت راست;به|پیاده گشتن|پیاده‌روی|راست|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|سمت
🚶‍♂️‍➡️;مرد پیاده‌روی می‌کند: به سمت راست;به|پیاده گشتن|پیاده‌روی|راست|راه رفتن|راه‌پیمایی|سمت|مرد پیاده‌روی می‌کند
🧍;آدم ایستاده;آدم|انسان|ایستادن|ایستاده|سر پا|سرپا
🧍‍♂️;مرد ایستاده;ایستاده|مرد
🧍‍♀️;زن ایستاده;ایستاده|زن
🧎;آدم زانوزده;دو زانو|دو زانو نشستن|دوزانو|روی زانو|زانو زدن|زانوزده|زانوها
🧎‍♂️;مرد زانوزده;زانوزده|مرد
🧎‍♀️;زن زانوزده;زانوزده|زن
🧎‍➡️;آدم زانوزده: به سمت راست;آدم زانوزده|به|دو زانو|دو زانو نشستن|دوزانو|راست|روی زانو|زانو زدن|زانوزده|زانوها|سمت
🧎‍♀️‍➡️;زن زانوزده: به سمت راست;به|راست|زانوزده|زن|سمت
🧎‍♂️‍➡️;مرد زانوزده: به سمت راست;به|راست|زانوزده|سمت|مرد
🧑‍🦯;شخصی با عصای راهنما;دسترس‌پذیری|شخصی با عصای سفید|نابینا
🧑‍🦯‍➡️;شخصی با عصای راهنما: به سمت راست;به|دسترس‌پذیری|راست|سمت|شخصی با عصای راهنما|شخصی با عصای سفید|نابینا
👨‍🦯;مرد با عصای سفید;دسترس‌پذیری|قابلیت دسترسی|کور|مرد|نابینا
👨‍🦯‍➡️;مرد با عصای سفید: به سمت راست;به|دسترس‌پذیری|راست|سمت|قابلیت دسترسی|کور|مرد|مرد با عصای سفید|نابینا
👩‍🦯;زن با عصای سفید;دسترس‌پذیری|زن|قابلیت دسترسی|کور|نابینا
👩‍🦯‍➡️;زن با عصای سفید: به سمت راست;به|دسترس‌پذیری|راست|زن|زن با عصای سفید|سمت|قابلیت دسترسی|کور|نابینا
🧑‍🦼;شخصی با صندلی چرخ‌دار موتوری;دسترس‌پذیری|صندلی چرخ‌دار
🧑‍🦼‍➡️;شخصی با صندلی چرخ‌دار موتوری: به سمت راست;به|دسترس‌پذیری|راست|سمت|شخصی با صندلی چرخ‌دار موتوری|صندلی چرخ‌دار
👨‍🦼;مرد در صندلی چرخ‌دار برقی;دسترس‌پذیری|صندلی چرخ‌دار|قابلیت دسترسی|مرد|ویلچر
👨‍🦼‍➡️;مرد در صندلی چرخ‌دار برقی: به سمت راست;به|دسترس‌پذیری|راست|سمت|صندلی چرخ‌دار|قابلیت دسترسی|مرد|مرد در صندلی چرخ‌دار برقی|ویلچر
👩‍🦼;زن در صندلی چرخ‌دار برقی;دسترس‌پذیری|زن|صندلی چرخ‌دار|قابلیت دسترسی|ویلچر
👩‍🦼‍➡️;زن در صندلی چرخ‌دار برقی: به سمت راست;به|دسترس‌پذیری|راست|زن|زن در صندلی چرخ‌دار برقی|سمت|صندلی چرخ‌دار|قابلیت دسترسی|ویلچر
🧑‍🦽;شخصی با صندلی چرخ‌دار دستی;دسترس‌پذیری|صندلی چرخ‌دار
🧑‍🦽‍➡️;شخصی با صندلی چرخ‌دار دستی: به سمت راست;به|دسترس‌پذیری|راست|سمت|شخصی با صندلی چرخ‌دار دستی|صندلی چرخ‌دار
👨‍🦽;مرد در صندلی چرخ‌دار دستی;دسترس‌پذیری|صندلی چرخ‌دار|قابلیت دسترسی|مرد
👨‍🦽‍➡️;مرد در صندلی چرخ‌دار دستی: به سمت راست;به|دسترس‌پذیری|راست|سمت|صندلی چرخ‌دار|قابلیت دسترسی|مرد|مرد در صندلی چرخ‌دار دستی
👩‍🦽;زن در صندلی چرخ‌دار دستی;دسترس‌پذیری|زن|صندلی چرخ‌دار|قابلیت دسترسی|ویلچر
👩‍🦽‍➡️;زن در صندلی چرخ‌دار دستی: به سمت راست;به|دسترس‌پذیری|راست|زن|زن در صندلی چرخ‌دار دستی|سمت|صندلی چرخ‌دار|قابلیت دسترسی|ویلچر
🏃;دونده;استقامت|بدن|تند|حرکت|دو|دویدن|سرعت|عجله|ماراتن|مرد
🏃‍♂️;مرد دونده;دونده مرد|دویدن|ماراتن|مرد می‌دود|مسابقه دو
🏃‍♀️;زن دونده;دونده زن|دویدن|زن می‌دود|ماراتن|مسابقه دو
🏃‍➡️;دونده: به سمت راست;استقامت|بدن|به|تند|حرکت|دو|دونده|دویدن|راست|سرعت|سمت|عجله|ماراتن|مرد
🏃‍♀️‍➡️;زن دونده: به سمت راست;به|دونده زن|دویدن|راست|زن دونده|زن می‌دود|سمت|ماراتن|مسابقه دو
🏃‍♂️‍➡️;مرد دونده: به سمت راست;به|دونده مرد|دویدن|راست|سمت|ماراتن|مرد دونده|مرد می‌دود|مسابقه دو
🧑‍🩰;رقصنده باله;باله|رقصنده
💃;رقاص;رقصیدن
🕺;مرد درحال رقص;رقص|شیک|مرد
🕴️;پرواز مرد با لباس رسمی;شغل آزاد|کت و شلوار|کسب‌وکار|لباس رسمی|مرد
👯;رقص;آدم|بانی|بهترین دوست|جشن|جفت|خرگوش|دختر|دوقلو|رقاص|رقصنده|زن|گوش|مهمانی
👯‍♂️;مردان در پارتی;پارتی|پارتی دادن|مهمانی دادن|مهمانی رفتن
👯‍♀️;زنان در پارتی;پارتی|پارتی دادن|مهمانی دادن|مهمانی رفتن
🧖;فردی در حمام بخار;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|حمام|ریلکس کردن|زن|سونا|لوکس
🧖‍♂️;مرد در حمام بخار;اتاق بخار|حمام بخار|سونا
🧖‍♀️;زن در حمام بخار;اتاق بخار|حمام بخار|سونا
🧗;فردی کوه‌نوردی می‌کند;بدن|زن|زن کوه نورد|صخره نورد|صخره نوردی|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
🧗‍♂️;مرد کوه‌نوردی می‌کند;مرد کوه‌پیما|مرد کوه‌نورد
🧗‍♀️;زن کوه‌نوردی می‌کند;زن کوه‌پیما|زن کوه‌نورد
🤺;شمشیربازی;رزمی|ورزش
🏇;مسابقه اسب‌سواری;اسب|اسب‌سواری|مسابقه|ورزش
⛷️;اسکی‌سوار;اسکی|برف|ورزش
🏂;اسنوبرد;اسکی|برف|ورزش
🏌️;گلف‌باز;آدم|بازیکن گلف|پرتاب|توپ|گلف|گلف باز|مرد|مرد گلف باز|ورزش|ورزشکار
🏌️‍♂️;گلف‌باز مرد;بازی گلف|گلف|گلف‌بازی|گلف‌بازی کردن
🏌️‍♀️;گلف‌باز زن;بازی گلف|گلف|گلف‌بازی|گلف‌بازی کردن|ورزش
🏄;موج‌سوار;اقیانوس|امواج|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سواری
🏄‍♂️;موج‌سوار مرد;موج|موج‌سواری|موج‌سواری کردن
🏄‍♀️;موج‌سوار زن;موج|موج‌سواری|موج‌سواری کردن|ورزش
🚣;قایق پارویی;آدم|پارو|پاروزنی|دریاچه|رودخانه|قایق|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
🚣‍♂️;پاروزن مرد;پارو|پارو زدن|پاروزنی|مرد پاروزن
🚣‍♀️;پاروزن زن;پارو|پارو زدن|پاروزنی|زن پاروزن
🏊;شناگر;آدم|استخر|بدن|سه گانه|شنا|شنای آزاد|کرال|مرد|مسابقه
🏊‍♂️;شناگر مرد;آب‌تنی|شنا|شنا کردن|شناگر
🏊‍♀️;شناگر زن;آب‌تنی|شنا|شنا کردن|شناگر|ورزش
⛹️;شخص با توپ;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|توپ|دریبل|قهرمان|مرد|ورزش
⛹️‍♂️;مرد و توپ;بسکتبال|توپ|توپ‌بازی|توپ‌بازی کردن
⛹️‍♀️;زن و توپ;بازیکن بسکتبال|بسکتبال|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن ورزشکار|ورزش
🏋️;وزنه‌بردار;آدم|بدنساز|بلند کردن|پاورلیفتینگ|دمبل|مرد|مرد وزنه بردار|نیرومند|ورزشکار|وزنه|وزنه برداری
🏋️‍♂️;وزنه‌بردار مرد;بلند کردن|وزنه|وزنه‌برداری
🏋️‍♀️;وزنه‌بردار زن;بلند کردن|وزنه|وزنه‌برداری
🚴;دوچرخه‌سوار;آدم|تمرین|دوچرخه|دوچرخه سوار|رکاب زدن|کلاه ایمنی|مرد|مرد دوچرخه سوار|مسابقه|ورزشکار
🚴‍♂️;دوچرخه‌سوار مرد;دوچرخه|دوچرخه‌سواری|رکاب زدن
🚴‍♀️;دوچرخه‌سوار زن;دوچرخه|دوچرخه‌سواری|رکاب زدن
🚵;دوچرخه کوهستان;آدم|چرخ|دوچرخه|دوچرخه سوار|دوچرخه‌سوار|رکاب زدن|قهرمان|کلاه ایمنی|کوهستان|مرد|مرد دوچرخه سوار
🚵‍♂️;مرد و دوچرخه‌سواری کوهستان;دوچرخه‌سوار کوهستان|دوچرخه‌سواری مردان|کوهستان
🚵‍♀️;زن و دوچرخه‌سواری کوهستان;دوچرخه‌سوار کوهستان|دوچرخه‌سواری زنان|کوهستان
🤸;حرکت چرخ و فلک;بازی|پشتک|چرخ زدن|چرخ و فلک|زن|ژیمناستیک|شاد|فعال|کله ملق|هیجان زده|وارو زدن|ورزش
🤸‍♂️;مردِ چرخ‌وفلک‌زن;پشتک|چرخ زدن|چرخ و فلک|چرخ‌وفلک|چرخیدن|حرکت چرخ‌وفلک مردان|خوشحال|فعال|کله معلق|مرد|مرد حرکت چرخ‌وفلک می‌زند|هیجان زده|وارو زدن
🤸‍♀️;زنِ چرخ‌وفلک‌زن;پشتک|چرخ زدن|چرخ و فلک|چرخ‌وفلک|حرکت چرخ‌وفلک زنان|خوشحال|زن|زن حرکت چرخ‌وفلک می‌زند|فعال|کله معلق|معلق زدن|هیجان زده|وارو زدن
🤼;کُشتی‌گیران;پسر|تورنمنت|رقابت|زورآزمایی|کشتی|کُشتی|کشتی گیر|کُشتی‌گیر|مبارزه|مرد|مسابقات قهرمانی|مسابقه|ورزش
🤼‍♂️;کُشتی‌گیر مرد;بدن|تورنمنت|دست و پنجه نرم کردن|زورآزمایی|کشتی|کُشتی|کُشتی گرفتن|کشتی گیر|کشتی‌گیر|مبارزه|مرد|مرد کشتی گیر|مسابقه
🤼‍♀️;کُشتی‌گیر زن;آدم|تورنمنت|دست و پنجه نرم کردن|زن|زورآزمایی|قهرمان|کشتی|کُشتی|کُشتی گرفتن|کشتی گیر|کشتی‌گیر|مبارزه|مسابقه
🤽;واترپلو;آدم|استخر|بازی|پرتاب|شنا|شوت|مرد|مسابقه|ورزش|ورزش آبی
🤽‍♂️;واترپلو مردان;آدم|استخر|بدن|پرتاب|شنا|شوت|مرد|مسابقه|واترپلو|واترپلو بازی کردن|ورزش|ورزش آبی
🤽‍♀️;واترپلو زنان;استخر|بازی|پرتاب|زن|زن ورزشکار|شنا|شوت|واترپلو|واترپلو بازی کردن|ورزش|ورزش آبی
🤾;هندبال;پرتاب|پرتاب کردن|توپ|توپ را انداختن|دریبل|شوت|مرد|مسابقه|ورزش|ورزش تیمی
🤾‍♂️;هندبالیست مرد;هندبال|هندبال بازی کردن|هندبالیست
🤾‍♀️;هندبالیست زن;آدم|انداختن|بدن|پرتاب|پرتاب کردن|توپ|زن|شوت|هندبال|هندبال بازی کردن|هندبالیست
🤹;ژانگولربازی;بالانس|تردستی|توپ|چشم بندی|چندکاره|حرکت نمایشی|سیرک|شعبده|شعبده باز|شعبده بازی|شعبده‌باز|شعبده‌بازی|شیرین کاری|مرد|مهارت|نمایش
🤹‍♂️;مرد ژانگولربازی می‌کند;تردست مرد|تردستی|توپ|چشم بندی|ژانگولر|سیرک|شعبده|شعبده باز|شعبده بازی|شعبده‌بازی|شیرین کاری|مرد|نمایش
🤹‍♀️;زن ژانگولربازی می‌کند;تردست زن|تردستی|ژانگولر|شعبده‌بازی
🧘;فرد در حالت خلسه;آدم|آرامش|چارزانو|خلسه|ذن|ریلکس|زن|مدیتیشن|مراقبه|مکاشفه|نیلوفر آبی|یوگا
🧘‍♂️;مرد در حالت خلسه;خلسه|مکاشفه|یوگا
🧘‍♀️;زن در حالت خلسه;خلسه|مکاشفه|یوگا
🛀;فرد در وان;حمام|وان حمام
🛌;فرد در تختخواب;تخت خواب|چرت|خروپف|خسته|خواب|خوابیدن|شب|شب بخیر|هتل|وقت خواب
🧑‍🤝‍🧑;اشخاصی دست در دست هم;دست|دست در دست|زوج|شخص|نگهداشتن
👭;دو زن دست در دست;دست|دست در دست|زن|زوج|همجنس‌گرا
👫;زن و مرد دست در‌ دست;دست|دست در دست|زن|زوج|مرد
👬;دو مرد دست در دست;جوزا|دست در دست|دو مرد|دوپیکر|دوست|دوقلو|زوج|عاشق|مرد|همجنس‌گرا
💏;بوسه;خانواده|داستان عاشقانه|زوج|عشق
👩‍❤️‍💋‍👨;بوسه: زن،‏ مرد;بوسه|خانواده|داستان عاشقانه|زن|زوج|عشق|مرد
👨‍❤️‍💋‍👨;بوسه: مرد،‏ مرد;بوسه|خانواده|داستان عاشقانه|زوج|عشق|مرد
👩‍❤️‍💋‍👩;بوسه: زن،‏ زن;بوسه|خانواده|داستان عاشقانه|زن|زوج|عشق
💑;زوج عاشق;داستان عاشقانه|زوج|عشق|قلب
👩‍❤️‍👨;زوج عاشق: زن،‏ مرد;داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب|مرد
👨‍❤️‍👨;زوج عاشق: مرد،‏ مرد;داستان عاشقانه|زوج|زوج عاشق|عشق|قلب|مرد
👩‍❤️‍👩;زوج عاشق: زن،‏ زن;داستان عاشقانه|زن|زوج|زوج عاشق|عشق|قلب
