😀;ծիծաղող դեմք;դեմք|քմծիծաղել
👩‍🍼;երեխային կերակրող կին;երեխա|խնամք|կերակրում|կին
👨‍🍼;երեխային կերակրող մարդ;երեխա|երեխային կերակրող տղամարդ|կերակրում|տղամարդ
🧑‍🍼;երեխային կերակրող անձ;անձ|երեխա|խնամք|կերակրում
👼;մանուկ-հրեշտակ;դեմք|երեխա|հեքիաթ|հրեշտակ|ֆանտազիա
🎅;Սանտա Կլաուս;հայր|հեքիաթ|սանտա|Սուրբ ծնունդ|տոն|ֆանտազիա
🤶;Ձմեռ տատ;նոր տարի|սուրբ ծնունդ|տատիկ
🧑‍🎄;Ձմեռ պապ;հեքիաթ|ուրախ|Սուրբ Ծնունդ|տոն|տոնակատարություն
🦸;սուպերհերոս;գերուժ|լավ|հերոս|հերոսուհի
🦸‍♂️;տղամարդ սուպերհերոս;գերուժ|լավ|հերոս|տղամարդ
🦸‍♀️;կին սուպերհերոս;գերուժ|լավ|հերոս|հերոսուհի
🦹;սուպերչարագործ;գերուժ|գերչարագործ|հանցագործ|չարագործ|չարիք
🦹‍♂️;տղամարդ չարագործ;գերուժ|հանցագործ|չարագործ|չարիք|տղամարդ
🦹‍♀️;կին չարագործ;գերուժ|կին|հանցագործ|չարագործ|չարիք
🧙;մոգ;կախարդ
🧙‍♂️;կախարդ;մոգ
🧙‍♀️;կախարդուհի;կախարդ|կին|վհուկ
🧚;փերի;Տիտանիա|Օբերոն
🧚‍♂️;տղամարդ-փերի;Օբերոն
🧚‍♀️;կին-փերի;Տիտանիա
🧛;վամպիր;ատամներ|արյուն|Դրակուլա
🧛‍♂️;տղամարդ-վամպիր;ատամներ|արյուն|Դրակուլա
🧛‍♀️;կին-վամպիր;ատամներ|արյուն|կին|վամպիր
🧜;մարդաձուկ;ջրահարս|տրիտոն
🧜‍♂️;տրիտոն;ձուկ|տղամարդ
🧜‍♀️;ջրահարս;կին|ձուկ
🧝;էլֆ;կախարդական|կախարդանք|հեքիաթ
🧝‍♂️;տղամարդ-էլֆ;կախարդական|հեքիաթ
🧝‍♀️;կին-էլֆ;կախարդական|կախարդանք|հեքիաթ
🧞;ջին;հեքիաթ
🧞‍♂️;տղամարդ ջին;հեքիաթ|ջին
🧞‍♀️;կին ջին;հեքիաթ|ջին
🧟;զոմբի;կենդանի|մարդ|մեռել
🧟‍♂️;տղամարդ զոմբի;կենդանի|մեռել|տղամարդ
🧟‍♀️;կին զոմբի;կենդանի|կին|մեռել
🧌;տրոլլ;հեքիաթ|հորինվածք|հրեշ|չարք
🫈;մազոտ արարած;անտառ|թաքնէ|հսկա|ձյան մարդ|մազոտ|մեծոտն|յետի|սառցի մարդ
💆;մերսվող անձ;դեմք|մերսում|սրահ
💆‍♂️;տղամարդու դեմքը մերսում են;դեմք|մերսում|տղամարդ
💆‍♀️;կնոջ դեմքը մերսում են;դեմք|կին|մերսում
💇;մազերը կտրող անձ;գեղեցկություն|կտրել|սանրվածք|սրահ|վարսավիր
💇‍♂️;տղամարդու մազերը կտրում են;կտրվածք|մազեր|տղամարդ
💇‍♀️;կնոջ մազերը կտրում են;կին|կտրվածք|մազեր
🚶;հետիոտն;զբոսանք|զբոսնել|քայլել
🚶‍♂️;քայլող տղամարդ;զբոսանք|տղամարդ|քայլող
🚶‍♀️;քայլող կին;զբոսանք|կին|քայլող
🚶‍➡️;հետիոտն․ դեմքով՝ աջ;աջ|դեմքով՝|զբոսանք|զբոսնել|հետիոտն|քայլել
🚶‍♀️‍➡️;քայլող կին․ դեմքով՝ աջ;աջ|դեմքով՝|զբոսանք|կին|քայլող
🚶‍♂️‍➡️;քայլող տղամարդ․ դեմքով՝ աջ;աջ|դեմքով՝|զբոսանք|տղամարդ|քայլող
🧍;կանգնած անձ;կանգնած|կանգնել
🧍‍♂️;կանգնած տղամարդ;կանգնած|տղամարդ
🧍‍♀️;կանգնած կին;կանգնած|կին
🧎;ծնկաչոք անձ;չոքած|չոքել
🧎‍♂️;ծնկաչոք տղամարդ;ծնկաչոք|չոքած|տղամարդ
🧎‍♀️;ծնկաչոք կին;ծնկաչոք|կին|չոքած
🧎‍➡️;ծնկաչոք անձ․ դեմքով՝ աջ;աջ|դեմքով՝|ծնկաչոք անձ|չոքած|չոքել
🧎‍♀️‍➡️;ծնկաչոք կին․ դեմքով՝ աջ;աջ|դեմքով՝|ծնկաչոք|կին|չոքած
🧎‍♂️‍➡️;ծնկաչոք տղամարդ․ դեմքով՝ աջ;աջ|դեմքով՝|ծնկաչոք|չոքած|տղամարդ
🧑‍🦯;ձեռնափայտով անձ;կույր|հաշմանդամ|հատուկ կարիքներ
🧑‍🦯‍➡️;ձեռնափայտով անձ․ դեմքով՝ աջ;աջ|դեմքով՝|կույր|հաշմանդամ|հատուկ կարիքներ|ձեռնափայտով անձ
👨‍🦯;ձեռնափայտով տղամարդ;կույր|հաշմանդամ|մարդ
👨‍🦯‍➡️;ձեռնափայտով տղամարդ․ դեմքով՝ աջ;աջ|դեմքով՝|կույր|հաշմանդամ|ձեռնափայտով տղամարդ|մարդ
👩‍🦯;ձեռնափայտով կին;կին|կույր|հաշմանդամ
👩‍🦯‍➡️;ձեռնափայտով կին․ դեմքով՝ աջ;աջ|դեմքով՝|կին|կույր|հաշմանդամ|ձեռնափայտով կին
🧑‍🦼;մոտորասայլակով անձ;անվասայլակ|հաշմանդամ
🧑‍🦼‍➡️;մոտորասայլակով անձ․ դեմքով՝ աջ;անվասայլակ|աջ|դեմքով՝|հաշմանդամ|մոտորասայլակով անձ
👨‍🦼;մոտորասայլակով տղամարդ;անվասայլակ|հաշմանդամ|տղամարդ
👨‍🦼‍➡️;մոտորասայլակով տղամարդ․ դեմքով՝ աջ;անվասայլակ|աջ|դեմքով՝|հաշմանդամ|մոտորասայլակով տղամարդ|տղամարդ
👩‍🦼;մոտորասայլակով կին;անվասայլակ|կին|հաշմանդամ
👩‍🦼‍➡️;մոտորասայլակով կին․ դեմքով՝ աջ;անվասայլակ|աջ|դեմքով՝|կին|հաշմանդամ|մոտորասայլակով կին
🧑‍🦽;ձեռքով կառավարվող սայլակով անձ;անվասայլակ|հաշմանդամ
🧑‍🦽‍➡️;ձեռքով կառավարվող սայլակով անձ․ դեմքով՝ աջ;անվասայլակ|աջ|դեմքով՝|հաշմանդամ|ձեռքով կառավարվող սայլակով անձ
👨‍🦽;անվասայլակով տղամարդ;անվասայլակ|հաշմանդամ|տղամարդ
👨‍🦽‍➡️;անվասայլակով տղամարդ․ դեմքով՝ աջ;անվասայլակ|անվասայլակով տղամարդ|աջ|դեմքով՝|հաշմանդամ|տղամարդ
👩‍🦽;ձեռքով կառավարվող անվասայլակով կին;անվասայլակ|կին|հաշմանդամ
👩‍🦽‍➡️;ձեռքով կառավարվող անվասայլակով կին․ դեմքով՝ աջ;անվասայլակ|աջ|դեմքով՝|կին|հաշմանդամ|ձեռքով կառավարվող անվասայլակով կին
🏃;վազող անձ;մարաթոն|վազք
🏃‍♂️;վազող տղամարդ;մարաթոն|վազք|տղամարդ
🏃‍♀️;վազող կին;կին|մարաթոն|վազք
🏃‍➡️;վազող անձ․ դեմքով՝ աջ;աջ|դեմքով՝|մարաթոն|վազող անձ|վազք
🏃‍♀️‍➡️;վազող կին․ դեմքով՝ աջ;աջ|դեմքով՝|կին|մարաթոն|վազող կին|վազք
🏃‍♂️‍➡️;վազող տղամարդ․ դեմքով՝ աջ;աջ|դեմքով՝|մարաթոն|վազող տղամարդ|վազք|տղամարդ
🧑‍🩰;բալետ պարող;բալետ|պարող
💃;պարուհի;կին|պարող
🕺;պարող մարդ;մարդ|պար|պարող տղամարդ
🕴️;կոստյումով ճախրող մարդ;անձ|գործարարություն|հագուստ|տեղաճախրող անձ|տեղում ճախրող գործնական կոստյումով մարդ|տեղում ճախրող գործնական հագուստով մարդ
👯;ճագարի ականջներով մարդիկ;ականջ|աղջիկ|կին|ճագար|պարող|պարող կանայք
👯‍♂️;զվարճացող տղամարդիկ;զվարճանք|նապաստակի ականջներ|պարող|տղամարդ
👯‍♀️;զվարճացող կանայք;զվարճանք|կին|նապաստակի ականջներ|պարող
🧖;մարդ բաղնիքում;բաղնիք|սաունա
🧖‍♂️;տղամարդ բաղնիքում;բաղնիք|սաունա
🧖‍♀️;կին բաղնիքում;բաղնիք|սաունա
🧗;մագլցող անձ;մագլցող
🧗‍♂️;մագլցող տղամարդ;մագլցող
🧗‍♀️;մագլցող կին;մագլցող
🤺;սուսերամարտիկ;մարդ|սուսերամարտ|սուր|սպորտ
🏇;ձիարշավ;ժոկեյ|ձի|ձիավազք|մրցարշավ|մրցարշավային ձի
⛷️;դահուկորդ;դահուկ|ձյուն
🏂;սնոուբորդիստ;դահուկ|ձյուն|սնոուբորդ
🏌️;գոլֆ խաղացող;գնդակ|գոլֆ
🏌️‍♂️;գոլֆ խաղացող տղամարդ;գոլֆ|տղամարդ
🏌️‍♀️;գոլֆ խաղացող կին;գոլֆ|կին
🏄;սերֆեր;սերֆինգ
🏄‍♂️;սերֆինգով զբաղվող տղամարդ;մարդ|սերֆինգ|տղամարդ
🏄‍♀️;սերֆինգով զբաղվող կին;կին|սերֆինգ
🚣;նավակ թիավարող անձ;թիանավակ|նավակ
🚣‍♂️;թիավարող տղամարդ;թիանավակ|մակույկ|նավակ|տղամարդ
🚣‍♀️;թիավարող կին;թիանավակ|կին|մակույկ|նավակ
🏊;լողորդ;լողալ
🏊‍♂️;տղամարդ լողորդ;լող|լողորդ|տղամարդ
🏊‍♀️;լողորդուհի;լող|լողորդ|կին
⛹️;գնդակով մարդ;գնդակ
⛹️‍♂️;գնդակով տղամարդ;գնդակ|մարդ|տղամարդ
⛹️‍♀️;գնդակով կին;գնդակ|կին
🏋️;ծանրորդ;ծանրություն
🏋️‍♂️;տղամարդ ծանրորդ;ծանրաձող|մարդ|տղամարդ
🏋️‍♀️;ծանրորդուհի;ծանրաձող|ծանրություն|կին
🚴;հեծանվորդ;հեծանիվ
🚴‍♂️;տղամարդ հեծանվորդ;հեծանիվ|մարդ|տղամարդ
🚴‍♀️;հեծանվորդուհի;կին|հեծանիվ
🚵;լեռնահեծանվորդ;լեռ|հեծանիվ|հեծանվորդ
🚵‍♂️;տղամարդ լեռնահեծանվորդ;լեռնային|հեծանիվ|տղամարդ
🚵‍♀️;լեռնահեծանվորդուհի;լեռնային|կին|հեծանիվ
🤸;ձեռնակոնծի կատարող անձ;մարդ|մարմնամարզություն|սպորտ
🤸‍♂️;տղամարդ ակրոբատ;ակրոբատ|մարմնամարզություն|սպորտ|տղամարդ
🤸‍♀️;կին ակրոբատ;ակրոբատ|կին|մարմնամարզություն|սպորտ
🤼;ըմբշամարտիկներ;ըմբշամարտ|ըմբշամարտիկ|մարդ|սպորտ
🤼‍♂️;տղամարդ ըմբշամարտիկներ;ըմբշամարտ|ըմբշամարտիկ|սպորտ|տղամարդ
🤼‍♀️;կին ըմբշամարտիկներ;ըմբշամարտ|ըմբշամարտիկ|տղամարդ
🤽;ջրագնդակ խաղացող անձ;մարդ|մարմնամարզություն|պոլո|ջուր
🤽‍♂️;ջրային պոլո խաղացող տղամարդ;պոլո|ջուր|սպորտ|տղամարդ
🤽‍♀️;ջրային պոլո խաղացող կին;կին|պոլո|ջուր|սպորտ
🤾;ձեռնագնդակ խաղացող անձ;անձ|գնդակ|ձեռնագնդակ|մարմնամարզություն
🤾‍♂️;ձեռնագնդակ խաղացող տղամարդ;ձեռնագնդակ|սպորտ|տղամարդ
🤾‍♀️;ձեռնագնդակ խաղացող կին;կին|ձեռնագնդակ|սպորտ
🤹;ձեռնածու;աճպարար|հավասարակշռություն|վարպետություն
🤹‍♂️;տղամարդ ձեռնածու;աճպարար|հավասարակշռություն|ձեռնածու|տղամարդ
🤹‍♀️;կին ձեռնածու;աճպարար|կին|հավասարակշռություն|ձեռնածու
🧘;լոտոսի դիրքով նստած մարդ;մեդիտացիա|յոգա
🧘‍♂️;լոտոսի դիրքով նստած տղամարդ;մեդիտացիա|յոգա
🧘‍♀️;լոտոսի դիրքով նստած կին;մեդիտացիա|յոգա
🛀;լոգանք ընդունող անձ;լոգասենյակ|լոգարան
🛌;մահճակալին պառկած անձ;հյուրանոց|քնել
🧑‍🤝‍🧑;իրար ձեռք բռնած մարդիկ;բռնել|զույգ|ձեռք
👭;իրար ձեռք բռնած կանայք;զույգ|կանայք|ձեռք|ձեռք բռնել
👫;իրար ձեռք բռնած կին ու տղամարդ;բռնել|զույգ|կին|ձեռք|ձեռք բռնած|տղամարդ
👬;իրար ձեռք բռնած տղամարդիկ;երկվորյակներ|զույգ|զույգեր|կենդանակերպ|ձեռք բռնել|տղամարդիկ
💏;համբույր;զույգ|սիրավեպ
👩‍❤️‍💋‍👨;համբույր․ կին և մարդ;զույգ|կին|համբույր|մարդ|սիրավեպ
👨‍❤️‍💋‍👨;համբույր․ մարդ և մարդ;զույգ|համբույր|մարդ|սիրավեպ
👩‍❤️‍💋‍👩;համբույր․ կին և կին;զույգ|կին|համբույր|սիրավեպ
💑;սրտիկով զույգ;զույգ|սեր|սիրավեպ|սիրտ
👩‍❤️‍👨;սրտիկով զույգ․ կին և մարդ;զույգ|կին|մարդ|սեր|սիրավեպ|սիրտ|սրտիկով զույգ
👨‍❤️‍👨;սրտիկով զույգ․ մարդ և մարդ;զույգ|մարդ|սեր|սիրավեպ|սիրտ|սրտիկով զույգ
👩‍❤️‍👩;սրտիկով զույգ․ կին և կին;զույգ|կին|սեր|սիրավեպ|սիրտ|սրտիկով զույգ
👨‍👩‍👦;ընտանիք․ մարդ կին և տղա;երեխա|ընտանիք|կին|հայր|մայր|մարդ|տղա
👨‍👩‍👧;ընտանիք․ մարդ կին և աղջիկ;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր|մարդ
👨‍👩‍👧‍👦;ընտանիք․ մարդ կին աղջիկ և տղա;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր|մարդ|տղա
👨‍👩‍👦‍👦;ընտանիք․ մարդ կին տղա և տղա;երեխա|ընտանիք|կին|հայր|մայր|մարդ|տղա
👨‍👩‍👧‍👧;ընտանիք․ մարդ կին աղջիկ և աղջիկ;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր|մարդ
👨‍👨‍👦;ընտանիք․ մարդ մարդ և տղա;երեխա|ընտանիք|հայր|մայր|մարդ|տղա
👨‍👨‍👧;ընտանիք․ մարդ մարդ և աղջիկ;աղջիկ|երեխա|ընտանիք|հայր|մայր|մարդ
👨‍👨‍👧‍👦;ընտանիք․ մարդ մարդ աղջիկ և տղա;աղջիկ|երեխա|ընտանիք|հայր|մայր|մարդ|տղա
👨‍👨‍👦‍👦;ընտանիք․ մարդ մարդ տղա և տղա;երեխա|ընտանիք|հայր|մայր|մարդ|տղա
👨‍👨‍👧‍👧;ընտանիք․ մարդ մարդ աղջիկ և աղջիկ;աղջիկ|երեխա|ընտանիք|հայր|մայր|մարդ
👩‍👩‍👦;ընտանիք․ կին կին և տղա;երեխա|ընտանիք|կին|հայր|մայր|տղա
👩‍👩‍👧;ընտանիք․ կին կին և աղջիկ;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր
👩‍👩‍👧‍👦;ընտանիք․ կին կին աղջիկ և տղա;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր|տղա
👩‍👩‍👦‍👦;ընտանիք․ կին կին տղա և տղա;երեխա|ընտանիք|կին|հայր|մայր|տղա
👩‍👩‍👧‍👧;ընտանիք․ կին կին աղջիկ և աղջիկ;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր
👨‍👦;ընտանիք․ մարդ և տղա;երեխա|ընտանիք|հայր|մայր|մարդ|տղա
👨‍👦‍👦;ընտանիք․ մարդ տղա և տղա;երեխա|ընտանիք|հայր|մայր|մարդ|տղա
👨‍👧;ընտանիք․ մարդ և աղջիկ;աղջիկ|երեխա|ընտանիք|հայր|մայր|մարդ
👨‍👧‍👦;ընտանիք․ մարդ աղջիկ և տղա;աղջիկ|երեխա|ընտանիք|հայր|մայր|մարդ|տղա
👨‍👧‍👧;ընտանիք․ մարդ աղջիկ և աղջիկ;աղջիկ|երեխա|ընտանիք|հայր|մայր|մարդ
👩‍👦;ընտանիք․ կին և տղա;երեխա|ընտանիք|կին|հայր|մայր|տղա
👩‍👦‍👦;ընտանիք․ կին տղա և տղա;երեխա|ընտանիք|կին|հայր|մայր|տղա
👩‍👧;ընտանիք․ կին և աղջիկ;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր
👩‍👧‍👦;ընտանիք․ կին աղջիկ և տղա;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր|տղա
👩‍👧‍👧;ընտանիք․ կին աղջիկ և աղջիկ;աղջիկ|երեխա|ընտանիք|կին|հայր|մայր
🗣️;խոսացող գլուխ;գլուխ|դեմք|խոսալ|խոսացող|ուրվագիծ
👤;ուրվագծված կիսանդրի;կիսանդրի|ուրվագիծ
👥;ուրվագծված կիսանդրիներ;կիսանդրի|ուրվագիծ
🫂;գրկախառնվող մարդիկ;բարև|գրկախառնություն|հրաժեշտ|ողջույն|ցտեսություն
👪;ընտանիք;երեխա|հայր|մայր
🧑‍🧑‍🧒;ընտանիք․ մեծահասակ, մեծահասակ, երեխա;երեխա|ընտանիք․ մեծահասակ|մեծահասակ
🧑‍🧑‍🧒‍🧒;ընտանիք․ մեծահասակ, մեծահասակ, երեխա, երեխա;երեխա|ընտանիք․ մեծահասակ|մեծահասակ
🧑‍🧒;ընտանիք․ մեծահասակ, երեխա;երեխա|ընտանիք․ մեծահասակ
🧑‍🧒‍🧒;ընտանիք․ մեծահասակ, երեխա, երեխա;երեխա|ընտանիք․ մեծահասակ
👣;ոտնահետքեր;հագուստ|հետք|մարմին|ոտնահետք
🫆;մատնահետք;անվտանգություն|դատաբժշկական փորձաքննություն|ինքնություն
🐵;կապիկի դեմք;դեմք|կապիկ|մռութ
🐒;կապիկ;
🦍;գորիլա;կապիկ|կենդանի|մարդանման|մռութ
🦧;օրանգուտան;կապիկ|մարդակապիկ|մարդանման
🐶;շան մռութ;ընտանի|մռութ|շուն
🐕;շուն;ընտանի|հավատարիմ|տնային կենդանի
🦮;ուղեկցող շուն;կույր|հաշմանդամ|ուղեվար
🐕‍🦺;ծառայողական շուն;հաշմանդամ|շուն|օգնություն
🐩;պուդել;շուն
🐺;գայլ;դեմք|մռութ
🦊;աղվես;խորամանկ|մռութ
🦝;ջրարջ;խորամանկ|հետաքրքրասեր
🐱;կատվի մռութ;ընտանի կենդանի|կատու|մռութ
🐈;կատու;ընտանի կենդանի
🐈‍⬛;սև կատու;անհաջողակ|կատու|սև
🦁;առյուծի մռութ;առյուծ|կենդանակերպ|մռութ
🐯;վագրի մռութ;մռութ|վագր|վայրի
🐅;վագր;
🐆;ընձառյուծ;
🐴;ձիու մռութ;ձի|մռութ
🫎;որմզդեղն;եղջյուրներ|կաթնասուն|կենդանի
🫏;էշ;ընտանի|կաթնասուն|կամակոր|կենդանի|ջորի
🐎;ձի;մրցավազք|մրցավազքային ձի
🦄;միաեղջյուր;դեմք|մռութ
🦓;զեբր;բիծ
🦌;եղնիկ;եղջերու|կենդանի
🦬;բիզոն;գոմեշ|նախիր
🐮;կովի մռութ;կով|մռութ
🐂;ցուլիկ;կենդանակերպ|ցուլ
🐃;ջրագոմեշ;ջուր
🐄;կով;
🐷;խոզի մռութ;խոզ|մռութ
🐖;խոզ;էգ խոզ
🐗;վարազ;վայրի խոզ
🐽;խոզի դունչ;խոզ|մռութ|քիթ
🐏;արու ոչխար;խոյ|կենդանակերպ|ոչխար
🐑;մաքի;ոչխար
🐐;այծ;այծեղջյուր|կենդանակերպ
🐪;ուղտ;միասապատ|սապատ
🐫;երկսապատավոր ուղտ;երկսապատանի|կուզ|ուղտ
🦙;լամա;ալպակա|բուրդ|գուանակո
🦒;ընձուղտ;պուտեր
🐘;փիղ;
🦣;մամոնտ;անհետացող|բրդոտ|ժանիք|խոշոր
🦏;ռնգեղջյուր;կենդանի
🦛;գետաձի;
🐭;մկան մռութ;դեմք|մուկ
🐁;մուկ;
🐀;առնետ;
🐹;գերմանամուկ;դեմք|ընտանի կենդանի|մռութ
🐰;ճագարի մռութ;ընտանի կենդանի|ճագար|մռութ|նապաստակ
🐇;ճագար;ընտանի կենդանի|նապաստակ
🐿️;շերտասկյուռ;
🦫;կուղբ;ամբարտակ|սուր ատամներ
🦔;ոզնի;փշավոր
🦇;չղջիկ;կենդանի
🐻;արջ;դեմք|մռութ
🐻‍❄️;բևեռային արջ;արջ|հյուսիսային բևեռ|սպիտակ
🐨;կոալա;արջ
🐼;պանդա;դեմք|մռութ
🦥;համրուկ;դանդաղաշարժ|ծույլ
🦦;ջրասամույր;ժիր|ձկնորս
🦨;ժանտաքիս;գարշահոտ
🦘;ագեվազ;Ավստրալիա|պարկավոր|ցատկող
🦡;փորսուղ;գորշուկ|ձանձրացնել
🐾;թաթերի հետքեր;թաթ|հետք|ոտքեր
🦃;հնդկահավ;թռչուն|հնդուհավ|փքված
🐔;հավ;ընտանի|թռչուն
🐓;աքաղաղ;ընտանի|թռչուն|ծուղրուղու|հպարտ
🐣;ձվից դուրս եկող ճուտիկ;դեղնակտուց|ճուտ
🐤;ճուտիկ;ձագ|ճուտ|փոքր
🐥;դեմքով շրջված ճուտիկ;ծիտիկ|ձագուկ|ճուտ
🐦;թռչուն;ծիտ
🐧;պինգվին;անտարկտիդա|թռչուն
🕊️;աղավնի;թռչել|թռչուն|խաղաղություն
🦅;արծիվ;թռչուն
🦆;բադ;թռչուն
🦢;կարապ;անճոռնի ճուտիկ|թռչուն
🦉;բու;թռչուն|իմաստուն
🦤;դոդո;անհետացում|Մավրիկիոս|մեծ
🪶;փետուր;թեթև|թռիչք|թռչուն|փետուրներ
🦩;ֆլամինգո;արևադարձային|ցայտուն
🦚;սիրամարգ;թռչուն|հպարտ|սնապարծ
🦜;թութակ;թռչուն|խոսոց|ծովահեն
🪽;թև;ավիացիա|դիցաբանություն|թռչող|թռչուն|հրեշտակ
🐦‍⬛;կեռնեխ;ագռավ|թռչուն|սերմնագռավ|սև
🪿;սագ;ընտանի|թռչուն
🐦‍🔥;փյունիկ;հրեղեն թռչուն|վերածնունդ
🐸;գորտ;դեմք|մռութ
🐊;կոկորդիլոս;
🐢;կրիա;
🦎;մողես;սողուն
🐍;օձ;կենդանակերպ
🐲;վիշապի մռութ;դեմք|հեքիաթ|մռութ|վիշապ
🐉;վիշապ;հեքիաթ
🦕;զավրոպոդ;բրախիոզավր|բրոնտոզավր|դիպլոդոկ
🦖;տիրանոզավր ռեքս;
🐳;ջուր ցայտեցնող կետաձուկ;դեմք|կետաձուկ|ցայտում
🐋;կետ;
🐬;դելֆին;
🫍;խոյադելֆին;ծովային|կետ|օվկիանոս
🦭;փոկ;ծովառյուծ
🐟;ձուկ;կենդանակերպ|ձկներ
🐠;արևադարձային ձուկ;արևադարձային|ձուկ
🐡;փքաձուկ;ձուկ
🦈;շնաձուկ;ձուկ
🐙;ութոտնուկ;
🐚;պարուրաձև խխունջախեցի;խխունջ|պարույր
🪸;բուստ;խութ|կորալ|ովկիանոս
🪼;ծովամայր;
🦀;խաչափառ;խեցգետին|կենդանակերպ
🦞;օմար;խեցգետին|ծովամթերք
🦐;ծովախեցգետին;մանրածովախեցգետին|ուտելիք
🦑;կաղամար;կակղամորթ|ուտելիք
🦪;ոստրե;խեցի|մարգարիտ|սուզում
🐌;խխունջ;դանդաղաշարժ|խեցի|տնակ
🦋;թիթեռ;գեղեցիկ|միջատ
🐛;միջատ;թրթուր
🐜;մրջյուն;աշխատասեր|միջատ
🐝;մեղու;աշխատասեր|մեղր|միջատ
🪲;բզեզ;միջատ
🐞;զատիկ;բզեզ|միջատ|պուտեր
🦗;ծղրիդ;մորեխ
🪳;ուտիճ;խավարասեր|միջատ
🕷️;սարդ;միջատ
🕸️;սարդոստայն;ոստայն|սարդ|ցանց
🦂;շագանակագույն կարիճ;թունավոր|կարիճ|կենդանակերպ
🦟;մոծակ;հիվանդություն|մալարիա|միջատ|վարակ|տենդ
🪰;ճանճ;թրթուր|հիվանդություն|վնասատու|փտում
🪱;որդ;անձրևորդ|ճիճու|մակաբույծ|օղակավոր որդ
🦠;մանրէ;ամեոբա|բակտերիա|վիրուս
💐;ծաղկեփունջ;բույս|ծաղիկ|սիրավեպ
🌸;բալենու ծաղիկ;բալ|բույս|ծաղիկ
💮;սպիտակ ծաղիկ;ծաղիկ
🪷;լոտոս;բուդդայականություն|ծաղիկ|հինդուականություն|Հնդկաստան|սրբություն|Վիետնամ
🏵️;վարդանախշ;բույս|վարդակ
🌹;վարդ;բույս|ծաղիկ
🥀;թառամած ծաղիկ;թառամած|ծաղիկ
🌺;բաղրջուկ;բույս|ծաղիկ|հիբիսկուս
🌻;արևածաղիկ;արև|բույս|ծաղիկ
🌼;ծաղիկ;բույս
🌷;կակաչ;բույս|ծաղիկ
🪻;հակինթ;գարուն|թուփ|ծաղիկ|ծաղկում|մանուշակ|նարդոս
🌱;ծիլ;բույս|մատղաշ
🪴;թաղարով բույս;աճեցնել|բույս|խնամք|ձանձրալի|տուն
🌲;եղևնի;բույս|ծառ
🌳;սաղարթավոր ծառ;բույս|ծառ|սաղարթավոր
🌴;արմավենի;բույս|ծառ
🌵;կակտուս;բույս
🌾;բրնձի հասկեր;ականջ|բույս|բրինձ
🌿;բույս;տերեւ
☘️;երեքնուկ;բույս
🍀;քառատերև երեքնուկ;4|բույս|երեքնուկ|չորս|տերև
🍁;թխկու տերև;բույս|ընկնող|թխկի|տերև
🍂;ընկած տերև;բույս|ընկնող|տերև
🍃;ճախրող տերևներ;բույս|թրթռալ|տերև|փչել|քամի
🪹;դատարկ բույն;բնադրում|բույն|դատարկ|ճյուղ|տուն
🪺;ձվերով բույն;բնադրում|բույն|թռչուն|ձու|ձվեր|ճյուղ
🍄;սունկ;բույս
🪾;անտերեւ ծառ;անպտուղ|երաշտ|ձմեռ
🍇;խաղող;բույս|պտուղ
🍈;սեխ;բույս|պտուղ
🍉;ձմերուկ;բույս|պտուղ
🍊;մանդարին;բույս|նարինջ|պտուղ
🍋;կիտրոն;բույս|պտուղ|ցիտրուս
🍋‍🟩;լայմ;արեւադարձային|զարդարել|թանձր|թարմացնող|թթու|կիտրոն|կոկտեյլ|համ|միրգ|մոխիտո|սալսա|տեկիլա
🍌;բանան;բույս|պտուղ
🍍;արքայախնձոր;բույս|պտուղ
🥭;մանգո;արևադարձային|միրգ
🍎;կարմիր խնձոր;բույս|խնձոր|կարմիր|պտուղ
🍏;կանաչ խնձոր;բույս|խնձոր|կանաչ|պտուղ
🍐;տանձ;բույս|պտուղ
🍑;դեղձ;բույս|պտուղ
🍒;բալ;բույս|պտուղ
🍓;ելակ;բույս|հատապտուղ|պտուղ
🫐;հապալաս;կապույտ|հատապտուղ
🥝;կիվի;միրգ|ուտելիք
🍅;լոլիկ;բանջարեղեն|բույս
🫒;ձիթապտուղ;զեյթուն|ուտելիք
🥥;կոկոս;արմավենի|պինյա կոլադա
🥑;ավոկադո;միրգ|ուտելիք
🍆;սմբուկ;բանջարեղեն|բույս
🥔;կարտոֆիլ;բանջարեղեն|ուտելիք
🥕;գազար;բանջարեղեն|ուտելիք
🌽;եգիպտացորեն;ականջ|բույս
🌶️;կծու պղպեղ;բույս|կծու|պղպեղ
🫑;տաքդեղ;բանջարեղեն|պղպեղ
🥒;վարունգ;բանջարեղեն|ուտելիք
🥬;հազար;կաղամբ|մարոլ
🥦;բրոկկոլի;վայրի կաղամբ
🧄;սխտոր;համեմունք
🧅;սոխ;համեմունք
🥜;գետնանուշ;ընդեղեն|ընկույզ|ուտելիք
🫘;լոբի;բակլա|սնունդ
🌰;շագանակ;բույս
