😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|मजाकिया
🤷‍♀️;महिला का कंधा उचकाना;अज्ञान|उदासीनता|कंधे उचकाती महिला|पता नहीं|महिला|मुझे क्या पता|शायद|संदेह|हिलाना|हो सकता है
🧑‍⚕️;स्वास्थ्य कार्यकर्ता;डॉक्टर|थैरेपिस्ट|नर्स|स्वास्थ्य देखभाल
👨‍⚕️;पुरुष स्वास्थ्य कार्यकर्ता;चिकित्सक|डॉक्टर|नर्स|पुरुष|स्वास्थ्य कार्यकर्ता|हकीम
👩‍⚕️;महिला स्वास्थ्य कार्यकर्ता;चिकित्सक|चिकिसक|डॉक्टर|नर्स|महिला
🧑‍🎓;विद्यार्थी;स्नातक
👨‍🎓;छात्र;स्नातक
👩‍🎓;छात्रा;स्नातक
🧑‍🏫;शिक्षक;प्रशिक्षक|प्रोफ़ेसर
👨‍🏫;अध्यापक;आदमी|पुरुष|प्रशिक्षक|प्रोफेसर
👩‍🏫;अध्यापिका;प्रशिक्षक|प्रोफेसर|महिला
🧑‍⚖️;जज;न्याय|न्यायाधीश
👨‍⚖️;न्यायाधीश;आदमी|तराजू|न्याय|पुरुष
👩‍⚖️;महिला न्यायाधीश;तराजू|न्यायाधीश|महिला
🧑‍🌾;कृषक;किसान|पशुपालक|माली
👨‍🌾;किसान;आदमी|खेत लगानेवाला|पुरुष|माली
👩‍🌾;महिला किसान;किसान|खेत लगानेवाली|महिला|माली
🧑‍🍳;बावर्ची;रसोइया|शेफ़
👨‍🍳;रसोइया;आदमी|पुरुष|महाराज
👩‍🍳;महिला रसोइया;बावर्ची|महिला|रसोइया
🧑‍🔧;मैकेनिक;नलसाज़|बिजली का काम करने वाला|व्यापारी
👨‍🔧;मिस्त्री;आदमी|पुरुष|बिजली मिस्त्री
👩‍🔧;महिला मिस्त्री;प्लम्बर|महिला|मिस्त्री|मैकेनिक|व्यापारी
🧑‍🏭;फ़ैक्ट्री मज़दूर;औद्योगिक|कारखाना|मज़दूर|सभा
👨‍🏭;पुरुष फैक्टरी मजदूर;आदमी|औद्योगिक|कारखाना|पुरुष|मज़दूर
👩‍🏭;महिला फैक्टरी मजदूर;औद्योगिक|कारखाना|मज़दूर|महिला
🧑‍💼;कार्यालय कार्यकर्ता;कर्मचारी|प्रबंधक|वास्तुकार|व्यवसाय
👨‍💼;पुरुष कार्यालय कार्यकर्ता;आदमी|कार्यालय|पुरुष|प्रबंधक|वास्तुकार|व्यापार|सफेद कॉलर
👩‍💼;महिला कार्यालय कार्यकर्ता;कार्यालय|प्रबंधक|महिला|वास्तुकार|व्यापार|सफेद कॉलर
🧑‍🔬;वैज्ञानिक;इंजीनियर|जीवविज्ञानी|भौतिक विज्ञानी|रसायनज्ञ
👨‍🔬;पुरुष वैज्ञानिक;आदमी|इंजीनियर|गणितज्ञ|जीवविज्ञानी|पुरुष|भौतिक विज्ञानी|रसायनज्ञ|वैज्ञानिक
👩‍🔬;महिला वैज्ञानिक;इंजीनियर|गणितज्ञ|जीवविज्ञानी|भौतिक विज्ञानी|महिला|रसायनज्ञ|वैज्ञानिक
🧑‍💻;टेक्नोलॉजिस्ट;आविष्कारक|कोडर|डेवलपर|सॉफ़्टवेयर
👨‍💻;पुरुष टेक्नोलॉजिस्ट;आदमी|आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|पुरुष|सॉफ्टवेयर
👩‍💻;महिला टेक्नोलॉजिस्ट;आविष्कारक|कोडर|टेक्नोलॉजिस्ट|डेवलपर|महिला|सॉफ्टवेयर
🧑‍🎤;गानेवाला;अभिनेता|गायक|मनोरंजन करने वाला|रॉक|स्टार
👨‍🎤;गायक;अभिनेता|आदमी|तारा|पुरुष|मनोरंजन|रॉक
👩‍🎤;गायिका;अभिनेता|अभिनेत्री|गायक|मनोरंजन|महिला|रॉक|स्टार
🧑‍🎨;कलाकार;पैलेट
👨‍🎨;पुरुष कलाकार;कलाकार पैलेट|पुरुष|रंग पट्टिका
👩‍🎨;महिला कलाकार;कलाकार|कलाकार पैलेट|महिला|रंग पट्टिका
🧑‍✈️;पायलट;प्लेन
👨‍✈️;पुरुष पायलट;आदमी|पायलट|पुरुष|विमान
👩‍✈️;महिला पायलट;पायलट|महिला|विमान
🧑‍🚀;अंतरिक्ष यात्री;रॉकेट
👨‍🚀;पुरुष अंतरिक्ष यात्री;अंतरिक्ष|अंतरिक्ष यात्री|आदमी|पुरुष|रॉकेट
👩‍🚀;महिला अंतरिक्ष यात्री;अंतरिक्ष यात्री|महिला|रॉकेट|स्पेस
🧑‍🚒;अग्निशमक;फ़ायरट्रक
👨‍🚒;महिला फायर फाइटर;आदमी|दमकल|पुरुष|फायर फाइटर
👩‍🚒;पुरुष फायर फाइटर;दमकल|फायर फाइटर|महिला
👮;पुलिस अधिकारी;अधिकारी|कानून|गिरफ़्तार|पुलिस|पुलिस ऑफ़िसर|पुलिसवाला|लोग
👮‍♂️;पुरुष पुलिस अधिकारी;अधिकारी|आदमी|पुरुष|पुलिस
👮‍♀️;महिला पुलिस अधिकारी;अधिकारी|ऑफ़िसर|कानून|गिरफ़्तार|पुलिस|महिला|वर्दी में पुलिस
🕵️;जासूस;गुप्तचर
🕵️‍♂️;पुरुष जासूस;आदमी|गुप्तचर|जासूस|पुरुष
🕵️‍♀️;महिला जासूस;गुप्तचर|जासूस|महिला
💂;गार्ड;बकिंघम महल|लंदन|लोग
💂‍♂️;पुरुष गार्ड;आदमी|गार्ड|पुरुष
💂‍♀️;महिला गार्ड;गार्ड|महिला|रक्षक
🥷;निंजा;इंसान|चालबाज़|चालबाज़ी|छिपा हुआ|डाकू|लड़ाई|लड़ाकू|लुटेरा|सैनिक|हत्यारा
👷;निर्माण मजदूर;टोपी|निर्माण|निर्माण कार्य|बिल्डिंग बनाने वाला|मज़दूर|लोग|वर्कर|हेल्मेट|हेल्मेट पहने आदमी|हैट
👷‍♂️;पुरुष निर्माण मजदूर;आदमी|निर्माण|पुरुष|मज़दूर
👷‍♀️;महिला निर्माण मजदूर;निर्माण|मज़दूर|महिला
🫅;मुकुट वाला व्यक्ति;किंग|क्‍वीन|नोबल|मोनार्क|राजा|रानी|रीगल|रॉयल|रॉयल्टी|सिर पर ताज
🤴;राजकुमार;शाही
👸;राजकुमारी;परी कथा|रानी|लोग
👳;पगड़ी वाला आदमी;आदमी|पगड़ी|पगड़ी बाँधे आदमी|पुरुष|लोग|व्यक्ति
👳‍♂️;पगड़ी वाला पुरुष;आदमी|पगड़ी|पुरुष
👳‍♀️;पगड़ी वाली महिला;औरत|पगड़ी
👲;चाइनीज़ कैप वाला पुरुष;गुआ पाई माओ|टोपी|पुरुष|लोग
🧕;सर पर स्कार्फ़ पहनने वाली महिला;टिचेल|मैन्टिला|सर पर पहना जाने वाला स्कार्फ़|स्कार्फ|हिजाब
🤵;सूट बूट में व्यक्ति;दूल्हा|पुरुष|व्यक्ति|सूट बूट
🤵‍♂️;सूट-बूट में आदमी;आदमी|सूट-बूट
🤵‍♀️;सूट-बूट में औरत;औरत|सूट-बूट
👰;घूंघट वाला व्यक्ति;घूंघट|दुल्हन|पर्दे वाली दुल्हन|लोग|विवाह|शादी
👰‍♂️;पर्दे वाला आदमी;आदमी|पर्दा
👰‍♀️;घूंघट वाली महिला;घूंघट|महि‍ला
🤰;गर्भवती महिला;गर्भवती|महिला
🫃;गर्भवती पुरुष;आदमी|ओवरईटिंग|गर्भवती|ज़्यादा खा लेना|पेट|पेट दर्द|प्रेगनेंट|फूला हुआ|भरा हुआ|मोटा आदमी|मोटा पेट
🫄;गर्भवती;ओवरईटिंग|गर्भवती औरत|ज़्यादा खा लेना|पूर्ण|पेट|प्रेगनेंट|प्रेगनेंट महिला|फूला हुआ|मोटा पेट
🤱;स्तनपान;नर्सिंग|बच्चा|शिशु|शिशु को दूध पिलाना|स्तन
👩‍🍼;शिशु को दूध पिला रही महिला;इंसान|केयर|दाई|दूध पिलाना|बच्चा|मम्मी|महिला|माँ|माता|शिशु
👨‍🍼;शिशु को दूध पिला रहा आदमी;आदमी|केयर|दूध पिलाना|नवजात|न्यू बॉर्न|पापा|पिता|बच्चा|बेबी|शिशु
🧑‍🍼;शिशु को दूध पिलाने वाली/वाला;केयर|दूध पिलाना|नवजात|न्यू बॉर्न|बच्चा|बच्चे|बेबी|व्यक्ति|शिशु|स्तनपान
👼;नन्ही परी;चेहरा|नन्हीं परी|परी|परी कथा|फैंटेसी|बच्ची
🎅;सैंटा क्लॉज़;क्रिसमस|परी कथा|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज
🤶;मिसेज़ क्लाज;Mrs.क्लॉस|क्रिसमस|क्रिस्मस|बड़ा दिन|मां|समारोह
🧑‍🎄;एम एक्स क्लाॅॅॅॅज़;एक्समस|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़|टोपी|मेरी एक्समस|मेरी क्रिसमस|शख्स|सांता|सेंटा क्लॉज़|हॉलिडे|हॉलीडे
🦸;सुपरहीरो;पावर|बढ़िया|शक्तिशाली|सुपर पावर|सुपरपॉवर|सुपरमैन|हीरो|हीरोइन
🦸‍♂️;पुरुष सुपरहीरो;पुरुष|बढ़िया|सुपरपॉवर|हीरो
🦸‍♀️;महिला सुपरहीरो;बढ़िया|महिला|सुपरपॉवर|हीरो|हीरोइन
🦹;सुपरविलेन;अपराधी|जादूगर|डरावना|ताकतवर|बुराई|विलेन|सुपर पावर|सुपरपॉवर
🦹‍♂️;पुरुष सुपरविलेन;अपराधी|पुरुष|बुराई|विलेन|सुपरपॉवर
🦹‍♀️;महिला सुपरविलेन;अपराधी|बुराई|महिला|विलेन|सुपरपॉवर
🧙;जादूगर, करामाती;करामाती|जादू|जादूगर|जादूगरनी|ज्ञानी|डायन|भूतसाधक|भूतसाधिका
🧙‍♂️;करामाती पुरुष;जादूगर|भूतसाधक
🧙‍♀️;करामाती महिला;जादूगरनी|भूतसाधिका
🧚;परी;ऑबेरॉन|कहानी|टाइटैनिया|पक|पंख|परियों की कहानी|फैंटेसी
🧚‍♂️;देवदूत;ऑबेरॉन|पक
🧚‍♀️;अप्सरा;टाइटैनिया
🧛;वैम्पायर;कॉस्ट्यूम|खून|डरावना|ड्रैकुला|ड्रैक्युला|दाँत|मर कर भी जीवित
🧛‍♂️;पुरुष वैम्पायर;ड्रैक्युला|मर कर भी जीवित
🧛‍♀️;महिला वैम्पायर;मर कर भी जीवित
🧜;मत्स्यमानव;जलपरी|पानी के अंदर|पुरुष मरमेड|मत्स्यकन्या|मत्स्यपुरुष|मत्स्यस्त्री|समुद्री जीव
🧜‍♂️;मत्स्यपुरुष;ट्राइटन
🧜‍♀️;मत्स्यकन्या;मत्स्यस्त्री
🧝;जादुई प्राणी;एल्फ़|जादुई|जादूगर|फैंटेसी|भूत
🧝‍♂️;जादुई पुरुष;जादुई
🧝‍♀️;जादुई स्त्री;जादुई
🧞;जिन्न;चिराग|जादुई चिराग|जिनी|पुरुष जिन्न
🧞‍♂️;पुरुष जिन्न;जिन्न
🧞‍♀️;स्त्री जिन्न;जिन्न
🧟;ज़ॉम्बी;डरावना|भयानक|मर कर भी जीवित|वॉकिंग डेड|हेलोवीन
🧟‍♂️;पुरुष ज़ॉम्बी;मर कर भी जीवित|वॉकिंग डेड
🧟‍♀️;महिला ज़ॉम्बी;मर कर भी जीवित|वॉकिंग डेड
🧌;ट्रॉल;काल्पनिक|ट्रोल|ट्रोल करना|ट्रोलिंग|दानव|परी कथा|मॉन्स्टर|राक्षस
🫈;बालों वाला प्राणी;जंगली|झबरीला|बिगफ़ुट|येति|रहस्यमय जीव|वन-मानव|विशालकाय|हिम मानव
💆;मालिश करवाता व्यक्ति;आराम|चेहरा|थेरेपी|मसाज|मसाज कराती महिला|मालिश|सिरदर्द|सैलून|स्पा
💆‍♂️;मालिश करवाता पुरुष;आदमी|आराम|चेहरा|तनाव|पुरुष|मालिश
💆‍♀️;मालिश करवाती महिला;चेहरा|महिला|मालिश
💇;बाल कटवाता हुआ व्यक्ति;पार्लर|बाल काटना|ब्यूटी|सुंदरता|सैलून|स्टाइल|हेयरकट
💇‍♂️;बाल कटवाता हुआ पुरुष;आदमी|नाई|पुरुष|बाल कटवाना|बाल कटवाने|सुंदर
💇‍♀️;बाल कटवाती हुई महिला;बाल कटवाने|महिला
🚶;पैदल चलता व्यक्ति;पैदल|पैदल चलता आदमी|पैदल चाल|मॉर्निंग वॉक|सैर
🚶‍♂️;पैदल चलता पुरुष;आदमी|चढना|चलना|पुरुष
🚶‍♀️;पैदल चलती महिला;चढना|चलती हुई महिला|चलना|महिला
🚶‍➡️;पैदल चलता व्यक्ति: दाईं ओर चेहरा घुमाए;ओर|घुमाए|चेहरा|दाईं|पैदल|पैदल चलता आदमी|पैदल चलता व्यक्ति|पैदल चाल|मॉर्निंग वॉक|सैर
🚶‍♀️‍➡️;पैदल चलती महिला: दाईं ओर चेहरा घुमाए;ओर|घुमाए|चढना|चलती हुई महिला|चलना|चेहरा|दाईं|पैदल चलती महिला|महिला
🚶‍♂️‍➡️;पैदल चलता पुरुष: दाईं ओर चेहरा घुमाए;आदमी|ओर|घुमाए|चढना|चलना|चेहरा|दाईं|पुरुष|पैदल चलता पुरुष
🧍;खड़ा हुआ व्यक्ति;खड़ा|खड़ा आदमी|खड़ा व्यक्ति|खड़े रहना|पोज़
🧍‍♂️;खड़ा आदमी;आदमी
🧍‍♀️;खड़ी औरत;औरत
🧎;घुटनों के बल बैठा व्यक्ति;घुटने टेक|घुटने टेककर|घुटनों के बल|ध्यान|नमाज़|प्रार्थना|साधना
🧎‍♂️;आदमी घुटनों के बल;आदमी|आदमी घुटने टेककर
🧎‍♀️;औरत घुटनों के बल;घुटनों के बल बैठी महिला|महिला
🧎‍➡️;घुटनों के बल बैठा व्यक्ति: दाईं ओर चेहरा घुमाए;ओर|घुटने टेक|घुटने टेककर|घुटनों के बल|घुटनों के बल बैठा व्यक्ति|घुमाए|चेहरा|दाईं|ध्यान|नमाज़|प्रार्थना|साधना
🧎‍♀️‍➡️;औरत घुटनों के बल: दाईं ओर चेहरा घुमाए;ओर|औरत घुटनों के बल|घुटनों के बल बैठी महिला|घुमाए|चेहरा|दाईं|महिला
🧎‍♂️‍➡️;आदमी घुटनों के बल: दाईं ओर चेहरा घुमाए;आदमी|आदमी घुटने टेककर|आदमी घुटनों के बल|ओर|घुमाए|चेहरा|दाईं
🧑‍🦯;छड़ी पकड़ा हुआ आदमी;नेत्रहीन|सफ़ेद छड़ी पकड़ा हुआ आदमी|सुलभता
🧑‍🦯‍➡️;छड़ी पकड़ा हुआ आदमी: दाईं ओर चेहरा घुमाए;ओर|घुमाए|चेहरा|छड़ी पकड़ा हुआ आदमी|दाईं|नेत्रहीन|सफ़ेद छड़ी पकड़ा हुआ आदमी|सुलभता
👨‍🦯;छड़ी लिया हुआ आदमी;अंधा|आदमी|छड़ी लिए हुए आदमी|छड़ी लिए हुए दिव्यांग आदमी|दिव्यांग
👨‍🦯‍➡️;छड़ी लिया हुआ आदमी: दाईं ओर चेहरा घुमाए;अंधा|आदमी|ओर|घुमाए|चेहरा|छड़ी लिए हुए आदमी|छड़ी लिए हुए दिव्यांग आदमी|छड़ी लिया हुआ आदमी|दाईं|दिव्यांग
👩‍🦯;छड़ी पकड़ी हुई औरत;अंधी|औरत|छड़ी पकड़े हुए दिव्यांग महिला|छड़ी पकड़े हुए महिला|छड़ी लिए हुए दिव्यांग महिला|दिव्यांग|महिला
👩‍🦯‍➡️;छड़ी पकड़ी हुई औरत: दाईं ओर चेहरा घुमाए;अंधी|ओर|औरत|घुमाए|चेहरा|छड़ी पकड़ी हुई औरत|छड़ी पकड़े हुए दिव्यांग महिला|छड़ी पकड़े हुए महिला|छड़ी लिए हुए दिव्यांग महिला|दाईं|दिव्यांग|महिला
🧑‍🦼;मोटर व्हीलचेयर पर बैठा व्यक्ति;व्हीलचेयर|सुलभता
🧑‍🦼‍➡️;मोटर व्हीलचेयर पर बैठा व्यक्ति: दाईं ओर चेहरा घुमाए;ओर|घुमाए|चेहरा|दाईं|मोटर व्हीलचेयर पर बैठा व्यक्ति|व्हीलचेयर|सुलभता
👨‍🦼;मोटर व्हीलचेयर पर बैठा आदमी;आदमी|मोटर व्हीलचेयर|व्हीलचेयर
👨‍🦼‍➡️;मोटर व्हीलचेयर पर बैठा आदमी: दाईं ओर चेहरा घुमाए;आदमी|ओर|घुमाए|चेहरा|दाईं|मोटर व्हीलचेयर|मोटर व्हीलचेयर पर बैठा आदमी|व्हीलचेयर
👩‍🦼;मोटर व्हीलचेयर पर बैठी औरत;औरत|महिला|मोटर व्हीलचेयर|मोटर व्हीलचेयर पर बैठी महिला|व्हीलचेयर
👩‍🦼‍➡️;मोटर व्हीलचेयर पर बैठी औरत: दाईं ओर चेहरा घुमाए;ओर|औरत|घुमाए|चेहरा|दाईं|महिला|मोटर व्हीलचेयर|मोटर व्हीलचेयर पर बैठी औरत|मोटर व्हीलचेयर पर बैठी महिला|व्हीलचेयर
🧑‍🦽;हस्तचालित व्हीलचेयर पर बैठा व्यक्ति;व्हीलचेयर|सुलभता
🧑‍🦽‍➡️;हस्तचालित व्हीलचेयर पर बैठा व्यक्ति: दाईं ओर चेहरा घुमाए;ओर|घुमाए|चेहरा|दाईं|व्हीलचेयर|सुलभता|हस्तचालित व्हीलचेयर पर बैठा व्यक्ति
👨‍🦽;हस्तचालित व्हीलचेयर पर बैठा आदमी;आदमी|व्हीलचेयर|हाथ से चलने वाली व्हीलचेयर पर बैठा हुआ आदमी
👨‍🦽‍➡️;हस्तचालित व्हीलचेयर पर बैठा आदमी: दाईं ओर चेहरा घुमाए;आदमी|ओर|घुमाए|चेहरा|दाईं|व्हीलचेयर|हस्तचालित व्हीलचेयर पर बैठा आदमी|हाथ से चलने वाली व्हीलचेयर पर बैठा हुआ आदमी
👩‍🦽;हस्तचालित व्हीलचेयर पर बैठी औरत;औरत|महिला|व्हीलचेयर|सुगम्यता|हाथ से चलने वाली व्हीलचेयर|हाथ से चलने वाली व्हीलचेयर पर बैठी लड़की
👩‍🦽‍➡️;हस्तचालित व्हीलचेयर पर बैठी औरत: दाईं ओर चेहरा घुमाए;ओर|औरत|घुमाए|चेहरा|दाईं|महिला|व्हीलचेयर|सुगम्यता|हस्तचालित व्हीलचेयर पर बैठी औरत|हाथ से चलने वाली व्हीलचेयर|हाथ से चलने वाली व्हीलचेयर पर बैठी लड़की
🏃;दौड़ता हुआ व्यक्ति;खेल|जल्दी|दौड़|दौड़ लगाता आदमी|मैराथन|रेस|स्पीड
🏃‍♂️;दौड़ता हुआ पुरुष;दौड़ रहा|पुरुष|मैराथन|रेसिंग
🏃‍♀️;दौड़ती हुई महिला;आ रहा हूँ|औरत दौड़ रही|जल्दी|दौड़ रही|भागना|महिला|मैराथन|रेसिंग
🏃‍➡️;दौड़ता हुआ व्यक्ति: दाईं ओर चेहरा घुमाए;ओर|खेल|घुमाए|चेहरा|जल्दी|दाईं|दौड़|दौड़ लगाता आदमी|दौड़ता हुआ व्यक्ति|मैराथन|रेस|स्पीड
🏃‍♀️‍➡️;दौड़ती हुई महिला: दाईं ओर चेहरा घुमाए;आ रहा हूँ|ओर|औरत दौड़ रही|घुमाए|चेहरा|जल्दी|दाईं|दौड़ रही|दौड़ती हुई महिला|भागना|महिला|मैराथन|रेसिंग
🏃‍♂️‍➡️;दौड़ता हुआ पुरुष: दाईं ओर चेहरा घुमाए;ओर|घुमाए|चेहरा|दाईं|दौड़ रहा|दौड़ता हुआ पुरुष|पुरुष|मैराथन|रेसिंग
🧑‍🩰;बैले डांसर;डांसर|बैले
💃;नाचती हुई महिला;नर्तक|नर्तकी|नाच|नृत्य|महिला|लड़की|लोग
🕺;नाचता हुआ पुरुष;आदमी|नाच|नृत्य|पुरुष|महिला
🕴️;सूट वाला व्यक्ति;व्यक्ति|व्यवसाय
👯;खरगोश के कान वाले लोग;खरगोश के कान|खरगोश लड़की|जुड़वां|डांसर|पक्के दोस्त|पार्टी|पार्टी करती महिलाएँ|महिला|लोग
👯‍♂️;खरगोश के कान वाले पुरुष;खरगोश के कान|नर्तकी|पार्टीबाजी|पुरुष|पुरुषों|समारोह
👯‍♀️;खरगोश के कान वाली महिलाएँ;खरगोश के कान|नर्तकी|पार्टीबाजी|महिला
🧖;भाप से भरे कमरे में कोई व्यक्ति;आराम करें|भाप से भरा कमरा|भाप से भरे कमरे में व्यक्ति|लग्ज़री|शरीर पर भाप लेना|सॉना|स्टीम रूम|स्पा
🧖‍♂️;भाप से भरे कमरे में कोई पुरुष;सॉना|स्टीम रूम
🧖‍♀️;भाप से भरे कमरे में कोई महिला;भाप कक्ष|सॉना
🧗;चढ़ाई करता हुआ व्यक्ति;ऊपर चढ़ना|चट्टान पर्वतारोही|चढ़ना|चढ़ने वाला|पर्वत|पर्वतारोही|पहाड़|पहाड़ पर चढ़ना
🧗‍♂️;चढ़ाई करता हुआ पुरुष;चढ़ने वाला
🧗‍♀️;चढ़ाई करती हुई महिला;चढ़ने वाला
🤺;तलवारबाज़;खिलाड़ी|घेरने वाला|तलवार
🏇;घुड़दौड़;खेल|घोड़ा|जॉकी|दौड़ का घोड़ा|रेस
⛷️;स्की खिलाड़ी;बर्फ|बर्फ के खेल|स्की
🏂;स्नोबोर्डर;खेल|बर्फ|स्नोबोर्ड|स्नोबोर्डिंग
🏌️;गोल्फ़ खेलता व्यक्ति;गेंद|गोल्फ़|गोल्फ़ का खिलाड़ी|गोल्फ़ खेलता आदमी|गोल्फ़र|बॉल|शॉट
🏌️‍♂️;गोल्फ़ खेलता पुरुष;आदमी|गोल्फ|पुरुष
🏌️‍♀️;गोल्फ़ खेलती महिला;गोल्फ|गोल्फ खेलती महिला|महिला
🏄;सर्फ़िंग करता व्यक्ति;खेल|बीच|लहरें|समुद्र|सर्फ़र|सर्फ़िंग|सर्फ़िंग करता आदमी
🏄‍♂️;सर्फ़िंग करता पुरुष;आदमी|पुरुष|सर्फ़िंग
🏄‍♀️;सर्फ़िंग करती महिला;खेल|महासागर|महिला|समुंद्र|सर्फिंग
🚣;चप्पू से नाव चलाता व्यक्ति;झील|नदी|नाव|नाव चलाता आदमी|नाविक|बोट|रो बोट|वाहन
🚣‍♂️;चप्पू से नाव चलाता पुरुष;आदमी|नाव|पुरुष
🚣‍♀️;चप्पू से नाव चलाती महिला;झील|नदी|नाव|नौका|महिला
🏊;तैरता हुआ व्यक्ति;खेल|तैरना|तैराक|तैराकी|स्विमिंग|स्विमिंग करता आदमी
🏊‍♂️;तैरता हुआ पुरुष;आदमी|तैरना|पुरुष
🏊‍♀️;तैरती हुई महिला;खेल|तैरना|महिला|महिला तैराक
⛹️;गेंद से खेलता व्यक्ति;एथलेटिक|खिलाड़ी|खेल|चैंपियनशिप|पुरुष खिलाड़ी|बास्केटबॉल|बॉल
⛹️‍♂️;गेंद से खेलता पुरुष;आदमी|गेंद|पुरुष
⛹️‍♀️;गेंद से खेलती महिला;गेंद|महिला
🏋️;भार उठाता हुआ व्यक्ति;पावरलिफ़्टिंग|बॉडी बिल्डर|भार|भार उठाता आदमी|भारी|भारोत्तोलक|वज़न|वर्कआउट|वेटलिफ़्टर
🏋️‍♂️;भार उठाता हुआ पुरुष;आदमी|पुरुष|भारोत्तोलन
🏋️‍♀️;भार उठाती हुई महिला;भारोत्तोलन|महिला
🚴;साइकिल चलाता व्यक्ति;खेल|बाइक|साइकलिस्ट|साइकिल|साइकिल सवार
🚴‍♂️;साइकिल चलाता पुरुष;आदमी|पुरुष|बाइकिंग|साइकिल|साइकिल चालक
🚴‍♀️;साइकिल चलाती महिला;आदमी|खेल|बाइकिंग|महिला|साइकिल|साइकिल चालक
🚵;पहाड़ पर साइकिल चलाता व्यक्ति;खेल|पहाड़|पहाड़ पर साइकिल|पहाड़ी|बाइक|साइकलिस्ट|साइकिल
🚵‍♂️;पहाड़ पर साइकिल चलाता पुरुष;दमी|पर्वत|पुरुष|बाइक|साइकिल|साइकिल चालक
🚵‍♀️;पहाड़ पर साइकिल चलाती महिला;खेल|पहाड़|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक
🤸;कलाबाज़ी करता व्यक्ति;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|फ़्लिप|व्यक्ति
🤸‍♂️;कलाबाज़ी करता पुरुष;आदमी|एक्टिव|कलाबाज़ी|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति
🤸‍♀️;कलाबाज़ी करती महिला;एक्टिव|कलाबाज़ी|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|महिला|व्यक्ति
🤼;पहलवान;कुश्ती|खिलाड़ी|झगड़ा|पुरुष खिलाड़ी|रेसलिंग|लोग
🤼‍♂️;पुरुष पहलवान;कुश्ती|खिलाड़ी|पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट
🤼‍♀️;महिला पहलवान;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति
🤽;वाटर पोलो खेलता व्यक्ति;खेल|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वॉटर पोलो|व्यक्ति|स्विमिंग
🤽‍♂️;वाटर पोलो खेलता पुरुष;आदमी|खेल|तैराक|तैराकी|पुरुष|वाटर पोलो|वॉटर पोलो|स्विमिंग
🤽‍♀️;वाटर पोलो खेलती महिला;खेल|तैराकी|महिला|महिला तैराक|वाटर पोलो|वॉटर पोलो|वॉटर पोलो खेलती महिला|स्विमिंग
🤾;हैंडबॉल खेलता व्यक्ति;एथलेटिक्स|खिलाड़ी|खेल|गेंद|हैंडबाल|हैंडबॉल|हैंडबॉल खेलता आदमी
🤾‍♂️;हैंडबॉल खेलता पुरुष;खेल|गेंद|पुरुष|हैंडबाल
🤾‍♀️;हैंडबॉल खेलती महिला;कैच|खिलाड़ी|गेंद|महिला|हैंडबाल|हैंडबॉल
🤹;करतब दिखाता व्यक्ति;करतब|करतब दिखाता आदमी|कौशल|जगलिंग|बहु कार्य|बैलेंस|मल्टीटास्क|मैनेज|संतुलन|हथफेर
🤹‍♂️;करतब दिखाता पुरुष;कई काम एक साथ|करतब दिखाता आदमी|करतब दिखाने|पुरुष|बैलेंस|मल्टीटास्क करता आदमी|मैनेज|संतुलन का खेल
🤹‍♀️;करतब दिखाती महिला;कई काम एक साथ|करतब दिखाने|महिला
🧘;पद्मासन में बैठा व्यक्ति;आराम|ध्यान|पैर मोड़ कर बैठना|पैर मोड़ना|योग|योगा|समाधि
🧘‍♂️;पद्मासन में बैठा पुरुष;ध्यान|योग
🧘‍♀️;पद्मासन में बैठी महिला;ध्यान|योग
🛀;नहाता हुआ व्यक्ति;टब|बाथ|स्नान
🛌;बिस्तर में सोता व्यक्ति;खर्राटे|गुड नाइट|झपकी|थकान|नींद|नींद आ रही है|बिस्तर|रात हो गई है|सो जाओ|सोने का समय|सोया|होटल
🧑‍🤝‍🧑;हाथ पकड़े हुए लोग;कपल|दोस्त|दोस्ती|पकड़ना|युगल|लोग|व्यक्ति|हाथ|हाथ पकड़े हुए|हाथों में हाथ
👭;हाथ पकड़े दो महिलाएँ;जोड़ी|दो महिलाएं|बहनें|महिलाएं|लड़कियाँ|लोग|हाथ|हाथ पकड़ना|हाथ पकड़ी हुई दो महिलाये
👫;हाथ में हाथ लिए महिला–पुरुष;जोड़ी|प्यार में|महिला और पुरुष|युगल|लोग|हाथ पकड़ना
👬;हाथ पकड़े दो पुरुष;जोड़ी|दो पुरुष|दोस्त|पुरुष|राशि|लड़के|लोग|समलैंगिक|हाथ पकड़ना|हाथ पकड़े हुए दो पुरुष
