😀;mặt cười toe toét;cười toe toét|mặt
🫅;người đội vương miện;cao quý|hoàng gia|quân vương|vương giả
🤴;hoàng tử;cổ tích|giả tưởng|hoàng gia|vua|vương miện
👸;công chúa;cổ tích|giả tưởng|hoàng gia|hoàng hậu|vương miện
👳;người đội khăn xếp;khăn turban|khăn xếp
👳‍♂️;người đàn ông đội khăn xếp;khăn xếp|nam
👳‍♀️;người phụ nữ đội khăn xếp;khăn xếp|nữ|phụ nữ
👲;người đàn ông đội mũ Trung Quốc;đàn ông|mũ|mũ Khang Hy
🧕;người phụ nữ quàng khăn trùm đầu;hijab|khăn trùm đầu|khăn vuông|tichel
🤵;người mặc bộ vest;bộ vest|chú rể|người
🤵‍♂️;người đàn ông mặc bộ vest;bộ vest|người đàn ông
🤵‍♀️;người phụ nữ mặc bộ vest;bộ vest|người phụ nữ
👰;người đội khăn voan;cô dâu|cô dâu với khăn voan|cưới|khăn voan|mạng che mặt|người
👰‍♂️;người đàn ông đội khăn voan;khăn voan|người đàn ông
👰‍♀️;người phụ nữ đội khăn voan;khăn voan|người phụ nữ
🤰;người phụ nữ có thai;mang thai|phụ nữ|phụ nữ mang thai
🫃;người đàn ông mang bầu;bụng bầu|căng phồng|có thai|no đủ
🫄;người mang bầu;bụng bầu|căng phồng|có thai|no đủ
🤱;cho con bú;cho bú|em bé|nuôi con bằng sữa mẹ|vú
👩‍🍼;người phụ nữ cho con bú;cho bú|cho con bú|đàn ông|em bé|mẹ|người|phụ nữ|tình yêu|trẻ em|trẻ sơ sinh
👨‍🍼;người cho con bú;bố|cho bú|cho con bú|đàn ông|em bé|nam|người|người đàn ông cho con bú|tình yêu
🧑‍🍼;người cho em bé bú;bố|cho bú|cho con bú|đàn ông|em bé|mẹ|người|người cho con bú|phụ nữ|trẻ sơ sinh
👼;thiên thần nhỏ;bé con|mặt|thiên thần|truyện cổ tích|tưởng tượng
🎅;Ông già Noel;cha|claus|Giáng sinh|lễ kỷ niệm|Ông già Noen|santa
🤶;mẹ giáng sinh;bà già Noel|giáng sinh|mẹ
🧑‍🎄;bà già Noel;chúc mừng giáng sinh|giáng sinh|mũ|người|Noel|ông già noel
🦸;siêu anh hùng;anh hùng|người|người dơi|nữ anh hùng|siêu năng lực|tốt
🦸‍♂️;nam siêu anh hùng;anh hùng|nam giới|siêu năng lực|tốt
🦸‍♀️;nữ siêu anh hùng;anh hùng|nữ anh hùng|phụ nữ|siêu năng lực|tốt
🦹;nhân vật siêu phản diện;ác|độc ác|người|nhân vật phản diện|siêu năng lực|tội phạm|xấu xa
🦹‍♂️;nam siêu phản diện;ác|nam giới|nhân vật phản diện|siêu năng lực|tội phạm
🦹‍♀️;nữ siêu phản diện;ác|nhân vật phản diện|phụ nữ|siêu năng lực|tội phạm
🧙;pháp sư;bà cốt|đạo sĩ|đồng cốt|kỳ ảo|phép thuật|phù thủy|thần chú|thầy phù thuỷ|triệu hồi
🧙‍♂️;pháp sư nam;pháp sư|phù thủy
🧙‍♀️;pháp sư nữ;bà cốt|phù thủy
🧚;tiên;cánh tiên|kỳ ảo|Oberon|Puck|thần thoại|thần tiên|Titania
🧚‍♂️;ông tiên;Oberon|Puck
🧚‍♀️;bà tiên;Titania
🧛;ma cà rồng;bất tử|đáng sợ|Dracula|halloween|hóa trang|máu|răng nanh|siêu nhiên|xác sống
🧛‍♂️;ma cà rồng nam;Dracula|xác sống
🧛‍♀️;ma cà rồng nữ;xác sống
🧜;người cá;chàng tiên cá|công chúa cá|đinh ba|nàng tiên cá|sinh vật biển|thần thoại|truyện cổ tích
🧜‍♂️;chàng tiên cá;thần nửa người nửa cá
🧜‍♀️;nàng tiên cá;công chúa cá
🧝;yêu ma;cổ tích|kỳ ảo|phép thuật|thần bí|tộc tiên|yêu tinh
🧝‍♂️;nam quỷ;phép thuật
🧝‍♀️;nữ quỷ;phép thuật
🧞;thần;chà đèn thần|đèn thần|điều ước|huyền bí|kỳ ảo|ma thần|thần đèn
🧞‍♂️;nam thần;ma thần
🧞‍♀️;nữ thần;ma thần
🧟;xác chết sống lại;halloween|kinh dị|tận thế|xác sống|zombie
🧟‍♂️;xác chết nam sống lại;xác chết sống lại|xác sống
🧟‍♀️;xác chết nữ sống lại;xác chết sống lại|xác sống
🧌;người khổng lồ độc ác;giả tưởng|quái vật|truyện cổ tích
🫈;sinh vật nhiều lông;chân to|khổng lồ|người rừng|người tuyết|nhiều lông|rừng|sinh vật bí ẩn|yeti
💆;người được xoa bóp mặt;đau đầu|mặt|mát xa|thẩm mĩ viện|thư giãn|trị liệu|xoa bóp
💆‍♂️;người đàn ông được xoa bóp mặt;mặt|nam|người đàn ông|xoa bóp
💆‍♀️;người phụ nữ được xoa bóp mặt;mặt|nữ|phụ nữ|xoa bóp
💇;người được cắt tóc;cắt tóc|làm đẹp|phong cách|salon|thợ cắt tóc|tỉa tóc|tiệm|tiệm cắt tóc|vẻ đẹp
💇‍♂️;người đàn ông được cắt tóc;cắt tóc|nam
💇‍♀️;người phụ nữ được cắt tóc;cắt tóc|nữ
🚶;người đi bộ;dáng đi|đang đi bộ|đi bộ|đi bộ leo núi|đi lang thang|đi thong dong|tản bộ
🚶‍♂️;người đàn ông đi bộ;đi bộ|đi bộ đường dài|người đàn ông
🚶‍♀️;người phụ nữ đi bộ;đi bộ|đi bộ đường dài|nữ
🚶‍➡️;người đi bộ: hướng sang phải;dáng đi|đang đi bộ|đi bộ|đi bộ leo núi|đi lang thang|đi thong dong|hướng|người đi bộ|phải|sang|tản bộ
🚶‍♀️‍➡️;người phụ nữ đi bộ: hướng sang phải;đi bộ|đi bộ đường dài|hướng|người phụ nữ đi bộ|nữ|phải|sang
🚶‍♂️‍➡️;người đàn ông đi bộ: hướng sang phải;đi bộ|đi bộ đường dài|hướng|người đàn ông|người đàn ông đi bộ|phải|sang
🧍;người đứng;đang đứng|đứng
🧍‍♂️;người đàn ông đứng;đứng|người đàn ông
🧍‍♀️;người phụ nữ đứng;đứng|người phụ nữ
🧎;người quỳ;đang quỳ|quỳ|quỳ gối
🧎‍♂️;người đàn ông quỳ;người đàn ông|quỳ
🧎‍♀️;người phụ nữ quỳ;người phụ nữ|quỳ
🧎‍➡️;người quỳ: hướng sang phải;đang quỳ|hướng|người quỳ|phải|quỳ|quỳ gối|sang
🧎‍♀️‍➡️;người phụ nữ quỳ: hướng sang phải;hướng|người phụ nữ|người phụ nữ quỳ|phải|quỳ|sang
🧎‍♂️‍➡️;người đàn ông quỳ: hướng sang phải;hướng|người đàn ông|người đàn ông quỳ|phải|quỳ|sang
🧑‍🦯;người với gậy dò đường;khả năng tiếp cận|mù
🧑‍🦯‍➡️;người với gậy dò đường: hướng sang phải;hướng|khả năng tiếp cận|mù|người với gậy dò đường|phải|sang
👨‍🦯;người đàn ông với gậy dò đường;hỗ trợ tiếp cận|khiếm thị|mù|người đàn ông|người đàn ông với cây gậy
👨‍🦯‍➡️;người đàn ông với gậy dò đường: hướng sang phải;hỗ trợ tiếp cận|hướng|khiếm thị|mù|người đàn ông|người đàn ông với cây gậy|người đàn ông với gậy dò đường|phải|sang
👩‍🦯;người phụ nữ với gậy dò đường;hỗ trợ tiếp cận|khiếm thị|mù|người phụ nữ|người phụ nữ với cây gậy
👩‍🦯‍➡️;người phụ nữ với gậy dò đường: hướng sang phải;hỗ trợ tiếp cận|hướng|khiếm thị|mù|người phụ nữ|người phụ nữ với cây gậy|người phụ nữ với gậy dò đường|phải|sang
🧑‍🦼;người trên xe lăn điện;khả năng tiếp cận|xe lăn
🧑‍🦼‍➡️;người trên xe lăn điện: hướng sang phải;hướng|khả năng tiếp cận|người trên xe lăn điện|phải|sang|xe lăn
👨‍🦼;người đàn ông trên xe lăn điện;hỗ trợ tiếp cận|người đàn ông|xe lăn
👨‍🦼‍➡️;người đàn ông trên xe lăn điện: hướng sang phải;hỗ trợ tiếp cận|hướng|người đàn ông|người đàn ông trên xe lăn điện|phải|sang|xe lăn
👩‍🦼;người phụ nữ trên xe lăn điện;hỗ trợ tiếp cận|người phụ nữ|xe lăn
👩‍🦼‍➡️;người phụ nữ trên xe lăn điện: hướng sang phải;hỗ trợ tiếp cận|hướng|người phụ nữ|người phụ nữ trên xe lăn điện|phải|sang|xe lăn
🧑‍🦽;người trên xe lăn tay;khả năng tiếp cận|xe lăn
🧑‍🦽‍➡️;người trên xe lăn tay: hướng sang phải;hướng|khả năng tiếp cận|người trên xe lăn tay|phải|sang|xe lăn
👨‍🦽;người đàn ông trên xe lăn tay;hỗ trợ tiếp cận|người đàn ông|xe lăn
👨‍🦽‍➡️;người đàn ông trên xe lăn tay: hướng sang phải;hỗ trợ tiếp cận|hướng|người đàn ông|người đàn ông trên xe lăn tay|phải|sang|xe lăn
👩‍🦽;người phụ nữ trên xe lăn tay;hỗ trợ tiếp cận|người phụ nữ|xe lăn
👩‍🦽‍➡️;người phụ nữ trên xe lăn tay: hướng sang phải;hỗ trợ tiếp cận|hướng|người phụ nữ|người phụ nữ trên xe lăn tay|phải|sang|xe lăn
🏃;người chạy;chạy bộ|chạy đua maratông|chạy nhanh|đang đến|tốc độ|vội vã
🏃‍♂️;người đàn ông đang chạy;chạy|chạy đua|chạy đua maratông|nam
🏃‍♀️;người phụ nữ đang chạy;chạy|chạy đua|chạy đua maratông|nữ
🏃‍➡️;người chạy: hướng sang phải;chạy bộ|chạy đua maratông|chạy nhanh|đang đến|hướng|người chạy|phải|sang|tốc độ|vội vã
🏃‍♀️‍➡️;người phụ nữ đang chạy: hướng sang phải;chạy|chạy đua|chạy đua maratông|hướng|người phụ nữ đang chạy|nữ|phải|sang
🏃‍♂️‍➡️;người đàn ông đang chạy: hướng sang phải;chạy|chạy đua|chạy đua maratông|hướng|nam|người đàn ông đang chạy|phải|sang
🧑‍🩰;vũ công ba lê;ba lê|vũ công
💃;người phụ nữ đang khiêu vũ;khiêu vũ|nhảy|phụ nữ
🕺;người đàn ông đang khiêu vũ;khiêu vũ|người đàn ông
🕴️;người đàn ông mặc vest đang bay lên;bộ đồ|đàn ông|kinh doanh
👯;những người đeo tai thỏ;bản sao|bạn tâm giao|bạn thân|bộ đôi|phụ nữ đeo tai thỏ|sinh đôi|tai thỏ|tiệc tùng|vũ công
👯‍♂️;những người đàn ông đeo tai thỏ;đàn ông|tai thỏ|tiệc tùng|vũ công
👯‍♀️;những người phụ nữ đeo tai thỏ;phụ nữ|tai thỏ|tiệc tùng|vũ công
🧖;người ở trong phòng xông hơi;mát xa|người phụ nữ trong phòng xông hơi|nhà tắm hơi|phòng xông hơi|sang chảnh|spa|thư giãn
🧖‍♂️;người đàn ông ở trong phòng xông hơi;nhà tắm hơi|phòng xông hơi
🧖‍♀️;người phụ nữ ở trong phòng xông hơi;nhà tắm hơi|phòng xông hơi
🧗;người đang leo núi;leo núi|leo trèo|người leo trèo|người phụ nữ leo núi|nhà leo núi|núi
🧗‍♂️;người đàn ông đang leo núi;người leo trèo
🧗‍♀️;người phụ nữ đang leo núi;người leo trèo
🤺;người đấu kiếm;đấu kiếm|kiếm|người đánh kiếm
🏇;đua ngựa;cuộc đua|ngựa|ngựa đua|người cưỡi ngựa đua
⛷️;người trượt tuyết;trượt tuyết|tuyết
🏂;người trượt ván tuyết;trượt tuyết|tuyết|ván trượt tuyết
🏌️;người chơi gôn;bóng golf|gạt bóng|golf|gôn|người chơi golf|PGA|quả bóng|sân tập gôn
🏌️‍♂️;người đàn ông chơi gôn;đàn ông|gôn
🏌️‍♀️;người phụ nữ chơi gôn;gôn|phụ nữ
🏄;người lướt sóng;bãi biển|biển|lướt sóng|sóng|thể thao|vận động viên lướt sóng
🏄‍♂️;người đàn ông lướt sóng;lướt sóng|người đàn ông
🏄‍♀️;người phụ nữ lướt sóng;lướt sóng|phụ nữ
🚣;người chèo thuyền;bè|câu cá|hồ|sông|thuyền|thuyền có mái chèo|xuồng
🚣‍♂️;người đàn ông chèo thuyền;người đàn ông|thuyền|thuyền có mái chèo
🚣‍♀️;người phụ nữ chèo thuyền;phụ nữ|thuyền|thuyền có mái chèo
🏊;người bơi;ba môn phối hợp|bơi|bơi tự do|người đàn ông bơi lội|thể thao|vận động viên bơi lội
🏊‍♂️;người đàn ông đang bơi;bơi|người đàn ông
🏊‍♀️;người phụ nữ đang bơi;bơi|phụ nữ|thể thao
⛹️;người chơi bóng;bóng rổ|cầu thủ bóng rổ|ném sọt rổ|nhồi bóng|quả bóng|vận động viên|vô địch
⛹️‍♂️;người đàn ông chơi bóng;bóng|đàn ông
⛹️‍♀️;người phụ nữ chơi bóng;bóng|phụ nữ
🏋️;người cử tạ;cử tạ|nâng tạ|người nâng|tập luyện|tập thể dục|thanh tạ|thể hình|trọng lượng|vận động viên cử tạ
🏋️‍♂️;người đàn ông cử tạ;người cử tạ|người đàn ông
🏋️‍♀️;người phụ nữ cử tạ;người cử tạ|phụ nữ
🚴;người đi xe đạp;đạp xe|người đạp xe|thể thao|vận động viên đua xe đạp|xe đạp
🚴‍♂️;người đàn ông đi xe đạp;đạp xe|người đàn ông|người đạp xe|xe đạp
🚴‍♀️;người phụ nữ đi xe đạp;đạp xe|người đạp xe|phụ nữ|xe đạp
🚵;người đi xe đạp leo núi;người đạp xe|người đi xe đạp|núi|thể thao|vận động viên|vận động viên đua xe đạp|xe đạp
🚵‍♂️;người đàn ông đi xe đạp leo núi;đàn ông|người đi xe đạp|người đi xe đạp leo núi|núi|xe đạp
🚵‍♀️;người phụ nữ đi xe đạp leo núi;đạp xe|người đi xe đạp|núi|phụ nữ|xe đạp
🤸;người nhào lộn;hào hứng|lăng nghiêng|nhào lộn|thể dục|thể dục dụng cụ|vui vẻ
🤸‍♂️;người đàn ông nhào lộn;hào hứng|lăng nghiêng|người đàn ông|nhào lộn|thể dục|thể dục dụng cụ|vui vẻ
🤸‍♀️;người phụ nữ nhào lộn;hào hứng|lăng nghiêng|nhào lộn|phụ nữ|thể dục|thể dục dụng cụ|vui vẻ
🤼;người chơi vật;đấu vật|đô vật|giải đấu vật|trên võ đài|vật
🤼‍♂️;những người đàn ông chơi vật;đàn ông|đấu vật|đô vật|nam đô vật|trên võ đài|vật
🤼‍♀️;những người phụ nữ chơi vật;đấu vật|đô vật|nữ đô vật|phụ nữ|trên võ đài|vật
🤽;người chơi bóng nước;bơi lội|bóng|người chơi bóng dưới nước|nước|thể thao dưới nước
🤽‍♂️;người đàn ông chơi bóng nước;bơi|đàn ông|thể thao dưới nước|thủy cầu
🤽‍♀️;người phụ nữ chơi bóng nước;bơi|phụ nữ|thể thao dưới nước|thủy cầu
🤾;người chơi bóng ném;bắt bóng|bóng|bóng ném|lốp bóng|ném bóng|phát bóng|thể thao|vận động viên|vận động viên bóng ném
🤾‍♂️;người đàn ông chơi bóng ném;bóng ném|đàn ông
🤾‍♀️;người phụ nữ chơi bóng ném;bắt bóng|bóng ném|lốp bóng|ném bóng|phát bóng|phụ nữ|thể thao|vận động viên
🤹;người tung hứng;cân bằng|đa năng|đa nhiệm|giữ thăng bằng|kỹ năng|người đàn ông tung hứng|tung hứng
🤹‍♂️;người đàn ông tung hứng;đa năng|đa nhiệm|đàn ông|giữ thăng bằng|tung hứng
🤹‍♀️;người phụ nữ tung hứng;đa nhiệm|phụ nữ|tung hứng
🧘;người ngồi kiết già;an lạc|bắt chéo chân|người ở tư thế hoa sen|thanh bình|thiền|thư giãn|yoga|yogi
🧘‍♂️;người đàn ông ngồi kiết già;thiền|yoga
🧘‍♀️;người phụ nữ ngồi kiết già;thiền|yoga
🛀;người đang tắm bồn;bồn tắm|tắm
🛌;người trên giường;chợp mắt|khách sạn|mệt mỏi|ngủ|ngủ ngoan nhé|say giấc
🧑‍🤝‍🧑;hai người nắm tay;cặp đôi|giữ|nắm tay|người|người nắm tay|tay
👭;hai người phụ nữ nắm tay;bạn tốt nhất|cặp đôi|cặp đôi đồng tính nữ|phụ nữ|tay
👫;người đàn ông và phụ nữ nắm tay;cầm|cặp đôi|đàn ông|nắm tay|phụ nữ|tay
👬;hai người đàn ông nắm tay;cặp đôi|cặp đôi đồng tính nam|cặp song sinh|hai người đàn ông nắm tay nhau|hoàng đạo|người đàn ông|song tử
💏;nụ hôn;cặp đôi|hẹn hò|yêu
👩‍❤️‍💋‍👨;nụ hôn: phụ nữ, đàn ông;cặp đôi|đàn ông|hẹn hò|nụ hôn|phụ nữ|yêu
👨‍❤️‍💋‍👨;nụ hôn: đàn ông, đàn ông;cặp đôi|đàn ông|hẹn hò|nụ hôn|yêu
👩‍❤️‍💋‍👩;nụ hôn: phụ nữ, phụ nữ;cặp đôi|hẹn hò|nụ hôn|phụ nữ|yêu
💑;cặp đôi với trái tim;cặp đôi|yêu
👩‍❤️‍👨;cặp đôi với trái tim: phụ nữ, đàn ông;cặp đôi|cặp đôi với trái tim|đàn ông|phụ nữ|yêu
👨‍❤️‍👨;cặp đôi với trái tim: đàn ông, đàn ông;cặp đôi|cặp đôi với trái tim|đàn ông|yêu
👩‍❤️‍👩;cặp đôi với trái tim: phụ nữ, phụ nữ;cặp đôi|cặp đôi với trái tim|phụ nữ|yêu
👨‍👩‍👦;gia đình: đàn ông, phụ nữ, con trai;con trai|đàn ông|gia đình|phụ nữ|trẻ em
👨‍👩‍👧;gia đình: đàn ông, phụ nữ, con gái;con gái|đàn ông|gia đình|phụ nữ|trẻ em
👨‍👩‍👧‍👦;gia đình: đàn ông, phụ nữ, con gái, con trai;con gái|con trai|đàn ông|gia đình|phụ nữ|trẻ em
👨‍👩‍👦‍👦;gia đình: đàn ông, phụ nữ, con trai, con trai;con trai|đàn ông|gia đình|phụ nữ|trẻ em
👨‍👩‍👧‍👧;gia đình: đàn ông, phụ nữ, con gái, con gái;con gái|đàn ông|gia đình|phụ nữ|trẻ em
👨‍👨‍👦;gia đình: đàn ông, đàn ông, con trai;con trai|đàn ông|gia đình|trẻ em
👨‍👨‍👧;gia đình: đàn ông, đàn ông, con gái;con gái|đàn ông|gia đình|trẻ em
👨‍👨‍👧‍👦;gia đình: đàn ông, đàn ông, con gái, con trai;con gái|con trai|đàn ông|gia đình|trẻ em
👨‍👨‍👦‍👦;gia đình: đàn ông, đàn ông, con trai, con trai;con trai|đàn ông|gia đình|trẻ em
👨‍👨‍👧‍👧;gia đình: đàn ông, đàn ông, con gái, con gái;con gái|đàn ông|gia đình|trẻ em
👩‍👩‍👦;gia đình: phụ nữ, phụ nữ, con trai;con trai|gia đình|phụ nữ|trẻ em
👩‍👩‍👧;gia đình: phụ nữ, phụ nữ, con gái;con gái|gia đình|phụ nữ|trẻ em
👩‍👩‍👧‍👦;gia đình: phụ nữ, phụ nữ, con gái, con trai;con gái|con trai|gia đình|phụ nữ|trẻ em
👩‍👩‍👦‍👦;gia đình: phụ nữ, phụ nữ, con trai, con trai;con trai|gia đình|phụ nữ|trẻ em
👩‍👩‍👧‍👧;gia đình: phụ nữ, phụ nữ, con gái, con gái;con gái|gia đình|phụ nữ|trẻ em
👨‍👦;gia đình: đàn ông, con trai;con trai|đàn ông|gia đình|trẻ em
👨‍👦‍👦;gia đình: đàn ông, con trai, con trai;con trai|đàn ông|gia đình|trẻ em
👨‍👧;gia đình: đàn ông, con gái;con gái|đàn ông|gia đình|trẻ em
👨‍👧‍👦;gia đình: đàn ông, con gái, con trai;con gái|con trai|đàn ông|gia đình|trẻ em
👨‍👧‍👧;gia đình: đàn ông, con gái, con gái;con gái|đàn ông|gia đình|trẻ em
👩‍👦;gia đình: phụ nữ, con trai;con trai|gia đình|phụ nữ|trẻ em
👩‍👦‍👦;gia đình: phụ nữ, con trai, con trai;con trai|gia đình|phụ nữ|trẻ em
👩‍👧;gia đình: phụ nữ, con gái;con gái|gia đình|phụ nữ|trẻ em
👩‍👧‍👦;gia đình: phụ nữ, con gái, con trai;con gái|con trai|gia đình|phụ nữ|trẻ em
👩‍👧‍👧;gia đình: phụ nữ, con gái, con gái;con gái|gia đình|phụ nữ|trẻ em
🗣️;đầu người đang nói;cái đầu|đang nói|hình bóng|khuôn mặt|nói
👤;bóng tượng bán thân;bóng|tượng bán thân
👥;các bóng tượng bán thân;bóng|tượng bán thân
🫂;hai người ôm nhau;cảm ơn|ôm|tạm biệt|tình bạn|tình yêu|xin chào
👪;gia đình;trẻ em
🧑‍🧑‍🧒;gia đình: người lớn, người lớn, trẻ em;gia đình: người lớn|người lớn|trẻ em
🧑‍🧑‍🧒‍🧒;gia đình: người lớn, người lớn, trẻ em, trẻ em;gia đình: người lớn|người lớn|trẻ em
🧑‍🧒;gia đình: người lớn, trẻ em;gia đình: người lớn|trẻ em
🧑‍🧒‍🧒;gia đình: người lớn, trẻ em, trẻ em;gia đình: người lớn|trẻ em
👣;dấu chân;các dấu chân|chân trần|in dấu|quần áo
🫆;dấu vân tay;danh tính|pháp y|sự an toàn
🐵;mặt khỉ;động vật|khỉ|khuôn mặt|quả chuối
🐒;khỉ;chuối|con khỉ|động vật|quả chuối
🦍;khỉ đột;động vật
🦧;đười ươi;động vật|vượn người
🐶;mặt cún;cún|động vật|mặt|thú cưng
🐕;chó;thú cưng
🦮;chó dẫn đường;dẫn đường|hỗ trợ|hỗ trợ tiếp cận|khiếm thị|mù
🐕‍🦺;chó hỗ trợ;chó|dịch vụ|hỗ trợ|hỗ trợ tiếp cận|trợ giúp
🐩;chó xù;cún|động vật
🐺;chó sói;mặt|mặt chó sói
🦊;cáo;động vật|mặt
🦝;gấu trúc;động vật|tinh nghịch|tò mò
🐱;mặt mèo;động vật|mặt|mèo|thú cưng
🐈;mèo;động vật|thú cưng
🐈‍⬛;mèo đen;đen|động vật|meo|mèo|vận đen
🦁;sư tử;cung hoàng đạo|cung sư tử|mặt|mặt sư tử
🐯;mặt hổ;dã thú|động vật|hổ|mặt
🐅;hổ;dã thú|động vật|sở thú
🐆;báo hoa mai;con báo|động vật|động vật ăn thịt
🐴;mặt ngựa;mặt|ngựa
🫎;nai sừng tấm Bắc Mỹ;động vật|động vật có vú|gạc|nai sừng tấm|nai sừng xám
🫏;con lừa;bướng bỉnh|con la|động vật|động vật có vú|lừa thồ
🐎;ngựa;cưỡi ngựa|đua
🦄;kỳ lân;mặt|mặt kỳ lân
🦓;ngựa vằn;sọc
🦌;hươu;động vật
🦬;bò rừng;đàn|động vật|trâu
🐮;mặt bò;bò|bò cái|động vật|mặt|sữa|trang trại
🐂;bò đực;bò mộng|cung hoàng đạo|cung kim ngưu
🐃;trâu nước;động vật|nước|vườn thú
🐄;bò cái;bò sữa|động vật|sữa|trang trại
🐷;mặt lợn;động vật|lợn|thịt lợn|thịt xông khói|trang trại
🐖;lợn;động vật|lợn nái|thịt lợn|thịt xông khói|trang trại
🐗;lợn rừng;động vật|lợn
🐽;mũi lợn;động vật|lợn|mặt|mõm lợn|mũi|ngửi|trang trại
🐏;cừu đực;cung bạch dương|cung hoàng đạo|cừu
🐑;cừu cái;bồng bềnh|cái|cừu|cừu non|động vật|lông cừu|nông trại
🐐;dê;cung hoàng đạo|cung ma kết|động vật|nông trại|sữa
🐪;lạc đà;cái bướu|con lạc đà|động vật|sa mạc
🐫;lạc đà hai bướu;cái bướu|con lạc đà|động vật|lạc đà bactrian|sa mạc
🦙;lạc đà không bướu;động vật|lạc đà alpaca|lạc đà guanaco|lạc đà vicuña|len
🦒;hươu cao cổ;đốm
🐘;voi;động vật
🦣;voi ma mút;có lông|động vật|lớn|ngà|tuyệt chủng
🦏;tê giác;động vật
🦛;hà mã;động vật
🐭;mặt chuột;chuột|động vật|mặt
🐁;chuột;động vật
🐀;chuột cống;động vật
🐹;mặt hamster;chuột hamster|mặt|thú cưng
🐰;mặt thỏ;con thỏ|động vật|mặt|thỏ|thú cưng
🐇;thỏ;con thỏ|động vật|thú cưng
🐿️;sóc chuột;con sóc
🦫;hải ly;động vật|răng|xây đập
🦔;nhím;có gai
🦇;dơi;động vật|ma cà rồng
🐻;gấu;động vật|gầm|gấu xám|mặt|mật ong
🐻‍❄️;Gấu trắng Bắc Cực;bắc cực|động vật|gấu|gấu bắc cực|trắng
🐨;gấu túi;con gấu|động vật|koala|úc
🐼;mặt gấu trúc;gấu trúc|mặt
🦥;con lười;chậm|đủng đỉnh|lười
🦦;rái cá;bắt cá|nghịch ngợm
🦨;chồn hôi Mỹ;động vật|mùi hôi
🦘;chuột túi;Australia|chuột túi con|nhảy|thú có túi
🦡;con lửng;động vật|lửng mật|quấy rầy
🐾;dấu chân móng vuốt;bàn chân|chân|dấu
🦃;gà tây;chim|tạ ơn
🐔;gà;chim|động vật
🐓;gà trống;chim|động vật
🐣;gà mới nở;ấp|gà|gà con
🐤;gà con;chim|gà
🐥;mặt trước gà con;chim|gà|gà con
🐦;chim;động vật
🐧;chim cánh cụt;chim|động vật|nam cực
🕊️;bồ câu;bay|chim|hòa bình
🦅;đại bàng;chim
🦆;vịt;chim|động vật
🦢;thiên nga;chim|thiên nga non|vịt con xấu xí
🦉;cú;chim|động vật|khôn ngoan
🦤;chim cưu;động vật|gà|gà dodo|lớn|Mauritius|tuyệt chủng
🪶;lông chim;bộ lông|chim|chuyến bay|nhẹ
🦩;hồng hạc;nhiệt đới|rực rỡ
🦚;con công;chim|công mái|phô trương|tự hào
🦜;con vẹt;chim|cướp biển|nói chuyện|vẹt
🪽;cánh;bay|bay lên|chim|hàng không|thần thoại|thiên đường|thiên thần
🐦‍⬛;chim hoét đen;chim|con quạ|động vật|họ quạ|loài quạ|màu đen|mỏ|quạ
🪿;con ngỗng;cầm điểu|chim|con gà|con vịt|đàn|đàn ngỗng|động vật|kêu|khờ dại|ngây ngô
🐦‍🔥;phượng hoàng;bất tử|chim lửa|chim phượng hoàng|đầu thai|dục hỏa trùng sinh|tái sinh|thăng thiên|tưởng tượng|vinh quang
🐸;ếch;mặt
🐊;cá sấu;động vật|sở thú
🐢;rùa;con rùa|động vật|rùa nước ngọt
🦎;thằn lằn;bò sát|động vật
🐍;rắn;chòm sao xà phu|cung hoàng đạo|động vật|vật mang
🐲;mặt rồng;khuôn mặt|rồng|truyện cổ tích
🐉;rồng;động vật|hiệp sĩ|truyện cổ tích
🦕;khủng long chân thằn lằn;khủng long to ăn cây cối|thằn lằn hai óc|uyển long
🦖;khủng long bạo chúa;khủng long
🐳;cá voi đang phun nước;bãi biển|cá voi|đại dương|động vật|khuôn mặt|phun nước
🐋;cá voi;bờ biển|đại dương|động vật
🐬;cá heo;bãi biển|chân chèo|đại dương|động vật
🫍;cá voi sát thủ;biển|cá voi|đại dương
🦭;chó biển;đại dương|động vật|hải cẩu|sư tử biển
🐟;cá;cung hoàng đạo|cung song ngư
🐠;cá nhiệt đới;cá|động vật|nhiệt đới
🐡;cá nóc;cá|cá bơn|động vật
🦈;cá mập;cá|động vật
🐙;bạch tuộc;đại dương|động vật|sinh vật
🐚;vỏ xoắn ốc;bãi biển|động vật|vỏ|xoắn ốc
🪸;san hô;đại dương|rặng
🪼;sứa;biển|bỏng|chích|động vật|không xương sống|ối|sinh vật biển|sinh vật phù du|thủy sinh|xúc tu
🦀;cua;cung cự giải|cung hoàng đạo
🦞;tôm hùm;càng|động vật|hải sản|xúp tôm cua
🦐;tôm;nhỏ|thức ăn|tôm cua
🦑;mực ống;động vật|thân mềm|thức ăn
🦪;hàu;lặn|ngọc trai
🐌;ốc sên;động vật|thiên nhiên|vườn
🦋;bướm;côn trùng|đẹp
🐛;con bọ;bọ|côn trùng|động vật|vườn
🐜;kiến;côn trùng|động vật|vườn
🐝;ong mật;con ong|côn trùng|động vật|mùa xuân
🪲;bọ cánh cứng;bọ|côn trùng|động vật
🐞;bọ rùa;bọ cánh cứng|con bọ rùa|côn trùng|thiên nhiên
🦗;dế;bọ|bộ cánh thẳng|châu chấu|côn trùng|động vật
🪳;con gián;côn trùng|động vật
🕷️;nhện;côn trùng
