😀;cara sonriendo;cara|divertido|feliz|sonrisa
🏃‍♀️‍➡️;mujer corriendo: hacia la derecha;carrera|correr|derecha|hacia|la|maratón|mujer|mujer corriendo
🏃‍♂️‍➡️;hombre corriendo: hacia la derecha;carrera|correr|derecha|hacia|hombre|hombre corriendo|la|maratón
🧑‍🩰;bailarina de ballet;bailarín|bailarina|ballet
💃;mujer bailando;bailar|mujer
🕺;hombre bailando;bailar|hombre
🕴️;persona trajeada levitando;levitar|negocios|persona|traje
👯;personas con orejas de conejo;bailar|fiesta|orejas de conejo|personas
👯‍♂️;hombres con orejas de conejo;bailar|fiesta|hombre|orejas de conejo
👯‍♀️;mujeres con orejas de conejo;bailar|fiesta|mujer|orejas de conejo
🧖;persona en una sauna;sauna|vapor
🧖‍♂️;hombre en una sauna;sauna|vapor
🧖‍♀️;mujer en una sauna;sauna|vapor
🧗;persona escalando;alpinista|escalador
🧗‍♂️;hombre escalando;alpinista|escalador
🧗‍♀️;mujer escalando;alpinista|escaladora
🤺;persona haciendo esgrima;esgrima|esgrimista|espada
🏇;carrera de caballos;caballo|caballo de carreras|carreras|jinete
⛷️;persona esquiando;esquí|esquiador|nieve
🏂;practicante de snowboard;nieve|snowboard
🏌️;persona jugando al golf;golf|golfista|pelota
🏌️‍♂️;hombre jugando al golf;golf|hombre|jugador
🏌️‍♀️;mujer jugando al golf;golf|jugadora|mujer
🏄;persona haciendo surf;surf|surfear
🏄‍♂️;hombre haciendo surf;hombre|surf|surfero|surfista
🏄‍♀️;mujer haciendo surf;mujer|surf|surfera|surfista
🚣;persona remando en un bote;barca|bote|remo
🚣‍♂️;hombre remando en un bote;barca|bote|hombre|remo
🚣‍♀️;mujer remando en un bote;barca|bote|mujer|remo
🏊;persona nadando;nadar|natación
🏊‍♂️;hombre nadando;hombre|nadar
🏊‍♀️;mujer nadando;mujer|nadar
⛹️;persona botando un balón;balón|botar|pelota
⛹️‍♂️;hombre botando un balón;balón|botar|hombre|pelota
⛹️‍♀️;mujer botando un balón;balón|botar|mujer|pelota
🏋️;persona levantando pesas;halterofilia|levantador|pesas|peso
🏋️‍♂️;hombre levantando pesas;halterofilia|hombre|levantador de pesas|pesas
🏋️‍♀️;mujer levantando pesas;halterofilia|levantadora de pesas|mujer|pesas
🚴;persona en bicicleta;bicicleta|ciclismo|ciclista
🚴‍♂️;hombre en bicicleta;bicicleta|ciclismo|ciclista|hombre
🚴‍♀️;mujer en bicicleta;bicicleta|ciclismo|ciclista|mujer
🚵;persona en bicicleta de montaña;bicicleta|ciclista|montaña|mountain bike
🚵‍♂️;hombre en bicicleta de montaña;bicicleta|ciclista|montaña|mountain bike
🚵‍♀️;mujer en bicicleta de montaña;bicicleta|ciclista|montaña|mountain bike
🤸;persona haciendo voltereta lateral;acrobacia|gimnasia|pirueta|rueda|voltereta
🤸‍♂️;hombre dando una voltereta lateral;deporte|gimnasia|hombre|rueda|voltereta
🤸‍♀️;mujer dando una voltereta lateral;deporte|gimnasia|mujer|rueda|voltereta
🤼;personas luchando;lucha|luchador
🤼‍♂️;hombres luchando;deporte|hombre|lucha|luchador
🤼‍♀️;mujeres luchando;deporte|lucha|luchadora|mujer
🤽;persona jugando al waterpolo;waterpolista|waterpolo
🤽‍♂️;hombre jugando al waterpolo;agua|deporte|waterpolista|waterpolo
🤽‍♀️;mujer jugando al waterpolo;agua|deporte|waterpolista|waterpolo
🤾;persona jugando al balonmano;balonmanista|balonmano
🤾‍♂️;hombre jugando al balonmano;balonmanista|balonmano|deporte|hombre
🤾‍♀️;mujer jugando al balonmano;balonmanista|balonmano|deporte|mujer
🤹;persona haciendo malabares;equilibrio|malabares|malabarismo|malabarista
🤹‍♂️;hombre haciendo malabares;hombre|malabares|malabarismo|malabarista
🤹‍♀️;mujer haciendo malabares;malabares|malabarismo|malabarista|mujer
🧘;persona en posición de loto;meditación|yoga
🧘‍♂️;hombre en posición de loto;meditación|yoga
🧘‍♀️;mujer en posición de loto;meditación|yoga
🛀;persona en la bañera;bañera|baño|persona
🛌;persona en la cama;dormir|hotel
🧑‍🤝‍🧑;dos personas de la mano;mano|pareja|persona
👭;mujeres de la mano;lesbianas|mujeres|novias|pareja
👫;mujer y hombre de la mano;hombre|hombre y mujer de la mano|mujer|novios|pareja
👬;hombres de la mano;gays|hombres|novios|pareja
💏;beso;personas|romance
👩‍❤️‍💋‍👨;beso: mujer y hombre;beso|hombre|mujer|personas|romance
👨‍❤️‍💋‍👨;beso: hombre y hombre;beso|hombre|personas|romance
👩‍❤️‍💋‍👩;beso: mujer y mujer;beso|mujer|personas|romance
💑;pareja enamorada;amor|pareja|personas enamoradas
👩‍❤️‍👨;pareja enamorada: mujer y hombre;amor|hombre|mujer|pareja|pareja enamorada|personas enamoradas
👨‍❤️‍👨;pareja enamorada: hombre y hombre;amor|hombre|pareja|pareja enamorada|personas enamoradas
👩‍❤️‍👩;pareja enamorada: mujer y mujer;amor|mujer|pareja|pareja enamorada|personas enamoradas
👨‍👩‍👦;familia: hombre, mujer, niño;familia|hombre|mujer|niño
👨‍👩‍👧;familia: hombre, mujer, niña;familia|hombre|mujer|niña
👨‍👩‍👧‍👦;familia: hombre, mujer, niña, niño;familia|hombre|mujer|niña|niño
👨‍👩‍👦‍👦;familia: hombre, mujer, niño, niño;familia|hombre|mujer|niño
👨‍👩‍👧‍👧;familia: hombre, mujer, niña, niña;familia|hombre|mujer|niña
👨‍👨‍👦;familia: hombre, hombre, niño;familia|hombre|niño
👨‍👨‍👧;familia: hombre, hombre, niña;familia|hombre|niña
👨‍👨‍👧‍👦;familia: hombre, hombre, niña, niño;familia|hombre|niña|niño
👨‍👨‍👦‍👦;familia: hombre, hombre, niño, niño;familia|hombre|niño
👨‍👨‍👧‍👧;familia: hombre, hombre, niña, niña;familia|hombre|niña
👩‍👩‍👦;familia: mujer, mujer, niño;familia|mujer|niño
👩‍👩‍👧;familia: mujer, mujer, niña;familia|mujer|niña
👩‍👩‍👧‍👦;familia: mujer, mujer, niña, niño;familia|mujer|niña|niño
👩‍👩‍👦‍👦;familia: mujer, mujer, niño, niño;familia|mujer|niño
👩‍👩‍👧‍👧;familia: mujer, mujer, niña, niña;familia|mujer|niña
👨‍👦;familia: hombre y niño;familia|hombre|niño
👨‍👦‍👦;familia: hombre, niño, niño;familia|hombre|niño
👨‍👧;familia: hombre y niña;familia|hombre|niña
👨‍👧‍👦;familia: hombre, niña, niño;familia|hombre|niña|niño
👨‍👧‍👧;familia: hombre, niña, niña;familia|hombre|niña
👩‍👦;familia: mujer y niño;familia|mujer|niño
👩‍👦‍👦;familia: mujer, niño, niño;familia|mujer|niño
👩‍👧;familia: mujer y niña;familia|mujer|niña
👩‍👧‍👦;familia: mujer, niña, niño;familia|mujer|niña|niño
👩‍👧‍👧;familia: mujer, niña, niña;familia|mujer|niña
🗣️;cabeza parlante;cabeza|cara|hablar|silueta
👤;silueta de busto;busto|silueta
👥;dos siluetas de bustos;bustos|siluetas
🫂;personas abrazándose;abrazo|adiós|despedida|gracias|saludo
👪;familia;
🧑‍🧑‍🧒;familia: adulto, adulto, niño;adulto|familia|niño
🧑‍🧑‍🧒‍🧒;familia: adulto, adulto, niño, niño;adulto|familia|niño
🧑‍🧒;familia: adulto, niño;adulto|familia|niño
🧑‍🧒‍🧒;familia: adulto, niño, niño;adulto|familia|niño
👣;huellas de pies;huellas|pies
🫆;huella dactilar;delito|detective|forense|huella|huella digital|identidad|misterio|rastro|seguridad
🐵;cara de mono;cara|mono
🐒;mono;macaco|simio
🦍;gorila;primate|simio
🦧;orangután;mono|primate|simio
🐶;cara de perro;cara|mascota|perro
🐕;perro;cachorro|perrete|perrito
🦮;perro guía;accesibilidad|ciego|guía|invidente|lazarillo
🐕‍🦺;perro de servicio;accesibilidad|apoyo|asistencia|perro|servicio
🐩;caniche;perrito|perro
🐺;lobo;cara
🦊;zorro;cara
🦝;mapache;astuto|curioso|ladino|maquillaje|ojeras
🐱;cara de gato;cara|gato|mascota
🐈;gato;gatete|minino
🐈‍⬛;gato negro;gato|mala suerte|negro
🦁;león;cara|leo|zodiaco
🐯;cara de tigre;cara|tigre
🐅;tigre;felino
🐆;leopardo;felino
🐴;cara de caballo;caballo|cara
🫎;alce;animal|asta|ciervo canadiense|cuernos|mamífero|uapití
🫏;burro;animal|asno|borrico|mamífero|mula|terco
🐎;caballo;caballo de carreras|carreras de caballos|ecuestre
🦄;unicornio;cara
🦓;cebra;raya
🦌;ciervo;bambi|cervatillo
🦬;bisonte;búfalo|cíbolo
🐮;cara de vaca;cara|vaca
🐂;buey;cabestro|tauro|zodiaco
🐃;búfalo de agua;agua|búfalo
🐄;vaca;bovino|res
🐷;cara de cerdo;cara|cerdo|gorrino
🐖;cerdo;cochino|gorrino|puerco
🐗;jabalí;cerdo salvaje
🐽;nariz de cerdo;cara|cerdo|morro|nariz
🐏;carnero;aries|morueco|zodiaco
🐑;oveja;borrego|cordero|ovino
🐐;cabra;capricornio|caprino|chivo|zodiaco
🐪;dromedario;camello|desierto|joroba
🐫;camello;bactriano|desierto|dromedario|jorobas
🦙;llama;alpaca|guanaco|lana|vicuña
🦒;jirafa;manchas
🐘;elefante;paquidermo
🦣;mamut;colmillo|extinguido|lanudo
🦏;rinoceronte;paquidermo
🦛;hipopótamo;paquidermo
🐭;cara de ratón;cara|ratón
🐁;ratón;roedor
🐀;rata;roedor
🐹;hámster;cara|mascota
🐰;cara de conejo;cara|conejo|mascota
🐇;conejo;conejito|gazapo
🐿️;ardilla;
🦫;castor;roedor
🦔;erizo;espinas|púas
🦇;murciélago;vampiro
🐻;oso;cara
🐻‍❄️;oso polar;ártico|blanco|oso|polar
🐨;koala;cara|marsupial
🐼;panda;cara|oso panda
🦥;perezoso;gandul|lento|vago
🦦;nutria;bromista|juguetón|pesca
🦨;mofeta;apestar|hedor|mal olor|peste|tufo
🦘;canguro;marsupial|saltar|salto
🦡;tejón;ratel|tejón de la miel|tejón melero
🐾;huellas de pezuñas;huellas|pezuñas
🦃;pavo;ave
🐔;gallina;ave|gallinácea|pollo
🐓;gallo;ave|gallina|gallinácea|pollo
🐣;pollito rompiendo el cascarón;ave|huevo|pollito|pollo
🐤;pollito;ave|pollo|polluelo
🐥;pollito de frente;ave|pollito|pollo
🐦;pájaro;ave|pajarillo
🐧;pingüino;ave
🕊️;paloma;ave|pájaro|paz
🦅;águila;ave
🦆;pato;ave
🦢;cisne;ave|patito feo
🦉;búho;ave|lechuza|pájaro
🦤;dodo;ave|dronte|extinguido|Mauricio|pájaro
🪶;pluma;ave|ligero|pájaro|plumaje
🦩;flamenco;extravangante|ostentoso|tropical
🦚;pavo real;ave|orgulloso|pavo|plumas
🦜;loro;ave|hablar|papagayo|pirata
🪽;ala;ángel|angelical|ave|mitología|pájaro|volar
🐦‍⬛;pájaro negro;cuervo|grajo|mirlo|negro|pájaro
🪿;oca;ave|ganso|graznar|pájaro
🐦‍🔥;fénix;ave de fuego|ave fénix|fantasía|reencarnación|renacer
🐸;rana;cara
🐊;cocodrilo;caimán
🐢;tortuga;galápago
🦎;lagarto;lagartija|reptil
🐍;serpiente;culebra|reptil|víbora
🐲;cara de dragón;cara|cuento|dragón|fantasía
🐉;dragón;cuento|fantasía
🦕;saurópodo;braquiosaurio|brontosaurio|diplodocus
🦖;t-rex;tiranosaurio|tiranosaurio rex
🐳;ballena soltando un chorro;ballena|chorro de agua
🐋;ballena;cachalote|cetáceo
🐬;delfín;cetáceo
🫍;orca;ballena|mar|marino|océano
🦭;foca;león marino
🐟;pez;pececillo|pescado|piscis|zodiaco
🐠;pez tropical;pez|tropical
🐡;pez globo;globo|pez
🦈;tiburón;pez
🐙;pulpo;cefalópodo|octópodo
🐚;caracola;concha|espiral
🪸;coral;arrecife|océano
🪼;medusa;invertebrado|marino|picadura|picar
🦀;cangrejo;animal|cáncer|zodiaco
🦞;bogavante;langosta|marisco|pinzas
🦐;gamba;camarón|comida|langostino|marisco
🦑;calamar;comida|molusco
🦪;ostra;buceo|perla
🐌;caracol;caracola|molusco
🦋;mariposa;bonito|insecto
🐛;bicho;gusano|insecto
🐜;hormiga;antenas|insecto
🐝;abeja;insecto|miel
🪲;escarabajo;bicho|insecto
🐞;mariquita;cochinilla|insecto
🦗;grillo;saltamontes
🪳;cucaracha;alimaña|bicho|insecto|plaga
🕷️;araña;insecto
🕸️;tela de araña;araña|tela|telaraña
🦂;escorpión;escorpio|zodiaco
🦟;mosquito;fiebre|insecto|malaria|virus
🪰;mosca;basura|bicho|mal olor|podrido
🪱;gusano;lombriz|oruga|parásito
🦠;microbio;ameba|bacteria|germen|virus
💐;ramo de flores;bouquet|flores|ramo
🌸;flor de cerezo;cerezo|flor
💮;flor blanca;blanca|flor
🪷;loto;budismo|flor|hinduismo|pureza
🏵️;roseta;flor|planta
🌹;rosa;flor
🥀;flor marchita;flor|marchita|marchitada|marchitarse
🌺;flor de hibisco;flor|hibisco
🌻;girasol;flor|sol
🌼;flor;
🌷;tulipán;flor
🪻;campanilla;boca de dragón|flor|jacinto|lavanda|lila|lupino
🌱;planta joven;plantón
🪴;planta de maceta;crecer|maceta|planta|tiesto
🌲;árbol de hoja perenne;árbol|hoja perenne|perenne
🌳;árbol de hoja caduca;árbol|caducifolio|hoja caduca
🌴;palmera;árbol|árbol de palma
🌵;cactus;planta
🌾;espiga de arroz;arroz|espiga|planta
🌿;hierba;hoja|verde
☘️;trébol;planta
🍀;trébol de cuatro hojas;suerte|trébol
🍁;hoja de arce;arce|hoja
🍂;hojas caídas;caída|hojas
🍃;hojas revoloteando al viento;hoja|revolotear|soplar|viento
🪹;nido vacío;anidación|anidamiento|anidar
🪺;nido con huevos;anidación|anidamiento|anidar
🍄;champiñón;hongo|seta
🪾;árbol sin hojas;árbol|deshojado|estéril|invierno|madera|muerto|ramas|sequía|sin hojas|tronco
🍇;uvas;agracejo|fruta|racimo|uva
🍈;melón;fruta
🍉;sandía;fruta
🍊;mandarina;fruta|naranja
🍋;limón;cítrico|citrón|fruta
🍋‍🟩;lima;cítrico|fruta|tropical
🍌;plátano;banana|fruta
🍍;piña;ananás|fruta
🥭;mango;fruta|tropical
🍎;manzana roja;fruta|manzana|poma|roja
🍏;manzana verde;fruta|manzana|poma|verde
🍐;pera;fruta|perilla
🍑;melocotón;durazno|fruta
🍒;cerezas;cereza|fruta|guindas
🍓;fresa;fresón|fruta
🫐;arándanos;arándano|azul|baya|frutos del bosque|mirtilo
🥝;kiwi;comida|fruta
🍅;tomate;ensalada|fruta|verdura
🫒;aceituna;aperitivo|comida|oliva
🥥;coco;palmera|piña colada
🥑;aguacate;comida|fruta
🍆;berenjena;fruto|verdura
🥔;patata;comida|papa|verdura
🥕;zanahoria;comida|verdura
🌽;espiga de maíz;espiga|maíz|mazorca|mijo
🌶️;chile picante;chile|picante|planta
🫑;pimiento;ají|chile|morrón|rojo|verdura
🥒;pepino;comida|pepinillo|verdura
🥬;verdura de hoja verde;bok choy|col|kale|lechuga|pak choi
🥦;brócoli;col|repollo
🧄;ajo;condimento|vampiro
🧅;cebolla;condimento|llorar
🥜;cacahuetes;cacahuete|comida|fruto seco|verdura
🫘;alubias;comida|habichuela roja|habichuelas|judía roja|judías|legumbre
🌰;castaña;castaño|fruto seco
🫚;raíz de jengibre;cerveza|especia|garganta|raíz
🫛;vaina;edamame|guisante|judías|legumbre|soja|verdura
🍄‍🟫;champiñón marrón;comida|hongo|naturaleza|seta|vegetal
🫜;túberculo comestible;chirivía|comida|ensalada|huerto|nabo|rábano|raíz|remolacha|vegetariano|verdura
🍞;pan de molde;pan|rebanada|tostada
🥐;cruasán;bollo|comida|croissant|francés
🥖;baguete;baguette|barra|comida|francés|pan
🫓;pan sin levadura;arepa|naan|pita|tortilla
🥨;bretzel;galleta salada|pretzel
🥯;bagel;bocadillo|pan|panadería
🥞;tortitas;comida|dulce|pancakes|postre|tortita
🧇;gofre;waffle
🧀;cuña de queso;cuña|queso|trozo
🍖;carne con hueso;carne|hueso|restaurante
🍗;muslo de pollo;muslo|pollo|restaurante
🥩;corte de carne;carne|chuleta|filete
🥓;beicon;bacon|carne|comida|panceta
🍔;hamburguesa;burger
🍟;patatas fritas;papas fritas|patatas|restaurante
🍕;pizza;porción|restaurante
🌭;perrito caliente;perrito|salchicha
🥪;sándwich;bocadillo|bocata|emparedado
🌮;taco;comida|mexicano
🌯;burrito;comida|mexicano|tex mex|wrap
🫔;tamal;mejicano|mexicano|wrap
🥙;pan relleno;comida|durum|falafel|kebab|pan de pita
🧆;falafel;albóndiga|garbanzo
🥚;huevo;comida
🍳;cocinar;freír|huevo|sartén
🥘;paella;arroz|comida
🍲;olla de comida;comida de olla|puchero|restaurante
🫕;fondue;chocolate|olla|queso|suizo
🥣;cuenco con cuchara;cereal|desayuno
🥗;ensalada;bol|comida|verde
🍿;palomitas;maíz
🧈;mantequilla;lácteo
🧂;sal;condimento|salero
🥫;comida enlatada;conserva|lata
🍱;caja de bento;bento|caja|comida|restaurante
🍘;galleta de arroz;arroz|galleta
🍙;bola de arroz;arroz|japonés|onigiri|restaurante
🍚;arroz cocido;arroz|restaurante
🍛;arroz con curry;arroz|curry|restaurante
🍜;tazón de fideos;fideos calientes|fideos chinos|fideos ramen|ramen
🍝;espagueti;pasta|restaurante
🍠;patata asada;asada|papa asada|patata|restaurante
🍢;brocheta;japonés|marisco|oden|pincho
🍣;sushi;restaurante
🍤;gamba frita;frito|gamba|restaurante
🍥;pastel de pescado japonés;comida japonesa|pastel|pescado
🥮;pastel de luna;festival|luna|otoño|yuebing
🍡;dango;japonés|pincho|postre|restaurante
🥟;dumpling;comida|gyōza|jiaozi|masa
🥠;galleta de la fortuna;adivinación|profecía|superstición
🥡;caja para llevar;recipiente para llevar|restaurante
🍦;cucurucho de helado;cucurucho|dulce|helado|helado de cucurucho|restaurante
🍧;granizado hawaiano;helado|hielo|postre|raspado
🍨;helado;postre|sorbete
🍩;dónut;berlina|pastel|rosquilla
🍪;galleta;dulce|pasta|postre
🎂;tarta de cumpleaños;celebración|cumpleaños|tarta
🍰;trozo de tarta;pedazo de tarta|restaurante|tarta
🧁;magdalena;cupcake|dulce|repostería
🥧;pastel;masa|relleno
🍫;tableta de chocolate;barra|chocolate|restaurante|tableta
🍬;caramelo;chuche|chuchería|dulce|golosina
🍭;piruleta;chuche|chuchería|dulce|golosina
🍮;flan;dulce|postre|pudding
🍯;tarro de miel;dulce|miel|tarro
🍼;biberón;bebé|bibe|bibi|botella|leche
🥛;vaso de leche;bebida|leche|vaso
☕;bebida caliente;bebida|café|caliente|té
🫖;tetera;bebida|infusión|té
🍵;tazón de té;bebida|taza|té
🍶;sake;bar|bebida|botella|restaurante|tazón
🍾;botella descorchada;bar|beber|botella|cava|corcho
🍷;copa de vino;bar|bebida|copa|vaso|vino
🍸;copa de cóctel;bar|cóctel|copa|restaurante
🍹;bebida tropical;bar|bebida|restaurante|tropical
🍺;jarra de cerveza;bar|cerveza|jarra|restaurante
🍻;jarras de cerveza brindando;bar|cerveza|jarra|jarras|restaurante
🥂;copas brindando;bebida|brindar|brindis|celebración|copa
🥃;vaso de whisky;chupito|copa|licor|vaso|whisky
🫗;líquido derramándose;bebida|derramar|vacío|vaso|verter
🥤;vaso con pajita;refresco|zumo
🧋;té de burbujas;boba|bubble tea|burbuja|leche|perla|té
🧃;tetrabrik;brick|cartón|envase|zumo
🧉;mate;bebida|infusión
🧊;cubito de hielo;frío|iceberg
🥢;palillos;cubiertos|hashi
🍽️;cuchillo y tenedor con un plato;cuchillo|plato|restaurante|tenedor
🍴;tenedor y cuchillo;cuchillo|restaurante|tenedor
🥄;cuchara;cubiertos|cucharilla
🔪;cuchillo de cocina;arma|cocinar|cuchillo
🫙;tarro;almacenar|condimento|frasco|recipiente|salsa|vacío
🏺;ánfora;acuario|beber|jarra|zodiaco
🌍;globo terráqueo mostrando Europa y África;África|Europa|mundo|planeta|Tierra
🌎;globo terráqueo mostrando América;América|globo|mundo|planeta|Tierra
🌏;globo terráqueo mostrando Asia y Australia;Asia|Australia|mundo|planeta|Tierra
🌐;globo terráqueo con meridianos;globo|meridianos|mundo|Tierra
🗺️;mapa mundial;mapa|mapamundi|mundo
🗾;mapa de Japón;Japón|mapa
🧭;brújula;compás|magnético|navegación|orientación
🏔️;montaña con nieve;frío|montaña|nieve
⛰️;montaña;monte
🛘;desprendimiento;alud|avalancha|desastre|montaña|peligro|rocas|terremoto
🌋;volcán;erupción|erupción volcánica
🗻;monte Fuji;Fuji|montaña|monte|naturaleza
🏕️;camping;acampada|campamento|vacaciones
🏖️;playa y sombrilla;playa|sombrilla
🏜️;desierto;arena
🏝️;isla desierta;desierta|isla
🏞️;parque nacional;nacional|parque
🏟️;estadio;
🏛️;edificio clásico;clásico|edificio
🏗️;construcción;edificio|obra
🧱;ladrillo;arcilla|cemento|muro|pared
🪨;piedra;pedrusco|peña|peñasco|roca
🪵;madera;hoguera|leña|madero|palos|tronco
🛖;cabaña;casa|yurta
🏘️;casas;edificio|urbanización
🏚️;casa abandonada;abandonada|casa|deshabitada|inhabitada|vacía
🏠;casa;vivienda
🏡;casa con jardín;casa|construcción|jardín|vivienda
🏢;edificio de oficinas;construcción|edificio|oficinas
🏣;oficina de correos japonesa;correos|edificio|japón|oficina de correos
🏤;oficina de correos europea;correos|edificio|europa|oficina de correos
🏥;hospital;doctor|edificio|medicina|médico
🏦;banco;banca|edificio
🏨;hotel;alojamiento|edificio|turismo
🏩;hotel del amor;amor|edificio|hotel
🏪;tienda 24 horas;edificio|establecimiento|tienda de comestibles
🏫;colegio;edificio|escuela
🏬;grandes almacenes;comercio
🏭;fábrica;edificio|industria
🏯;castillo japonés;castillo|construcción
🏰;castillo europeo;castillo|construcción
💒;iglesia celebrando boda;boda|iglesia|romance
🗼;Torre de Tokio;Tokio|torre
🗽;Estatua de la Libertad;estatua|libertad|nueva|ny|nyc|york
⛪;iglesia;cristianismo|cruz|edificio|religión
🕌;mezquita;islam|religión
🛕;templo hindú;hindú|templo
🕍;sinagoga;judaísmo|religión
⛩️;santuario sintoísta;japón|religión|santuario|sintoísmo
🕋;Kaaba;hach|islam|musulmán|religión|umrah
⛲;fuente;
⛺;tienda de campaña;campaña|camping|tienda|vacaciones
🌁;bruma;niebla
🌃;noche estrellada;estrellas|noche
🏙️;paisaje urbano;ciudad|edificio|paisaje
🌄;amanecer sobre montañas;amanecer|montaña|salida|sol
🌅;amanecer;salida del sol
🌆;ciudad al atardecer;atardecer|ciudad|edificios|paisaje
🌇;puesta del sol;edificios
🌉;puente de noche;noche|puente
♨️;aguas termales;termas|vapor
🎠;caballo de tiovivo;caballo|entretenimiento|tiovivo
🛝;tobogán;jugar|parque|parque de atracciones
🎡;noria de feria;atracciones|entretenimiento|feria|noria
🎢;montaña rusa;atracciones|entretenimiento|feria|parque
💈;poste de barbero;barbería|barbero|peluquero|poste
🎪;carpa de circo;carpa|circo|entretenimiento
🚂;locomotora de vapor;locomotora|tren|vehículo
🚃;vagón;ferrocarril|tranvía|tren eléctrico|vehículo
🚄;tren de alta velocidad;AVE|ferrocarril|rápido|tren|velocidad
🚅;tren bala;bala|shinkansen|tren|vehículo|velocidad
🚆;tren;ferrocarril|vehículo
🚇;metro;subterráneo|suburbano|transporte
🚈;tren ligero;ferrocarril|transporte|tren
🚉;estación de tren;estación|tren
🚊;tranvía;transporte|trolebús
🚝;monorraíl;ferrocarril|monocarril|transporte|tren
🚞;ferrocarril de montaña;ferrocarril|montaña|vehículo
🚋;vagón de tranvía;tranvía|vagón|vehículo
🚌;autobús;bus|transporte
🚍;autobús próximo;autobús|próximo|vehículo
🚎;trolebús;transporte|tranvía
🚐;minibús;autobús|bus|transporte
🚑;ambulancia;asistencia médica|transporte|vehículo
🚒;coche de bomberos;camión|camión de bomberos|fuego|vehículo
🚓;coche de policía;coche patrulla|policía|vehículo
🚔;coche de policía próximo;coche patrulla|policía|próximo|vehículo
🚕;taxi;coche|vehículo
🚖;taxi próximo;taxi|vehículo
🚗;coche;automóvil|vehículo
🚘;coche próximo;automóvil|coche|próximo|vehículo
🚙;vehículo deportivo utilitario;camping|caravana|furgoneta|vacaciones|vehículo
🛻;camioneta;pickup|ranchera
🚚;camión de reparto;mercancías|reparto|transporte|vehículo
🚛;camión articulado;camión|tráiler|vehículo
🚜;tractor;agricultura|vehículo
🏎️;coche de carreras;carreras|coche
🏍️;moto;carreras|motocicleta|vehículo
🛵;scooter;escúter|moto
🦽;silla de ruedas manual;accesibilidad
🦼;silla de ruedas eléctrica;accesibilidad
🛺;mototaxi;rickshaw|tuk tuk
🚲;bicicleta;bici|vehículo
🛴;patinete;
🛹;monopatín;skateboard|tabla
🛼;patines;patín|patín de 4 ruedas|patín de cuatro ruedas
🚏;parada de autobús;autobús|parada
🛣️;autopista;carretera
🛤️;vía de tren;tren|vía
🛢️;barril de petróleo;barril|bidón|petróleo
⛽;surtidor de gasolina;bomba de gasolina|combustible|gasolina|surtidor
🛞;rueda;círculo|girar|neumático|rodar
🚨;luces de policía;coche de policía|luces|policía
🚥;semáforo horizontal;luz|señales de tráfico|tráfico
🚦;semáforo;luz|semáforo vertical|señales de tráfico|tráfico
🛑;señal de stop;octágono|parada|señal|stop
🚧;obras;construcción|señal|señal de obras
⚓;ancla;barco|gancho
🛟;salvavidas;flotador|rescate|seguridad|socorrista
⛵;velero;barco|barco de vela|yate
🛶;canoa;barca|barco|piragua
🚤;lancha motora;barco|vehículo
🛳️;barco de pasajeros;barco|pasajeros|vehículo
⛴️;ferri;barco|ferry
🛥️;barco a motor;barco|motor|vehículo
🚢;barco;vehículo
✈️;avión;aeroplano
🛩️;avioneta;avión
🛫;avión despegando;aeroplano|avión|salida
🛬;avión aterrizando;aeroplano|avión|llegada
🪂;paracaídas;ala delta|paracaidismo|paravela|volar
💺;asiento de transporte;asiento|plaza|silla
🚁;helicóptero;aspas|rotores|vehículo|volar
🚟;ferrocarril de suspensión;ferrocarril|suspensión|vehículo
🚠;teleférico de montaña;cable|funicular|montaña|teleférico|vehículo
🚡;teleférico;aéreo|tranvía|vehículo
🛰️;satélite;espacio|vehículo
🚀;cohete;espacio|vehículo
🛸;platillo volante;ovni
🛎️;timbre de hotel;botones|campanilla|hotel|timbre
🧳;equipaje;maleta|viajar
⌛;reloj de arena sin tiempo;arena|reloj|temporizador
⏳;reloj de arena con tiempo;reloj con arena cayendo|temporizador
⌚;reloj;
⏰;reloj despertador;alarma|despertador|reloj
⏱️;cronómetro;reloj
⏲️;temporizador;reloj
🕰️;reloj de sobremesa;reloj|sobremesa
🕛;12 en punto;12:00|doce|reloj
🕧;doce y media;12:30|reloj
🕐;1 en punto;1:00|reloj|una
🕜;una y media;1:30|reloj
🕑;2 en punto;2:00|dos|reloj
🕝;dos y media;2:30|reloj
🕒;3 en punto;3:00|reloj|tres
🕞;tres y media;3:30|reloj
🕓;4 en punto;4:00|cuatro|reloj
🕟;cuatro y media;4:30|reloj
🕔;5 en punto;5:00|cinco|reloj
🕠;cinco y media;5:30|reloj
🕕;6 en punto;6:00|reloj|seis
🕡;seis y media;6:30|reloj
🕖;7 en punto;7:00|reloj|siete
🕢;siete y media;7:30|reloj
🕗;8 en punto;8:00|ocho|reloj
🕣;ocho y media;8:30|reloj
🕘;9 en punto;9:00|nueve|reloj
🕤;nueve y media;9:30|reloj
🕙;10 en punto;10:00|diez|reloj
🕥;diez y media;10:30|reloj
🕚;11 en punto;11:00|once|reloj
🕦;once y media;11:30|reloj
🌑;luna nueva;luna|oscuridad
🌒;luna creciente;creciente|cuarto|espacio|luna
🌓;luna en cuarto creciente;creciente|cuarto|espacio|luna
🌔;luna gibosa creciente;creciente|gibosa|luna
🌕;luna llena;llena|luna|plenilunio
