😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|হাসি
🧑‍⚖️;বিচারপতি;তুলাদণ্ড|বিচারক
👨‍⚖️;পুরুষ বিচারক;ছেল|ছেলে|তুলাদণ্ড|দাঁড়িপাল্লা|পুরুষ|বিচার|ব্যক্তি|মানুষ|স্মাইলি
👩‍⚖️;মহিলা বিচারক;তুলাদণ্ড|দাঁড়িপাল্লা|বিচার|ব্যক্তি|মহিলা|মানুষ|মেয়ে|স্মাইলি
🧑‍🌾;কৃষক;খামারের মালিক|মালী
👨‍🌾;ছেলে,পুরুষ, চাষী ,কৃষক;কৃষক|চাষী|ছেলে|পুরুষ|মালি
👩‍🌾;মেয়ে , মহিলা ,চাষী , কৃষক;কৃষক|খামারের মালিক|চাষী|মহিলা|মালি|মেয়ে
🧑‍🍳;রাঁধুনী;শেফ
👨‍🍳;ছেলে ,পুরুষ , কুক , পাচক , রাঁধুনি;কুক|ছেলে|পাচক|পুরুষ|রাঁধুনি
👩‍🍳;মেয়ে , মহিলা , কুক , পাচক , রাঁধুনি;কুক|পাচক|মহিলা|মেয়ে|রাঁধুনি
🧑‍🔧;মেকানিক;ইলেকট্রিশিয়ান|ছোট ব্যবসাদার|প্লামবার
👨‍🔧;ছেলে , পুরুষ , মেকানিক;ইলেকট্রিশিয়ান|ছেলে|ট্রেডপার্সন|পুরুষ|প্লাম্বার|মেকানিক
👩‍🔧;মেয়ে , মহিলা , মেকানিক;ইলেকট্রিশিয়ান|ট্রেডপার্সন|প্লাম্বার|ব্যক্তি|মহিলা|মেকানিক|মেয়ে
🧑‍🏭;কারখানার কর্মী;কর্মী|কারখানা|শিল্প|সমাগম
👨‍🏭;ছেলে , পুরুষ , মিলের কর্মি;অ্যাসেমব্লি|ইনডাসট্রি|ইন্ডাস্ট্রি|কর্মি|কর্মী|কারখানা|ছেলে|পুরুষ|ফ্যাক্টরি|মিলের কর্মি
👩‍🏭;মেয়ে , মহিলা , মিলের কর্মি;অ্যাসেমব্লি|ইনডাসট্রি|ইন্ডাস্ট্রি|কর্মি|কর্মী|কারখানা|মহিলা|মিলের কর্মি|মেয়ে
🧑‍💼;অফিস কর্মী;উচ্চ পদস্থ কর্মকর্তা|ব্যবসা|ম্যানেজার|স্থপতি
👨‍💼;ছেলে , পুরুষ , অফিস কর্মি;অফিস|অফিস কর্মী|আর্কিটেক্ট|ছেলে|ছেলে , পুরুষ , অফিস কর্মী|পুরুষ|ব্যবসা|ম্যানেজার|হোয়াইট - কলার
👩‍💼;মেয়ে , মহিলা , অফিস কর্মি;অফিস|আর্কিটেক্ট|মহিলা|মহিলা অফিস কর্মী|মেয়ে|ম্যানেজার|হোয়াইট - কলার
🧑‍🔬;বৈজ্ঞানিক;ইঞ্জিনিয়ার|কেমিস্ট|ফিজিসিস্ট|বায়োলজিস্ট
👨‍🔬;পুরুষ বিজ্ঞানী;ইঞ্জিনিয়ার|গণিতজ্ঞ|ছেলে|জীববিজ্ঞানী|পুরুষ|প্রকৃতিবিজ্ঞানী|বিজ্ঞানী|রসায়নবিদ
👩‍🔬;মহিলা বিজ্ঞানী;ইঞ্জিনিয়ার|গণিতজ্ঞ|জীববিজ্ঞানী|বিজ্ঞানী|মহিলা|রসায়নবিদ
🧑‍💻;টেকনোলজিস্ট;ইনভেন্টোর|কোডার|ডেভেলপার|সফ্টওয়্যার
👨‍💻;ছেলে , পুরুষ টেকনোলজিস্ট;ইনভেন্টর|উদ্ভাবক|কোডার|ছেলে|টেকনোলজিস্ট|ডেভেলপার|পুরুষ|সফটওয়্যার|সফ্টওয়্যার
👩‍💻;মেয়ে , মহিলা টেকনোলজিস্ট;ইনভেন্টর|উদ্ভাবক|কোডার|টেকনোলজিস্ট|ডেভেলপার|মহিলা|মেয়ে|সফটওয়্যার|সফ্টওয়্যার
🧑‍🎤;গায়ক;অভিনেতা|এন্টারটেনার|রক|স্টার
👨‍🎤;ছেলে , পুরুষ গায়ক;অভিনেতা|এন্টাটেনার|গায়ক|ছেলে|পুরুষ|রক|স্টার
👩‍🎤;মেয়ে , মহিলা গায়ক;অভিনেতা|এন্টাটেনার|গায়ক|গায়িকা|মহিলা|মেয়ে|রক|স্টার
🧑‍🎨;শিল্পি;প্যালেট
👨‍🎨;ছেলে , পুরুষ শিল্পী;ছেলে|পুরুষ|প্যালেট|শিল্পী
👩‍🎨;মেয়ে , মহিলা শিল্পী;প্যালেট|মহিলা|মেয়ে|শিল্পী
🧑‍✈️;পাইলট;প্লেন
👨‍✈️;ছেলে , পুরুষ পায়লট;উড়োজাহাজ|ছেলে|পাইলট|পায়লট|পুরুষ|প্লেন|ব্যক্তি|মানুষ|স্মাইলি
👩‍✈️;মেয়ে , মহিলা পায়লট;পাইলট|পায়লট|প্লেন|ব্যক্তি|মহিলা|মানুষ|মেয়ে|স্মাইলি
🧑‍🚀;মহাকাশচারী;রকেট
👨‍🚀;ছেলে , পুরুষ মহাকাশ অভিযাত্রী;পুরুষ|মহাকাশচারী|রকেট|স্পেস
👩‍🚀;মহিলা , মেয়ে মহাকাশ অভিযাত্রী;মহাকাশ|মহাকাশযাত্রী|মহিলা|রকেট
🧑‍🚒;দমকলকর্মী;দমকল
👨‍🚒;ছেলে , পুরুষ ফায়ারফাইটার;অগ্নি নির্বাপক|ছেলে|পুরুষ|ফায়ারট্রাক|ফায়ারফাইটার
👩‍🚒;মেয়ে , মহিলা ফায়ারফাইটার;আগুন|দমকল|দমকলকর্মী|মহিলা
👮;পুলিশ অফিসার;অফিসার|আইন|আটক|আধিকারিক|কর্মকর্তা|কানুন|গ্রেফতার|তলব|পুলিশ|মানুষ|শান্তিরক্ষক
👮‍♂️;ছেলে , পুরুষ পুলিশ অফিসার;অফিসার|ছেলে|পুরুষ|পুরুষ পুলিশ অফিসার|পুলিস
👮‍♀️;মেয়ে , মহিলা পুলিশ অফিসার;অফিসার|আইন|আটক|আধিকারিক|আন্ডারকভার পুলিশ|গোপন পুলিশ|গ্রেফতার|চোরাগোপ্তা পুলিশ|পুলিস|মহিলা|মহিলা পুলিশ|মহিলা পুলিশ অফিসার|মেয়ে
🕵️;গোয়েন্দা;গুপ্তচর
🕵️‍♂️;ছেলে , পুরুষ ডিটেকটিভ;গুপ্তচর|ছেলে|টিকটিকি|ডিটেকটিভ|পুরুষ
🕵️‍♀️;মেয়ে , মহিলা ডিটেকটিভ;গুপ্তচর|গোয়েন্দা|টিকটিকি|ডিটেকটিভ|ব্যক্তি|মহিলা|মানুষ|মেয়ে|স্মাইলি
💂;রক্ষী;পাহারাদার|সৈনিক
💂‍♂️;ছেলে , পুরুষ গার্ড;পুরুষ|প্রাসাদ|বাকিংহ্যাম|রক্ষী|লন্ডন|হেলমেট
💂‍♀️;মেয়ে , মহিলা গার্ড;গার্ড|বাকিংহাম|মহিলা|মেয়ে|লন্ডন|হেলমেট
🥷;নিনজা;কৌশলী|গুপ্ত|ঘাতক|জোয়ান|যুদ্ধ|লড়াই করা|লড়াকু|লুকোনো|লোক|সিপাহী|সৈনিক|হত্যাকারী
👷;নির্মাণ কর্মী;কর্মচারী|কর্মী|কাজ করা|টুপি|তৈরি করা|নির্মাণ|নির্মাণ শ্রমিক|ভবন|মেরামত|রাজমিস্ত্রির কাজ|হেলমেট|হ্যাট
👷‍♂️;পুরুষ , ছেলে নির্মাণ কর্মী;ছেলে|ছেলে নির্মাণ কর্মী|নির্মাণ|নির্মাণ কর্মী|পুরুষ
👷‍♀️;মহিলা , মেয়ে নির্মাণ কর্মী;কর্মজীবী|গাঁথনি|নির্মাণ|নির্মাণ কর্মী|নির্মাণ শ্রমিক|ব্যক্তি|মহিলা|মানুষ|মেয়ে|মেয়ে নির্মাণ কর্মী|স্মাইলি
🫅;মুকুট পরা ব্যাক্তি;অধিরাজ|মহৎ|রাজকীয়|রাজপদ|রাজা|রানী
🤴;রাজপুত্র;রাজসিক
👸;রাজকুমারী;কল্পনা|রূপকথা
👳;ব্যক্তির মাথায় পাগড়ি লাগানো;টুপি|পাগড়ি|পাগড়ি পরা ব্যক্তি|পুরুষ|মুখ|হ্যাট
👳‍♂️;পাগড়িওয়ালা;ছেলে|পাগড়ি|পুরুষ
👳‍♀️;পাগড়িওয়ালি;পাগড়ি|ব্যক্তি|মহিলা|মেয়ে|স্মাইলি
👲;চীনা টুপি মাথায় ব্যক্তি;গুয়া পি মাও|টুপি|পুরুষ|ব্যক্তি|মানুষ|স্মাইলি
🧕;স্কার্ফ পরা মহিলা;টেচেল|নেকাব|পর্দা|বরখা|ব্যক্তি|মাথারস্কার্ফ|মানুষ|ম্যানটিলা|স্মাইলি|হিজাব
🤵;সুট বুট পরা ব্যক্তি;কোট পরা পুরুষ|নৈশ ভোজের পোশাক|পুরুষ|বিবাহের পাত্র|বো টাই|ব্যক্তি|সুট
🤵‍♂️;টাক্সেডো পরা পুরুষ;টাক্সেডো|পুরুষ
🤵‍♀️;টাক্সেডো পরা মহিলা;টাক্সেডো|মহিলা
👰;ঘোমটা পরা ব্যক্তি;কনে|ঘোমটা|নববধূ|বউ|বিবাহ|ব্যক্তি
👰‍♂️;আবরণ পরা পুরুষ;আবরণ|পুরুষ
👰‍♀️;আবরণে ঢাকা মহিলা;আবরণ|আবরণ পরা মহিলা|মহিলা
🤰;গর্ভবতী মহিলা;গর্ভবতী|মহিলা
🫃;গর্ভাবস্থায় পুরুষ;উদর|উদরপূর্তি|গর্ভবস্থা|ভর্তি|স্ফীত
🫄;গর্ভাবস্থায় ব্যাক্তি;উদর|উদরপূর্তি|গর্ভবস্থা|বেশি খাওয়া|ভর্তি|স্ফীত
🤱;স্তন্যপান;মা ও শিশু|শিশু|শুশ্রুষা|স্তন|স্তন্যদান|স্মাইলি
👩‍🍼;মহিলা দুগ্ধ পান করাচ্ছেন;আয়া|খাওয়ানো|দুগ্ধ|নবজাতক|পরিচর্যা|ভালোবাসা|মহিলা|মা|শিশু
👨‍🍼;পুরুষ শিশুকে খাওয়াচ্ছেন;আয়া|খাওয়ানো|ছেলে|দুধ|নবজাতক|পরিচর্যা|পিতা|পুরুষ|বাবা|ভালোবাসা|মানুষ|শিশু
🧑‍🍼;শিশুকে একজন খাওয়াচ্ছেন;একজন শিশুকে খাওয়াচ্ছেন|খাওয়ানো|খোকা|নবজাতক|পরিচর্যা|বাচ্চা|বাবা|বালক|ব্যক্তি|মা|শিশু
👼;শিশু অ্যাঞ্জেল;কল্পনা|দেবদূত|পরী|ফেরেশতা|বাচ্চা|মুখ|রূপকথা|শিশু দেবদূত
🎅;সান্তা ক্লজ;উদযাপন করা|কল্পনা|ক্রিসমাস|বাবা|রূপকথা
🤶;মাদার খ্রিষ্টমাস;ক্রিসমাস|খ্রিষ্টমাস|মা|মিসেস ক্লজ|সান্তা ক্লজ
🧑‍🎄;ম্যাক্স ক্লস;কল্স|ক্রিসমাস|বড় দিনের টুপি|বড়দিন|ব্যক্তি|মেরি ক্রিসমাস|লাল টুপি পরা মুখ|লোক|সান্তা|সান্তা ক্লজ|সান্তা ক্লজের টুপি|স্যান্টি
🦸;সুপারহিরো;কল্যাণ|নায়ক|প্রশংসনীয়|ব্যাটম্যান|ভালো|ভালো মানুষ|শক্তিশালী|সুপারপাওয়ার|সুপারম্যান|হিরো|হিরোইন
🦸‍♂️;পুরুষ সুপারহিরো;পুরুষ|ভালো|সুপারপাওয়ার|হিরো
🦸‍♀️;মহিলা সুপারহিরো;ভালো|মহিলা|সুপারপাওয়ার|হিরো|হিরোইন
🦹;সুপারভিলেন;অপরাধী|অশুভ|অসৎ|উৎসুক|খলনায়ক|খারাপ লোক|দুষ্টু লোক|পাপী|ভিলেন|শয়তান|সুপারপাওয়ার
🦹‍♂️;পুরুষ সুপারভিলেন;অপরাধী|পুরুষ|ভিলেন|মন্দ|সুপারপাওয়ার
🦹‍♀️;মহিলা সুপারভিলেন;অপরাধী|ভিলেন|মন্দ|মহিলা|সুপারপাওয়ার
🧙;মেজ;উইচ|উইজার্ড|কুহকী|জাদু|জাদুকর|জাদুকরী|ডাইনি|মায়াবিনী
🧙‍♂️;পুরুষ মেজ;উইজার্ড|জাদুকর
🧙‍♀️;মহিলা মেজ;উইচ|জাদুকরী
🧚;পরী;ওবোরন|গল্প|টাইটেনিয়া|দুষ্টু ছেলে|পাখা|রুপকথা
🧚‍♂️;ছেলে পরী;ওবোরন|দুষ্টু ছেলে
🧚‍♀️;মহিলা পরী;টাইটেনিয়া
🧛;ভ্যাম্পায়ার;আধমরা|ড্রাকুলা|বিষদাঁত|ভৌতিক|রক্ত|রক্তচোষা|স্মাইলি|হ্যালোউইন
🧛‍♂️;পুরুষ ভ্যাম্পায়ার;আধমরা|ড্রাকুলা
🧛‍♀️;মহিলা ভ্যাম্পায়ার;আধমরা
🧜;মারপার্সেন;পরীর গল্প|মৎস্য কন্যা|মারউইমেন|মারমেড|মারমেন|রূপকথা|লোককাহিনী
🧜‍♂️;মারম্যান;ট্রিটন
🧜‍♀️;মারমেড;মারউইমেন
🧝;এল্ফ;জাদুকর|জাদুকরী|পরী|ব্যক্তি|মানুষ|স্মাইলি
🧝‍♂️;পুরুষ এল্ফ;জাদুকরী
🧝‍♀️;মহিলা এল্ফ;জাদুকরী
🧞;জীনি;আশ্চর্য প্রদীপ|জিনি|জ্বিন|জ্বীন জাতি|প্রদীপ ঘষা|রূপকথা
🧞‍♂️;পুরুষ জীনি;জ্বীন জাতি
🧞‍♀️;মহিলা জীনি;জ্বীন জাতি
🧟;জম্বি;আধমরা|ওয়াকিং ডেড|ব্যক্তি|ভয়|ভয়ংকর|ভীতিকর|মানুষ|স্মাইলি|হ্যালোইন
🧟‍♂️;পুরুষ জম্বি;আধমরা|ওয়াকিং ডেড
🧟‍♀️;মহিলা জম্বি;আধমরা|ওয়াকিং ডেড
🧌;অতিমানবিক জীব;কাল্পনিক|ট্রোল|দানব|রাক্ষস|রূপকথা
🫈;লোমশ দ্বিপদ;ইয়েতি|উডওস|ক্রিপ্টিড|দৈত্য|বন|বিগফুট|লোমশ|সাসক্যাচ
💆;ফেস ম্যাসেজ;আরাম|আরামদায়ক|একজন ব্যক্তি ম্যাসেজ পাচ্ছেন|চিকিৎসা|থেরাপি|প্রশান্তি|মাথাব্যথা|ম্যাসাজ|সেলুন|স্যালুন
💆‍♂️;ছেলেদের ফেস মাসাজ;আরাম|ছেলে|পুরুষ|ব্যক্তি|মাথা ব্যাথা|মানুষ|মাসাজ|মুখ|ম্যাসেজ|স্মাইলি
💆‍♀️;মেয়েদের ফেস মাসাজ;মহিলা|মাসাজ|মুখ|মেয়ে
💇;চুল কাটা;কাঁচি|কাটা|কেশ|চুল কাটাচ্ছে|নাপিত|পার্লার|প্রসাধন|বিউটিপার্লার|সেলুন|সৌন্দর্য্য|স্টাইল
💇‍♂️;ছেলেদের চুল কাটা;চুল কাটা|ছেলে|পুরুষ|ব্যক্তি|মানুষ|স্মাইলি
💇‍♀️;মেয়েদের চুল কাটা;চুল কাটা|মহিলা|মেয়ে
🚶;হাঁটা;অগ্রসর|চলমান|চলা|চলাফেরা|টহল দেওয়া|ধীর গতিতে হাঁটা|পথ চলা|পথচারী|পায়চারি করা|ব্যক্তির হাঁটা|ভবঘুরে|ভ্রমণ করা|হেঁটে যাওয়া
🚶‍♂️;ছেলেদের হাঁটা;ছেলে|পুরুষ|হনটন|হাঁটা
🚶‍♀️;মেয়েদের হাঁটা;ঘোরা|মহিলা|মেয়ে|হনটন|হাইক|হাঁটা
🚶‍➡️;হাঁটা: ডান দিকে মুখ করে আছে;অগ্রসর|আছে|করে|চলমান|চলা|চলাফেরা|টহল দেওয়া|ডান|দিকে|ধীর গতিতে হাঁটা|পথ চলা|পথচারী|পায়চারি করা|ব্যক্তির হাঁটা|ভবঘুরে|ভ্রমণ করা|মুখ|হাঁটা|হেঁটে যাওয়া
🚶‍♀️‍➡️;মেয়েদের হাঁটা: ডান দিকে মুখ করে আছে;আছে|করে|ঘোরা|ডান|দিকে|মহিলা|মুখ|মেয়ে|মেয়েদের হাঁটা|হনটন|হাইক|হাঁটা
🚶‍♂️‍➡️;ছেলেদের হাঁটা: ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের হাঁটা|ডান|দিকে|পুরুষ|মুখ|হনটন|হাঁটা
🧍;এক জন দাঁড়িয়ে আছে;দাঁড়ান|দাঁড়ানো|পকেটে হাত দিয়ে একজন দাঁড়িয়ে|পকেটে হাত দিয়ে দাঁড়িয়ে থাকা|মানুষ
🧍‍♂️;দাঁড়িয়ে থাকা পুরুষ;দাঁড়িয়ে থাকা|পুরুষ
🧍‍♀️;দাঁড়িয়ে থাকা মহিলা;দাঁড়ানো|মহিলা
🧎;হাঁটু গেড়ে বসে থাকা মহিলা;মানুষ|হাঁটু গেড়ে|হাঁটু গেড়ে বসা|হাঁটুতে ভর দিয়ে বসা
🧎‍♂️;হাঁটু গেড়ে বসা পুরুষ;পুরুষ|হাঁটু গেড়ে বসা
🧎‍♀️;হাঁটু গেড়ে বসা মহিলা;মহিলা|হাঁটু গেড়ে বসা
🧎‍➡️;হাঁটু গেড়ে বসে থাকা মহিলা: ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|মানুষ|মুখ|হাঁটু গেড়ে|হাঁটু গেড়ে বসা|হাঁটু গেড়ে বসে থাকা মহিলা|হাঁটুতে ভর দিয়ে বসা
🧎‍♀️‍➡️;হাঁটু গেড়ে বসা মহিলা: ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|মহিলা|মুখ|হাঁটু গেড়ে বসা|হাঁটু গেড়ে বসা মহিলা
🧎‍♂️‍➡️;হাঁটু গেড়ে বসা পুরুষ: ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|পুরুষ|মুখ|হাঁটু গেড়ে বসা|হাঁটু গেড়ে বসা পুরুষ
🧑‍🦯;অন্ধের ছড়ি;অন্ধ|অ্যাকসেসিবিলিটি|সাদা ছড়ি নিয়ে ব্যক্ত
🧑‍🦯‍➡️;অন্ধের ছড়ি: ডান দিকে মুখ করে আছে;অন্ধ|অন্ধের ছড়ি|অ্যাকসেসিবিলিটি|আছে|করে|ডান|দিকে|মুখ|সাদা ছড়ি নিয়ে ব্যক্ত
👨‍🦯;ছড়ি হাতে পুরুষ;অন্ধ|অ্যাক্সেসিবিলিটি|পুরুষ|মানুষ|লাঠি হাতে অন্ধব্যক্তি|হাতে লাঠি
👨‍🦯‍➡️;ছড়ি হাতে পুরুষ: ডান দিকে মুখ করে আছে;অন্ধ|অ্যাক্সেসিবিলিটি|আছে|করে|ছড়ি হাতে পুরুষ|ডান|দিকে|পুরুষ|মানুষ|মুখ|লাঠি হাতে অন্ধব্যক্তি|হাতে লাঠি
👩‍🦯;ছড়ি হাতে মহিলা;অন্ধ|অন্ধ মহিলা হাতে লাঠি|অ্যাক্সেসিবিলিটি|মহিলা|মানুষ
👩‍🦯‍➡️;ছড়ি হাতে মহিলা: ডান দিকে মুখ করে আছে;অন্ধ|অন্ধ মহিলা হাতে লাঠি|অ্যাক্সেসিবিলিটি|আছে|করে|ছড়ি হাতে মহিলা|ডান|দিকে|মহিলা|মানুষ|মুখ
🧑‍🦼;মনিটর করা হুইলচেয়ার;অ্যাকসেসিবিলিটি|হুইলচেয়ার
🧑‍🦼‍➡️;মনিটর করা হুইলচেয়ার: ডান দিকে মুখ করে আছে;অ্যাকসেসিবিলিটি|আছে|করে|ডান|দিকে|মনিটর করা হুইলচেয়ার|মুখ|হুইলচেয়ার
👨‍🦼;যান্ত্রিক হুইলচেয়ারে পুরুষ;অটোমেটিক হুইলচেয়ারে পুরুষ|অ্যাক্সেসিবিলিটি|পুরুষ|মানুষ|হুইলচেয়ার
👨‍🦼‍➡️;যান্ত্রিক হুইলচেয়ারে পুরুষ: ডান দিকে মুখ করে আছে;অটোমেটিক হুইলচেয়ারে পুরুষ|অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|পুরুষ|মানুষ|মুখ|যান্ত্রিক হুইলচেয়ারে পুরুষ|হুইলচেয়ার
👩‍🦼;যান্ত্রিক হুইলচেয়ারে মহিলা;অটোমেটিক হুইলচেয়ারে মহিলা|অ্যাক্সেসিবিলিটি|মহিলা|মানুষ|হুইলচেয়ার
👩‍🦼‍➡️;যান্ত্রিক হুইলচেয়ারে মহিলা: ডান দিকে মুখ করে আছে;অটোমেটিক হুইলচেয়ারে মহিলা|অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মানুষ|মুখ|যান্ত্রিক হুইলচেয়ারে মহিলা|হুইলচেয়ার
🧑‍🦽;ম্যানুয়াল হুইলচেয়ারে বসা ব্যক্তি;অ্যাকসেসিবিলিটি|হুইলচেয়ার
🧑‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে বসা ব্যক্তি: ডান দিকে মুখ করে আছে;অ্যাকসেসিবিলিটি|আছে|করে|ডান|দিকে|মুখ|ম্যানুয়াল হুইলচেয়ারে বসা ব্যক্তি|হুইলচেয়ার
👨‍🦽;ম্যানুয়াল হুইলচেয়ারে পুরুষ;অ্যাক্সেসিবিলিটি|পুরুষ|মানুষ|ম্যানুয়াল হুইলচেয়ারে মানুষ|হাতে ঠেলা হুইলচেয়ারে পুরুষ|হুইলচেয়ার
👨‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে পুরুষ: ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|পুরুষ|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে পুরুষ|ম্যানুয়াল হুইলচেয়ারে মানুষ|হাতে ঠেলা হুইলচেয়ারে পুরুষ|হুইলচেয়ার
👩‍🦽;ম্যানুয়াল হুইলচেয়ারে মহিলা;অ্যাক্সেসিবিলিটি|মহিলা|মানুষ|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
👩‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
🏃;দৌড়;গতি|ছুটছে|ছুটে চলা|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|ম্যারাথন|রেস
🏃‍♂️;ছেলেদের দৌড়;ছেলে|দৌড়|পুরুষ|ম্যারাথন|রেসিং
🏃‍♀️;মেয়েদের দৌড়;দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মেয়ে|ম্যারাথন|রেসিং|স্মাইলি
🏃‍➡️;দৌড়: ডান দিকে মুখ করে আছে;আছে|করে|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মুখ|ম্যারাথন|রেস
🏃‍♀️‍➡️;মেয়েদের দৌড়: ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
🏃‍♂️‍➡️;ছেলেদের দৌড়: ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মুখ|ম্যারাথন|রেসিং
🧑‍🩰;ব্যালে ড্যান্সার;ড্যান্সার|ব্যালে
💃;নৃত্যরত মহিলা;ডানসার|নর্তকী|নাচ|ব্যক্তি
🕺;নৃত্যরত পুরুষ;নাচ|নাচছে|পুরুষ
🕴️;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ;পুরুষ|ব্যবসা|ব্যবসার জন্য স্যুট|স্যুট
👯;ঝোলা কানযুক্ত লোক;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মেয়ে|যমজ
👯‍♂️;ঝোলা কানযুক্ত পুরুষ;ছেলে|ডানসার|পার্টি|বানি ইয়ার|মানুষ|স্মাইলি
👯‍♀️;ঝোলা কানযুক্ত নারি;ডানসার|পার্টি|বানি ইয়ার|মেয়ে
🧖;বাষ্পীয় রুমে একজন;গোছল|বাষ্পস্নান|বাষ্পীয় রুম|ব্যক্তি|মানুষ|সনা|স্নান|স্মাইলি
🧖‍♂️;বাষ্পীয় রুমে পুরুষ;বাষ্পীয় রুম|সনা
🧖‍♀️;বাষ্পীয় রুমে মহিলা;বাষ্পীয় রুম|সনা
🧗;একজন উপরে উঠছে;আরোহী|পর্বতারোহণ|পর্বতারোহী|পাহাড়|মহিলা পর্বতারোহণ|মহিলা পর্বতারোহী|স্মাইলি
🧗‍♂️;পুরুষ আরোহী;আরোহী
🧗‍♀️;মহিলা আরোহী;আরোহী
🤺;তলোয়ার খেলোয়াড়;খেলা|তরওয়াল|তলোয়ার|ব্যক্তি|লড়াইবাজ
🏇;ঘোড়া দৌড়;ঘোড়া|জকি|রেসিং
⛷️;স্কিচালক;তুষারপাত|বরফ|স্কি|স্কেটিং
🏂;স্নো বর্ডার;তুষারপাত|বরফ|স্কি|স্নোবোর্ড
🏌️;গল্ফার;ক্যাডি|গর্তে ফেলা|গলফ|গলফ খেলা|গল্ফ|গল্ফ খেলছে|গল্ফার খেলোয়াড়|গল্ফের খেলোয়াড়|ড্রাইভিং পরিসীমা|বল
🏌️‍♂️;ছেলেদের গল্ফ খেলা;গল্ফ|ছেলে|পুরুষ
🏌️‍♀️;মেয়েদের গল্ফ খেলা;খেলা|গল্ফ|মহিলা|মানুষ|মেয়ে
🏄;সার্ফার;ক্রীড়া|খেলাধুলা|বীচ|ব্যক্তির সার্ফিং|মহাসাগর|সমুদ্র সৈকত|সমুদ্রতীর|সার্ফ করা|সার্ফিং|স্পোর্টস
🏄‍♂️;ছেলেদের সার্ফিং;ছেলে|পুরুষ|সার্ফিং
🏄‍♀️;মেয়েদের সার্ফিং;খেলাধুলা|ব্যক্তি|মহিলা|সমুদ্র|সাগর|সার্ফিং
🚣;গোল নৌকা;ডিঙি নৌকা|তরী|দাঁড় টানা|দাঁড় বাওয়া নৌকা|নৌকা|নৌকা বাইচ|বৈঠা বাওয়া|বোট|ব্যক্তি দাঁড় বাইছে|মাছ ধরা|যানবাহন|হ্রদ
🚣‍♂️;পুরুষদের নৌকা চালানো;ছেলে|নৌকা|পুরুষ|বাইচের নৌকা
🚣‍♀️;মেয়েদের নৌকা চালানো;কার্যকলাপ|জেলে|নদী|নৌকা|নৌকাবাইচ|বাইচের নৌকা|বিল|মহিলা|মাছ ধরা|লেক|স্ত্রি
🏊;সাঁতারু;ক্রীড়া|খেলাধুলা|জলে সাঁতার কাটা|পানি|ফ্রিস্টাইল|ব্যক্তি সাঁতার কাটছেন|সাঁতার কাটা|স্পোর্টস
🏊‍♂️;পুরুষ সাঁতারু;ছেলে|পুরুষ|সাঁতার
🏊‍♀️;মহিলা সাঁতারু;খেলাধুলা|মহিলা|সাঁতার|স্ত্রি
⛹️;বল নিয়ে ব্যক্তি;খেলাধুলা|চ্যাম্পিয়নশিপ|নিক্ষেপ করা|বল|বল বাউন্সিং|বল লাফানো|বাস্কেটবল|বাস্কেটবল খেলোয়াড়
⛹️‍♂️;ছেলেদের বল খেলা;ছেলে|পরুষ|বল
⛹️‍♀️;মেয়েদের বল খেলা;খেলাধুলা|বল|ব্যক্তি|মহিলা|স্ত্রি
