😀;широко улыбается;лицо|радость|смех|счастье|улыбка
🫄;беременный человек;беременная|беременность|беременный|вздутие|животик|переедание|человек
🤱;кормление грудью;вскармливание|грудь|кормить|кормящая|лактация|мать|младенец|молоко|ребенок
👩‍🍼;кормящая женщина;женщина|забота|кормление|кормящая|малыш|мама|мать|новорожденный|няня|ребенок
👨‍🍼;кормящий мужчина;забота|кормление|кормящий|малыш|мужчина|новорожденный|няня|отец|папа|ребенок
🧑‍🍼;кормящий человек;забота|кормление|кормящий|малыш|новорожденный|няня|ребенок|родитель|человек
👼;ангелочек;ангел|дитя|крылья|лик|младенец|нимб|фэнтези
🎅;Санта-Клаус;дед мороз|дедушка мороз|клаус|новый год|рождество|санта
🤶;миссис Клаус;новый год|рождество|снегурочка
🧑‍🎄;Санта;Дед Мороз|Клаус|Новый год|Рождество
🦸;супергерой;бэтмен|героиня|герой|сильная|супервумен|супермен|суперсила
🦸‍♂️;мужчина-супергерой;герой|супергерой|супермен|суперсила
🦸‍♀️;женщина-супергерой;героиня|супервумен|супергероиня|суперсила
🦹;суперзлодей;вампир|дракула|зло|злодей|плохой|преступник|суперсила
🦹‍♂️;мужчина-суперзлодей;зло|злодей|суперзлодей
🦹‍♀️;женщина-суперзлодей;зло|злодей|суперзлодей
🧙;маг;волшебник|заклинание|колдун|магия|чародей
🧙‍♂️;волшебник;маг|чародей
🧙‍♀️;волшебница;ведьма|чародейка
🧚;фея;Динь-Динь|крылышки|крылья|Оберон|Пак|сказка|Титания|фэнтези
🧚‍♂️;мужчина-фея;крылья|мужчина|сказка|фея|фэнтези
🧚‍♀️;женщина-фея;Динь-Динь|крылья|сказка|Титания|фея|фэнтези
🧛;вампир;граф|Дракула|зубы|кровопийца|кровь|упырь
🧛‍♂️;мужчина-вампир;вампир|граф|Дракула|зубы|кровь|мужчина
🧛‍♀️;женщина-вампир;вампирша|женщина|зубы|кровь
🧜;русалка;ариэль|морские существа|полурыба|русалочка|сказка|тритон|ундина
🧜‍♂️;тритон;мужчина|полурыба|русалка
🧜‍♀️;женщина-русалка;женщина|полурыба|русалка
🧝;эльф;магия|сказка|уши|фэнтези
🧝‍♂️;мужчина-эльф;магия|мужчина|сказка|уши|фэнтези|эльф
🧝‍♀️;женщина-эльф;магия|фэнтези|эльф|эльфийка
🧞;джинн;лампа|потереть|сказка
🧞‍♂️;мужчина-джинн;джинн|лампа|мужчина|потереть|сказка
🧞‍♀️;женщина-джинн;джинн|женщина|лампа|потереть|сказка
🧟;зомби;апокалипсис|живой|мертвец|страх|страшилка|ужас|Хэллоуин
🧟‍♂️;мужчина-зомби;живой|живой метрвец|зомби|мертвец|мужчина
🧟‍♀️;женщина-зомби;женщина|живой|зомби|мертвец
🧌;тролль;монстр|сказка|троллинг|чудище|чудовище
🫈;снежный человек;великан|волосатый|йети|криптид|монстр|снежный|человек
💆;человеку массируют лицо;голова|лицо|массаж|массаж головы|массаж лица|процедура|салон|спа
💆‍♂️;мужчине массируют лицо;голова|лицо|массаж|массаж головы|массаж лица|мужчина|процедура|салон|спа
💆‍♀️;женщине массируют лицо;массаж|массаж головы|массаж лица|спа
💇;человек у парикмахера;волосы|косметология|красота|ножницы|обрезать|парикмахер|прическа|салон|стрижка|укоротить|уход
💇‍♂️;мужчина у парикмахера;барбер|барбершоп|мужчина|ножницы|парикмахер|прическа|салон|стилист|стрижка|тримминг
💇‍♀️;женщина у парикмахера;женщина|ножницы|парикмахер|прическа|салон|стрижка
🚶;человек идет;гулять|дорога|идет|прогулка|тротуар|ходьба|человек
🚶‍♂️;мужчина идет;дорога|мужчина|прогулка|тротуар|ходьба
🚶‍♀️;женщина идет;дорога|женщина|идет|прогулка|тротуар|ходьба
🚶‍➡️;человек идет: , направленные вправо;,|вправо|гулять|дорога|идет|направленные|прогулка|тротуар|ходьба|человек
🚶‍♀️‍➡️;женщина идет: , направленные вправо;,|вправо|дорога|женщина|идет|направленные|прогулка|тротуар|ходьба
🚶‍♂️‍➡️;мужчина идет: , направленные вправо;,|вправо|дорога|мужчина|мужчина идет|направленные|прогулка|тротуар|ходьба
🧍;человек стоит;стоя|стоять|человек
🧍‍♂️;мужчина стоит;мальчик|мужчина|парень|стоя|стоять
🧍‍♀️;женщина стоит;девушка|женщина|стоя|стоять
🧎;человек на коленях;йога|колени|на коленях|сидеть|человек
🧎‍♂️;мужчина на коленях;колени|мальчик|мужчина|на коленях|парень
🧎‍♀️;женщина на коленях;девочка|девушка|женщина|колени|на коленях
🧎‍➡️;человек на коленях: , направленные вправо;,|вправо|йога|колени|на коленях|направленные|сидеть|человек|человек на коленях
🧎‍♀️‍➡️;женщина на коленях: , направленные вправо;,|вправо|девочка|девушка|женщина|женщина на коленях|колени|на коленях|направленные
🧎‍♂️‍➡️;мужчина на коленях: , направленные вправо;,|вправо|колени|мальчик|мужчина|мужчина на коленях|на коленях|направленные|парень
🧑‍🦯;человек с белой тростью;инвалид|слепой
🧑‍🦯‍➡️;человек с белой тростью: , направленные вправо;,|вправо|инвалид|направленные|слепой|человек с белой тростью
👨‍🦯;мужчина с тростью для ходьбы;инвалид|мужчина|палочка|слепой|трость|человек
👨‍🦯‍➡️;мужчина с тростью для ходьбы: , направленные вправо;,|вправо|инвалид|мужчина|мужчина с тростью для ходьбы|направленные|палочка|слепой|трость|человек
👩‍🦯;женщина с тростью для ходьбы;женщина|инвалид|палочка|слепая|трость|человек
👩‍🦯‍➡️;женщина с тростью для ходьбы: , направленные вправо;,|вправо|женщина|женщина с тростью для ходьбы|инвалид|направленные|палочка|слепая|трость|человек
🧑‍🦼;человек в кресле-коляске с мотором;инвалид|инвалидная коляска
🧑‍🦼‍➡️;человек в кресле-коляске с мотором: , направленные вправо;,|вправо|инвалид|инвалидная коляска|направленные|человек в кресле-коляске с мотором
👨‍🦼;мужчина в электрическом кресле-коляске;в кресле|инвалид|инвалидное кресло|кресло|мужчина
👨‍🦼‍➡️;мужчина в электрическом кресле-коляске: , направленные вправо;,|в кресле|вправо|инвалид|инвалидное кресло|кресло|мужчина|мужчина в электрическом кресле-коляске|направленные
👩‍🦼;женщина в электрическом кресле-коляске;в кресле|женщина|инвалид|инвалидное кресло|кресло|человек
👩‍🦼‍➡️;женщина в электрическом кресле-коляске: , направленные вправо;,|в кресле|вправо|женщина|женщина в электрическом кресле-коляске|инвалид|инвалидное кресло|кресло|направленные|человек
🧑‍🦽;человек в кресле-коляске с ручным приводом;инвалид|инвалидная коляска
🧑‍🦽‍➡️;человек в кресле-коляске с ручным приводом: , направленные вправо;,|вправо|инвалид|инвалидная коляска|направленные|человек в кресле-коляске с ручным приводом
👨‍🦽;мужчина в ручном кресле-коляске;в кресле|инвалид|инвалидное кресло|кресло|мужчина|человек
👨‍🦽‍➡️;мужчина в ручном кресле-коляске: , направленные вправо;,|в кресле|вправо|инвалид|инвалидное кресло|кресло|мужчина|мужчина в ручном кресле-коляске|направленные|человек
👩‍🦽;женщина в ручном кресле-коляске;в кресле|женщина|инвалид|инвалидное кресло|кресло
👩‍🦽‍➡️;женщина в ручном кресле-коляске: , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные
🏃;человек бежит;бег|бежит|марафон|спорт|трусцой|человек
🏃‍♂️;мужчина бежит;бег|марафон|мужчина|спорт|трусцой
🏃‍♀️;женщина бежит;бег|бежит|женщина|марафон|спешу|спорт|трусцой|убегаю
🏃‍➡️;человек бежит: , направленные вправо;,|бег|бежит|вправо|марафон|направленные|спорт|трусцой|человек
🏃‍♀️‍➡️;женщина бежит: , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|спешу|спорт|трусцой|убегаю
🏃‍♂️‍➡️;мужчина бежит: , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|спорт|трусцой
🧑‍🩰;артист балета;артист|балерина|балет|искусство|пуанты|сцена|танец|танцор
💃;танцующая женщина;движения|дискотека|женщина|красное платье|красота|танцовщица|танцы|человек
🕺;танцующий мужчина;движения|красота|мужчина|танец|танцы|человек
🕴️;бизнесмен в воздухе;бизнес|костюм|полет|человек
👯;люди с ушами кролика;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|танец|уши
👯‍♂️;мужчины с ушами кролика;вечеринка|кордебалет|кролик|танец|танцор|уши|уши кролика
👯‍♀️;женщины с ушами кролика;вечеринка|кордебалет|кролик|танец|уши|уши кролика
🧖;человек в бане;баня|париться|парная|паровая|паром|пропотеть|сауна|хамам
🧖‍♂️;мужчина в бане;парная|сауна
🧖‍♀️;женщина в бане;парная|сауна
🧗;человек взбирается по скале;альпинистка|взбираться|восхождение|гора|подъем|скала|скалолазание|человек
🧗‍♂️;мужчина взбирается по скале;мужчина|скала|скалолаз
🧗‍♀️;женщина взбирается по скале;женщина|скала|скалолаз
🤺;фехтовальщик;рапира|спорт|фехтование|человек|шпага
🏇;скачки;бега|жокей|ипподром|конный|конь|лошади|спорт|ставки|тотализатор
⛷️;горные лыжи;горнолыжный|горные|лыжи|склон|скорость|спортсмен|человек
🏂;сноубордист;горы|склон|снег|сноуборд|спорт|спортсмен
🏌️;гольфист;гольф|игрок|клюшка|удар
🏌️‍♂️;мужчина играет в гольф;гольф|гольфист|игрок|клюшка
🏌️‍♀️;женщина играет в гольф;гольф|гольфистка|женщина|клюшка|спорт|спортсменка|удар
🏄;серфинг;вода|волны|доска|спорт
🏄‍♂️;серфингист;вода|волны|доска|серфинг|спорт|спортсмен
🏄‍♀️;серфингистка;вода|волны|доска|серфинг|спорт|спортсменка
🚣;гребля;весла|вода|лодка|море
🚣‍♂️;гребец;весла|вода|гребля|лодка
🚣‍♀️;гребчиха;весла|вода|гребля|лодка
🏊;плавание;бассейн|вода|водный спорт|море|пловец|плыть|спорт|спортсмен
🏊‍♂️;пловец;мужчина|плавание|спорт
🏊‍♀️;пловчиха;женщина|плавание|спорт
⛹️;баскетболист;баскетбол|ведение|игра|мяч
⛹️‍♂️;мужчина с мячом;баскетбол|мужчина|мяч|спорт
⛹️‍♀️;женщина с мячом;баскетбол|баскетболистка|женщина|мяч|спорт
🏋️;тяжелоатлет;атлет|атлетика|вес|помост|тяжелая|штанга
🏋️‍♂️;мужчина со штангой;мужчина|пауэрлифтинг|спорт|тяжелая атлетика
🏋️‍♀️;женщина со штангой;женщина|пауэрлифтинг|спорт|тяжелая атлетика|тяжеловеска
🚴;велосипедист;велосипед|велоспорт|кататься|педали|спорт|человек
🚴‍♂️;мужчина на велосипеде;велосипед|мужчина|спорт
🚴‍♀️;женщина на велосипеде;велосипед|велосипедистка|женщина|кататься|педали|спорт
🚵;человек на горном велосипеде;байк|велик|велосипед|горный|горы|педали|соревнование|спорт|человек
🚵‍♂️;мужчина на горном велосипеде;велосипед|горный велосипед|мужчина|спорт
🚵‍♀️;женщина на горном велосипеде;велосипед|велосипедистка|горный велосипед|женщина|спорт
🤸;акробатический трюк;акробатика|активный|вверх ногами|гимнастика|колесо|спорт|счастливый|трюк|человек
🤸‍♂️;акробат;акробатика|гимнастика|мужчина|спорт|трюк
🤸‍♀️;женщина-акробат;акробат|акробатика|гимнастика|женщина|спорт|трюк
🤼;борцы;бороться|борьба|драка|рестлинг|ринг|спаринг|спарринг|спорт|человек
🤼‍♂️;мужчины-борцы;борьба|мужчина|спорт
🤼‍♀️;женщины-борцы;борцы|борчихи|борьба|женщины|спарринг|спорт
🤽;водное поло;вода|водное|поло|спорт|человек
🤽‍♂️;мужчина играет в водное поло;вода|водное|мужчина|мяч|поло|спорт
🤽‍♀️;женщина играет в водное поло;вода|водное|женщина|мяч|поло|спорт
🤾;гандбол;бросок|гандболист|мяч|спорт|спортсмен|человек
🤾‍♂️;гандболист;гандбол|мужчина|спорт
🤾‍♀️;гандболистка;бросок|гандбол|женщина|мяч|спорт|спортсменка
🤹;жонглер;жонглирование|многозадачность|навык|равновесие
🤹‍♂️;мужчина-жонглер;жонглер|многозадачность|мужчина
🤹‍♀️;женщина-жонглер;женщина|жонглер|многозадачность
🧘;человек в позе лотоса;йога|лотос|медитация|поза|расслабление
🧘‍♂️;мужчина в позе лотоса;йога|медитация|мужчина|расслабление
🧘‍♀️;женщина в позе лотоса;женщина|йога|медитация|расслабление
🛀;человек в ванне;ванна|ванная|вода|человек
🛌;человек в кровати;гостиница|кровать|ночь|отель|сон|спит|человек
🧑‍🤝‍🧑;люди, держащиеся за руки;держаться|держащиеся|друзья|лучшие|люди|пара|руки|семья
👭;две женщины;держаться за руки|женщины|лучшие подруги|пара|подружки|руки|сестры
👫;мужчина и женщина;держаться за руки|друзья|женщина|мужчина|пара|руки|свидание|флирт
👬;двое мужчин;близнецы|братья|двое|двойняшки|дружба|друзья|мужчины|пара
💏;поцелуй;любовь|пара|романтика|чувства
👩‍❤️‍💋‍👨;поцелуй: женщина мужчина;женщина|любовь|мужчина|пара|поцелуй|романтика|чувства
👨‍❤️‍💋‍👨;поцелуй: мужчина мужчина;любовь|мужчина|пара|поцелуй|романтика|чувства
👩‍❤️‍💋‍👩;поцелуй: женщина женщина;женщина|любовь|пара|поцелуй|романтика|чувства
💑;влюбленная пара;влюбленные|любовь|люди|пара|свидание|сердце|чувства
👩‍❤️‍👨;влюбленная пара: женщина мужчина;влюбленные|женщина|любовь|люди|мужчина|пара|свидание|сердце|чувства
👨‍❤️‍👨;влюбленная пара: мужчина мужчина;влюбленные|любовь|люди|мужчина|пара|свидание|сердце|чувства
👩‍❤️‍👩;влюбленная пара: женщина женщина;влюбленные|женщина|любовь|люди|пара|свидание|сердце|чувства
👨‍👩‍👦;семья: мужчина женщина мальчик;женщина|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👧;семья: мужчина женщина девочка;девочка|женщина|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👧‍👦;семья: мужчина женщина девочка мальчик;девочка|женщина|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👦‍👦;семья: мужчина женщина мальчик мальчик;женщина|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👩‍👧‍👧;семья: мужчина женщина девочка девочка;девочка|женщина|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👦;семья: мужчина мужчина мальчик;мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👧;семья: мужчина мужчина девочка;девочка|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👧‍👦;семья: мужчина мужчина девочка мальчик;девочка|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👦‍👦;семья: мужчина мужчина мальчик мальчик;мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👨‍👧‍👧;семья: мужчина мужчина девочка девочка;девочка|мужчина|портрет|ребенок|родители|семейный|семья
👩‍👩‍👦;семья: женщина женщина мальчик;женщина|мальчик|портрет|ребенок|родители|семейный|семья
👩‍👩‍👧;семья: женщина женщина девочка;девочка|женщина|портрет|ребенок|родители|семейный|семья
👩‍👩‍👧‍👦;семья: женщина женщина девочка мальчик;девочка|женщина|мальчик|портрет|ребенок|родители|семейный|семья
👩‍👩‍👦‍👦;семья: женщина женщина мальчик мальчик;женщина|мальчик|портрет|ребенок|родители|семейный|семья
👩‍👩‍👧‍👧;семья: женщина женщина девочка девочка;девочка|женщина|портрет|ребенок|родители|семейный|семья
👨‍👦;семья: мужчина мальчик;мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👦‍👦;семья: мужчина мальчик мальчик;мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👧;семья: мужчина девочка;девочка|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👧‍👦;семья: мужчина девочка мальчик;девочка|мальчик|мужчина|портрет|ребенок|родители|семейный|семья
👨‍👧‍👧;семья: мужчина девочка девочка;девочка|мужчина|портрет|ребенок|родители|семейный|семья
👩‍👦;семья: женщина мальчик;женщина|мальчик|портрет|ребенок|родители|семейный|семья
👩‍👦‍👦;семья: женщина мальчик мальчик;женщина|мальчик|портрет|ребенок|родители|семейный|семья
👩‍👧;семья: женщина девочка;девочка|женщина|портрет|ребенок|родители|семейный|семья
👩‍👧‍👦;семья: женщина девочка мальчик;девочка|женщина|мальчик|портрет|ребенок|родители|семейный|семья
👩‍👧‍👧;семья: женщина девочка девочка;девочка|женщина|портрет|ребенок|родители|семейный|семья
🗣️;говорящая голова;говорить|говорящая|голова|кричать|речь|силуэт
👤;силуэт человека;бюст|лицо|силуэт|таинственный|тайна|тень|человек
👥;два силуэта;бюст|головы|двое|лицо|люди|силуэт|темный|тень
🫂;обнимающиеся люди;дружба|любовь|обнимашки|объятия|пока|привет|прощай|спасибо|успокоить
👪;семья;портрет|ребенок|родители|семейный
🧑‍🧑‍🧒;семья: двое взрослых и ребенок;семья с одним ребенком
🧑‍🧑‍🧒‍🧒;семья: двое взрослых и двое детей;семья с двумя детьми
🧑‍🧒;семья: взрослый и ребенок;неполная семья с одним ребенком|родитель-одиночка с одним ребенком
🧑‍🧒‍🧒;семья: взрослый и двое детей;неполная семья с двумя детьми|родитель-одиночка с двумя детьми
👣;следы;нога|подошва|рельеф|след|человек
🫆;отпечаток пальца;безопасность|биометрия|идентификация|криминалистика
🐵;морда обезьяны;животное|морда|обезьяна|обезьянья
🐒;обезьяна;животное
🦍;горилла;животное|обезьяна
🦧;орангутан;обезьяна|орангутанг|примат|человекоподобная|человекоподобный
🐶;морда собаки;животное|морда|пес|собака|собачья
🐕;собака;животное|пес|питомец|щенок
🦮;собака-поводырь;инвалид|поводырь|помощь|слепой|собака
🐕‍🦺;служебная собака;инвалид|поиск|поисковая|помощь|собака
🐩;пудель;домашнее животное|животное|порода|собака
🐺;морда волка;волк|волчья|животное|морда|собака
🦊;морда лисицы;животное|лис|лиса|лисица|лисья|морда
🦝;морда енота;енот|животное|любопытный|морда|полоскун
🐱;морда кошки;животное|кот|кошачья|кошка|морда|питомец
🐈;кошка;животное|кот|котенок|питомец
🐈‍⬛;черная кошка;кот|кошка|мяу|несчастье|неудача|плохая|примета|черная|черный
🦁;морда льва;гороскоп|грива|животное|знак|знак зодиака|зодиак|лев|морда
🐯;морда тигра;животное|зверь|морда|тигр|тигренок|тигриная
🐅;тигр;животное|зверь|зоопарк|кошка|хищник
🐆;леопард;гепард|животное|зверь|зоопарк|кошка|хищник
🐴;морда лошади;конь|лошадиная|лошадь|морда
🫎;лось;животное|млекопитающее|рога|рогатый|сохатый
🫏;осел;животное|ишак|млекопитающее|мул|ослик|упрямый
🐎;лошадь;жеребец|животное|конь|скаковая|скакун|скачки
🦄;голова единорога;единорог|животное|морда|рог|сказочное|фэнтези
🦓;зебра;зебры|полосатая|полоски|черно-белая
🦌;олень;грация|животное|зверь|рога
🦬;бизон;буйвол|животное|зубр|стадо|як
🐮;морда коровы;животное|корова|коровья|морда|му|рога
🐂;бык;гороскоп|животное|знак|зодиак|телец
🐃;буйвол;животное|зверь|зоопарк|рога
🐄;корова;животное|молоко|рога|ферма
🐷;морда свиньи;бекон|животное|морда|поросенок|пятачок|сало|свинина|свинья|хрюшка
🐖;свинья;бекон|животное|ферма|хрюшка
🐗;кабан;голова|дикий|животное|клыки
🐽;свиной пятачок;морда|поросенок|пятак|пятачок|свинья|хрю|хрюшка
🐏;баран;гороскоп|животное|знак|зодиак|овен|рога
🐑;овца;баран|жвачное|животное|парнокопытное|рога|ферма|шерсть|ягненок|ягнятина
🐐;коза;животное|знак зодиака|зодиак|козел|козерог
🐪;одногорбый верблюд;верблюд|горб|дромадер|один|пустыня
🐫;двугорбый верблюд;бактриан|верблюд|горб|жвачное|животное|один|парнокопытное|пустыня
🦙;лама;альпака|викунья|гуанако|животное|копытное|руно|шерсть
🦒;жираф;длинная шея|животное|пятна|пятнистый|шея
🐘;слон;животное|хобот
🦣;мамонт;бивень|большой|вымирание|животное|мохнатый|предок
🦏;носорог;животное|рог
🦛;гиппопотам;бегемот|животное
🐭;морда мыши;грызун|морда|мышка|мышь
🐁;мышь;белая мышь|грызун|крыса|мышка|мышонок|хвост
🐀;крыса;грызун
🐹;морда хомяка;домашнее животное|животное|морда|мордочка|мышь|хомяк
🐰;морда кролика;домашнее|животное|зайчик|кролик|морда
🐇;кролик;белый|домашнее|животное|зайчик|заяц
🐿️;бурундук;белочка|животное|орех
🦫;бобр;бобер|грызть|животное|зубы|плотина
🦔;еж;ежик|животное|иголка|иголки|колючий|колючки
🦇;летучая мышь;вампир|животное|летучая|мышь
🐻;морда медведя;бурый|животное|медведь|морда
🐻‍❄️;морда белого медведя;белый медведь|животное|медведь|полярный медведь|северный полюс
🐨;морда коалы;австралия|животное|коала|медведь|морда|эвкалипт
🐼;морда панды;животное|медведь|морда|панда
🦥;ленивец;животное|лень|медленно|медленный|спать
🦦;выдра;вода|животное|играть|ловить|рыбалка
🦨;скунс;вонь|вонючка|вонять|животное|фу
🦘;кенгуру;австралия|животное|скакать|сумка|сумчатое|сумчатые
🦡;барсук;животное|носуха
🐾;следы животного;животное|лапы|отпечатки|следы
🦃;индейка;благодарение|благодарения|индюк|крылья|птица
🐔;курица;голова|петух|птица|цыпленок
🐓;петух;гребешок|петушок|птица
🐣;цыпленок в яйце;вылупился|желтый|цыпленок|яйцо
🐤;цыпленок боком;голова|голова цыпленка|клюв|маленький|цыпленок
🐥;цыпленок;крылья|курица|маленький
🐦;птица;голова|голубь
🐧;пингвин;антарктика|арктика|голова|животное|зоопарк|птица
🕊️;голубь;белый|мир|полет|преданность|чистота
🦅;орел;птица|хищник
🦆;утка;птица|селезень
🦢;лебедь;белый лебедь|водоплавающее|гадкий утенок|птица
🦉;сова;мудрость|птица|филин
🦤;дронт;большой|вымерший|додо|маврикий|птица
🪶;перо;лёгкий|оперение|перышко|писать|полёт|птица
🦩;фламинго;птица|розовый|тропики|тропическая|тропический
🦚;павлин;веер|красивый|перья|птица|хвост|цветной
🦜;попугай;ара|говорить|говорящий|пират|птица|птица-говорун
🪽;крыло;авиация|ангельский|летать|мифология|полет|птица
🐦‍⬛;черная птица;ворон|ворона|врановый|грач|каркать|клюв|птица|черный|чёрный
🪿;гусь;глупый|гогот|гоготать|гуси|дичь|птица|утка
🐦‍🔥;феникс;возрождение|восстать|заново|огненная птица|птица феникс|реинкарнация|сказка|сказочная птица
🐸;голова лягушки;голова|жаба|зеленая|лягушка|морда
🐊;крокодил;аллигатор|зеленый
🐢;черепаха;зеленая
🦎;ящерица;зеленая|рептилия
🐍;змея;гадюка|змееносец|знак|зодиак|опасность|яд
🐲;голова дракона;дракон|морда|морда дракона|сказка|фентези|фэнтези
🐉;дракон;голова|зеленый дракон|змея|морда|сказка|фентези|фэнтези
🦕;зауропод;брахиозавр|бронтозавр|динозавр|диплодок
🦖;Ти-Рекс;динозавр|рекс|тираннозавр
🐳;кит с фонтанчиком;брызги|вода|кит
🐋;кит;животное|океан
🐬;дельфин;вода|море|океан|пляж
🫍;косатка;животное|касатка|кит|море|морское|хищник|черно-белый
🦭;тюлень;животное|морской котик|морской лев|нерпа|океан
🐟;рыба;гороскоп|знак зодиака|зодиак|рыбалка|рыбы
🐠;тропическая рыба;рыба|тропики|экзотическая
🐡;рыба-еж;еж|иголки|рыба
🦈;акула;рыба|хищник
🐙;осьминог;океан|спрут|щупальца
🐚;раковина;моллюск|ракушка|спираль|улитка
🪸;коралл;изменение климата|море|океан|природа|риф
🪼;медуза;беспозвоночное|морское|ожог|ой|ужалить
🦀;краб;знак|зодиак|клешни|рак
🦞;омар;животное|клешни|лангуст|лобстер|морепродукты|рак
🦐;креветка;еда|маленькая|морепродукты|ракообразные|рачок
🦑;кальмар;еда|моллюск|щупальца
🦪;устрица;жемчуг|жемчужина|нырять|раковина|ракушка|устричный
🐌;улитка;медленно|ползти|раковина
🦋;бабочка;красота|мотылек|насекомое
🐛;гусеница;жук|многоножка|насекомое|сороконожка
🐜;муравей;насекомое
🐝;пчела;жало|желто-черная|мед|насекомое|природа
🪲;жук;букашка|жучок|клоп|насекомое
🐞;божья коровка;божья|жук|жучок|коровка|насекомое|природа|сад
🦗;сверчок;кузнечик|насекомое|цикада
🪳;таракан;вредитель|мерзкий|насекомое|прусак
🕷️;паук;насекомое|черная вдова
🕸️;паутина;паук|сети|сеть
🦂;скорпион;гороскоп|знак|знак зодиака|зодиак
🦟;комар;вирус|кровосос|лихорадка|малярия|москит|насекомое|укус
🪰;муха;вредитель|зараза|личинка|насекомое
🪱;червяк;дождевой червь|животное|земляной червь|круглый червь|паразит|червь
🦠;микроб;амеба|бактерия|вирус|наука
💐;букет;любовь|подарок|поздравление|праздник|розы|романтика|свидание|тюльпаны|цветы
🌸;цветок вишни;мальва|сакура|цвести|цветок
💮;белый цветок;белый|цветок
🪷;лотос;буддизм|индуизм|красота|медитация|спокойствие|умиротворение|цветок|чистота
🏵️;розетка;растение|розочка|цветок
🌹;роза;бутон|валентинка|красная|красота|любовь|растение|цветок|элегантность
🥀;увядший цветок;завяла|лепесток|роза|увядший|цветок
🌺;гибискус;китайская роза|цветок
🌻;подсолнух;солнце|цветок
🌼;цветок;растение
🌷;тюльпан;цвести|цветок
🪻;гиацинт;лаванда|львиный зев|люпин|цветок
🌱;росток;молодое растение|молодой|новое растение|новый|растение
🪴;растение в горшке;горшок|домашнее растение|растение|растение в доме|цветок в горшке
🌲;елка;вечнозеленое дерево|дерево|ель|лес|новый год
🌳;дерево;зеленое|листва|растение
🌴;пальма;дерево|тропики
🌵;кактус;зеленое|колючки|мексика|растение|текила
🌾;колос;зерно|пшеница|рис
🌿;веточка;ветка|листья|трава
☘️;трилистник;Ирландия|клевер|растение
🍀;четырехлистный клевер;клевер|удача|четыре
🍁;кленовый лист;клен|красный|лист|осень
🍂;падающие листья;листопад|листья|осень
🍃;листья на ветру;ветер|листопад|листья
🪹;пустое гнездо;гнездо|гнездование|домой|природа|птицы|пусто
🪺;гнездо с яйцами;гнездо|гнездование|кладка яиц|природа|птицы|яйца
🍄;гриб;мухомор|несъедобный|поганка|ядовитый
🪾;дерево без листвы;дерево без листьев|засуха|зима
🍇;виноград;ветвь винограда|виноградина|сок|фрукт
🍈;дыня;растение|фрукт|ягода
🍉;арбуз;растение|фрукт|ягода
🍊;мандарин;апельсин|клементин|фрукт|цитрус|цитрусовый
🍋;лимон;кислый|фрукт|цитрус|цитрусовый
🍋‍🟩;лайм;зеленый|кислота|коктейль|маргарита|мохито|сок|текила|тропический|фрукт|цитрус|цитрусовый
🍌;банан;фрукт
🍍;ананас;фрукт
🥭;манго;еда|сладкий|тропики|тропический|фрукт
🍎;красное яблоко;зрелое|красное|фрукт|яблоко
🍏;зеленое яблоко;зеленое|фрукт|яблоко
🍐;груша;фрукт
🍑;персик;нектарин|фрукт
🍒;вишня;вишни|дерево|плоды|фрукт|черешни|черешня
🍓;клубника;земляника|ягода
🫐;голубика;голубой|черника|ягода
🥝;киви;еда|фрукт
🍅;помидор;овощ|томат|ягода
🫒;оливка;еда|маслина|олива
🥥;кокос;кокосы|орех|пальма|пина колада
🥑;авокадо;еда|фрукт
🍆;баклажан;овощ|синенькие|синенький
🥔;картофель;еда|картошка|овощ
🥕;морковь;еда|морковка|овощ
🌽;кукурузный початок;кукуруза|початок
🌶️;острый перец;красный|острый|перец|растение|чили
🫑;болгарский перец;еда|овощ|перец|растение|сладкий
🥒;огурец;еда|зелень|овощ|огурчик|соленье
🥬;зеленый салат;ботва|зеленый|капуста|латук|листовой|листья|салат
🥦;брокколи;капуста
🧄;чеснок;вкус|головка|готовить|еда|запах|приправа|специя|чесночный
🧅;лук;головка|готовить|еда|луковица|луковый|плакать|репчатый
🥜;арахис;еда|овощ|орех
🫘;фасоль;бобовые|бобы|еда|кидни
🌰;каштан;растение
🫚;корень имбиря;имбирь|корень|специя
