😀;gülən üz;gülmək|üz
🧑‍💼;ofis işçisi;ağ yaxalıqlı|biznes|memar|menecer
👨‍💼;kişi ofis işçisi;ağ yaxalıqlı|biznes|biznesmen|kişi|memar|menecer|ofis|ofis işçisi
👩‍💼;qadın ofis işçisi;ağ yaxalıqlı|biznes|memar|menecer|ofis|qadın
🧑‍🔬;alim;bioloq|fizik|kimyaçı|mühəndis|qadın
👨‍🔬;kişi alim;alim|bioloq|fizik|kimyaçı|kişi|mühəndis|riyaziyyatçı
👩‍🔬;qadın alim;alim|bioloq|fizik|kimyaçı|mühəndis|qadın|riyaziyyatçı
🧑‍💻;texnoloq;ixtiraçı|proqram təminatı|şifrələyici|tərtibatçı
👨‍💻;kişi texnoloq;ixtiraçı|kişi|proqram təminatı|şifrələyici|texnoloq|tərtibatçı
👩‍💻;qadın texnoloq;ixtiraçı|kompüter|proqram təminatı|qadın|şifrələyici|texnoloq|tərtibatçı
🧑‍🎤;müğənni;aktyor|estrada artisti|rok|ulduz
👨‍🎤;kişi müğənni;aktyor|estrada artisti|kişi|müğənni|rok|rok ulduzu|sənətçi|ulduz
👩‍🎤;qadın müğənni;aktyor|estrada artisti|estrada ifaçısı|müğənni|qadın|rok|ulduz
🧑‍🎨;aktyor;palitra
👨‍🎨;kişi rəssam;boya|kişi|palitra|rəng|rəssam|sənətçi
👩‍🎨;qadın rəssam;palitra|qadın|rəng|rəssam
🧑‍✈️;pilot;təyyarə
👨‍✈️;kişi pilot;kişi|pilot|təyyarə
👩‍✈️;qadın pilot;pilot|qadın|təyyarə
🧑‍🚀;astronavt;raket
👨‍🚀;kişi astronavt;astronavt|kişi|kosmos|raket
👩‍🚀;qadın astronavt;astronavt|kosmos|qadın|raket
🧑‍🚒;yanğınsöndürən maşın;yanğınsöndürən
👨‍🚒;kişi yanğınsöndürən;kişi|yanğınsöndürən|yanğınsöndürən maşın
👩‍🚒;qadın yanğınsöndürən;qadın|yanğınsöndürən|yanğınsöndürən maşın
👮;polis məmuru;həbs etmək|maşını polis tərəfindən dayandırılmış|məmur|mülki geyimli polis|polis|polis nəfəri|polis rəisi|qanun|qanuni faktlara əsaslanma|tutmaq
👮‍♂️;kişi polis;kişi|polis|polis nəfəri|zabit
👮‍♀️;qadın polis;həbs etmək|maşını polis tərəfindən dayandırılmış|mülki geyimli polis|polis|polis işçisi|polis məmuru|polis nəfəri|polis rəisi|qadın|qanun|qanuni faktlara əsaslanma|tutmaq|zabit
🕵️;detektiv;agent|casus|xəfiyyə
🕵️‍♂️;kişi detektiv;casus|detektiv|kişi|xəfiyyə
🕵️‍♀️;qadın detektiv;casus|detektiv|qadın|xəfiyyə
💂;keşikçi;
💂‍♂️;kişi keşikçi;keçikçi|kişi
💂‍♀️;qadın keşikçi;gözətçi|keşikçi|növbətçi|qadın|qarovul
🥷;nindza;döyüş|döyüşçü|gizli|gizlilik|insan
👷;tikinti işçisi;dəbilqə|düzəltmək|günəmuzd işçi|işçi|kask|papaq|qoruyucu papaq|təmir etmək|tikinti|tikinti işi|tikmək|yenidən qurmaq|yenidən tikmək
👷‍♂️;kişi bənna;fəhlə|kişi|tikinti
👷‍♀️;qadın bənna;fəhlə|işçi|qadın|tikinti
🫅;taclı adam;kral|kraliça|krallıq|monarx|nəcib|səltənət|tac
🤴;oğlan şahzadə;şah|şahzadə
👸;qız şahzadə;fantastika|kraliça|nağıl|şahzadə qız|sehirli nağıl
👳;çalmalı kişi;çalma|kişi
👳‍♂️;türbanlı kişi;kişi|türban
👳‍♀️;türbanlı qadın;hicablı qadın|qadın|türban
👲;çin kepkalı kişi;araqçın|çinlilərə məxsus papaq taxmış kişi|kişi|papaq
🧕;şərfli qadın;baş örtüyü|başıbağlı qadın|hicab|mantilya|şərf|tişel
🤵;smokinqli şəxs;bəy|kostyum|rəsmi geyimli kişi|şəxs|smokinq
🤵‍♂️;smokinqli adam;adam|smokinq
🤵‍♀️;smokinqli qadın;qadın|smokinq
👰;duvaqlı şəxs;duvaq|duvaqlı gəlin|fata|fatalı gəlin|gəlin|şəxs|toy
👰‍♂️;duvaqlı adam;adam|duvaq
👰‍♀️;duvaqlı qadın;duvaq|qadın
🤰;hamilə qadın;hamilə|qadın|uşaq
🫃;hamilə kişi;adam|çox yemək|hamilə|qarın|şişkin|tam
🫄;hamilə adam;çox yemək|hamilə|qarın|şişkin|tam
🤱;uşaq əmizdirmə;döş|körpə|yedirtmə
👩‍🍼;körpə əmizdirən qadın;ana|bəsləyən|dayə|əmizdirən|körpə|qadın
👨‍🍼;körpə əmizdirən kişi;ata|bəsləyən|əmizdirən|kişi|körpə
🧑‍🍼;körpə əmizdirən şəxs;ana|ata|bəsləyən|dayə|əmizdirən|insan|kişi|körpə|qadın|şəxs
👼;körpə mələk;fantastika|körpə|mələk|nağıl|üz
🎅;Santa Klaus;ata|bayram|milad|nağıl|santa|şaxta baba|təntənə
🤶;xanım Klaus;ana|bayram|Klaus|milad|santa|xanım
🧑‍🎄;mx klaus;bayram|insan|Klaus|milad|papaq|santa
🦸;superqəhrəman;betmen|qəhrəman|supergüc|supergüclər|xeyirxah
🦸‍♂️;kişi superqəhrəman;kişi|qəhrəman|supergüc|xeyirxah
🦸‍♀️;qadın superqəhrəman;qadın|qəhrəman|supergüc|xeyirxah
🦹;supercani;cani|cinayətkar|pis|şeytani qüvvə|şəxs|supergüc|supergüclər|yaman|yaramaz
🦹‍♂️;kişi supercani;cani|kişi|kriminal|pis|supergüc
🦹‍♀️;qadın supercani;cani|kriminal|pis|qadın|supergüc
🧙;maq;cadugər|çağırış cadusu|fantastika|küpəgirən qarı|ovsun|ovsunçu|rollu oyun|sehr|sehrbaz
🧙‍♂️;kişi maq;ovsunçu|sehrbaz
🧙‍♀️;qadın maq;cadugər|küpəgirən qarı
🧚;pəri;fantastika|insan formasında pəri|mif|nağıl|Oberon|piksi|Puck|qanadlar|sehrli nağıl|Titania
🧚‍♂️;kişi pəri;Oberon|Puck
🧚‍♀️;qadın pəri;Titania
🧛;vampir;dişlər|Drakula|fövqəltəbii|geyim|hellouin|köpək dişləri|qan|xortdan
🧛‍♂️;kişi vampir;Drakula|xortdan
🧛‍♀️;qadın vampir;xortdan
🧜;dəniz adamı;dəniz kişisi|dəniz pərisi|dəniz qadını|dənizin altında|folklor|kişi cinsindən olan su pərisi|okeanda yaşayan varlıqlar|qadın cinsindən olan su pərisi|sehrli nağıl|su pərisi|üçbaşlı əsa
🧜‍♂️;dəniz kişisi;Triton
🧜‍♀️;su pərisi;dəniz qadını
🧝;elf;elflər|fantastika|folklor|mifik|sehrli|sirli|tilsim
🧝‍♂️;kişi elf;sehrli
🧝‍♀️;qadın elf;sehrli
🧞;cin;diləklər|fantastika|insan formasında cin|lampa cini|lampanı ovuşdurmaq|mifik|sirli
🧞‍♂️;kişi cin;cin
🧞‍♀️;qadın cin;cin
🧟;zombi;apokalipsis|gəzən ölü|hellouin|qorxu|qorxulu|xortdan
🧟‍♂️;kişi zombi;gəzən ölü|xortdan
🧟‍♀️;qadın zombi;gəzən ölü|xortdan
🧌;troll;canavar|fentezi|monstr|nağıl|trollamaq
🫈;tüklü məxluq;böyükayaq|meşə|nəhəng|oduncaq|sasquatch|sirli|tüklü|yeti
💆;üz masajı;baş ağrısı|baş nahiyəsinə masaj edilən şəxs|gərginlik|masaj|qulluq|rahatlatmaq|sakitləşdirici|sakitləşdirmək|salon|spa|terapiya|üz
💆‍♂️;üzünə masaj edən kişi;baş ağrısı|istirahət|kişi|masaj|üz
💆‍♀️;üzünə masaj edən qadın;masaj|qadın|üz
💇;saç kəsimi;baxım|bərbər|böyük qayçı|gözəl qadın|gözəllik|gözəllik salonu|kosmetologiya|qısa kəsmək|saç|saç kəsdirən qadın|saç stili|saç ustası|saçı kəsmək|salon
💇‍♂️;saçını kəsdirən kişi;bərbər|dəllək|kişi|saç kəsimi
💇‍♀️;saçını kəsdirən qadın;qadın|saç kəsimi
🚶;piyada;addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
🚶‍♂️;gəzən kişi;gəzinti|kişi|yürüş
🚶‍♀️;gəzən qadın;gəzinti|qadın|yürüş
🚶‍➡️;piyada: sağa baxan;addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|sağa|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
🚶‍♀️‍➡️;gəzən qadın: sağa baxan;baxan|gəzən qadın|gəzinti|qadın|sağa|yürüş
🚶‍♂️‍➡️;gəzən kişi: sağa baxan;baxan|gəzən kişi|gəzinti|kişi|sağa|yürüş
🧍;duran adam;ayaq üstə dayanan şəxs|dayanan adam|durmaq
🧍‍♂️;duran kişi;duran|kişi
🧍‍♀️;duran qadın;duran|qadın
🧎;dizi üstündə adam;diz|dizi üstə oturmuş adam|dizi üstündə
🧎‍♂️;dizi üstündə kişi;dizi üstündə|kişi
🧎‍♀️;dizi üstündə qadın;dizi üstündə|qadın
🧎‍➡️;dizi üstündə adam: sağa baxan;baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|sağa
🧎‍♀️‍➡️;dizi üstündə qadın: sağa baxan;baxan|dizi üstündə|dizi üstündə qadın|qadın|sağa
🧎‍♂️‍➡️;dizi üstündə kişi: sağa baxan;baxan|dizi üstündə|dizi üstündə kişi|kişi|sağa
🧑‍🦯;zondlayan çəlikli adam;ağ çəlikli adam|görmə məhdudiyyətli|xüsusi funksiyalar
🧑‍🦯‍➡️;zondlayan çəlikli adam: sağa baxan;ağ çəlikli adam|baxan|görmə məhdudiyyətli|sağa|xüsusi funksiyalar|zondlayan çəlikli adam
👨‍🦯;zond ilə kişi;çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor
👨‍🦯‍➡️;zond ilə kişi: sağa baxan;baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|sağa|zond ilə kişi
👩‍🦯;zond ilə qadın;çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın
👩‍🦯‍➡️;zond ilə qadın: sağa baxan;baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|sağa|zond ilə qadın
🧑‍🦼;motorlu kresloda oturmuş adam;təkərli kreslo|xüsusi funksiyalar
🧑‍🦼‍➡️;motorlu kresloda oturmuş adam: sağa baxan;baxan|motorlu kresloda oturmuş adam|sağa|təkərli kreslo|xüsusi funksiyalar
👨‍🦼;motorlu oturacaqda kişi;əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda
👨‍🦼‍➡️;motorlu oturacaqda kişi: sağa baxan;baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda|sağa
👩‍🦼;motorlu oturacaqda qadın;əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın
👩‍🦼‍➡️;motorlu oturacaqda qadın: sağa baxan;baxan|əlil arabası|motorlu|motorlu əlil arabasında əyləşmiş qadın|oturacaqda|qadın|sağa
🧑‍🦽;əl arabasında adam;əlil arabası|əlil arabasında adam
🧑‍🦽‍➡️;əl arabasında adam: sağa baxan;baxan|əl arabasında adam|əlil arabası|əlil arabasında adam|sağa
👨‍🦽;manual oturacaqda kişi;əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda
👨‍🦽‍➡️;manual oturacaqda kişi: sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş kişi|kişi|manual|oturacaqda|sağa
👩‍🦽;manual oturacaqda qadın;əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın
👩‍🦽‍➡️;manual oturacaqda qadın: sağa baxan;baxan|əlil arabası|əlil arabasında əyləşmiş qadın|manual|oturacaqda|qadın|sağa
🏃;atlet;arxasınca qaçma|cəld|gediş|marafon|qaçan adam|qaçış|sürət|sürətlə gələn|sürətli|tələsmək|yarış
🏃‍♂️;qaçan kişi;kişi|marafon|qaçış|yarış
🏃‍♀️;qaçan qadın;marafon|qaçış|qadın|sürətli qaçış|yarış
🏃‍➡️;atlet: sağa baxan;arxasınca qaçma|atlet|baxan|cəld|gediş|marafon|qaçan adam|qaçış|sağa|sürət|sürətlə gələn|sürətli|tələsmək|yarış
🏃‍♀️‍➡️;qaçan qadın: sağa baxan;baxan|marafon|qaçan qadın|qaçış|qadın|sağa|sürətli qaçış|yarış
🏃‍♂️‍➡️;qaçan kişi: sağa baxan;baxan|kişi|marafon|qaçan kişi|qaçış|sağa|yarış
🧑‍🩰;balet rəqqası;balet|rəqqas
💃;rəqs edən qadın;eleqant|festival|qadın|rəqs|tanqo
🕺;əylənən kişilər;əylənmək|kişi|mahnı|rəqqas|rəqs|tanqo
🕴️;işgüzar kostyumlu kişi;biznes|biznesmen|kişi|kostyum
👯;şənlənən qadınlar;bənzər|dovşan|əkiz|əkizlər|həmişəlik ən yaxşı dost|iki nəfər|oxşar|qadın|qız|qoşa|qulaq|rəqqasə|ruk əkizi|yaxın dost|ziyafət|ziyafətdə əylənmək
👯‍♂️;rəqs edən kişi;dovşan qulaq|kişi|parti|rəqqas|şənlik keçirmək
👯‍♀️;rəqs edən qadınlar;dovşan qulaq|parti|qadın|rəqqasə
🧖;buxarlı otaqda adam;buxarlı|buxarlı otaq|dincəlmək|əzizləmək|rahatlamaq|sauna|spa|spa günü|təmtəraqlı
🧖‍♂️;buxarlı otaqda kişi;buxarlı otaq|sauna
🧖‍♀️;buxarlı otaqda qadın;buxarlı otaq|sauna
🧗;dırmaşan adam;dağ|dırmaşan|dırmaşıb çıxmaq|dırmaşma|dırmaşmaq|qayaya dırmaşan
🧗‍♂️;dırmaşan kişi;dırmaşan
🧗‍♀️;dırmaşan qadın;dırmaşan
🤺;qılınc oynatma;idman|qılınc|qılıncoynatma|yarışma
🏇;at yarışı;at|at çapmaq|jokey|yarış|yarış atı
⛷️;xizəkçi;qar|xizək
🏂;snouborder;idman növü|qar|snoubort|xizək|xizəkçi
🏌️;qolf oynayan;atış|başlanğıc parkur|köməkçi|məşq sahəsi|peşəkar qolfçular birliyi|qolf|qolf vuruşu|son parkur|top
🏌️‍♂️;qolfçu kişi;kişi|qolf
🏌️‍♀️;qolfçu qadın;qadın|qolf
🏄;sörfer;dalğalar|dəniz|idman|okean|sörfçü|sörfinq|sörfinq ilə məşğul olan şəxs|sörfinq ilə məşğul olmaq|xəfif ləpə
🏄‍♂️;sörfçü kişi;kişi|sörfinq
🏄‍♀️;sörfçü qadın;dalğalar|idman|okean|qadın|sörfinq|sörfinqlə məşğul olan qadın
🚣;avarçəkmə qayığı;avar|avarçəkmə|balıqçılıq|çay|dəniz səyahəti|göl|kanoe|kürək|kürək çəkmək|nəqliyyat|qayıq|qayıqçı|sal
🚣‍♂️;qayıqçı kişi;avarlı qayıq|kişi|qayıq
🚣‍♀️;qayıqçı qadın;avar çəkən qadın|avarlı qayıq|qadın|qayıq
🏊;üzgüçü;idman|sərbəst üsulla üzmə|triatlon|üzgüçülük|üzmək
🏊‍♂️;üzgüçü kişi;kişi|üzmək
🏊‍♀️;üzgüçü qadın;qadın|üzgüçülük|üzmək
⛹️;toplu adam;atlet|basketbol|basketbolçu|çempionat|driblinq manevri etmək|idman topu|səbətə dəymədən atış|sərbəst atış|top|topu çiləyən adam
⛹️‍♂️;futbolçu kişi;kişi|top
⛹️‍♀️;futbolçu qadın;idmançı qadın|qadın|top
🏋️;ştanqçı;ağırlıq|ağırlıq qaldıran adam|ağırlıqqaldıran|bodibilder|çəki|deadlift hərəkəti|məşq|pauerliftinq|ştanq|ştanqqaldıran
🏋️‍♂️;ştanqçı kişi;kişi|ştanqçı
🏋️‍♀️;ştanqçı qadın;ağırlıqqaldıran qadın|idmançı|qadın|ştanqçı
🚴;velosipedçi;bayk|dağda velosiped sürən adam|idman növü|motosikl|sürmək|təkərli nəqliyyat növü|velosiped|velosiped sürən
🚴‍♂️;velosipedçi kişi;kişi|velosiped|velosiped sürmək|velosipedçi
🚴‍♀️;velosipedçi qadın;qadın|velosiped|velosiped sürmək|velosipedçi
🚵;dağ velosipedçisi;atletik|bayk|dağ|dağda velosiped sürən adam|idman növü|sürmək|velosiped|velosipedçi
🚵‍♂️;dağ velosipedçisi kişi;dağ|kişi|velosiped|velosipedçi
🚵‍♀️;dağ velosipedçisi qadın;dağ|qadın|velosiped|velosiped sürmək|velosipedçi
🤸;akrobatik hərəkət;akrobat qadın|akrobatika|aktiv|fəal|gimnastika|hərəkət|həyəcanlı|idman|mayallaq aşma|salto|xoşbəxt
🤸‍♂️;akrobat kişi;akrobat|akrobatik hərəkət|aktiv|fəal|gimnast|gimnastika|həyəcanlı|idman|kişi|mayallaq aşma|salto|şəxs|xoşbəxt
🤸‍♀️;aktobat qadın;akrobat|akrobatik hərəkət|aktiv|fəal|gimnast|gimnastika|həyəcanlı|idman|mayallaq aşma|qadın|salto|şəxs|xoşbəxt
🤼;güləş;döyüş|döyüş meydançasında|güləş turniri|güləşçilər|güləşmək|idman|təkbətək döyüş
🤼‍♂️;güləşçi kişi;döyüş|döyüş meydançasında|güləş|güləş turniri|güləşçi kişilər|güləşmək|idman|kişi|şəxs|təkbətək döyüş
🤼‍♀️;güləşçi qadın;arenada|döyüşmək|güləş|güləş yarışı|güləşçi qadınlar|güləşmək|idman|qadın|şəxs|təkbətək döyüş|tutuşmaq
🤽;su polosu;idman|Marco oyunu|polo|su|su idman növü|su poloçusu kişi|top|üzgüçülük|yarışma
🤽‍♂️;su poloçusu kişi;idman|kişi|Marco oyunu|su idman növü|su polosu|üzgüçülük
🤽‍♀️;su poloçusu qadın;idman|Marco oyunu|qadın|su idman növü|su polosu|su polosu üzrə qadın idmançı|üzgüçülük
🤾;həndbol;adam|atletika|atmaq|idman|idman topu|möhkəm atmaq|topu atış üçün tullamaq|topu fırlatmaq|topu rəqibin üzərindən hündürə atmaq|tutmaq|yarışma|yüngül atmaq
🤾‍♂️;həndbolçu kişi;hendbol|idman|kişi
🤾‍♀️;həndbolçu qadın;atmaq|hendbol|idman|idman növü|möhkəm atmaq|qadın|top|topu atış üçün tullamaq|topu fırlatmaq|topu rəqibin üzərindən hündürə atmaq|tutmaq|yüngül atmaq
🤹;janqlyor;eyni anda bir neçə işi görmək|hoqqabaz|idarə etmək|jonqlyor kişi|jonqlyorluq|sirkdə tarazlıq nümayişi|topları havaya atıb tutmaq|tutmaq
🤹‍♂️;jonqlyor kişi;çox-tapşırıqlı|eyni anda bir neçə işi görmək|idarə etmək|jonqlyor|jonqlyorluq|kişi|sirkdə tarazlıq nümayişi|topları havaya atıb tutmaq|tutmaq
🤹‍♀️;jonqlyor qadın;çox-tapşırıqlı|fəndgirlik|janqlyor|jonqlyor|qadın
🧘;lotus pozisiyasında adam;ayaqları haçalanmış|bardaş|dincəlmək|hüzur|istirahət etmək|meditasiya|rahatlamaq|yoqa|yoqa ilə məşğul olan adam|yoqa ilə məşğul olan insan|zen
🧘‍♂️;lotus pozisiyasında kişi;meditasiya|yoqa
🧘‍♀️;lotus pozisiyasında qadın;meditasiya|yoqa
🛀;vanna qəbul edən adam;hamam|vanna
🛌;yataqda uzanmış adam;otel|yatmaq|yuxu|yuxu vaxtı
🧑‍🤝‍🧑;əl-ələ tutan adamlar;cütlük|əl|əl-ələ tutmaq|tutmaq
👭;əl-ələ tutan iki qadın;bacılar|cütlük|əl|ən yaxın dost|lgbt|qadın|tutmaq
👫;əl-ələ tutan kişi və qadın;cütlük|əl|əl-ələ tutmaq|kişi|qadın|sevgi|tutmaq
👬;əl-ələ tutan iki kişi;cütlük|əkizlər|əl-ələ tutmaq|homoseksual|kişi|tutmaq|zodiak
💏;öpüş;cütlük|romantika|sevgi
👩‍❤️‍💋‍👨;öpüş: qadın, kişi;cütlük|kişi|öpüş|qadın|romantika|sevgi
👨‍❤️‍💋‍👨;öpüş: kişi, kişi;cütlük|kişi|öpüş|romantika|sevgi
👩‍❤️‍💋‍👩;öpüş: qadın, qadın;cütlük|öpüş|qadın|romantika|sevgi
💑;ürəkli cütlük;cütlük|romantika|sevgi|ürək
👩‍❤️‍👨;ürəkli cütlük: qadın, kişi;cütlük|kişi|qadın|romantika|sevgi|ürək|ürəkli cütlük
👨‍❤️‍👨;ürəkli cütlük: kişi, kişi;cütlük|kişi|romantika|sevgi|ürək|ürəkli cütlük
👩‍❤️‍👩;ürəkli cütlük: qadın, qadın;cütlük|qadın|romantika|sevgi|ürək|ürəkli cütlük
👨‍👩‍👦;ailə: kişi, qadın, oğlan;ailə|ana|ata|kişi|oğlan|qadın|uşaq
👨‍👩‍👧;ailə: kişi, qadın, qız uşağı;ailə|ana|ata|kişi|qadın|qız uşağı|uşaq
👨‍👩‍👧‍👦;ailə: kişi, qadın, qız uşağı, oğlan;ailə|ana|ata|kişi|oğlan|qadın|qız uşağı|uşaq
👨‍👩‍👦‍👦;ailə: kişi, qadın, oğlan, oğlan;ailə|ana|ata|kişi|oğlan|qadın|uşaq
👨‍👩‍👧‍👧;ailə: kişi, qadın, qız uşağı, qız uşağı;ailə|ana|ata|kişi|qadın|qız uşağı|uşaq
👨‍👨‍👦;ailə: kişi, kişi, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👨‍👧;ailə: kişi, kişi, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👨‍👨‍👧‍👦;ailə: kişi, kişi, qız uşağı, oğlan;ailə|ana|ata|kişi|oğlan|qız uşağı|uşaq
👨‍👨‍👦‍👦;ailə: kişi, kişi, oğlan, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👨‍👧‍👧;ailə: kişi, kişi, qız uşağı, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👩‍👩‍👦;ailə: qadın, qadın, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👩‍👧;ailə: qadın, qadın, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
👩‍👩‍👧‍👦;ailə: qadın, qadın, qız uşağı, oğlan;ailə|ana|ata|oğlan|qadın|qız uşağı|uşaq
👩‍👩‍👦‍👦;ailə: qadın, qadın, oğlan, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👩‍👧‍👧;ailə: qadın, qadın, qız uşağı, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
👨‍👦;ailə: kişi, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👦‍👦;ailə: kişi, oğlan, oğlan;ailə|ana|ata|kişi|oğlan|uşaq
👨‍👧;ailə: kişi, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👨‍👧‍👦;ailə: kişi, qız uşağı, oğlan;ailə|ana|ata|kişi|oğlan|qız uşağı|uşaq
👨‍👧‍👧;ailə: kişi, qız uşağı, qız uşağı;ailə|ana|ata|kişi|qız uşağı|uşaq
👩‍👦;ailə: qadın, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👦‍👦;ailə: qadın, oğlan, oğlan;ailə|ana|ata|oğlan|qadın|uşaq
👩‍👧;ailə: qadın, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
👩‍👧‍👦;ailə: qadın, qız uşağı, oğlan;ailə|ana|ata|oğlan|qadın|qız uşağı|uşaq
👩‍👧‍👧;ailə: qadın, qız uşağı, qız uşağı;ailə|ana|ata|qadın|qız uşağı|uşaq
🗣️;danışan baş;baş|danışan|danışan adam|danışmaq|siluet|üz
👤;büst silueti;büst|siluet
👥;büst siluetləri;büst|siluet
🫂;qucaqlaşan insanlar;dostluq|qucaqlaşma|sağ ol|salam|sevgi|təşəkkürlər|vidalaşma
👪;ailə;ana|ata|uşaq
🧑‍🧑‍🧒;ailə: yetkin, yetkin, uşaq;ailə: yetkin|uşaq|yetkin
🧑‍🧑‍🧒‍🧒;ailə: yetkin, yetkin, uşaq, uşaq;ailə: yetkin|uşaq|yetkin
🧑‍🧒;ailə: yetkin, uşaq;ailə: yetkin|uşaq
🧑‍🧒‍🧒;ailə: yetkin, uşaq, uşaq;ailə: yetkin|uşaq
👣;ayaq izləri;ayaq izi|ayaqyalın|geyim|iz|yerimə
🫆;barmaq izi;cinayət|detektiv|ipucu|iz|kimlik|məhkəmə ekspertizası|sirr|təhlükəszilik
🐵;meymun üzü;heyvan|meymun|üz
🐒;meymun;
🦍;qorilla;heyvan
🦧;oranqutanq;böyük meymun|heyvan|meymun|oranqutan
🐶;it üzü;ev heyvanı|it|üz
🐕;it;ev heyvanı|heyvan
🦮;bələdçi it;bələdçi|kor
🐕‍🦺;xidmətçi it;it|köməkçi it|xidmətçi
🐩;pudel;heyvan|it
🐺;canavar;canavar üzü|üz
🦊;tülkü;heyvan|sifət
🦝;yenot;hiyləgər|maraq içində olan
🐱;pişik üzü;ev heyvanı|pişik|üz
🐈;pişik;ev heyvanı
🐈‍⬛;qara pişik;hellouin|pişik|qara|uğursuz
🦁;aslan;şir|şir üzü|üz|zodiak
🐯;pələng üzü;pələng|üz|vəhşi|yırtıcı
🐅;pələng;vəhşi|yırtıcı
🐆;bəbir;
🐴;at üzü;at|üz
🫎;sığın;buynuzlar|heyvan|məməli
🫏;eşşək;burro|heyvan|inadkar|məməli|qatır|tərs
🐎;at;yarış|yarış atı
🦄;təkbuynuz;təkbuynuz üzü|unikorn emojisi|üz
🦓;zebra;zolaq
🦌;maral;heyvan
🦬;bizon;heyvan|kəl|sürü|vəhşi öküz|zubr
🐮;inək üzü;ferma|inək|inək başı|süd|üz
🐂;öküz;buğa|zodiak
🐃;su camışı;camış|su
🐄;inək;süd
🐷;donuz üzü;donuz|üz
🐖;donuz;qar
🐗;qaban;donuz
🐽;donuz burnu;burun|donuz|üz
🐏;qoç;heyvan|qoç bürcü|qoyun|zodiak
🐑;qoyun;dişi qoyun|heyvan|quzu
🐐;keçi;oğlaq|zodiak
🐪;dəvə;birhürgüclüdəvə|hörgüc
🐫;ikihürgüclü dəvə;baktrian|dəvə|hörgüc
🦙;lama;alpaka|quanako|vikunya|yun
🦒;zürafə;ləkələr
🐘;fil;heyvan
🦣;mamont;böyük|diş|heyvan|xovlu|yox olma
🦏;kərgədan;heyvan
🦛;hippopotam;begemot|heyvan|hippo
🐭;siçan üzü;siçan|üz
🐁;siçan;
🐀;siçovul;
🐹;dağsiçanı;ev heyvanı|üz
🐰;dovşan üzü;dovşan|ev heyvanı|üz
🐇;dovşan;ev heyvanı
🐿️;brunduk;burunduk|dələ
🦫;qunduz;dişi|dişlər|heyvan
🦔;kirpi;tikanlı
🦇;yarasa;vampir
🐻;ayı üzü;ayı|heyvan|üz
🐻‍❄️;qütb ayısı;ağ|arktika|ayı
🐨;koala;ayı|heyvan
🐼;panda üzü;heyvan|panda|üz
🦥;tənbəl;ərincək|folivora|yavaş
🦦;samur;balıqtutma|oynamağa həvəsli
🦨;skunsk;üfunət
🦘;kenquru;Avstraliya|kenquru balası|kisəli|tullanma
🦡;porsuq;zəhlətökən
🐾;pəncə izləri;ayaq|iz|pəncə
🦃;hinduşka;quş|şükran günü
🐔;toyuq;quş
🐓;xoruz;quş
🐣;yumurtadan çıxan cücə;cücə|körpə|yumurtadan çıxmaq
🐤;körpə cücə;cücə|körpə|quş
🐥;qabağa baxan balaca cücə;cücə|körpə|quş|yenicə yumurtadan çıxmış cücə
🐦;quş;ornitologiya
🐧;pinqvin;quş
🕊️;göyərçin;quş|sülh|uçmaq
🦅;qartal;quş
🦆;ördək;quş
🦢;qu;qu balası|qu quşu|quş|suya girmə
🦉;bayquş;müdrik|quş
🦤;dodo;böyük|heyvan|Mavriki|quş|yox olma
