😀;leveä hymy;hymy|kasvot|naama|virnistys
🧙;velho;fantasia|loitsu|maagi|noita|roolileikki|sauva|taikasanat|taikasauva|taikavoima|taikuri|taikuus|tietäjä
🧙‍♂️;miesvelho;maagi|noita|sauva|taikasauva|taikavoima|taikuri|tietäjä
🧙‍♀️;naisvelho;maagi|noita|sauva|taikasauva|taikavoima|taikuri|tietäjä
🧚;keiju;fantasia|hyönteismäinen|keijukainen|luonnotar|menninkäinen|myytti|satu|siivet|tarina|taru
🧚‍♂️;mieskeiju;hyönteismäinen|Oberon|Puck|siivet
🧚‍♀️;naiskeiju;ilmatar|keijukainen|keijukuningatar|luonnotar|metsänneito|Titania
🧛;vampyyri;Dracula|elävä kuollut|halloween|hampaat|naamiaisasu|pelottava|torahammas|verenhimo|verenimijä|veri|yliluonnollinen
🧛‍♂️;miesvampyyri;Dracula|elävä kuollut|hampaat|torahammas|verenhimo|verenimijä
🧛‍♀️;naisvampyyri;elävä kuollut|hampaat|torahammas|verenhimo|verenimijä
🧜;merenväki;Ahti|kalanpyrstö|merenhaltija|pyrstö|vedenhaltija|vetehinen
🧜‍♂️;merenmies;Ahti|kalanpyrstö|merenhaltija|merenväki|Triton|vedenhaltija|vetehinen
🧜‍♀️;merenneito;kalanpyrstö|merenväki|pyrstö|seireeni|vedenväki
🧝;haltia;fantasia|haltija|kansanperinne|keiju|keijukainen|mystinen|myyttinen|suippokorva
🧝‍♂️;mieshaltia;alf|haltia|keiju|Legolas|suippokorva
🧝‍♀️;haltiatar;alf|Galadriel|haltia|keiju|suippokorva
🧞;henki;fantasia|genius|hiero lamppua|jinni|juno|lamppu|lampunhenki|mystinen|myyttinen|toive
🧞‍♂️;mieshenki;genius|henki|jinni|lamppu
🧞‍♀️;naishenki;henki|juno|lamppu
🧟;zombi;elävä kuollut|halloween|kauhu|maailmanloppu|pelottava|tahdoton|voodoo|zombie
🧟‍♂️;mieszombi;elävä kuollut|tahdoton|voodoo|zombie
🧟‍♀️;naiszombi;elävä kuollut|tahdoton|voodoo|zombie
🧌;trolli;fantasia|hirviö|mörkö|mörökölli|peikko|rölli|satuolento|trollata
🫈;karvainen otus;isojalka|jätti|karvainen|kryptidi|lumimies|metsä|sasquatch|villi-ihminen
💆;hieronta;henkilö|hieroja|kasvot|pääkipu|salonki
💆‍♂️;hieronnassa oleva mies;hieronta|mies|pääkipu|rentoutuminen|salonki
💆‍♀️;hieronnassa oleva nainen;hieronta|nainen
💇;hiustenleikkaus;kauneus|parturi|salonki
💇‍♂️;parturissa oleva mies;hiukset|hiustenhoito|mies|parturi
💇‍♀️;kampaajalla oleva nainen;hiukset|hiustenhoito|kampaaja|nainen
🚶;jalankulkija;ihminen|kävelijä|kävellä|kävely|patikointi
🚶‍♂️;kävelevä mies;kävely|mies|patikointi
🚶‍♀️;kävelevä nainen;kävely|nainen|patikointi
🚶‍➡️;jalankulkija: kohti oikeaa;ihminen|kävelijä|kävellä|kävely|kohti|oikeaa|patikointi
🚶‍♀️‍➡️;kävelevä nainen: kohti oikeaa;kävelevä nainen|kävely|kohti|nainen|oikeaa|patikointi
🚶‍♂️‍➡️;kävelevä mies: kohti oikeaa;kävelevä mies|kävely|kohti|mies|oikeaa|patikointi
🧍;seisova henkilö;ihminen|seisoa|seisova
🧍‍♂️;seisova mies;mies|seisova
🧍‍♀️;seisova nainen;nainen|seisova
🧎;polvistuva ihminen;ihminen|polvi|polvillaan|polvistua|polvistuminen
🧎‍♂️;polvistuva mies;mies|polvistuva
🧎‍♀️;polvistuva nainen;nainen|polvistuva
🧎‍➡️;polvistuva ihminen: kohti oikeaa;ihminen|kohti|oikeaa|polvi|polvillaan|polvistua|polvistuminen
🧎‍♀️‍➡️;polvistuva nainen: kohti oikeaa;kohti|nainen|oikeaa|polvistuva
🧎‍♂️‍➡️;polvistuva mies: kohti oikeaa;kohti|mies|oikeaa|polvistuva
🧑‍🦯;henkilö ja valkoinen keppi;esteettömyys|sokea
🧑‍🦯‍➡️;henkilö ja valkoinen keppi: kohti oikeaa;esteettömyys|henkilö ja valkoinen keppi|kohti|oikeaa|sokea
👨‍🦯;mies ja valkoinen keppi;esteettömyys|mies|sokea|valkoinen keppi
👨‍🦯‍➡️;mies ja valkoinen keppi: kohti oikeaa;esteettömyys|kohti|mies|oikeaa|sokea|valkoinen keppi
👩‍🦯;nainen ja valkoinen keppi;esteettömyys|nainen|sokea
👩‍🦯‍➡️;nainen ja valkoinen keppi: kohti oikeaa;esteettömyys|kohti|nainen|nainen ja valkoinen keppi|oikeaa|sokea
🧑‍🦼;henkilö moottoroidussa pyörätuolissa;esteettömyys|pyörätuoli
🧑‍🦼‍➡️;henkilö moottoroidussa pyörätuolissa: kohti oikeaa;esteettömyys|henkilö moottoroidussa pyörätuolissa|kohti|oikeaa|pyörätuoli
👨‍🦼;mies moottoroidussa pyörätuolissa;esteettömyys|mies|pyörätuoli
👨‍🦼‍➡️;mies moottoroidussa pyörätuolissa: kohti oikeaa;esteettömyys|kohti|mies|mies moottoroidussa pyörätuolissa|oikeaa|pyörätuoli
👩‍🦼;nainen moottoroidussa pyörätuolissa;esteettömyys|nainen|pyörätuoli
👩‍🦼‍➡️;nainen moottoroidussa pyörätuolissa: kohti oikeaa;esteettömyys|kohti|nainen|nainen moottoroidussa pyörätuolissa|oikeaa|pyörätuoli
🧑‍🦽;henkilö käsikäyttöisessä pyörätuolissa;esteettömyys|pyörätuoli
🧑‍🦽‍➡️;henkilö käsikäyttöisessä pyörätuolissa: kohti oikeaa;esteettömyys|henkilö käsikäyttöisessä pyörätuolissa|kohti|oikeaa|pyörätuoli
👨‍🦽;mies käsikäyttöisessä pyörätuolissa;esteettömyys|mies|pyörätuoli
👨‍🦽‍➡️;mies käsikäyttöisessä pyörätuolissa: kohti oikeaa;esteettömyys|kohti|mies|mies käsikäyttöisessä pyörätuolissa|oikeaa|pyörätuoli
👩‍🦽;nainen käsikäyttöisessä pyörätuolissa;esteettömyys|nainen|pyörätuoli
👩‍🦽‍➡️;nainen käsikäyttöisessä pyörätuolissa: kohti oikeaa;esteettömyys|kohti|nainen|nainen käsikäyttöisessä pyörätuolissa|oikeaa|pyörätuoli
🏃;juoksija;juokseminen|maratoni|urheilu
🏃‍♂️;juokseva mies;juokseminen|juoksija|lenkki|mies
🏃‍♀️;juokseva nainen;juokseminen|juoksija|lenkki|nainen|urheilu
🏃‍➡️;juoksija: kohti oikeaa;juokseminen|kohti|maratoni|oikeaa|urheilu
🏃‍♀️‍➡️;juokseva nainen: kohti oikeaa;juokseminen|juoksija|kohti|lenkki|nainen|oikeaa|urheilu
🏃‍♂️‍➡️;juokseva mies: kohti oikeaa;juokseminen|juokseva mies|juoksija|kohti|lenkki|mies|oikeaa
🧑‍🩰;balettitanssija;baletti|tanssija
💃;tanssiva nainen;juhlat|nainen|salsa|tanssi|tanssija
🕺;tanssiva mies;mies|mies tanssii|salsa|tango|tanssi
🕴️;levitoiva mies puvussa;bisnes|mies|puku
👯;puputytöt;korva|nainen|pupu|tanssija|tyttö
👯‍♂️;tanssivat pupupojat;bff|juhla|juhlat|nainen|pupu|tanssi|tanssija
👯‍♀️;tanssivat puputytöt;juhlat|mies|pupu|tanssija
🧖;henkilö saunassa;hemmotella|höyry|kiuas|kylpylä|löyly|löylyhuone|nautinto|rentoutua|sauna|spa
🧖‍♂️;mies saunassa;höyry|kiuas|löyly|sauna
🧖‍♀️;nainen saunassa;höyry|kiuas|löyly|sauna
🧗;kiipeilijä;ihminen kiipeilee|kallio|kalliokiipeilijä|kiipeily|kiivetä ylös|seinä|vuori
🧗‍♂️;mieskiipeilijä;kallio|kiipeily|seinämä|vuori
🧗‍♀️;naiskiipeilijä;kallio|kiipeily|seinä|vuori
🤺;miekkailija;liikunta|miekka|miekkailu|urheilu
🏇;ratsastus;eläin|hevonen|jockey|kilparatsastus|ravit
⛷️;hiihtäjä;hiihto|lumi|sauvat|sukset
🏂;lumilautailija;laskettelu|lumi|lumilauta
🏌️;golfaaja;birdie|golf|harjoituslyöntialue|pallo|pga|putata|tii|viheriö
🏌️‍♂️;golfaajamies;golf|mies
🏌️‍♀️;golfaajanainen;golf|nainen
🏄;surffaaja;lauta|surffaus
🏄‍♂️;surffaajamies;lainelautailu|mies|surffaus
🏄‍♀️;surffaajanainen;lainelautailu|nainen|surffaus
🚣;soutaja;meri|soutaa|soutuvene|vene
🚣‍♂️;soutava mies;mies|soutaja
🚣‍♀️;soutava nainen;järvi|joki|nainen|soutaja
🏊;uimari;uinti
🏊‍♂️;uiva mies;mies|uija|uimari
🏊‍♀️;uiva nainen;nainen|uija|uimari|urheilu
⛹️;pallottelija;pallo
⛹️‍♂️;pallotteleva mies;palloilija|pallomies|poika
⛹️‍♀️;pallotteleva nainen;palloilija|pallonainen|tyttö
🏋️;painonnostaja;kehonrakennus|painot|treeni
🏋️‍♂️;painonnostajamies;mies|painonnosto
🏋️‍♀️;painonnostajanainen;nainen|painonnosto
🚴;pyöräilijä;polkupyörä|pyörä
🚴‍♂️;pyöräilevä mies;mies|pyöräilijä
🚴‍♀️;pyöräileva nainen;nainen|pyöräilijä|urheilu
🚵;maastopyöräilijä;maasto|polkupyörä|pyörä|pyöräilijä
🚵‍♂️;maastopyöräilevä mies;mies|pyöräilijä|vuori
🚵‍♀️;maastopyöräilevä nainen;maastopyöräily|nainen|pyöräilijä|vuori
🤸;kärrynpyörä;aktiivinen|ihminen|iloinen|innostunut|kuperkeikka|liikunta|urheilu|voimistelu|voltti
🤸‍♂️;kärrynpyörää tekevä mies;kärrynpyörä|mies
🤸‍♀️;kärrynpyörää tekevä nainen;kärrynpyörä|nainen|urheilu
🤼;painijat;ihmiset|kaksintaistelu|kamppailu|kehässä|liikunta|paini|painia|painija|painiturnaus|urheilu
🤼‍♂️;painivat miehet;judo|kamppailu|miehet
🤼‍♀️;painivat naiset;judo|kamppailu|naiset
🤽;vesipalloilija;ihminen|liikunta|pallo|uinti|urheilu|vesi|vesipallo|vesiurheilu
🤽‍♂️;vesipalloa pelaava mies;mies|uinti|vesipallo
🤽‍♀️;vesipalloa pelaava nainen;nainen|uinti|vesipallo
🤾;käsipalloilija;heittää|heitto|ihminen|käsipallo|kenttä|liikunta|ottaa koppi|pallo|urheilu|viskata
🤾‍♂️;käsipalloa pelaava mies;käsipallo|mies
🤾‍♀️;käsipalloa pelaava nainen;käsipallo|nainen|urheilu
🤹;jongleeraaja;hallita|ihminen|jongleerata|jongleeraus|jonglöörata|jonglööraus|multitaskaus|pitää käsissä|taito|tasapainoilu
🤹‍♂️;jongleeraava mies;jongleeraus|mies|pallot|tasapainoilla
🤹‍♀️;jongleeraava nainen;jongleeraus|nainen|pallot|tasapainoilla
🧘;henkilö lootusasennossa;jalat ristissä|jooga|joogi|meditaatio|mietiskely|rauha|rento|rentoutua|risti-istunta|zen
🧘‍♂️;mies lootusasennossa;jooga|mietiskely
🧘‍♀️;nainen lootusasennossa;jooga|mietiskely
🛀;kylpijä;kylpy|kylpyamme
🛌;nukkuja;hotelli|nukkua|sänky|uni|yö
🧑‍🤝‍🧑;ihmiset käsi kädessä;käsi|pari|pariskunta|pitää|pitää toisiaan käsistä
👭;kaksi naista käsi kädessä;kädestä pitäminen|kaksoset|käsi|naiset|pariskunta|sisaret
👫;mies ja nainen käsi kädessä;kädestä pitäminen|käsi|mies|nainen|pariskunta
👬;kaksi miestä käsi kädessä;kädestä pitäminen|kaksoset|käsi|miehet|pariskunta|veljet
💏;pusu;pariskunta|romantiikka
👩‍❤️‍💋‍👨;pusu: nainen, mies;mies|nainen|pariskunta|pusu|romantiikka
👨‍❤️‍💋‍👨;pusu: mies, mies;mies|pariskunta|pusu|romantiikka
👩‍❤️‍💋‍👩;pusu: nainen, nainen;nainen|pariskunta|pusu|romantiikka
💑;pariskunta ja sydän;pariskunta|rakkaus|romantiikka|sydän
👩‍❤️‍👨;pariskunta ja sydän: nainen, mies;mies|nainen|pariskunta|pariskunta ja sydän|rakkaus|romantiikka|sydän
👨‍❤️‍👨;pariskunta ja sydän: mies, mies;mies|pariskunta|pariskunta ja sydän|rakkaus|romantiikka|sydän
👩‍❤️‍👩;pariskunta ja sydän: nainen, nainen;nainen|pariskunta|pariskunta ja sydän|rakkaus|romantiikka|sydän
👨‍👩‍👦;perhe: mies, nainen, poika;äiti|isä|lapsi|mies|nainen|perhe|poika
👨‍👩‍👧;perhe: mies, nainen, tyttö;äiti|isä|lapsi|mies|nainen|perhe|tyttö
👨‍👩‍👧‍👦;perhe: mies, nainen, tyttö, poika;äiti|isä|lapsi|mies|nainen|perhe|poika|tyttö
👨‍👩‍👦‍👦;perhe: mies, nainen, poika, poika;äiti|isä|lapsi|mies|nainen|perhe|poika
👨‍👩‍👧‍👧;perhe: mies, nainen, tyttö, tyttö;äiti|isä|lapsi|mies|nainen|perhe|tyttö
👨‍👨‍👦;perhe: mies, mies, poika;äiti|isä|lapsi|mies|perhe|poika
👨‍👨‍👧;perhe: mies, mies, tyttö;äiti|isä|lapsi|mies|perhe|tyttö
👨‍👨‍👧‍👦;perhe: mies, mies, tyttö, poika;äiti|isä|lapsi|mies|perhe|poika|tyttö
👨‍👨‍👦‍👦;perhe: mies, mies, poika, poika;äiti|isä|lapsi|mies|perhe|poika
👨‍👨‍👧‍👧;perhe: mies, mies, tyttö, tyttö;äiti|isä|lapsi|mies|perhe|tyttö
👩‍👩‍👦;perhe: nainen, nainen, poika;äiti|isä|lapsi|nainen|perhe|poika
👩‍👩‍👧;perhe: nainen, nainen, tyttö;äiti|isä|lapsi|nainen|perhe|tyttö
👩‍👩‍👧‍👦;perhe: nainen, nainen, tyttö, poika;äiti|isä|lapsi|nainen|perhe|poika|tyttö
👩‍👩‍👦‍👦;perhe: nainen, nainen, poika, poika;äiti|isä|lapsi|nainen|perhe|poika
👩‍👩‍👧‍👧;perhe: nainen, nainen, tyttö, tyttö;äiti|isä|lapsi|nainen|perhe|tyttö
👨‍👦;perhe: mies, poika;äiti|isä|lapsi|mies|perhe|poika
👨‍👦‍👦;perhe: mies, poika, poika;äiti|isä|lapsi|mies|perhe|poika
👨‍👧;perhe: mies, tyttö;äiti|isä|lapsi|mies|perhe|tyttö
👨‍👧‍👦;perhe: mies, tyttö, poika;äiti|isä|lapsi|mies|perhe|poika|tyttö
👨‍👧‍👧;perhe: mies, tyttö, tyttö;äiti|isä|lapsi|mies|perhe|tyttö
👩‍👦;perhe: nainen, poika;äiti|isä|lapsi|nainen|perhe|poika
👩‍👦‍👦;perhe: nainen, poika, poika;äiti|isä|lapsi|nainen|perhe|poika
👩‍👧;perhe: nainen, tyttö;äiti|isä|lapsi|nainen|perhe|tyttö
👩‍👧‍👦;perhe: nainen, tyttö, poika;äiti|isä|lapsi|nainen|perhe|poika|tyttö
👩‍👧‍👧;perhe: nainen, tyttö, tyttö;äiti|isä|lapsi|nainen|perhe|tyttö
🗣️;puhuva pää;naama|pää|puhu|puhuminen|siluetti
👤;rintasiluetti;rintakuva|siluetti
👥;kaksi rintasiluettia;rintakuva|siluetti
🫂;halaus;hei|kiitos|näkemiin|rakkaus|ystävä
👪;perhe;äiti|isä|lapsi
🧑‍🧑‍🧒;perhe: aikuinen, aikuinen, lapsi;aikuinen|lapsi|perhe: aikuinen
🧑‍🧑‍🧒‍🧒;perhe: aikuinen, aikuinen, lapsi, lapsi;aikuinen|lapsi|perhe: aikuinen
🧑‍🧒;perhe: aikuinen, lapsi;aikuinen|lapsi|perhe
🧑‍🧒‍🧒;perhe: aikuinen, lapsi, lapsi;aikuinen|lapsi|perhe
👣;jalanjäljet;jalanjäljki|jälki|vaatteet|vartalo
🫆;sormenjälki;henkilöllisyys|johtolanka|rikostutkinta|turvallisuus
🐵;apinan naama;apina|banaani|eläin|naama
🐒;apina;banaani|eläin
🦍;gorilla;eläin
🦧;oranki;apina|eläin
🐶;koiran naama;koira|lemmikki|naama|pentu
🐕;koira;lemmikki
🦮;opaskoira;eläin|esteettömyys|koira|opas|sokea
🐕‍🦺;palveluskoira;apu|esteettömyys
🐩;villakoira;eläin|koira|puudeli
🐺;susi;naama|suden naama
🦊;kettu;eläin|ketun naama
🦝;pesukarhu;ovela|supi|utelias|viekas
🐱;kissan naama;kissa|lemmikki|naama
🐈;kissa;eläin|kissanpentu|lemmikki
🐈‍⬛;musta kissa;eläin|epäonni|kissa|musta
🦁;leijona;horoskooppi|horoskooppimerkki|leijonan naama|naama
🐯;tiikerin naama;naama|tiikeri
🐅;tiikeri;eläin|eläintarha|iso kissa|kissapeto|peto
🐆;leopardi;
🐴;hevosen naama;hevonen|naama
🫎;hirvi;eläin|luonto|nisäkäs|sarvet
🫏;aasi;eläin|itsepäinen|luonto|muuli|muuliaasi|nisäkäs|potku
🐎;hevonen;kilpa|kilpahevonen|ratsastaja|ratsu|ratsuhevonen|ravihevonen|ravit
🦄;yksisarvinen;naama|yksisarvisen naama
🦓;seepra;nisäkäs|raidallinen|raidat|valkomusta
🦌;peura;eläin|hirvi
🦬;biisoni;eläin|lauma|puhveli|visentti
🐮;lehmän naama;lehmä|naama
🐂;härkä;eläin|horoskooppi|horoskooppimerkki|maatila
🐃;vesipuhveli;puhveli|vesi
🐄;lehmä;läikikäs|maatila|muu|nauta
🐷;sian naama;eläin|naama|possu|sika
🐖;sika;emakko|pekoni|porsas|possu
🐗;villisika;eläin|possu|sika
🐽;sian kärsä;kärsä|naama|nenä|sika
🐏;pässi;horoskooppi|horoskooppimerkki|lammas|oinas
🐑;lammas;naispuolinen|uuhi
🐐;vuohi;horoskooppi|horoskooppimerkki|kauris|maatila|maito
🐪;kameli;dromedaari|kyttyrä|yksikyttyräinen
🐫;kaksikyttyräinen kameli;kaksikyttyräinen|kameli|kyttyrä
🦙;laama;alpakka|guanako|vikunja|villa
🦒;kirahvi;läikät
🐘;elefantti;norsu
🦣;mammutti;eläin|sukupuutto|suuri|torahammas|villainen
🦏;sarvikuono;eläin
🦛;virtahepo;eläin
🐭;hiiren naama;hiiri|naama
🐁;hiiri;valkoinen
🐀;rotta;eläin|harmaa
🐹;hamsteri;hamsterin naama|lemmikki|naama
🐰;jäniksen naama;jänis|kani|lemmikki|naama|pupu
🐇;kani;eläin|lemmikki|pupu
🐿️;maaorava;orava
🦫;majava;eläin|hampaat|pato
🦔;siili;eläin|piikikäs
🦇;lepakko;eläin|vampyyri
🐻;karhu;karhun naama|naama
🐻‍❄️;jääkarhu;arktinen|karhu|valkoinen
🐨;koala;karhu
🐼;panda;bambu|naama|pandan naama
🦥;laiskiainen;hidas|laiska
🦦;saukko;kalastaja|kalastus|leikkisä
🦨;haisunäätä;eläin|haista|haju
🦘;kenguru;Australia|hypätä|loikata|pussieläin
🦡;mäyrä;eläin|mesimäyrä
🐾;tassunjäljet;jalka|jälki|käpälä|tassu
🦃;kalkkuna;lintu
🐔;kana;eläin|lintu|muna
🐓;kukko;lintu
🐣;kuoriutuva tipu;kananpoika|kuoriutuva|lintu|tipu
🐤;tipu;kananpoika|lintu
🐥;tipu edestäpäin;kananpoika|lintu|tipu
🐦;lintu;pikkulintu|turkoosi
🐧;pingviini;lintu
🕊️;kyyhky;lentää|lintu|rauha
🦅;kotka;lintu
🦆;sorsa;lintu
🦢;joutsen;eläin|lintu|ruma ankanpoikanen
🦉;pöllö;lintu|viisas
🦤;dodo;eläin|lentokyvytön|lintu|Mauritius|sukupuutto
🪶;höyhen;keveä|lento|lintu|sulka
🦩;flamingo;pramea|trooppinen
🦚;riikinkukko;eläin|komeileva|lintu|mahtaileva|pramea|värikäs|ylpeä
🦜;papukaija;lintu|merirosvo|puhe|puhuva
🪽;siipi;enkeli|lentää|lentäminen|liitää|lintu|mytologia
🐦‍⬛;mustarastas;eläin|korppi|lintu|luonto|musta|mustavaris|nokka|siivekäs|varis
🪿;hanhi;eläin|hanhen huuto|hassu|lintu|luonto|siivekäs
🐦‍🔥;feeniks;fantasia|jälleensyntymä|jälleensyntynyt|kuolematon|muuttua|reinkarnaatio|tulilintu|uudelleensyntynyt|uudistuminen
🐸;sammakko;naama|sammakon naama
🐊;krokotiili;eläin|eläintarha
🐢;kilpikonna;
🦎;lisko;matelija
🐍;käärme;horoskooppi|horoskooppimerkki|käärmeenkantaja|viestintuoja
🐲;lohikäärmeen naama;lohikäärme|naama|satu
🐉;lohikäärme;satu
🦕;sauropodi;brontosaurus|dinosaurus|eläin
🦖;tyrannosaurus rex;dinosaurus|eläin|hirmulisko|rex
🐳;suihkuttava valas;naama|suihkuttaa|valas|valtameri|vesi
🐋;valas;eläin|valtameri
🐬;delfiini;eläin|flipper|meri|pyöriäinen
🫍;miekkavalas;merellinen|meri|valas
🦭;hylje;eläin|meri|merileijona
🐟;kala;horoskooppi|horoskooppimerkki|kalat
🐠;trooppinen kala;kala|trooppinen
🐡;pallokala;kala|pallo
🦈;hai;kala
🐙;mustekala;eläin|meri|valtameri
🐚;kotilo;eläin|koraali|kuori
🪸;koralli;ilmastonmuutos|koralliriutta|meri|riutta
🪼;meduusa;auts|eläin|hyytelö|kirvely|lonkero|luonto|meri|pistävä|polte|selkärangaton
🦀;rapu;horoskooppi|horoskooppimerkki
🦞;hummeri;äyriäinen|äyriäiset|äyriäiskeitto|merenelävät|sakset
🦐;katkarapu;äyriäiset|ruoka
🦑;kalmari;mustekala|ruoka
🦪;osteri;helmi|sukellus
🐌;etana;eläin|luonto
🦋;perhonen;hyönteinen|kaunis|sievä
🐛;ötökkä;hyönteinen|puutarha
🐜;muurahainen;hyönteinen|murkku|puutarha
🐝;mehiläinen;ampiainen|hyönteinen|kimalainen|luonto|pörriäinen
🪲;kuoriainen;hyönteinen|koppakuoriainen|ötökkä
🐞;leppäkerttu;hyönteinen
🦗;sirkka;heinäsirkka
🪳;torakka;hyönteinen|russakka|tuholainen
🕷️;hämähäkki;hyönteinen
🕸️;hämähäkin seitti;hämähäkki|seitti|verkko
🦂;skorpioni;horoskooppi|horoskooppimerkki
🦟;hyttynen;hyönteinen|kuume|malaria|sääski|sairaus|tauti|virus
🪰;kärpänen;eläin|mätänevä|sairaus|tauti|toukka|tuholainen
🪱;mato;eläin|kastemato|loinen
🦠;mikrobi;ameba|bakteeri|sairaus|tiede|virus
💐;kukkakimppu;kasvi|kimppu|kukka|romantiikka|treffit
🌸;kirsikankukka;kasvi|kirsikka|kukka
💮;valkoinen kukka;kukka
🪷;lootus;buddhalaisuus|hindulaisuus|Intia|kauneus|kukka|puhtaus|rauhallinen|viattomuus
🏵️;ruusuke;kasvi
🌹;ruusu;kasvi|kukka
🥀;nuutunut kukka;kukka|nuutunut
🌺;kiinanruusu;kasvi|kukka
🌻;auringonkukka;aurinko|kasvi|kukka
🌼;kukinta;kasvi|kukka
🌷;tulppaani;kasvi|kukka
🪻;hyasintti;kasvi|kukka|laventeli|leijonankita|luonto|lupiini|sinilupiini|syreeni|violetti
🌱;taimi;kasvi|verso
🪴;ruukkukasvi;hoivata|hyödytön|kasvaa|kasvi|kokousfiikus|koriste|koti|tylsä
🌲;ikivihreä;joulukuusi|kasvi|metsä|puu
🌳;lehtipuu;kasvi|palmu|puu
🌴;palmu;kasvi|puu
🌵;kaktus;kasvi
🌾;riisikasvi;kasvi|riisi|tähkä
🌿;yrtti;kasvi|lehti
☘️;kolmiapila;kasvi
🍀;neliapila;kasvi|lehti|nelilehtinen|neljä
🍁;vaahteranlehti;kasvi|lehti|putoava|vaahtera
🍂;pudonnut lehti;kasvi|lehti|putoava
🍃;lehti tuulessa;kasvi|lehti|puhaltaa|tuuli
🪹;tyhjä pesä;koti|linnunpesä|pesä|pesiminen|pesintä
🪺;munia pesässä;linnunpesä|muna|munat|muninta|pesiminen|pesintä
🍄;sieni;rihmasto
🪾;lehdetön puu;kelo|kuivuus|lehdetön|oksat|paljas|talvi
🍇;viinirypäleet;hedelmä|kasvi|rypäle|viinirypäle
🍈;meloni;cantaloupe|hedelmä|kasvi
🍉;vesimeloni;hedelmä|kasvi
🍊;mandariini;appelsiini|c-vitamiini|hedelmä|kasvi
🍋;sitruuna;hedelmä|kasvi|sitrus
🍋‍🟩;limetti;cocktail|hapan|hedelmä|kirpeä|koriste|lime|margarita|mojito|raikas|salsa|sitrus|tequila|trooppinen|vihreä
🍌;banaani;hedelmä|kasvi
🍍;ananas;hedelmä|kasvi
🥭;mango;hedelmä|ruoka|tehosekoitin|trooppinen
🍎;punainen omena;hedelmä|kasvi|omena|punainen
🍏;vihreä omena;hedelmä|kasvi|omena|vihreä
🍐;päärynä;hedelmä|kasvi
🍑;persikka;hedelmä|kasvi
🍒;kirsikat;hedelmä|kasvi|kirsikka
🍓;mansikka;hedelmä|kasvi|marja
🫐;mustikat;marja|mustikka|sininen
🥝;kiivi;hedelmä|ruoka
🍅;tomaatti;kasvi|kasvis|vihannes
🫒;oliivi;ruoka
🥥;kookospähkinä;palmu|piña colada
🥑;avokado;hedelmä|ruoka
🍆;munakoiso;kasvi|kasvis|vihannes
🥔;peruna;ruoka|vihannes
🥕;porkkana;ruoka|vihannes
🌽;maissintähkä;kasvi|maissi|tähkä
🌶️;jalapeno;kasvi|kuuma|paprika|tulinen
🫑;paprika;capsicum|vihannes
🥒;kurkku;ruoka|vihannes
🥬;lehtivihannes;kaali|pinaattikiinankaali|salaatinlehti|salaatti
🥦;parsakaali;broccoli|vihannes
🧄;valkosipuli;mauste
🧅;sipuli;mauste
🥜;maapähkinä;pähkinä|ruoka|vihannes
🫘;pavut;munuainen|palkokasvi|papu|pieru|ruoka|tarhapapu
🌰;kastanja;kasvi|pähkinä
🫚;inkivääri;juuri|mauste|olut|ruoka
🫛;herneenpalko;edamame|herne|palko|palkokasvi|pavut|ruoka|vihannes
🍄‍🟫;ruskea herkkusieni;itiö|kasvis|kasvissyöjä|luonto|pizzan täytteet|portobello|ruoka|ruskea sieni|sieni|siitake|tryffeli|vegetaristi|vihannes
🫜;juures;juuri|juurikas|kasvis|kasvissyöjä|nauris|puutarha|retiisi|ruoka|salaatti
🍞;leipä;aamiainen|paahtoleipä|pala|ravintola|vehnä
🥐;voisarvi;croissant|leipä|ranskalainen|ruoka
🥖;patonki;leipä|ranskalainen|ruoka
🫓;rieska;arepa|lavash|leipä|naan|pita|ruoka
🥨;rinkilä;kierretty|pretzel
🥯;vesirinkeli;aamiainen|aamupala|bagel|bageli|leivonnainen|rinkeli
🥞;letut;lettu|ohukainen|pannukakku|ruoka
🧇;vohveli;aamiainen|aamupala|vohvelirauta
🧀;juustopala;juusto|palanen
🍖;lihaa luineen;liha|luu
🍗;kanankoipi;kana|koipi|luu|ruoka|siipikarja
🥩;lihanpala;kyljys|lampaankyljys|pihvi|porsaankyljys
🥓;pekoni;aamiainen|liha|porsas|ruoka
🍔;hampurilainen;burgeri|hamppari|jauhelihapihvi
🍟;ranskalaiset;peruna|ranskikset|tikkuperunat
🍕;pizza;juusto|pepperoni|siivu|viipale
🌭;hodari;hot dog|makkara|nakki|sämpylä
🥪;voileipä;aamiainen|kerrosleipä|leipä|ruoka|sandwich|täyte
🌮;taco;meksikolainen|tortilla
🌯;burrito;meksikolainen
🫔;tamal;käärö|meksikolainen
🥙;täytetty pita;falafel|gyros|kebab|leipä|pita|ruoka|täyte
🧆;falafel;kasvispyörykkä|kikherne
🥚;kananmuna;ruoka
🍳;kokkaus;aamiainen|kananmuna|paistinpannu|ruoanlaitto|ruoka
🥘;paellapannu;paella|pata|pataruoka|ruoka
🍲;ruokakulho;pata
🫕;fondue;juusto|pata|ruoka|suklaa|sulatettu|sveitsiläinen
🥣;kulho ja lusikka;aamiainen|congee|murot|puuro
🥗;vihreä salaatti;ruoka|salaatti|vihreä
🍿;popcorn;elokuva|leffa|maissi|popparit
🧈;voi;maitotuote
🧂;suola;mauste|sirotin|suolasirotin
