😀;nevető arc;arc|boldog|fogak|nevetés|szmájli|vidám
🧑‍🌾;gazda / női gazda;földműves|gazda|növénytermesztő
👨‍🌾;gazda;farmer|férfi|foglalkozás|földműves|kertész
👩‍🌾;női gazda;farmer|foglalkozás|földműves|gazda|kertész|nő
🧑‍🍳;szakács / szakácsnő;séf|szakács
👨‍🍳;szakács;férfi|foglalkozás|séf
👩‍🍳;szakácsnő;foglalkozás|nő|séf
🧑‍🔧;szerelő / szerelőnő;szaki|szerelő|villanyszerelő|vízvezeték-szerelő
👨‍🔧;szerelő;férfi|foglalkozás|villanyszerelő|vízszerelő
👩‍🔧;szerelőnő;foglalkozás|nő|szerelő|villanyszerelő|vízszerelő
🧑‍🏭;munkás;dolgozó|gyári
👨‍🏭;férfi munkás;dolgozó|férfi|foglalkozás|forraszt|gyári|munkás|összeszerel|szerel
👩‍🏭;női munkás;dolgozó|foglalkozás|forraszt|gyári|munkás|nő|összeszerel|szerel
🧑‍💼;irodai dolgozó;építész|értelmiségi|menedzser|üzletember
👨‍💼;férfi irodista;alkalmazott|férfi|foglalkozás|irodai
👩‍💼;női irodista;alkalmazott|foglalkozás|irodai|női
🧑‍🔬;tudás;biológus|fizikus|mérnök|tudós|vegyész
👨‍🔬;férfi tudós;biológus|férfi|fizikus|foglalkozás|kémikus|matematikus|tudós
👩‍🔬;női tudós;fizikus|foglalkozás|kémikus|matematikus|nő|tudós
🧑‍💻;informatikus;fejlesztő|feltaláló|programozó|szoftver
👨‍💻;programozó férfi;fejlesztő|feltaláló|férfi|foglalkozás|kódoló|programozó|számítógép|szoftver
👩‍💻;programozó nő;fejlesztő|feltaláló|foglalkozás|kódoló|nő|programozó|számítógép|szoftver
🧑‍🎤;énekes;előadóművész|rock|színés|sztár
👨‍🎤;férfi énekes;előadó|énekes|férfi|foglalkozás|művész|rock|színész|sztár
👩‍🎤;női énekes;előadó|énekes|foglalkozás|művész|nő|rock|színész|sztár
🧑‍🎨;művész;festő|paletta
👨‍🎨;férfi művész;férfi|festő|festőművész|foglalkozás|művész|paletta
👩‍🎨;női művész;festő|festőnő|foglalkozás|művész|nő|paletta
🧑‍✈️;pilóta / pilótanő;pilóta|repülőgép
👨‍✈️;pilóta;férfi|foglalkozás|repülő
👩‍✈️;pilótanő;foglalkozás|nő|pilóta|repülő
🧑‍🚀;űrhajós / űrhajósnő;rakéta|űrhajós
👨‍🚀;űrhajós;férfi|foglalkozás|rakéta|űr|űrutazás
👩‍🚀;űrhajósnő;asztronauta|foglalkozás|nő|rakéta|űr|űrhajós
🧑‍🚒;tűzoltó / tűzoltónő;tűzoltó|tűzoltóautó
👨‍🚒;tűzoltó;férfi|foglalkozás|tűz
👩‍🚒;tűzoltónő;foglalkozás|nő|tűz|tűzoltó
👮;zsaru;foglalkozás|letartóztat|rendőr|rendőrség|rendőrtiszt|tiszt|törvény
👮‍♂️;rendőr;férfi|zsaru
👮‍♀️;rendőrnő;foglalkozás|letartóztat|nő|rendőr|rendőrtiszt|tiszt|törvény|zsaru
🕵️;detektív;foglalkozás|kém|kopó|nyomozó
🕵️‍♂️;nyomozó;detektív|férfi|kém
🕵️‍♀️;nyomozónő;detektív|foglalkozás|kém|kémnő|nő|nyomozó
💂;gárdista;Buckingham-palota|London|őrség|őrségváltás|sisak
💂‍♂️;őr;férfi
💂‍♀️;női őr;medvekucsma|nő|őr|sisak
🥷;nindzsa;ember|harcos|ninja|rejtett|rejtőzködés
👷;építőmunkás;építkezés|férfi|foglalkozás|munkás|sisak|védősisak
👷‍♂️;építőmunkás férfi;építkezés|építőmunkás|férfi|munkás
👷‍♀️;építőmunkás nő;építkezés|építőmunkás|építőmunkásnő|foglalkozás|munkás|nő|női munkás|sisak|védősisak
🫅;koronás személy;király|méltóság|nemes|uralkodó|uralkodói
🤴;herceg;király|királyi|koronás
👸;hercegnő;fantasy|királykisasszony|királylány|királynő|korona|mese|mesehős
👳;turbános ember;ember|turbán
👳‍♂️;turbános férfi;férfi|turbán
👳‍♀️;turbános nő;nő|turbán
👲;kínai sapkás ember;ember|sapka
🧕;nő fejkendővel;fejkendő|hidzsáb|kendő|mantilla|ruházat|tichel
🤵;szmokingos ember;elegáns|ember|férfi|öltöny|szmoking|szmokingos férfi|vőlegény
🤵‍♂️;szmokingos férfi;férfi|szmoking
🤵‍♀️;szmokingos nő;nő|szmoking
👰;ember fátyollal;ember|esküvő|fátyol|lakodalom|menyasszony|menyasszony fátyollal
👰‍♂️;férfi fátyollal;fátyol|férfi
👰‍♀️;nő fátyollal;fátyol|nő
🤰;terhes nő;nő|terhes|várandós
🫃;terhes férfi;has|puffadt|teli|terhes
🫄;terhes személy;has|puffadt|teli|terhes
🤱;szoptatás;baba|etet|kisbaba|mell|szoptat
👩‍🍼;kisbabát etető nő;anya|anyu|etetés|gondozás|kisbaba|mama|nő|újszülött
👨‍🍼;kisbabát etető férfi;apa|apu|apuka|etetés|férfi|gondozás|kisbaba|újszülött
🧑‍🍼;kisbabát etető személy;anya|anyu|ember|etetés|gondozás|kisbaba|kisbabát etető ember|mami|személy|szoptatás|újszülött
👼;babaangyal;angyal|arc|baba|mese
🎅;mikulás;arc|fej|karácsony|télapó|ünnep|ünneplés
🤶;mikulás ruhás anyó;anyó|karácsony|Mikulás felesége|ünnep
🧑‍🎄;télapó;ember|karácsony|mikulás|sapka|ünnepek
🦸;szuperhős;hős|jó|szupererő|szuperképesség
🦸‍♂️;férfi szuperhős;férfi|hős|hősnő|jó|szuperképesség
🦸‍♀️;női szuperhős;hős|hősnő|jó|nő|szuperképesség
🦹;főgonosz;bűnöző|ember|gazember|gonosz|gonosztevő|rossz|szupererő|szupergonosz|szuperképesség
🦹‍♂️;férfi főgonosz;bűnöző|férfi|gazember|gonosz|szuperképesség
🦹‍♀️;női főgonosz;bűnöző|gazember|gonosz|nő|szuperképesség
🧙;varázsló;boszorkány|boszorkánymester|bűbáj|férfi boszorkány|mágia|mágus|mese|varázsige|varázslás|varázslat
🧙‍♂️;férfi varázsló;boszorkánymester|mágus
🧙‍♀️;varázslónő;boszorkány
🧚;tündér;lepke|mese|Oberon|pillangó|Puck|szárny|Titánia|tündérmese
🧚‍♂️;férfi tündér;Oberon|Puck
🧚‍♀️;női tündér;Titánia
🧛;vámpír;Drakula|élőhalott|fogak|vér
🧛‍♂️;férfi vámpír;Drakula|élőhalott|élőholt
🧛‍♀️;női vámpír;élőhalott|élőholt
🧜;sellő;hableány|hablegény|mese|óceán|szirén|tündérmese
🧜‍♂️;férfi sellő;Triton
🧜‍♀️;sellőlány;női sellő
🧝;tünde;fantasy|kobold|mágikus|manó|mese|varázslat|varázslatos
🧝‍♂️;férfi tünde;mágikus
🧝‍♀️;női tünde;mágikus
🧞;dzsinn;Dzsini|kívánság|lámpa|lámpás|lámpás szelleme|mese|olajlámpás|szellem|varázslámpás
🧞‍♂️;férfi dzsinn;dzsinn
🧞‍♀️;női dzsinn;dzsinn
🧟;zombi;csontváz|élőhalott|élőholt|félelmetes|horror|ijesztő|sétáló halott
🧟‍♂️;férfi zombi;élőhalott|élőholt|sétáló halott
🧟‍♀️;női zombi;élőhalott|élőholt|sétáló halott
🧌;troll;képzelet|szörny|tündérmese
🫈;szőrös lény;erdő|jeti|nagyláb|óriás|sasquatch|vadember
💆;arcmasszázs;arc|fejfájás|feszültség|kozmetika|masszázs|masszíroz|relaxáció|relaxál|szalon|szépségszalon
💆‍♂️;férfi arcmasszázson;arc|arcmasszázs|enyhít|fejfájás|férfi|feszültség|kozmetika|masszázs|masszíroz|relaxáció|relaxál|szalon|szépségszalon
💆‍♀️;nő arcmasszázson;arc|masszázs|nő
💇;hajvágás;fodrász|fodrászat|haj|hajnyírás|nő fodrásznál|szépségápolás
💇‍♂️;férfi fodrásznál;férfi|fodrász|fodrászat|haj|hajnyírás|hajvágás
💇‍♀️;nő fodrásznál;fodrász|fodrászat|haj|hajvágás|nő
🚶;gyalogos;férfi|gyaloglás|séta|sétáló|túra
🚶‍♂️;sétáló férfi;férfi|séta|sétáló|túra
🚶‍♀️;sétáló nő;gyalog|gyalogol|gyalogos|megy|nő|séta|sétáló|túra
🚶‍➡️;gyalogos: jobbra néző;férfi|gyaloglás|gyalogos|jobbra|néző|séta|sétáló|túra
🚶‍♀️‍➡️;sétáló nő: jobbra néző;gyalog|gyalogol|gyalogos|jobbra|megy|néző|nő|séta|sétáló|túra
🚶‍♂️‍➡️;sétáló férfi: jobbra néző;férfi|jobbra|néző|séta|sétáló|túra
🧍;álló ember;áll|álló
🧍‍♂️;álló férfi;áll|férfi
🧍‍♀️;álló nő;áll|nő
🧎;térdelő ember;térdel|térdelő
🧎‍♂️;térdelő férfi;férfi|térdel
🧎‍♀️;térdelő nő;nő|térdel
🧎‍➡️;térdelő ember: jobbra néző;jobbra|néző|térdel|térdelő|térdelő ember
🧎‍♀️‍➡️;térdelő nő: jobbra néző;jobbra|néző|nő|térdel|térdelő nő
🧎‍♂️‍➡️;térdelő férfi: jobbra néző;férfi|jobbra|néző|térdel|térdelő férfi
🧑‍🦯;ember fehér bottal;akadálymentesség|vak
🧑‍🦯‍➡️;ember fehér bottal: jobbra néző;akadálymentesség|ember fehér bottal|jobbra|néző|vak
👨‍🦯;férfi fehér bottal;akadálymentesség|férfi|látássérült|vak
👨‍🦯‍➡️;férfi fehér bottal: jobbra néző;akadálymentesség|férfi|férfi fehér bottal|jobbra|látássérült|néző|vak
👩‍🦯;nő fehér bottal;akadálymentesség|nő|vak
👩‍🦯‍➡️;nő fehér bottal: jobbra néző;akadálymentesség|jobbra|néző|nő|nő fehér bottal|vak
🧑‍🦼;ember motoros kerekesszékben;akadálymentesség|kerekesszék
🧑‍🦼‍➡️;ember motoros kerekesszékben: jobbra néző;akadálymentesség|ember motoros kerekesszékben|jobbra|kerekesszék|néző
👨‍🦼;férfi motoros kerekesszékben;akadálymentesség|férfi|kerekesszék|mozgáskorlátozott|tolószék
👨‍🦼‍➡️;férfi motoros kerekesszékben: jobbra néző;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra|kerekesszék|mozgáskorlátozott|néző|tolószék
👩‍🦼;nő motoros kerekesszékben;akadálymentesség|kerekesszék|mozgáskorlátozott|nő|tolószék
👩‍🦼‍➡️;nő motoros kerekesszékben: jobbra néző;akadálymentesség|jobbra|kerekesszék|mozgáskorlátozott|néző|nő|nő motoros kerekesszékben|tolószék
🧑‍🦽;kerekesszékes ember;akadálymentesség|kerekesszék
🧑‍🦽‍➡️;kerekesszékes ember: jobbra néző;akadálymentesség|jobbra|kerekesszék|kerekesszékes ember|néző
👨‍🦽;férfi kézi hajtású kerekesszékben;akadálymentesség|férfi|kerekesszék|mozgáskorlátozott|mozgássérült|tolószék
👨‍🦽‍➡️;férfi kézi hajtású kerekesszékben: jobbra néző;akadálymentesség|férfi|férfi kézi hajtású kerekesszékben|jobbra|kerekesszék|mozgáskorlátozott|mozgássérült|néző|tolószék
👩‍🦽;nő kézi hajtású kerekesszékben;akadálymentesség|kerekesszék|mozgáskorlátozott|nő|tolószék
👩‍🦽‍➡️;nő kézi hajtású kerekesszékben: jobbra néző;akadálymentesség|jobbra|kerekesszék|mozgáskorlátozott|néző|nő|nő kézi hajtású kerekesszékben|tolószék
🏃;futó;fut|futás|gyors|maraton|siet|sport
🏃‍♂️;futó férfi;férfi|fut|futás|maraton|verseny
🏃‍♀️;futó nő;fut|futás|futó|futónő|gyors|gyorsaság|maraton|nő|női futó|sebesség|siet|sport|verseny
🏃‍➡️;futó: jobbra néző;fut|futás|futó|gyors|jobbra|maraton|néző|siet|sport
🏃‍♀️‍➡️;futó nő: jobbra néző;fut|futás|futó|futónő|gyors|gyorsaság|jobbra|maraton|néző|nő|női futó|sebesség|siet|sport|verseny
🏃‍♂️‍➡️;futó férfi: jobbra néző;férfi|fut|futás|futó férfi|jobbra|maraton|néző|verseny
🧑‍🩰;balett-táncos;balett|táncos
💃;táncoló nő;nő|salsa|tánc|táncol|táncoló|táncos|táncosnő|tangó
🕺;táncoló férfi;férfi|flamenco|salsa|tánc|táncol|táncos|tangó
🕴️;öltönyös, lebegő ember;lebegő ember|öltöny|öltönyös|üzletember
👯;bulizó emberek;buli|lányok|nő|nyuszi|nyuszifül|parti
👯‍♂️;bulizó férfiak;buil|buli|férfi|férfiak|ikrek|nyuszifül|parti|partizik|party|táncol|táncos
👯‍♀️;bulizó nők;buil|nő|nők|nyuszifül|parti|táncos
🧖;ember a gőzfürdőben;gőz|gőzfürdő|gőzszoba|nő szaunázik|szauna|szaunázás|szaunázik
🧖‍♂️;férfi a gőzfürdőben;gőzfürdő|szauna
🧖‍♀️;nő a gőzfürdőben;gőzfürdő|szauna
🧗;mászó ember;hegy|hegymászás|mászás|mászó|megmászik|sziklamászás|sziklamászó
🧗‍♂️;mászó férfi;mászó
🧗‍♀️;mászó nő;mászó
🤺;vívó;kard|sport|sportoló|vív|vívás
🏇;lóverseny;ló|lovaglás|lovi|sport|versenyló|zsoké
⛷️;síelő;hó|síel|síelés|téli sportok
🏂;snowboardozó;hó|hódeszka|snowboard|téli sportok
🏌️;golfozó;golf|golflabda|golfozik|golfütő|labda|sport|tee
🏌️‍♂️;golfozó férfi;férfi|golf
🏌️‍♀️;golfozó nő;golf|golfozik|nő|sport
🏄;szörföző;hullám|sport|szörf|szörfös|szörfözik|vízi sport
🏄‍♂️;szörföző férfi;férfi|szörf
🏄‍♀️;szörföző nő;hullám|hullámlovaglás|hullámlovas|nő|sport|szörf|szörfözik|vízisport
🚣;evező ember;csónak|evez|evezés|evező|hajó|kenu|tutaj|vízi jármű
🚣‍♂️;evező férfi;csónak|evezés|férfi
🚣‍♀️;evező nő;csónak|evezés|hajó|kenu|kenuzik|nő|sport
🏊;úszó;sport|triatlon|úszás|úszik
🏊‍♂️;úszó férfi;férfi|úszás|úszó
🏊‍♀️;úszó nő;nő|női úszó|sport|úszás|úszik|úszó
⛹️;ember labdával;kosarazik|kosarazó|kosárlabda|kosárlabdázik|kosárlabdázó|labda|pattogtat|sport|sportoló
⛹️‍♂️;férfi labdával;férfi|labda
⛹️‍♀️;nő labdával;játékos|kosaras|kosarazik|kosárlabda|kosárlabdázik|labda|nő|pattogtat|sport
🏋️;súlyemelő;edzés|sport|sportoló|súly|súlyemelés|súlyzó
🏋️‍♂️;súlyemelő férfi;férfi|súly|súlyemelő
🏋️‍♀️;súlyemelő nő;edzés|nő|sport|súly|súlyemelő
🚴;kerékpáros;bicikli|biciklis|biciklista|biciklizik|kerékpár|kerékpározik|sport|sportoló|teker
🚴‍♂️;kerékpáros férfi;bicaj|bicajos|férfi|kerékpár|kerékpáros
🚴‍♀️;kerékpáros nő;bicaj|bicajos|bicikli|biciklis|biciklista|kerékpár|kerékpáros|nő|sport|teker
🚵;hegyikerékpáros;bicikli|biciklis|biciklista|hegy|kerékpár|mountain bike|sport|sportoló
🚵‍♂️;hegyikerékpáros férfi;bicaj|bicajos|férfi|hegy|kerékpár|kerékpáros
🚵‍♀️;hegyikerékpáros nő;bicaj|bicajos|bicikli|biciklis|hegy|kerékpár|kerékpáros|mountain bike|nő|sport|teker
🤸;cigánykerék;sport|sportoló|torna
🤸‍♂️;cigánykerekező férfi;cigánykerék|férfi|sport|torna|tornász|tornázik
🤸‍♀️;cigánykerekező nő;cigánykerék|nő|sport|torna|tornász|tornásznő|tornázik
🤼;birkózók;birkózás|birkózó|harc|sport|sportoló
🤼‍♂️;birkózó férfiak;birkozás|birkozó|férfi|férfi birkózás|harc|sport
🤼‍♀️;birkózó nők;birkozás|birkozó|harc|nő|női birkózás|sport
🤽;vízilabda;póló|sport|víz
🤽‍♂️;vízilabdázó férfi;férfi|póló|sport|vízilabda|vízisport
🤽‍♀️;vízilabdázó nő;nő|póló|sport|vízilabda|vízilabdás
🤾;kézilabda;dob|labda|sport|sportoló
🤾‍♂️;kézilabdázó férfi;férfi|kézilabda|kézilabdás|kézilabdázik|sport
🤾‍♀️;kézilabdázó nő;dob|kézilabda|labda|nő|sport
🤹;zsonglőr;egyensúly|egyszerre|kézügyesség|multitask|ügyes|zsonglőrködik
🤹‍♂️;zsonglőr férfi;egyensúly|egyszerre|férfi|több feladat|zsonglőr
🤹‍♀️;zsonglőr nő;egyensúly|egyszerre|nő|női zsonglőr|több feladat|zsonglőr
🧘;ember lótuszülésben;jóga|jógázik|lótuszülés|meditáció|meditál|nő lótuszülésben|relaxáció|relaxál
🧘‍♂️;férfi lótuszülésben;jóga|meditáció
🧘‍♀️;nő lótuszülésben;jóga|meditáció
🛀;fürdő ember;fürdés|fürdik|fürdőkád
🛌;ember az ágyban;ágy|álmos|alszik|alvás|szálloda
🧑‍🤝‍🧑;egymás kezét fogó emberek;fogás|kéz|kézenfogva|pár
👭;kézen fogva álló nők;barátnők|barátok|barátság|gyerekek|húg|kézen fogva|kislányok|lányok|legjobb barátnők|nők|nővér|pár|randevú|randi|szövetség|testvérek
👫;kézen fogva álló férfi és nő;barátok|férfi|fiú|kéz a kézben|lány|nő|pár|randevú|randi|szerelem|szerelmesek
👬;kézen fogva álló férfiak;barátok|barátság|báty|férfiak|fiúk|ikrek|kézen fogva|öcs|pár|randevú|randi|testvérek
💏;csók;barát|barátnő|évforduló|pár|randevú|randi|romantika|szerelem|szív
👩‍❤️‍💋‍👨;csók: nő és férfi;barát|barátnő|csók|évforduló|férfi|nő|pár|randevú|randi|romantika|szerelem|szív
👨‍❤️‍💋‍👨;csók: férfi és férfi;barát|barátnő|csók|évforduló|férfi|pár|randevú|randi|romantika|szerelem|szív
👩‍❤️‍💋‍👩;csók: nő és nő;barát|barátnő|csók|évforduló|nő|pár|randevú|randi|romantika|szerelem|szív
💑;pár szívvel;csók|évforduló|pár|romantika|szerelem|szív
👩‍❤️‍👨;pár szívvel: nő és férfi;csók|évforduló|férfi|nő|pár|pár szívvel|romantika|szerelem|szív
👨‍❤️‍👨;pár szívvel: férfi és férfi;csók|évforduló|férfi|pár|pár szívvel|romantika|szerelem|szív
👩‍❤️‍👩;pár szívvel: nő és nő;csók|évforduló|nő|pár|pár szívvel|romantika|szerelem|szív
👨‍👩‍👦;család: férfi, nő és fiú;család|férfi|fiú|gyerek|nő
👨‍👩‍👧;család: férfi, nő és lány;család|férfi|gyerek|lány|nő
👨‍👩‍👧‍👦;család: férfi, nő, lány és fiú;család|férfi|fiú|gyerek|lány|nő
👨‍👩‍👦‍👦;család: férfi, nő, fiú és fiú;család|férfi|fiú|gyerek|nő
👨‍👩‍👧‍👧;család: férfi, nő, lány és lány;család|férfi|gyerek|lány|nő
👨‍👨‍👦;család: férfi, férfi és fiú;család|férfi|fiú|gyerek
👨‍👨‍👧;család: férfi, férfi és lány;család|férfi|gyerek|lány
👨‍👨‍👧‍👦;család: férfi, férfi, lány és fiú;család|férfi|fiú|gyerek|lány
👨‍👨‍👦‍👦;család: férfi, férfi, fiú és fiú;család|férfi|fiú|gyerek
👨‍👨‍👧‍👧;család: férfi, férfi, lány és lány;család|férfi|gyerek|lány
👩‍👩‍👦;család: nő, nő és fiú;család|fiú|gyerek|nő
👩‍👩‍👧;család: nő, nő és lány;család|gyerek|lány|nő
👩‍👩‍👧‍👦;család: nő, nő, lány és fiú;család|fiú|gyerek|lány|nő
👩‍👩‍👦‍👦;család: nő, nő, fiú és fiú;család|fiú|gyerek|nő
👩‍👩‍👧‍👧;család: nő, nő, lány és lány;család|gyerek|lány|nő
👨‍👦;család: férfi és fiú;család|férfi|fiú|gyerek
👨‍👦‍👦;család: férfi, fiú és fiú;család|férfi|fiú|gyerek
👨‍👧;család: férfi és lány;család|férfi|gyerek|lány
👨‍👧‍👦;család: férfi, lány és fiú;család|férfi|fiú|gyerek|lány
👨‍👧‍👧;család: férfi, lány és lány;család|férfi|gyerek|lány
👩‍👦;család: nő és fiú;család|fiú|gyerek|nő
👩‍👦‍👦;család: nő, fiú és fiú;család|fiú|gyerek|nő
👩‍👧;család: nő és lány;család|gyerek|lány|nő
👩‍👧‍👦;család: nő, lány és fiú;család|fiú|gyerek|lány|nő
👩‍👧‍👧;család: nő, lány és lány;család|gyerek|lány|nő
🗣️;beszélő fej;arc|beszéd|beszél|fej|sziluett
👤;ember sziluettje melltől felfelé;árnyék|ember|mellszobor|sziluett
👥;két ember sziluettje melltől felfelé;ember|emberek|mellszobor|sziluett
🫂;egymást ölelő emberek;barátság|helló|köszönet|ölel|ölelés|ölelkezés|ölelkező emberek|szerelem|üdv|viszlát
👪;család;gyerek
🧑‍🧑‍🧒;család: felnőtt, felnőtt, gyerek;család|felnőtt|gyerek
🧑‍🧑‍🧒‍🧒;család: felnőtt, felnőtt, gyerek, gyerek;család|felnőtt|gyerek
🧑‍🧒;család: felnőtt, gyerek;család|felnőtt|gyerek
🧑‍🧒‍🧒;család: felnőtt, gyerek, gyerek;család|felnőtt|gyerek
👣;lábnyomok;lábnyom|mezítláb|nyom|nyomok|úton
🫆;ujjlenyomat;biztonság|bűncselekmény|lenyomat|nyom|nyomozó|nyomravezető jel|rejtély|személyazonosság|törvényszék
🐵;majomfej;állat|fej|majom
🐒;majom;állat|banán
🦍;gorilla;állat
🦧;orangután;állat|emberszabású majom|majom
🐶;kutyafej;állat|fej|kedvenc|kisállat|kiskutya|kutya
🐕;kutya;állat|háziállat|kisállat
🦮;vakvezető kutya;akadálymentesség|vak|vakvezető
🐕‍🦺;segítőkutya;akadálymentesség|kutya|segítő|segítség
🐩;pudli;állat|háziállat|kedvenc|kisállat|kutya|uszkár
🐺;farkasfej;állat|farkas|fej
🦊;rókafej;állat|fej|róka
🦝;mosómedve;állat|kíváncsi|mosómaci|ravasz
🐱;macskafej;állat|cica|fej|kedvenc|kisállat|macska
🐈;macska;állat|cica|kedvenc|kisállat
🐈‍⬛;fekete macska;állat|balszerencse|fekete|halloween|macska|nyávog
🦁;oroszlánfej;állat|állatöv|csillagjegy|fej|oroszlán
🐯;tigrisfej;állat|fej|nagymacska|ragadozó|tigris
🐅;tigris;állat|nagymacska|ragadozó
🐆;leopárd;állat|nagymacska|párduc|ragadozó
🐴;lófej;állat|farm|fej|ló
🫎;jávorszarvas;agancs|állat|emlős
🫏;szamár;állat|csacsi|emlős|makacs|öszvér
🐎;ló;állat|derbi|fogadás|lovaglás|lovassport|lóverseny|lovi|sport|sportfogadás|versenyló|versenyzés
🦄;unikornisfej;egyszarvú|fej|unikornis
🦓;zebra;állat|csíkos
🦌;szarvas;agancs|állat
🦬;bölény;állat|csorda
🐮;tehénfej;állat|fej|tehén|tej
🐂;ökör;állat|állatöv|bika|csillagjegy
🐃;vízibölény;állat|bölény|víz
🐄;tehén;állat|tej
🐷;malacfej;állat|disznó|disznófej|fej|malac
🐖;disznó;állat|koca|kövér|malac
🐗;vaddisznó;állat|disznó
🐽;malacorr;disznó|disznóorr|malac|orr
🐏;kos;állat|állatöv|csillagjegy
🐑;birka;állat|anyajuh|bárány|gyapjú|juh
🐐;kecske;állat|állatöv|bak|bakkecske|csillagjegy|sajt
🐪;teve;állat|dromedár|egypúpú teve|púposteve|sivatag
🐫;kétpúpú teve;állat|púp|púposteve|sivatag|teve
🦙;láma;állat|alpaka|guanako|guanakó|gyapjas|gyapjú|vicuña
🦒;zsiráf;állat|foltos
🐘;elefánt;állat
🦣;mamut;állat|gyapjas|kihalt|nagy|ormányos
🦏;orrszarvú;állat|rinocérosz
🦛;víziló;állat
🐭;egérfej;állat|egér|fej
🐁;egér;állat
🐀;patkány;állat
🐹;hörcsögfej;állat|fej|hörcsög|kedvenc|kisállat
🐰;nyúlfej;állat|fej|kedvenc|kisállat|nyúl|nyuszi
🐇;nyúl;állat|háziállat|kedvenc|kisállat|nyuszi
🐿️;mókus;állat|mogyoró
🦫;hód;állat|fog|gát
🦔;sün;állat|sündisznó|tüskés
🦇;denevér;állat|drakula|vámpír
🐻;medvefej;állat|fej|maci|medve
🐻‍❄️;jegesmedve;fehér|medve|sarkvidék
🐨;koala;állat|fej|koalamaci|maci|medve
🐼;pandafej;állat|fej|maci|panda|pandamaci
🦥;lajhár;lassú|lusta
🦦;vidra;halászó|játékos
🦨;bűzösborz;borz|büdös|bűz|bűzborz|bűzös borz
🦘;kenguru;állat|Ausztrália|erszényes|kengu|ugrás|ugrik
🦡;borz;állat|méhészborz
🐾;mancsnyomok;lábak|lábnyomok
🦃;pulyka;állat|hálaadás|madár|mérges|szárnyas
🐔;tyúk;állat|madár
🐓;kakas;állat|madár
🐣;kikelő kiscsibe;állat|csibe|kikel|kikelés|kiscsibe|kiscsirke|madár|naposcsibe|tojás
🐤;naposcsibe;állat|csibe|kiscsibe|madár
🐥;előre néző kiscsibe;állat|csibe|kiscsibe|madár|naposcsibe
🐦;madár;állat
🐧;pingvin;állat|madár
🕊️;galamb;állat|béke|békegalamb|madár|olajág
🦅;sas;állat|madár
🦆;kacsa;állat|madár
🦢;hattyú;állat|fiatal hattyú|madár|rút kiskacsa
🦉;bagoly;állat|bölcs|madár
🦤;dodó;állat|kihalt|madár|Mauritius|nagy
🪶;madártoll;madár|repülés|toll|tollazat
🦩;flamingó;színpompás|trópusi
🦚;páva;állat|büszke|hivalkodó|madár|pávakakas|pávatyúk|szép madár|színes|színpompás
🦜;papagáj;állat|beszél|kalóz|lóri|madár
🪽;szárny;angyal|angyalszárny|madár|mitológia|repül|repülés
🐦‍⬛;fekete madár;fekete|holló|madár|varjú|vetési varjú
🪿;liba;bolondos|gágog|madár|szárnyas
🐦‍🔥;főnix;fantasy|feltámad|halhatatlan|reinkarnáció|tűzmadár|újjászületés
🐸;békafej;állat|béka|fej
🐊;krokodil;állat
🐢;teknős;állat|teknőc|teknősbéka
🦎;gyík;állat|hüllő
🐍;kígyó;állat|állatöv|csillagjegy|zodiákus
🐲;sárkányfej;állat|fantasy|fej|mese|sárkány|tündérmese
🐉;sárkány;állat|mese
🦕;sauropoda;állat|brachiosaurus|brontosaurus|dínó|dinoszaurusz|diplodocus|kihalt|őslény
🦖;T. rex;állat|dínó|dinoszaurusz|kihalt|őslény|T-rex|T.-rex|Tyrannosaurus|Tyrannosaurus rex
🐳;fröcskölő bálna;állat|bálna|fej|fröcskölés
🐋;bálna;állat|óceán|tengerpart
🐬;delfin;állat|flipper|óceán|tengerpart
🫍;kardszárnyú delfin;bálna|óceán|tengeri állat
🦭;fóka;állat|oroszlánfóka|tenger
🐟;hal;állat|állatöv|csillagjegy|étel|halak|halászat|halászik|horoszkóp
🐠;trópusi hal;állat|díszhal|hal|trópusi
🐡;gömbhal;állat|hal
🦈;cápa;állat|hal
🐙;polip;állat|óceán|oktopusz
🐚;tengeri csiga;kagyló|spirális|tengerpart
🪸;korall;korallzátony|óceán|zátony
🪼;medúza;csíp|gerinctelen|jaj|kocsonyás|szúrószerv|tengeri
🦀;rák;állatöv|csillagjegy
🦞;homár;állat|ollók|rák|rákleves|tenger gyümölcsei|tengeri étel
🦐;garnélarák;étel|kicsi|rák|tengeri
🦑;tintahal;állat|étel
🦪;osztriga;búvárkodás|gyöngy
🐌;csiga;állat|lassú
🦋;pillangó;állat|lepke|rovar|szép
🐛;rovar;állat|bogár|hernyó|kukac|százlábú
🐜;hangya;állat|kert|rovar
🐝;méh;állat|darázs|dongó|háziméh|méhecske|rovar|tavasz|természet
🪲;bogár;állat|cserebogár|rovar
🐞;katica;állat|bogár|katicabogár|rovar
🦗;tücsök;állat|bogár|ciripel|rovar|szöcske|ugrik
🪳;csótány;állat|kártevő|rovar|svábbogár|undi|undorító
🕷️;pók;állat|rovar
🕸️;pókháló;háló|pók
🦂;skorpió;állat|állatöv|csillagjegy
🦟;szúnyog;betegség|csípés|láz|malária|rovar|vírus
🪰;légy;állat|betegség|féreg|kártevő|rohadás|rovar
