😀;חיוך רחב;חיוך|מחייך|פרצוף|שמח
👩‍🔧;מכונאית;אינסטלטורית|אישה|אשת מקצוע|חשמלאית|טכנאית|שרברבית
🧑‍🏭;פועל/ת;בית חרושת|מפעל|פועל|פועלת|תעשייה
👨‍🏭;פועל;איש|גבר|מפעיל|עובד מפעל|עובד תעשייה
👩‍🏭;פועלת;אישה|מפעילה|מפעל|מרכיבה|עובדת|עובדת תעשייה
🧑‍💼;עובד/ת משרד;אדריכל|אדריכלית|מנהל|מנהלת|עבודה משרדית|עסק|צווארון לבן
👨‍💼;עובד משרד;אדריכל|איש עסקים|גבר|מנהל|משרד|פקיד|צווארון לבן
👩‍💼;עובדת משרד;אדריכלית|אישה|אשת עסקים|מנהלת|משרד|פקידה|צווארון לבן
🧑‍🔬;מדען/ית;ביולוג|ביולוגית|מדען|מדענית|מהנדס|מהנדסת
👨‍🔬;מדען;איש|ביולוג|גבר|כימאי|מהנדס|מעבדה|ניסוי|פיזיקאי
👩‍🔬;מדענית;אישה|ביולוגית|כימאית|מהנדסת|מקצוע|ניסוי|פיזיקאית
🧑‍💻;טכנולוג/ית;טכנולוג|טכנולוגית|ממציא|מפתח|מפתחת|מתכנת|מתכנתת
👨‍💻;טכנולוג;איש|גבר|הייטק|חוקר|מפתח|מתכנת|תוכנה
👩‍💻;טכנולוגית;אישה|חוקרת|מפתחת|מתכנתת|תוכנה
🧑‍🎤;זמר/ת;אומן|אמן|אמנית|זמר|זמרת|שחקן|שחקנית
👨‍🎤;זמר;איש|בדרן|גבר|כוכב|רוק|שחקן
👩‍🎤;זמרת;אישה|בדרנית|כוכבת|רוק|שחקנית
🧑‍🎨;אומן/ית;אומן|אומנות|אומנית|אמן|אמנות|אמנית|צבעים
👨‍🎨;אמן;איש|גבר|צבעים|צייר
👩‍🎨;אמנית;אישה|מקצוע|צבעים|ציירת
🧑‍✈️;טייס/ת;טייס|טייסת|טיסה|מטוס
👨‍✈️;טייס;אדם|איש|גבר|מטוס
👩‍✈️;טייסת;אדם|אישה|מטוס
🧑‍🚀;אסטרונאוט/ית;אסטרונאוט|אסטרונאוטית|חלל|חללית
👨‍🚀;אסטרונאוט;איש|גבר|חלל|חללית|משימת חלל
👩‍🚀;אסטרונאוטית;אישה|חלל|חללית
🧑‍🚒;לוחם/ת אש;כבאות|כבאי|כבאית|כיבוי|לוחם אש|לוחמת אש|מכבי אש
👨‍🚒;לוחם אש;איש|גבר|כבאי|כיבוי|מכבי אש
👩‍🚒;לוחמת אש;אישה|כבאית|כיבוי|מכבי אש
👮;שוטר;אדם|זימון לבית משפט|חוק|חוק וסדר|מעצר|משטרה|סוכן חשאי|קצין משטרה
👮‍♂️;קצין משטרה;איש|גבר|משטרה|שוטר
👮‍♀️;קצינת משטרה;אדם|אישה|חוק|מעצר|משטרה|צו מעצר|שוטרת|שוטרת סמויה
🕵️;בלש;מרגל
🕵️‍♂️;חוקר פרטי;איש|בלש|גבר|מרגל
🕵️‍♀️;חוקרת פרטית;אישה|בלשית|מרגלת
💂;שומר;אבטחה|אנגליה|ארמון בקינגהאם|באקינגהאם|לונדון|מאבטח|משמר המלכה|שמירה
💂‍♂️;מאבטח;איש|גבר|שומר
💂‍♀️;שומרת;אישה|ארמון באקינגהאם|לונדון|מאבטחת|משמר המלכה
🥷;נינג׳ה;אומנויות לחימה|לוחם
👷;פועל בניין;אדם|איש|בטיחות|מהנדס|עובד בבניין|עובד בניין|פועל|קסדה
👷‍♂️;בנאי;איש|בניין|גבר|פועל
👷‍♀️;פועלת בניין;אישה|בניין|מהנדסת|פועלת
🫅;פרצוף עם כתר;אציל|מלך|מלכה|מלכותי|נסיך|נסיכה
🤴;נסיך עם כתר;כתר|מלך|נסיך
👸;נסיכה;אגדה|כתר|מלכה
👳;אדם עם טורבן;אדם|אדם חובש טורבן|איש|גבר|חובש טורבן|טורבן
👳‍♂️;גבר עם טורבן;איש|גבר|טורבן
👳‍♀️;אישה עם טורבן;אישה|טורבן
👲;אדם עם כובע סיני;כובע|סיני
🧕;אישה עם רעלה;חג׳אב|חיג׳אב|צעיף|רעלה
🤵;איש בטוקסידו;אדם|איש|חליפה|חליפת ערב|חתן|טוקסידו|פורמלי
🤵‍♂️;גבר בטוקסידו;איש|גבר|חליפה|טוקסידו
🤵‍♀️;אישה בטוקסידו;אישה|אשה|חליפה|טוקסידו
👰;כלה עם הינומה;הינומה|חתונה|כלה
👰‍♂️;איש עם הינומה;איש|איש בהינומה|הינומה
👰‍♀️;אישה עם הינומה;אישה|אישה בהינומה|הינומה
🤰;אישה בהיריון;אישה|היריון|הרה|הריונית
🫃;איש עם בטן היריון;בטן|גבר|היריון|כרס|נפוח|שמן
🫄;בהריון;אישה בהיריון|בטן|היריון|הריון|כרס|נפוח|נפוחה|שמן
🤱;אישה מניקה;אמהות|הנקה|חלב אם|מיניקה|מניקה|תינוק
👩‍🍼;אישה מניקה תינוק;אישה|אמא|הנקה|מניקה|תינוק
👨‍🍼;איש מניק תינוק;אבא|איש|איש מניק|הנקה|תינוק
🧑‍🍼;הנקה של תינוק;אבא|איש|אישה|בקבוק|האכלה|הנקה|חלב|תינוק
👼;מלאך תינוק;אגדה|מלאך|פנטסיה|תינוק
🎅;סנטה קלאוס;חג המולד|כריסמס|מתנות|סנטה
🤶;גב׳ סנטה;גב’ קלאוס|גברת|חג המולד|סנטה
🧑‍🎄;קלאוס;איש|אישה|גב׳ סנטה|גב’ קלאוס|חג המולד|כריסמס|סנטה|קריסמס
🦸;גיבור על;גיבורה|גיבורת על|טוב|כוחות על
🦸‍♂️;סופרמן;גיבור|גיבור על
🦸‍♀️;סופרוומן;אישה|גיבורה|גיבורת על
🦹;נבל על;כוחות הרשע|נבל|פושע|רשע
🦹‍♂️;רשע בעל כוחות על;כוחות הרשע|כוחות על|נבל|פושע|רשע
🦹‍♀️;מרשעת על;כוחות הרשע|מרשעת|פושעת
🧙;קוסם;אדם|אשף|כישוף|מכשף|משחק תפקידים|פנטזיה|קסם
🧙‍♂️;קוסם עם זקן;כישוף|מכשף|קוסם|קסם
🧙‍♀️;קוסמת;כישוף|מכשפה|קסם
🧚;פיה;אגדה|טיטניה|טינקרבל|כנפיים|מיתוס|פנטזיה|שדונת
🧚‍♂️;פיה בן;אוברון|פוק
🧚‍♀️;פיה בת;טיטניה|טינקרבל
🧛;ערפד;אדם ערפד|דם|דרקולה|האלווין|חי מת|ניבים|על טבעי|שיניים|תחפושת
🧛‍♂️;ערפד בן;דרקולה
🧛‍♀️;ערפדית;באפי|דרוסילה
🧜;בתולת ים;בת הים|בת ים|ים
🧜‍♂️;בן ים;טריטון
🧜‍♀️;בת הים;סירונית
🧝;אלף;אדם שדון|יצור קסום|מיסטי|מיתוס|פולקלור|פנטזיה|שדון
🧝‍♂️;אלף בן;יצור קסום
🧝‍♀️;אלפית;יצור קסום
🧞;שד;ג׳ין|ג׳יני|משאלה|משאלות|שדון
🧞‍♂️;דמון;אשמדאי|ג׳יני|שד|שדון
🧞‍♀️;שדה;ג׳יני|שדונית
🧟;זומבי;האלווין|מפחיד|מת מהלך
🧟‍♂️;זומבי גבר;מת מהלך
🧟‍♀️;זומבי אישה;מתה מהלכת
🧌;טרול;אגדה|יצור|מפלצת|פנטזיה
🫈;יצור שעיר;ביגפוט|יטי|ענק|שיער|שעיר
💆;עיסוי פנים;טיפול|מכון יופי|מסאז׳|סלון יופי|ספא|עיסוי|פנים|רגיעה|תרפיה
💆‍♂️;גבר מקבל עיסוי פנים;איש|גבר|מסאג׳|עיסוי|פנים
💆‍♀️;אישה מקבלת עיסוי פנים;אישה|עיסוי|פנים
💇;תספורת;אישה|אישה מסתפרת|טיפוח|יופי|מספרה|סלון יופי|ספר|שיער|תסרוקת
💇‍♂️;גבר מסתפר;אדם|איש|גבר|מספרה|תספורת
💇‍♀️;אישה מסתפרת;אישה|תספורת
🚶;איש הולך;אדם|הולך|הליכה|טיול|טיול רגלי|משוטט|צעידה
🚶‍♂️;גבר הולך;איש|גבר|הולך|הליכה
🚶‍♀️;אישה הולכת;אישה|הולכת|הליכה|צעידה
🚶‍➡️;איש הולך: פונה ימינה;אדם|איש הולך|הולך|הליכה|טיול|טיול רגלי|ימינה|משוטט|פונה|צעידה
🚶‍♀️‍➡️;אישה הולכת: פונה ימינה;אישה|הולכת|הליכה|ימינה|פונה|צעידה
🚶‍♂️‍➡️;גבר הולך: פונה ימינה;איש|גבר|הולך|הליכה|ימינה|פונה
🧍;אדם עומד;עומד|עמידה
🧍‍♂️;איש עומד;איש|גבר|עומד|עמידה
🧍‍♀️;אישה עומדת;אישה|עומדת|עמידה
🧎;אדם כורע ברך;כריעה|כריעת ברך|לכרוע ברך
🧎‍♂️;איש כורע ברך;איש|גבר|כורע ברך|לכרוע ברך
🧎‍♀️;אישה כורעת ברך;אישה|כורעת ברך
🧎‍➡️;אדם כורע ברך: פונה ימינה;אדם כורע ברך|ימינה|כריעה|כריעת ברך|לכרוע ברך|פונה
🧎‍♀️‍➡️;אישה כורעת ברך: פונה ימינה;אישה|אישה כורעת ברך|ימינה|כורעת ברך|פונה
🧎‍♂️‍➡️;איש כורע ברך: פונה ימינה;איש|איש כורע ברך|גבר|ימינה|כורע ברך|לכרוע ברך|פונה
🧑‍🦯;אדם עם מקל נחייה;לקוי ראייה|נגישות|עיוור
🧑‍🦯‍➡️;אדם עם מקל נחייה: פונה ימינה;אדם עם מקל נחייה|ימינה|לקוי ראייה|נגישות|עיוור|פונה
👨‍🦯;איש עם מקל נחייה;לקוי ראייה|נגישות|עיוור
👨‍🦯‍➡️;איש עם מקל נחייה: פונה ימינה;איש עם מקל נחייה|ימינה|לקוי ראייה|נגישות|עיוור|פונה
👩‍🦯;אישה עם מקל נחייה;לקויית ראייה|נגישות|עיוורת
👩‍🦯‍➡️;אישה עם מקל נחייה: פונה ימינה;אישה עם מקל נחייה|ימינה|לקויית ראייה|נגישות|עיוורת|פונה
🧑‍🦼;אדם בכסא גלגלים ממונע;כסא גלגלים|נגישות|נכה
🧑‍🦼‍➡️;אדם בכסא גלגלים ממונע: פונה ימינה;אדם בכסא גלגלים ממונע|ימינה|כסא גלגלים|נגישות|נכה|פונה
👨‍🦼;איש בכסא גלגלים ממונע;איש|גבר|כסא גלגלים|נגישות|נכה
👨‍🦼‍➡️;איש בכסא גלגלים ממונע: פונה ימינה;איש|איש בכסא גלגלים ממונע|גבר|ימינה|כסא גלגלים|נגישות|נכה|פונה
👩‍🦼;אישה בכסא גלגלים ממונע;אישה|כסא גלגלים|נגישות|נכה
👩‍🦼‍➡️;אישה בכסא גלגלים ממונע: פונה ימינה;אישה|אישה בכסא גלגלים ממונע|ימינה|כסא גלגלים|נגישות|נכה|פונה
🧑‍🦽;אדם בכסא גלגלים ידני;כסא גלגלים|נגישות|נכה
🧑‍🦽‍➡️;אדם בכסא גלגלים ידני: פונה ימינה;אדם בכסא גלגלים ידני|ימינה|כסא גלגלים|נגישות|נכה|פונה
👨‍🦽;איש בכסא גלגלים ידני;איש|גבר|כיסא גלגלים|כסא גלגלים|כסא גלגלים ידני|נגישות|נכה
👨‍🦽‍➡️;איש בכסא גלגלים ידני: פונה ימינה;איש|גבר|ימינה|כיסא גלגלים|כסא גלגלים|כסא גלגלים ידני|נגישות|נכה|פונה
👩‍🦽;אישה בכסא גלגלים ידני;אישה|כסא גלגלים|נגישות|נכה
👩‍🦽‍➡️;אישה בכסא גלגלים ידני: פונה ימינה;אישה|אישה בכסא גלגלים ידני|ימינה|כסא גלגלים|נגישות|נכה|פונה
🏃;רץ;אדם רץ|איש רץ|במהירות|לרוץ|מהר|מרוץ|מרתון|ריצה|תנועה
🏃‍♂️;גבר רץ;איש|גבר|ממהר|מרוץ|מרתון|ריצה
🏃‍♀️;אישה רצה;אישה|ממהרת|מרוץ|מרתון|ריצה
🏃‍➡️;רץ: פונה ימינה;אדם רץ|איש רץ|במהירות|ימינה|לרוץ|מהר|מרוץ|מרתון|פונה|ריצה|רץ|תנועה
🏃‍♀️‍➡️;אישה רצה: פונה ימינה;אישה|אישה רצה|ימינה|ממהרת|מרוץ|מרתון|פונה|ריצה
🏃‍♂️‍➡️;גבר רץ: פונה ימינה;איש|גבר|גבר רץ|ימינה|ממהר|מרוץ|מרתון|פונה|ריצה
🧑‍🩰;רקדן בלט;בלט|מחול|ריקוד|רקדנית
💃;רקדנית;אישה רוקדת|טנגו|לרקוד|מסיבה|סלסה|פלמנקו|רוקדת
🕺;איש רוקד;אדם|איש|דיסקו|סלסה|פלמנקו|רוקד|ריקוד|רקדן
🕴️;אדם בחליפת עסקים מרחף;אדם|איש עסקים|חליפה|מרחף בחליפת עסקים
👯;נשים עם אוזני ארנב רוקדות;אוזני ארנב|אוזני שפן|אישה|ארנבות|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
👯‍♂️;גברים עם אוזני ארנב רוקדים;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|מסיבה|רקדן
👯‍♀️;נשים עם אוזני ארנב;אישה|בנות חוגגות|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
🧖;מישהי בסאונה;אדם|אישה בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
🧖‍♂️;גבר בסאונה;סאונה|ספא
🧖‍♀️;אישה בסאונה;סאונה|ספא
🧗;מישהו מטפס;אדם|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת
🧗‍♂️;איש מטפס;טיפוס|מטפס
🧗‍♀️;אישה מטפסת;טיפוס|מטפסת
🤺;סייף;דקירה|סיף|ספורט
🏇;מירוצי סוסים;מירוץ|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
⛷️;גולש סקי;גולש|ספורט|סקי|שלג
🏂;גולש סנובורד;גולש|סנובורד|ספורט|סקי|שלג
🏌️;שחקן גולף;גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
🏌️‍♂️;גבר משחק גולף;איש|גבר|גולף
🏌️‍♀️;אישה משחקת גולף;אישה|גולף
🏄;גולש גלים;אדם גולש על גלשן|גולש|גלים|גלישה|גלישת גלים|גלשן|חוף|ים|ספורט
🏄‍♂️;גבר גולש;איש|גבר|גלישה
🏄‍♀️;אישה גולשת;אדם|אישה|גלים|גלישה|ים|לגלוש|ספורט
🚣;סירת משוטים;אגם|אדם בסירה|אדם חותר בסירת משוטים|דייג|חתירה|ים|משוטים|נהר|סירה|שייט
🚣‍♂️;גבר חותר בסירה;איש|גבר|חתירה|סירה
🚣‍♀️;אישה חותרת בסירה;אדם|אישה|חתירה|סירה|סירת משוטים
🏊;שחיין;אדם שוחה|בריכה|גבר שוחה|טריאתלון|ים|סגנון חופשי|שוחה|שחייה
🏊‍♂️;גבר שוחה;איש|גבר|שוחה|שחייה|שחיין
🏊‍♀️;אישה שוחה;אישה|בריכה|לשחות|שוחה|שחיה|שחייה|שחיינית
⛹️;הקפצת כדור;ילד מכדרר כדורסל|ילד מקפיץ כדור|כדור|כדורסל|מקפיץ כדור|ספורט
⛹️‍♂️;גבר מקפיץ כדור;איש|גבר|כדור
⛹️‍♀️;אישה מקפיצה כדור;אישה|כדור|כדורסל|כדורסלנית|מכדררת
🏋️;מרים משקולות;אימון|בודי בילדר|כושר|מרים|משקולות|משקולת|משקל|פיתוח גוף
🏋️‍♂️;גבר מרים משקולות;איש|גבר|משקולות
🏋️‍♀️;אישה מרימה משקולות;אישה|מרימת משקולות|משקולות|מתעמלת
🚴;רוכב אופניים;אדם|אדם רוכב על אופניים|אופניים|ספורט|רוכב על אופניים|רכיבה|רכיבה על אופניים|רכיבת אופניים
🚴‍♂️;גבר רוכב על אופניים;אופניים|איש|גבר|רוכב אופניים|רכיבה על אופניים
🚴‍♀️;אישה רוכבת על אופניים;אופניים|אישה|ספורט|רוכבת אופניים|רכיבה על אופניים
🚵;רוכב אופני הרים;אדם|אופני הרים|אופניים|ספורט|ספורטאי|רוכב אופניים|רכיבה|רכיבה על אופני הרים|רכיבה על אופניים
🚵‍♂️;גבר רוכב על אופני הרים;אופניים|איש|גבר|הרים|רוכב אופניים
🚵‍♀️;אישה רוכבת על אופני הרים;אדם|אופניים|אישה|הרים|רוכבת אופניים
🤸;גלגלון;גלגול|הנאה|התעמלות|ילדה עושה גלגלון|ספורט|פעילות גופנית|שמחה
🤸‍♂️;גבר מבצע גלגלון;אדם|איש|גבר|גלגלון|התעמלות|ילד עושה גלגלון|ספורט|פעילות|שמחה
🤸‍♀️;אישה מבצעת גלגלון;אישה|אקרובטיקה|גלגלון|התעמלות|ילדה עושה גלגלון|ספורט|עמידת ידיים|פעילות|שמחה
🤼;מתאבקים;גברים בזירת היאבקות|היאבקות|זירה|טורניר היאבקות|מתאבק|ספורט|קרב
🤼‍♂️;גברים מתאבקים;אדם|גברים|דו-קרב|היאבקות|התאבקות|זירת אגרוף|זירת התאבקות|טורניר היאבקות|קרב
🤼‍♀️;נשים מתאבקות;האבקות|היאבקות|התאבקות|זירה|טורניר התאבקות|נשים|נשים בזירת התאגרפות|קרב
🤽;כדורמים;אדם משחק כדור-מים|בריכה|כדור מים|כדור-מים|ספורט|ספורט במים|ספורט מים|פולו מים|שחייה
🤽‍♂️;גבר משחק כדור-מים;אדם|איש|בריכה|גבר|כדור מים|ספורט מים|פולו מים
🤽‍♀️;אישה משחקת כדור-מים;אישה|בריכה|כדור מים|כדור-מים|כדורמים|ספורט מים|פולו מים|שחייה
🤾;כדוריד;אדם|הדיפת כדור|הטלת כדור|זריקת כדור|כדור|כדור יד|משחק כדור|ספורט|ספורטאי
🤾‍♂️;גבר משחק כדוריד;אדם|איש|גבר|גבר משחק כדור יד|כדור יד|כדוריד|ספורטאי
🤾‍♀️;אישה משחקת כדור יד;אדם|אישה|כדור|כדור יד|כדור-יד|כדוריד|ספורט|ספורטאית|תפיסת כדור
🤹;להטוטן;אדם עושה ג׳גלינג|איזון|ג׳גלינג|זריקת כדורים באוויר|להטוט|מולטי-טסק|מולטיטסקינג|מיומנות|ריבוי משימות
🤹‍♂️;גבר עושה ג׳גלינג;אדם|איזון|איש|ג׳אגלינג|ג׳גלינג|גבר מלהטט|זריקת כדורים באוויר|להטוטנות|מולטי-טסקינג|עומס|ריבוי משימות
🤹‍♀️;אישה עושה ג׳גלינג;אישה|אישה מלהטטת|ג׳גלינג|להטוטנות|מולטי-טסקינג|עומס|ריבוי משימות
🧘;מישהי בתנוחת לוטוס;אישה משלבת רגליים|זן|יוגה|ישיבת לוטוס|ישיבת מדיטציה|לוטוס|מדיטציה|מנוחה|רגליים משולבות|שילוב רגליים
🧘‍♂️;איש בתנוחת לוטוס;יוגה|לוטוס|מדיטציה
🧘‍♀️;אישה בתנוחת לוטוס;יוגה|לוטוס|מדיטציה
🛀;אדם באמבטיה;אמבטיה|מקלחת
🛌;אדם במיטה;חרופ|ישן|לילה|לילה טוב|לישון|מיטה|מלון|עייפות|שינה
🧑‍🤝‍🧑;אנשים מחזיקים ידיים;זוג|יד|ידיים|מחזיקים ידיים|תאומים
👭;שתי נשים מחזיקות ידיים;אחיות|זוג|זוג בנות|חברות|ידיים|לסביות|מחזיקות ידיים|נשים
👫;איש ואישה מחזיקים ידיים;איש|אישה|זוג|ידיים|מחזיקים ידיים
👬;שני גברים מחזיקים ידיים;אהבה|גברים|גיי|זוג|חברים|ידיים|מחזיקים ידיים
💏;נשיקה;אהבה|ולנטיין|זוג|טו באב|לב|רומנטי|רומנטיקה
👩‍❤️‍💋‍👨;נשיקה: אישה, איש;אהבה|איש|אישה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
👨‍❤️‍💋‍👨;נשיקה: איש, איש;אהבה|איש|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
👩‍❤️‍💋‍👩;נשיקה: אישה, אישה;אהבה|אישה|ולנטיין|זוג|טו באב|לב|נשיקה|רומנטי|רומנטיקה
💑;זוג עם לב;אהבה|זוג|לב|רומנטי|רומנטיקה
👩‍❤️‍👨;זוג עם לב: אישה, איש;אהבה|איש|אישה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👨‍❤️‍👨;זוג עם לב: איש, איש;אהבה|איש|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👩‍❤️‍👩;זוג עם לב: אישה, אישה;אהבה|אישה|זוג|זוג עם לב|לב|רומנטי|רומנטיקה
👨‍👩‍👦;משפחה: איש, אישה, בן;אבא|איש|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👩‍👧;משפחה: איש, אישה, בת;אבא|איש|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👩‍👧‍👦;משפחה: איש, אישה, בת, בן;אבא|איש|אישה|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👨‍👩‍👦‍👦;משפחה: איש, אישה, בן, בן;אבא|איש|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👩‍👧‍👧;משפחה: איש, אישה, בת, בת;אבא|איש|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👨‍👦;משפחה: איש, איש, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👨‍👧;משפחה: איש, איש, בת;אבא|איש|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👨‍👧‍👦;משפחה: איש, איש, בת, בן;אבא|איש|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👨‍👨‍👦‍👦;משפחה: איש, איש, בן, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👨‍👧‍👧;משפחה: איש, איש, בת, בת;אבא|איש|אמא|בת|הורים|ילד|ילדה|משפחה
👩‍👩‍👦;משפחה: אישה, אישה, בן;אבא|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👩‍👩‍👧;משפחה: אישה, אישה, בת;אבא|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👩‍👩‍👧‍👦;משפחה: אישה, אישה, בת, בן;אבא|אישה|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👩‍👩‍👦‍👦;משפחה: אישה, אישה, בן, בן;אבא|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👩‍👩‍👧‍👧;משפחה: אישה, אישה, בת, בת;אבא|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👦;משפחה: איש, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👦‍👦;משפחה: איש, בן, בן;אבא|איש|אמא|בן|הורים|ילד|ילדה|משפחה
👨‍👧;משפחה: איש, בת;אבא|איש|אמא|בת|הורים|ילד|ילדה|משפחה
👨‍👧‍👦;משפחה: איש, בת, בן;אבא|איש|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👨‍👧‍👧;משפחה: איש, בת, בת;אבא|איש|אמא|בת|הורים|ילד|ילדה|משפחה
👩‍👦;משפחה: אישה, בן;אבא|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👩‍👦‍👦;משפחה: אישה, בן, בן;אבא|אישה|אמא|בן|הורים|ילד|ילדה|משפחה
👩‍👧;משפחה: אישה, בת;אבא|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
👩‍👧‍👦;משפחה: אישה, בת, בן;אבא|אישה|אמא|בן|בת|הורים|ילד|ילדה|משפחה
👩‍👧‍👧;משפחה: אישה, בת, בת;אבא|אישה|אמא|בת|הורים|ילד|ילדה|משפחה
🗣️;צללית ראש מדבר;דיבור|מדבר|פרצוף|צללית|ראש|שיעול
👤;צללית ראש וחזה;חזה|צל|צללית|ראש
👥;שתי צלליות ראש וחזה;חברים|חזה|צללית|ראש
🫂;אנשים מתחבקים;אהבה|חיבוק|ניחום|פרידה|תודה
👪;משפחה;אבא|אמא|הורים|ילד|ילדה
🧑‍🧑‍🧒;משפחה: הורה, הורה, ילד;הורה|ילד|ילדה|מבוגר|מבוגרת|משפחה: הורה
🧑‍🧑‍🧒‍🧒;משפחה: הורה, הורה, ילד, ילד;הורה|ילד|ילדה|מבוגר|משפחה: הורה
🧑‍🧒;משפחה: הורה, ילד;ילד|ילדה|מבוגרת|משפחה: הורה|משפחה: מבוגר
🧑‍🧒‍🧒;משפחה: מבוגר, מבוגרת, ילד, ילדה;ילד|ילדה|מבוגרת|משפחה: מבוגר
👣;טביעות רגל;כפות רגליים|עקבות
🫆;טביעת אצבע;אבטחה|זהות|זיהוי|זיהוי פלילי|טביעות אצבע
🐵;פני קוף;בעל חיים|פנים|קוף
🐒;קוף;בעל חיים|קופיף
🦍;גורילה;בעל חיים
🦧;אורנגאוטן;אורנג-אוטן|אורנג-אוטנג|בעל חיים|קוף
🐶;פני כלב;חיית מחמד|כלב|כלבלב|פנים
🐕;כלב;חיית מחמד
🦮;כלב נחייה;נגישות|נחייה|עיוורים
🐕‍🦺;כלב שירות;כלב|נגישות|נחייה|עיוורים|שירות
🐩;פודל;בעל חיים|חיית מחמד|כלב
🐺;זאב;בעל חיים|פנים
🦊;שועל;פני שועל|פנים
🦝;רקון;בעל חיים|דביבון|סקרן|ערמומי
🐱;פני חתול;חיית מחמד|חתול|חתלתול|פנים
🐈;חתול;בעל חיים|חיית מחמד
🐈‍⬛;חתול שחור;חתול|חתלתול|מיאו|שחור
🦁;אריה;בעל חיים|ספארי|פני אריה|פנים|פרצוף אריה
🐯;פני טיגריס;חמוד|טיגריס|טייגר|פנים
🐅;טיגריס;בעל חיים|טורף|טייגר|יונק
🐆;נמר;בעל חיים|ברדלס|טורף
🐴;פני סוס;בעל חיים|סוס|פנים
🫎;אייל קורא;אייל|בעל חיים|חיה|מוס|קרניים
🫏;חמור;אתון|בועט|בעל חיים|חיה|עקשנות
🐎;סוס;דוהר|מרוצי סוסים|סוס מרוץ
🦄;חד קרן;פני חד קרן|פני חד-קרן|פנים
🦓;זברה;בעל חיים|פסים
🦌;אייל;איילים|איל|בעל חיים
🦬;ביזון;בופאלו|בעל חיים|בפאלו|חיה|עדר|תאו
🐮;פני פרה;בעל חיים|חווה|חלב|פנים|פרה
🐂;שור;בעל חיים|בקר|פר
🐃;תאו המים;באפלו|בעל חיים|מים|תאו
🐄;פרה;בעל חיים|חווה|רפת
🐷;פני חזיר;בעל חיים|חזיר|פנים
🐖;חזיר;בעל חיים|חזירה
🐗;חזיר בר;בעל חיים|חזיר
🐽;אף חזיר;אף|חזיר
🐏;אַיִל;אייל|איל|גלגל המזלות|טלה|כבש|מזל טלה
🐑;כבשה;בעל חיים|כבש
🐐;תיש;בעל חיים|גדי|עז|צאן
🐪;גמל;דבשת|מדבר
🐫;גמל דו-דבשתי;גמל|דבשת|דו-דבשתי|מדבר
🦙;למה;אלפקה|בעל חיים|גואניקו|צמר
🦒;ג׳ירף;בעל חיים|בעלי חיים|ג׳ירפה|נקודות
🐘;פיל;בעל חיים
🦣;ממותה;בעל חיים|חט|נכחד|ענק|פרה היסטורי|צמרי
🦏;קרנף;בעל חיים
🦛;היפופוטם;בעל חיים|היפו
🐭;פני עכבר;בעל חיים|עכבר|פנים
🐁;עכבר;בעל חיים
🐀;חולדה;עכבר|עכברוש
🐹;אוגר;בעל חיים|חיית מחמד|פני אוגר|פנים
🐰;פני ארנב;ארנב|בעל חיים|חיית מחמד|פנים|שפן|שפנפן
🐇;ארנב;ארנבון|ארנבת|בעל חיים|שפן
🐿️;סנאי;בעל חיים
🦫;בונה;בעל חיים|סכר|סכרים
🦔;קיפוד;קוצים|קוצני
🦇;עטלף;בעל חיים|מעופף|ערפד
🐻;דוב;בעל חיים|דב|דובי|פני דוב|פנים
🐻‍❄️;דוב קוטב;ארקטי|דוב|לבן|קוטב
🐨;קואלה;אוסטרליה|בעל חיים|חיית כיס|פנים|קוואלה
