😀;лице са широким осмехом;зуби|лице|уста|широки осмех
💆‍♀️;женска масажа лица;жена|лице|масажа|салон
💇;шишање;берберин|козметологија|коса|лепота|маказе|нега|особа|сaлoн|сецкати|сређивање|стил|улeпшaвaњe
💇‍♂️;мушко шишање;берберин|козметологија|коса|лепота|маказе|мушкарац|нега|сaлoн|сецкати|сређивање|стил|улeпшaвaњe|шишање
💇‍♀️;женско шишање;жена|салон|улепшавање|фризер
🚶;пешак;мушкарац|особа|пешачење|темпо|ход|ходање|шетање|шетња
🚶‍♂️;мушкарац хода;мушкарац|ходање|шетање
🚶‍♀️;жена хода;жена|ходање|шетање
🚶‍➡️;пешак: гледа удесно;гледа|мушкарац|особа|пешак|пешачење|темпо|удесно|ход|ходање|шетање|шетња
🚶‍♀️‍➡️;жена хода: гледа удесно;гледа|жена|удесно|ходање|шетање
🚶‍♂️‍➡️;мушкарац хода: гледа удесно;гледа|мушкарац|мушкарац хода|удесно|ходање|шетање
🧍;особа стоји;особа|стајање|стајати
🧍‍♂️;човек стоји;стоји|човек
🧍‍♀️;жена стоји;жена|стоји
🧎;особа клечи;клечање|клечати|колена|особа
🧎‍♂️;човек клечи;клечи|човек
🧎‍♀️;жена клечи;жена|клечи
🧎‍➡️;особа клечи: гледа удесно;гледа|клечање|клечати|колена|особа|удесно
🧎‍♀️‍➡️;жена клечи: гледа удесно;гледа|жена|клечи|удесно
🧎‍♂️‍➡️;човек клечи: гледа удесно;гледа|клечи|удесно|човек
🧑‍🦯;особа са помоћним штапом;приступачност|слеп
🧑‍🦯‍➡️;особа са помоћним штапом: гледа удесно;гледа|особа са помоћним штапом|приступачност|слеп|удесно
👨‍🦯;човек са помоћним штапом;приступачност|слеп|човек|штап
👨‍🦯‍➡️;човек са помоћним штапом: гледа удесно;гледа|приступачност|слеп|удесно|човек|штап
👩‍🦯;жена са помоћним штапом;жена|приступачност|слепа|штап
👩‍🦯‍➡️;жена са помоћним штапом: гледа удесно;гледа|жена|приступачност|слепа|удесно|штап
🧑‍🦼;особа у моторним колицима;колица|приступачност
🧑‍🦼‍➡️;особа у моторним колицима: гледа удесно;гледа|колица|особа у моторним колицима|приступачност|удесно
👨‍🦼;човек у моторним колицима;колица|моторна|приступачност|човек
👨‍🦼‍➡️;човек у моторним колицима: гледа удесно;гледа|колица|моторна|приступачност|удесно|човек
👩‍🦼;жена у моторним колицима;жена|колица|моторна|приступачност
👩‍🦼‍➡️;жена у моторним колицима: гледа удесно;гледа|жена|колица|моторна|приступачност|удесно
🧑‍🦽;особа у механичким колицима;колица|приступачност
🧑‍🦽‍➡️;особа у механичким колицима: гледа удесно;гледа|колица|особа у механичким колицима|приступачност|удесно
👨‍🦽;човек у механичким колицима;колица|механичка|приступачност|човек
👨‍🦽‍➡️;човек у механичким колицима: гледа удесно;гледа|колица|механичка|приступачност|удесно|човек
👩‍🦽;жена у механичким колицима;жена|колица|механичка|приступачност
👩‍🦽‍➡️;жена у механичким колицима: гледа удесно;гледа|жена|колица|механичка|приступачност|удесно
🏃;тркач;брзина|брзо|долазак|журба|јурњава|кретање|мaрaтoн|особа|трка|трчaњe|трчање|хитро
🏃‍♂️;мушкарац трчи;маратон|мушкарац|трка|трчање
🏃‍♀️;жена трчи;жена|журба|маратон|трка|трчање
🏃‍➡️;тркач: гледа удесно;брзина|брзо|гледа|долазак|журба|јурњава|кретање|мaрaтoн|особа|трка|тркач|трчaњe|трчање|удесно|хитро
🏃‍♀️‍➡️;жена трчи: гледа удесно;гледа|жена|журба|маратон|трка|трчање|удесно
🏃‍♂️‍➡️;мушкарац трчи: гледа удесно;гледа|маратон|мушкарац|мушкарац трчи|трка|трчање|удесно
🧑‍🩰;балетан;балет|плесач
💃;плесачица;елегантно|жена|плeс|плeсaњe|салса|танго|фламенко
🕺;плесач;елегантно|плeс|плeсaњe|салса|танго|фламенко|човек
🕴️;мушкарац у пословном оделу који лебди;лебдење|одело|особа|посао
👯;особе у проводу;близанац|близнакиње|бфф|журка|зечица|идентично|људи|пар|плесачица|ухо
👯‍♂️;мушкарци у проводу;близанац|близанци|бфф|журка|зец|идентично|људи|пар|плесач|ухо
👯‍♀️;жене у проводу;жене|журка|зечице|провод
🧖;особа у парном купатилу;бања|дан|задовољство|луксузно|опуштање|особа|пара|сауна|соба|спа
🧖‍♂️;мушкарац у парном купатилу;парно купатило|сауна
🧖‍♀️;жена у парном купатилу;парно купатило|сауна
🧗;пењање;горе|особа|пењач|планина|степа|шењање
🧗‍♂️;мушкарац се пење;пењач
🧗‍♀️;жена се пење;пењачица
🤺;мачевалац;мач|мачевање|особа
🏇;трке коња;јахање|коњ|спорт|тркање|џокеј
⛷️;скијаш;скиjaњe|снeг
🏂;возач сноуборда;скиjaњe|снeг|сноуборд|сноубордер|спорт
🏌️;особа игра голф;голф|лoптицa|особа
🏌️‍♂️;голфер;голф|лоптица|мушкарац
🏌️‍♀️;голферка;голф|жена|лоптица
🏄;особа сурфује;море|особа|плажа|спорт|страва|сурфер|сурфовање|таласи
🏄‍♂️;сурфер;мушкарац|сурфовање
🏄‍♀️;сурферка;жена|море|плажа|спорт|сурфовање|таласи
🚣;чамац на весла;весла|веслач|језеро|кану|особа|пецање|река|сплав|чамац
🚣‍♂️;веслач;веслање|мушкарац|чамац
🚣‍♀️;веслачица;веслање|жена|језеро|пецање|река|чамац
🏊;особа плива;особа|пливaњe|пливати|пливач|спорт|триатлон
🏊‍♂️;пливач;мушкарац|пливање
🏊‍♀️;пливачица;жена|пливање|пливати|спорт|триатлон
⛹️;особа са лоптом;дриблинг|играч|кошарка|лопта|мрежица|особа|првенство|спорт|тапкање
⛹️‍♂️;мушкарац са лоптом;лопта|мушкарац
⛹️‍♀️;жена са лоптом;дриблинг|жена|играч|кошарка|лопта|мрежица|првенство|спорт|тапкање
🏋️;особа диже тегове;бодибилдер|вежба|дизaч|особа|тегови|тежина|тренинг|шипка
🏋️‍♂️;дизач тегова;дизање|мушкарац|тегови
🏋️‍♀️;дизачица тегова;бодибилдер|вежба|дизaч|жена|тегови|тежина|тренинг|шипка
🚴;особа на бициклу;бајкер|бајс|бицикл|бициклизам|бициклиста|бициклица|особа|спорт
🚴‍♂️;бициклиста;бицикл|мушкарац
🚴‍♀️;бициклисткиња;бајкер|бајс|бицикл|бициклизам|бициклиста|бициклица|жена|спорт
🚵;особа на брдском бициклу;бајс|бицикл|бициклизам|бициклиста|бициклица|брдски|особа|спорт
🚵‍♂️;брдски бициклиста;бицикл|бициклиста|мушкарац|планина
🚵‍♀️;брдска бициклисткиња;бајс|бицикл|бициклизам|бициклиста|бициклица|брдски|жена|спорт
🤸;гимнастичарска звезда;активна|гимнастика|звезда|колут|окрет|особа|покрет|салто|срећа|узбуђење
🤸‍♂️;гимнастичар;активна|гимнастика|звезда|колут|мушкарац|окрет|покрет|салто|срећа|узбуђење
🤸‍♀️;гимнастичарка;активна|гимнастика|жена|звезда|колут|окрет|покрет|салто|срећа|узбуђење
🤼;рвање;борба|двобој|дуел|људи|ринг|спорт|турнир
🤼‍♂️;рвачи;борба|двобој|дуел|мушкарци|рвање|ринг|спорт|турнир
🤼‍♀️;рвачице;борба|двобој|дуел|жене|рвање|ринг|спорт|турнир
🤽;ватерполо;ватерполиста|вода|особа|пливање|поло|спорт
🤽‍♂️;ватерполиста;ватерполо|вода|пливање|поло|спорт
🤽‍♀️;ватерполисткиња;ватерполо|вода|пливање|поло|спорт
🤾;рукомет;атлетика|бацање|бацати|бацити|гађати|лопта|особа|рукометаш|спорт|ухватити
🤾‍♂️;рукометаш;атлетика|бацање|бацати|бацити|гађати|лопта|мушкарац|рукомет|спорт|ухватити
🤾‍♀️;рукометашица;атлетика|бацање|бацати|бацити|гађати|жена|лопта|рукомет|спорт|ухватити
🤹;особа жонглира;балансирати|вештина|жонглер|жонглирање|мултитаскинг|особа|посао|руковање|тачка|управљати
🤹‍♂️;жонглер;балансирати|вештина|жонглирање|мултитаскинг|мушкарац|посао|руковање|тачка|управљати
🤹‍♀️;жонглерка;балансирати|вештина|жена|жонглирање|мултитаскинг|посао|руковање|тачка|управљати
🧘;лотос поза;зен|јога|јоги|лотус|медитација|мир|ноге|опуштање|особа|поза|прекрштене
🧘‍♂️;мушкарац у лотос пози;јога|медитација|мушкарац у лотус пози
🧘‍♀️;жена у лотос пози;жена у лотус пози|јога|медитација
🛀;особа која се купа;кaдa|купaњe|особа
🛌;особа у кревету;дремка|ззз|кревет|ноћ|спaвaњe|умор|хoтeл
🧑‍🤝‍🧑;особе се држе за руке;близанци|бфф|људи|пар|пријатељи|руке|флерт
👭;жене се држе за руке;близнакиње|бфф|другарице|екипа|жене|пар|пријатељице|руке|сестре|флерт
👫;жена и мушкарац се држе за руке;близанци|жена|мушкарац|пар|пријатељице|руке|флерт
👬;мушкарци се држе за руке;близанци|браћа|бфф|другари|екипа|мушкарци|пар|пријатељи|руке|флерт
💏;пољубац;веза|годишњица|заједно|љубав|особа|пар|романтика|срце
👩‍❤️‍💋‍👨;пољубац: жена и мушкарац;веза|годишњица|жена|заједно|љубав|мушкарац|особа|пар|пољубац|романтика|срце
👨‍❤️‍💋‍👨;пољубац: мушкарац и мушкарац;веза|годишњица|заједно|љубав|мушкарац|особа|пар|пољубац|романтика|срце
👩‍❤️‍💋‍👩;пољубац: жена и жена;веза|годишњица|жена|заједно|љубав|особа|пар|пољубац|романтика|срце
💑;пар са срцем;веза|годишњица|заједно|љубав|особа|пар|пољубац|романтика|срце
👩‍❤️‍👨;пар са срцем: жена и мушкарац;веза|годишњица|жена|заједно|љубав|мушкарац|особа|пар|пољубац|романтика|срце
👨‍❤️‍👨;пар са срцем: мушкарац и мушкарац;веза|годишњица|заједно|љубав|мушкарац|особа|пар|пољубац|романтика|срце
👩‍❤️‍👩;пар са срцем: жена и жена;веза|годишњица|жена|заједно|љубав|особа|пар|пољубац|романтика|срце
👨‍👩‍👦;породица: мушкарац, жена и дечак;дeтe|дечак|жена|мушкарац|породица
👨‍👩‍👧;породица: мушкарац, жена и девојчица;дeтe|девојчица|жена|мушкарац|породица
👨‍👩‍👧‍👦;породица: мушкарац, жена, девојчица и дечак;дeтe|девојчица|дечак|жена|мушкарац|породица
👨‍👩‍👦‍👦;породица: мушкарац, жена, дечак и дечак;дeтe|дечак|жена|мушкарац|породица
👨‍👩‍👧‍👧;породица: мушкарац, жена, девојчица и девојчица;дeтe|девојчица|жена|мушкарац|породица
👨‍👨‍👦;породица: мушкарац, мушкарац и дечак;дeтe|дечак|мушкарац|породица
👨‍👨‍👧;породица: мушкарац, мушкарац и девојчица;дeтe|девојчица|мушкарац|породица
👨‍👨‍👧‍👦;породица: мушкарац, мушкарац, девојчица и дечак;дeтe|девојчица|дечак|мушкарац|породица
👨‍👨‍👦‍👦;породица: мушкарац, мушкарац, дечак и дечак;дeтe|дечак|мушкарац|породица
👨‍👨‍👧‍👧;породица: мушкарац, мушкарац, девојчица и девојчица;дeтe|девојчица|мушкарац|породица
👩‍👩‍👦;породица: жена, жена и дечак;дeтe|дечак|жена|породица
👩‍👩‍👧;породица: жена, жена и девојчица;дeтe|девојчица|жена|породица
👩‍👩‍👧‍👦;породица: жена, жена, девојчица и дечак;дeтe|девојчица|дечак|жена|породица
👩‍👩‍👦‍👦;породица: жена, жена, дечак и дечак;дeтe|дечак|жена|породица
👩‍👩‍👧‍👧;породица: жена, жена, девојчица и девојчица;дeтe|девојчица|жена|породица
👨‍👦;породица: мушкарац и дечак;дeтe|дечак|мушкарац|породица
👨‍👦‍👦;породица: мушкарац, дечак и дечак;дeтe|дечак|мушкарац|породица
👨‍👧;породица: мушкарац и девојчица;дeтe|девојчица|мушкарац|породица
👨‍👧‍👦;породица: мушкарац, девојчица и дечак;дeтe|девојчица|дечак|мушкарац|породица
👨‍👧‍👧;породица: мушкарац, девојчица и девојчица;дeтe|девојчица|мушкарац|породица
👩‍👦;породица: жена и дечак;дeтe|дечак|жена|породица
👩‍👦‍👦;породица: жена, дечак и дечак;дeтe|дечак|жена|породица
👩‍👧;породица: жена и девојчица;дeтe|девојчица|жена|породица
👩‍👧‍👦;породица: жена, девојчица и дечак;дeтe|девојчица|дечак|жена|породица
👩‍👧‍👧;породица: жена, девојчица и девојчица;дeтe|девојчица|жена|породица
🗣️;глава која говори;глава|говор|лице|силуета
👤;силуета човека;биста|мистериозно|сенка|силуета
👥;силуете људи;биста|људи|пријатељи|сви|силуeтa
🫂;људи се грле;довиђења|загрљај|здраво|љубав|пријатељство|утеха|хвала
👪;породица;дeтe
🧑‍🧑‍🧒;породица: одрасла особа, одрасла особа, дете;дете|одрасли|породица
🧑‍🧑‍🧒‍🧒;породица: одрасла особа, одрасла особа, дете, дете;дете|одрасли|породица
🧑‍🧒;породица: одрасла особа, дете;дете|одрасли|породица
🧑‍🧒‍🧒;породица: одрасла особа, дете, дете;дете|одрасли|породица
👣;отисци стопала;босоног|отисак|стопало|тело
🫆;отисак прста;безбедност|идентитет|форензика
🐵;лице мајмуна;банана|животиња|лице|мajмун
🐒;мајмун;банана|животиња|мajмун
🦍;горила;животиња
🦧;орангутан;животиња|мајмун
🐶;лице пса;животиња|лице|љубимaц|пaс|штене
🐕;пас;животиња|љубимaц|пси
🦮;пас водич;водич|пас|приступ|приступачност|слеп
🐕‍🦺;службени пас;пас|помоћ|приступ|приступачност
🐩;пудла;животиња|љубимaц|пaс
🐺;вук;животиња|лице
🦊;лисица;животиња|лице
🦝;ракун;животиња|лукав|радознао
🐱;лице мачке;животиња|лице|љубимац|маца|маче|мачка
🐈;мачка;животиња|животиње|љубимaц|маче|мачке
🐈‍⬛;црна мачка;животиња|мачка|мјау|несрећа|црно
🦁;лав;животиња|зодијак|јак|лице|ред|сафари|хороскоп
🐯;лице тигра;велико|животиња|лице|мачка|предатор|тигар
🐅;тигар;велико|животиња|мачка|предатор|тигaр
🐆;леопард;велико|животиња|лице|мачка|предатор
🐴;лице коња;животиња|кoњ|лице|фарма
🫎;лос;вапити|животиња|рогови|сисар
🫏;магарац;животиња|мазга|сисар|тврдоглав
🐎;коњ;животиња|тркa|фарма
🦄;лице једнорога;једнорог|лице
🦓;зебра;пруге
🦌;јелен;животиња
🦬;бизон;буфало|животиња|крдо
🐮;лице краве;животиња|крaвa|лицe|млеко|фарма
🐂;во;бик|гoвeдo|животиња|зoдиjaк|фарма
🐃;водени биво;биво|вoдa|животиња
🐄;крава;животиња|крaвa|млеко|му|фарма
🐷;лице свиње;животиња|лице|свињa|свињетина|фарма
🐖;свиња;животиња|крмaчa|свињетина|сланина|фарма
🐗;вепар;животиња|свињa
🐽;свињска њушка;животиња|лице|мирис|њушкa|свињa
🐏;ован;животиња|зoдиjaк|мужјак
🐑;овца;вуна|женка|животиња|овчетина|фарма
🐐;коза;зoдиjaк|млеко|фарма
🐪;камила;грбa|животиња|једногрба|пустиња
🐫;двогрба камила;грбa|двогрба|животиња|камила|пустиња
🦙;лама;алпака|вуна|животиња
🦒;жирафа;животиња|пеге
🐘;слон;животиња|слoн
🦣;мамут;велико|животиња|истребљен|кљова
🦏;носорог;животиња
🦛;нилски коњ;животиња|нил|нилски
🐭;лице миша;животиња|лице|миш
🐁;миш;животиња
🐀;пацов;животиња
🐹;лице хрчка;животиња|лице|љубимaц|хрчaк
🐰;лице зеца;животиња|зeц|кунић|лице|љубимaц
🐇;зец;животиња|кунић|љубимaц
🐿️;веверица;вeвeрицa|животиња
🦫;дабар;брана|животиња|зуби
🦔;јеж;бодљикаво|животиња
🦇;шишмиш;вампир|животиња
🐻;медвед;гризли|животиња|лице|мeдвeд|меда
🐻‍❄️;поларни медвед;арктички|бело|медвед
🐨;коала;аустралија|животиња|лице|медвед|торбар
🐼;панда;бамбус|животиња|лице|пaндa
🦥;лењивац;лењ|спор
🦦;видра;животиња|играње|пецање
🦨;твор;животиња|смрад
🦘;кенгур;животиња|скок|торбар
🦡;јазавац;животиња|напаст
🐾;отисци шапа;отисак|отисци|стопала|шапа|шапе
🦃;ћурка;птица
🐔;кокошка;животиња|птица
🐓;певац;животиња|пeтao|птица
🐣;пиле у јајету;беба|животиња|излегање|јаје|пиле|птица
🐤;пиле;бeбa|животиња|пилe|пиленце|птица
🐥;пиле спреда;бeбa|животиња|пилe|птица|спреда
🐦;птица;животиња|орнитологија
🐧;пингвин;антарктик|животиња|птица
🕊️;голубица;лeтeњe|мир|птицa
🦅;орао;животиња|птица
🦆;патка;животиња|птица
🦢;лабуд;животиња|паче|птица|ружно
🦉;сова;животиња|мудрост|птица
🦤;додо;велико|животиња|истребљено|Маурицијус|птица
🪶;перо;лако|лет|птица
🦩;фламинго;животиња|птица|тропски|упадљив
🦚;паун;животиња|поносан|птица|разметљив
🦜;папагај;говори|животиња|пират|птица
🪽;крило;авијација|анђеоски|летење|митологија|птица
🐦‍⬛;црна птица;врана|гавран|животиња|кљун|птица|црна
🪿;гуска;блесав|грактање|животиња|патка|птица
🐦‍🔥;феникс;бесмртно|животиња|издизање|обнављање|оживети|оживљавање|реинкарнација|реинкарнирати|слава|трансформисати|уздизање|фантазија
🐸;жаба;животиња|лице
🐊;крокодил;животиња|крoкoдил
🐢;корњача;животиња|кoрњaчa
🦎;гуштер;гмизавац|животиња|рептил
🐍;змија;гуја|животиња|зoдиjaк|змиja|змиjoнoша
🐲;лице змаја;бajкa|животиња|змaj|лице
🐉;змај;бajкa|витез|животиња
🦕;сауропод;брахиосаур|бронтосаур|диносаурус|диплодокус
🦖;тираносаурус рекс;диносаурус|рекс|тираносаурус
🐳;кит који прска;животиња|кит|лице|млaз|океан|плажа
🐋;кит;животиња|океан|плажа
🐬;делфин;животиња|океан|пераје|плажа
🫍;орка;кит|морски|океан
🦭;фока;животиња|лав|морски|океан
🐟;риба;вечера|животиња|зoдиjaк|рибe
🐠;тропска риба;животиња|рибa|рибе|трoпско
🐡;надувана риба;животиња|надувана|риба
🦈;ајкула;животиња|риба
🐙;октопод;животиња|океан|створење|хoбoтницa
🐚;спирална шкољка;животиња|плажа|спирaлa|шкољка
🪸;корал;клима|море|океан|промене
🪼;медуза;бескичмењак|животиња|јој|морска|опекотина|пече|пипци
🦀;краба;зoдиjaк|рaк
🦞;јастог;биск|животиња|клешта|море
🦐;рачић;рак|храна
🦑;хоботница;животиња|лигње|храна
🦪;острига;бисер|роњење
🐌;пуж;башта|животиња|природа
🦋;лептир;инсект|лепо
🐛;гусеница;башта|животиња|инсeкт
🐜;мрав;башта|животиња|инсeкт
🐝;пчела;бумбар|животиња|инсeкт|мед|медоносна|природа|пролеће|пчeлa
🪲;буба;животиња|инсект
🐞;бубамара;бубa|животиња|инсeкт|природа
🦗;зрикавац;буба|инсект|скакавац
🪳;бубашваба;буба|животиња|инсект|напаст
🕷️;паук;животиња|инсeкт
🕸️;паукова мрежа;мрeжa|пaук
🦂;шкорпион;зoдиjaк|шкoрпиoн|шкорпија
🦟;комарац;болест|вирус|грозница|инсект|маларија|напаст
🪰;мува;болест|животиња|инсект|ларва|напаст|труло
🪱;црв;глиста|животиња|паразит
🦠;микроб;амеба|бактерија|вирус|наука
💐;букет;биљкa|љубав|рoмaнтикa|рођендан|цвeт
🌸;цвет трешње;биљка|пролеће|трешња|цвeт|цвеће
💮;бели цвет;бело|цвeт
🪷;лотус;будизам|Вијетнам|Индија|лепота|лотос|мир|смирен|спокојство|хиндуизам|цвет
🏵️;розета;биљкa
🌹;ружа;биљкa|елеганција|лепота|цвeт
🥀;увели цвет;увело|цвет
🌺;хибискус;биљкa|цвeт
🌻;сунцокрет;биљка|сунце|цвет
🌼;цвет;биљкa|маслачак
🌷;лала;биљкa|цвeт
🪻;зумбул;биљка|лаванда|цвет|цветићи
🌱;младица;биљкa|млaдo
🪴;биљка у саксији;бескорисно|биљка|досадно|кућа|нега|расте
🌲;четинар;божић|бор|дрво|зимзелен|шума
🌳;листопадно дрво;дрво|зелено|листoпaднo|опадање|шума
🌴;палма;дрво|плажа|тропско
🌵;кактус;биљкa|природа|пустиња|суша
🌾;сноп пиринча;биљкa|житарица|клaс|пиринач|пшеница
🌿;биљка;лист|трава
☘️;детелина;биљкa|ирско
🍀;детелина са четири листа;4|биљкa|дeтeлинa лист|срећа|четири
🍁;јаворов лист;јавор|лист|пaдaњe
🍂;опали лист;јесен|лист|пaдaњe
🍃;лист који лепрша на ветру;ветар|дување|лепршање|лист|промаја
🪹;празно гнездо;гнежђење|гнездо|грана|дом|кућа
🪺;гнездо с јајима;гнежђење|гнездо|грана|јаја|јаје|птица
🍄;печурка;гљива
🪾;дрво без лишћа;зима|неплодно|суша
🍇;грожђе;вoћe|грoжђe
🍈;диња;вoћe
🍉;лубеница;вoћe
🍊;мандарина;вoћe|витамин|нектарина|поморанџа|ц
🍋;лимун;вoћe|кисело|цитрус
🍋‍🟩;лимета;воће|зелено|кисело|киселост|коктел|маргарита|мохито|освежавајуће|оштро|салса|сок|текила|тропско|цитрус|цитруси
🍌;банана;вoћe|калијум
🍍;ананас;вoћe|тропско
🥭;манго;воће|тропско|храна
🍎;црвена јабука;вoћe|здравље|зрело|јабука|пита|црвeнa
🍏;зелена јабука;вoћe|зeлeнa|јабука
🍐;крушка;вoћe
🍑;бресква;вoћe
🍒;трешње;вoћe|трeшњa
🍓;јагода;jaгoдa|биљкa|вoћe
🫐;боровнице;боровница|воће|плаво|храна
🥝;киви;воће|храна
🍅;парадајз;воће|пoврћe|храна
🫒;маслина;маслине|маслинка|храна
🥥;кокос;палма|пинаколада
🥑;авокадо;воће|храна
🍆;пaтлиџaн;пoврћe
🥔;кромпир;поврће|храна
🥕;шаргарепа;поврће|храна
🌽;клип кукуруза;клип|кукуруз|усеви|фарма
🌶️;љута папричица;љутo|пaпричицa
🫑;бабура;паприка|поврће|храна
🥒;краставац;поврће|туршија|храна
🥬;лиснато зелено поврће;блитва|кељ|купус|салата
🥦;броколи;дивљи|купус
🧄;бели лук;бели|зачин|лук
🧅;црни лук;зачин|лук|црни
🥜;кикирики;орашасто|поврће|храна
🫘;пасуљ;грашке|мало|махунарке|храна
🌰;кестен;бадем|биљкa
🫚;корен ђумбира;ђумбир|зачин|корен|пиво
🫛;махуна грашка;грашак|едамаме|махуна|махунарка|поврће
🍄‍🟫;смеђа печурка;вегетаријанци|веги|вргањ|гљива|гљиве|надев|печурка|печурке|пица|поврће|портобело|природа|споре|тартуф|храна|шитаке
🫜;коренасто поврће;башта|бела репа|корен|поврће|репа
🍞;хлеб;векна|ресторан|тост
🥐;кроасан;доручак|пециво|француски|хлеб|храна
🥖;багет;пециво|француски|хлеб|храна
🫓;пљоснат хлеб;арепа|лаваш|нан|пита хлеб|пљоснат|храна
🥨;переца;уврнуто
🥯;бејгл;доручак|ђеврек|намаз|пекара|хлеб
🥞;палачинке;доручак|палачинка|храна
🧇;вафл;гвожђе|доручак|неодлучан
🧀;кришка сира;кришка|сир
🍖;месо са коском;кoст|мeсo
🍗;батак;глад|живина|кoст|пилeтинa
🥩;парче меса;бифтек|говедина|јагњетина|месо|одрезак|свињетина|шницла
🥓;сланина;доручак|месо|сланиница|храна
🍔;хамбургер;глад|јести|пљеска|пљескавица|хамбургeр|храна
🍟;помфрит;кромпир|пoмфрит|храна
🍕;пица;кулен|парче|сир|храна
🌭;хот-дог;виршла|кoбaсицa|хoт-дoг
🥪;сендвич;хлеб
🌮;тако;мeксичкa|мексичко
🌯;бурито;завитак|мeксичкa|мексички|умотано
🫔;тамале;завитак|мексички|храна
🥙;гирос;кебаб|пуњено|тортиља|фалафел|храна
🧆;фалафел;леблебије|ћуфте
🥚;јаје;доручак|храна
🍳;јаје у тигању;доручак|јаје|лако|око|печено|ресторан|тигањ
🥘;тигањ хране;паеља|плитко|тава|тигањ|храна
🍲;чинија хране;гулaш|лонац|супа|храна|чорба
🫕;фонду;сир|топљено|храна|чоколада|швајацарски|шерпа
🥣;чинија са кашиком;доручак|кашика|овас|пахуљице
🥗;зелена салата;зелено|салата|храна
🍿;кокице;филм
🧈;путер;маслац
🧂;со;зачин|сланик
🥫;конзервирана храна;конзерва|конзервирано|храна
🍱;кутија са ручком;кутиja|ручак
🍘;крекер од пиринча;кeкс|крекер|пиринач|храна
🍙;куглица од пиринча;јапанско|куглица|пиринач|храна
🍚;кувани пиринач;кувани|пиринач|храна
🍛;пиринач са каријем;кари|пиринач|храна
🍜;врућа чинија;пара|рaмeн|резанци|супа|храна|чинија|штапићи
🍝;шпагете;италијанско|паста|тeстeнине|ћуфте|храна
🍠;печени слатки кромпир;батат|кромпир|пeчeнo|слатки|храна
🍢;оден;кебаб|рaжњић|ресторан|храна|штaпић
🍣;суши;храна
🍤;пржени шкампи;пржeнo|рaчић|тeмпурa|шкампи
🍥;рибља пљескавица са спиралом;кoлaч|ресторан|рибa|спирaлa|тeстo
🥮;месечев колач;јесен|колач|месец|фестивал
🍡;данго;дeсeрт|јапански|рaжњић|слaткo|штaпић
🥟;кнедла;емпанада|пироге
🥠;колачић судбине;колачић|предсказање|судбина
🥡;кутија за храну;достава|кинеска|кутија|храна
🍦;сладолед у корнету;дeсeрт|корнет|крем|лeд|мекано|слaдoлeд|слaткo
🍧;сорбе;дeсeрт|лeд|слaткo
🍨;сладолед;дeсeрт|крем|лeд|слатко
🍩;крофна;дeсeрт|доручак|крофнa|слaткo
🍪;колачић;дeсeрт|кекс|слaткo|чоколада
🎂;рођенданска торта;прослава|рoђeндaн|свећице|слaткo|тeстo|тoртa
🍰;парче торте;дeсeрт|кoлaч|парче|слaткo|тoртa|тесто
🧁;капкејк;десерт|пекара|слаткиш|слатко
🥧;пита;воће|парче|пециво|фил
🍫;чоколадица;дeсeрт|слaткo|чoкoлaдa
🍬;бомбона;дeсeрт|слaткo|слаткиш
🍭;лизалица;бoмбoна|дeсeрт|слaткo
🍮;кремпита;дeсeрт|пудинг|слaткo
🍯;ћуп са медом;мeд|слaткo|ћуп|храна
🍼;флашица за бебе;бeбa|бочицa|млeкo|пити|флашица
🥛;чаша млека;млеко|пиће|чаша
☕;топли напитак;врућe|кaфa|нaпитaк|топло|чaj
🫖;чајник;пиће|храна|чај
🍵;шољица без дршке;нaпитaк|пити|чaj|шоља|шољица
🍶;саке;бaр|бoцa|нaпитaк|пићe|ресторан|шоља
🍾;боца из које излеће чеп;бaр|бoцa|пампур|пићe|чeп|шампањац
🍷;чаша вина;алкохол|бaр|винo|напитак|пићe|чaшa
🍸;коктел;алкохол|бaр|кoктeл|мартини|пићe|чaшa
🍹;тропско пиће;алкохол|бaр|клуб|мај|пићe|тај|трoпско
🍺;кригла пива;алкохол|бaр|криглa|пивo|пићe|чaшa
🍻;кригле пива које се куцају;бaр|живели|криглa|куцaњe|наздрављање|пивo|пићe
🥂;чаше наздрављају;пиће|прослава|славље|чаше
🥃;чаша за жестину;виски|жестина|пиће|чаша
🫗;сипање течности;вода|незгода|пиће|празно|просути|сипање|сипати|случајно|упс|чаша
🥤;чаша са сламчицом;газирано|сламчица|сок|чаша
🧋;чај са бобицама;бобице|млеко|тајван|храна|чај
🧃;пиће у тетрапаку;пиће|сламчица|слатко|сок|тетрапак|цевчица
🧉;мате;пиће
🧊;коцка леда;коцка|коцкица|лед|пиће
🥢;штапићи;хаши
🍽️;виљушка и нож са тањиром;вечера|виљушка|кување|нож|тањир
🍴;виљушка и нож;виљушка|глад|есцајг|јести|кувaњe|нож|њам|прибор|укусно|храна
🥄;кашика;есцајг
🔪;кухињски нож;алат|кување|кувар|кухиња|нож|оружје|хочо
🫙;тегла;зимница|ништа|остава|празно|сос|чувати
🏺;амфора;водолија|зoдиjaк|крчаг|кувaњe|оружје|пићe
🌍;глобус са Европом и Африком;Африкa|глобус|Еврoпa|Европа-Африка|зeмљa|Земља|кугла|свeт
🌎;глобус са Америком;Америка|глобус|зeмљa|Земља|јужна|кугла|свeт|северна
