😀;išsišiepęs veidas;išsišiepti|linksmas|veidas
💂‍♀️;sargybinė;londonas|moteris
🥷;nindzė;kovotojas|paslaptis|užsimaskavęs|žmogus
👷;statybininkas;atstatyti|darbas|darbuotojas|kepurė|rekonstruoti|šalmas|statyba|žmogus
👷‍♂️;vyras statybininkas;darbininkas|statybininkas|vyras
👷‍♀️;statybininkė;darbas|darbininkė|moteris|žmogus
🫅;asmuo su karūna;didikas|karalienė|karališkas|karališkoji šeima|karalius|karūna|monarchas
🤴;princas;kilmingas
👸;princesė;fantazija|karalienė|pasaka
👳;vyras su turbanu;turbanas|žmogus su turbanu
👳‍♂️;vyriškis su turbanu;turbanas|vyras
👳‍♀️;moteris su turbanu;moteris|turbanas
👲;vyras su kinietiška kepurėle;kepurė|kinietiška kepurėlė|vyras
🧕;moteris su skarele;hidžabas|moteris|skarelė|žmogus
🤵;asmuo su smokingu;jaunikis|smokingas|vyras|vyras su smokingu
🤵‍♂️;vyras su smokingu;smokingas|vyras
🤵‍♀️;moteris su smokingu;moteris|smokingas
👰;nuotaka su veliumu;nuotaka|veliumas|vestuvės
👰‍♂️;vyras su veliumu;veliumas|vyras
👰‍♀️;moteris su veliumu;moteris|veliumas
🤰;nėščia moteris;moteris|neščia
🫃;nėščias vyras;išsipūtęs|nėščias|persivalgęs|pilnas|pilvas|žmogus
🫄;nėščias asmuo;išsipūtęs|nėščias|persivalgęs|pilnas|pilvas
🤱;maitinimas krūtimi;krūtinė|kūdikis|priežiūra|žmogus
👩‍🍼;kūdikį maitinanti moteris;auklė|kūdikis|maitinimas|maitinimas krūtimi|mama|moteris|naujagimis|žmogus
👨‍🍼;kūdikį maitinantis vyras;auklė|kūdikis|maitinimas|maitinimas krūtimi|mama|naujagimis|tėvas|vyras|žmogus
🧑‍🍼;kūdikį maitinantis asmuo;asmuo|auklė|kūdikis|maitinimas|maitinimas krūtimi|mama|moteris|naujagimis|tėvas|vyras|žmogus
👼;angeliukas;angelas|fantazija|kūdikis|pasaka|veidas
🎅;Kalėdų senelis;Kalėdos|senelis|šventė|tėvas
🤶;ponia Claus;Kalėdos|mama|ponia|šventė
🧑‍🎄;Kalėdų asmuo;Kalėdos|Kalėdų senelis|kepurė|žmogus
🦸;superherojus;betmenas|geras|herojė|herojus|supergalia|supermenas
🦸‍♂️;vyras superherojus;geras|herojus|supergalia|vyras
🦸‍♀️;moteris superherojė;geras|herojė|herojus|moteris|supergalia
🦹;superpiktadarys;asmuo|blogas|nusikaltėlis|piktadarys|supergalia|supergalios
🦹‍♂️;vyras piktadarys;blogas|nusikaltėlis|piktadarys|supergalia|vyras
🦹‍♀️;moteris piktadarė;bloga|moteris|nusikaltėlė|piktadarė|supergalia
🧙;magas;burtininkas|išminčius|kerai|kerėtoja|kerėtojas|magija|pasaka|ragana|raganius
🧙‍♂️;vyras magas;burtininkas|kerėtojas
🧙‍♀️;magė;kerėtoja|ragana
🧚;fėja;fėjus|laumė|laumius|mitas|Oberon|pasaka|Puck|sparnai|Titania
🧚‍♂️;burtininkas;Oberon|Puck
🧚‍♀️;moteris fėja;Titania
🧛;vampyras;antgamtinis|baisu|dantys|Drakula|Helovinas|iltys|kostiumas|kraujas|nemirtingas
🧛‍♂️;vampyras vyras;Drakula|nemirtingas
🧛‍♀️;vampyrė;nemirtingas
🧜;undinius;folkloras|jūros padarai|pasaka|sirena|trišakis|undinė|undinėlė
🧜‍♂️;vandenis/undinius;Tritonas
🧜‍♀️;undinėlė;
🧝;elfas;elfai|folkloras|kerai|magija|magiškas|mistika|mitas|pasaka
🧝‍♂️;elfas vyras;magiškas
🧝‍♀️;elfė;magiška
🧞;dvasia;džinas|džinė|mistiška|mitas|norai|pasaka|patrinti lempą
🧞‍♂️;džinas;
🧞‍♀️;džinė;
🧟;zombis;apokalipsė|baisu|helovinas|nemirtingas|siaubas|vaikštantis numirėlis
🧟‍♂️;zombis vyras;nemirtingas|vaikštantis numirėlis
🧟‍♀️;zombė;nemirtinga|vaikštanti numirėlė
🧌;trolis;fantazija|pabaisa|pasaka
🫈;plaukuotas padaras;didžiapėdis|jetis|kriptidas|medinis|milžinas|miškas|plaukuotas
💆;veido masažas;atsipalaidavimas|atsipalaiduoti|galvos skausmas|įtampa|masažas|masažuojamas žmogus|salonas|SPA|terapija|veidas
💆‍♂️;masažuojama vyro galva;masažas|salonas|veidas|vyras
💆‍♀️;masažuojama moters galva;masažas|moteris|veidas
💇;apkerpamas žmogus;grožis|kirpėjas|kirpimas|kirpti plaukus|kirpykla|kosmetologija|plaukai|salonas|stilius|šukuosena|žirklės
💇‍♂️;apkerpamas vyras;kirpimas|vyras
💇‍♀️;apkerpama moteris;kirpimas|moteris
🚶;pėstysis;einantis žmogus|eisena|ėjimas|išdidi eisena|lengva eisena|pasivaikščiojimas|pėsčiasis|vaikščiojimas|vaikščioti|žingsnis
🚶‍♂️;einantis vyras;eiti|vyras|žygiuoti
🚶‍♀️;einanti moteris;eiti|moteris|žmogus|žygiuoti
🚶‍➡️;pėstysis: atsisukęs į dešinę;atsisukęs|dešinę|einantis žmogus|eisena|ėjimas|į|išdidi eisena|lengva eisena|pasivaikščiojimas|pėsčiasis|pėstysis|vaikščiojimas|vaikščioti|žingsnis
🚶‍♀️‍➡️;einanti moteris: atsisukęs į dešinę;atsisukęs|dešinę|einanti moteris|eiti|į|moteris|žmogus|žygiuoti
🚶‍♂️‍➡️;einantis vyras: atsisukęs į dešinę;atsisukęs|dešinę|einantis vyras|eiti|į|vyras|žygiuoti
🧍;stovintis žmogus;stovėti|stovintis|žmogus
🧍‍♂️;stovintis vyras;stovintis|vyras
🧍‍♀️;stovinti moteris;moteris|stovinti
🧎;klūpantis žmogus;klūpantis|klūpėti|žmogus
🧎‍♂️;klūpantis vyras;klūpantis|vyras
🧎‍♀️;klūpanti moteris;klūpanti|moteris
🧎‍➡️;klūpantis žmogus: atsisukęs į dešinę;atsisukęs|dešinę|į|klūpantis|klūpėti|žmogus
🧎‍♀️‍➡️;klūpanti moteris: atsisukęs į dešinę;atsisukęs|dešinę|į|klūpanti|moteris
🧎‍♂️‍➡️;klūpantis vyras: atsisukęs į dešinę;atsisukęs|dešinę|į|klūpantis|vyras
🧑‍🦯;žmogus neregio lazdele;aklas|prieinamumas|žmogus su neregio lazdele
🧑‍🦯‍➡️;žmogus neregio lazdele: atsisukęs į dešinę;aklas|atsisukęs|dešinę|į|prieinamumas|žmogus neregio lazdele|žmogus su neregio lazdele
👨‍🦯;vyras su neregio lazdele;aklas|neįgaliųjų prieinamumas|neregys|prieinamumas|vyras
👨‍🦯‍➡️;vyras su neregio lazdele: atsisukęs į dešinę;aklas|atsisukęs|dešinę|į|neįgaliųjų prieinamumas|neregys|prieinamumas|vyras|vyras su neregio lazdele
👩‍🦯;moteris su neregio lazdele;akla|moteris|neįgaliųjų prieinamumas|neregė|prieinamumas
👩‍🦯‍➡️;moteris su neregio lazdele: atsisukęs į dešinę;akla|atsisukęs|dešinę|į|moteris|moteris su neregio lazdele|neįgaliųjų prieinamumas|neregė|prieinamumas
🧑‍🦼;žmogus motorizuotame vežimėlyje;prieinamumas|vežimėlis
🧑‍🦼‍➡️;žmogus motorizuotame vežimėlyje: atsisukęs į dešinę;atsisukęs|dešinę|į|prieinamumas|vežimėlis|žmogus motorizuotame vežimėlyje
👨‍🦼;vyras motorizuotame vežimėlyje;neįgaliųjų prieinamumas|prieinamumas|vežimėlis|vyras
👨‍🦼‍➡️;vyras motorizuotame vežimėlyje: atsisukęs į dešinę;atsisukęs|dešinę|į|neįgaliųjų prieinamumas|prieinamumas|vežimėlis|vyras|vyras motorizuotame vežimėlyje
👩‍🦼;moteris motorizuotame vežimėlyje;moteris|neįgaliųjų prieinamumas|prieinamumas|vežimėlis
👩‍🦼‍➡️;moteris motorizuotame vežimėlyje: atsisukęs į dešinę;atsisukęs|dešinę|į|moteris|moteris motorizuotame vežimėlyje|neįgaliųjų prieinamumas|prieinamumas|vežimėlis
🧑‍🦽;žmogus rankomis valdomame vežimėlyje;prieinamumas|vežimėlis
🧑‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje: atsisukęs į dešinę;atsisukęs|dešinę|į|prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje
👨‍🦽;vyras rankomis valdomame vežimėlyje;neįgaliųjų prieinamumas|prieinamumas|vežimėlis|vyras
👨‍🦽‍➡️;vyras rankomis valdomame vežimėlyje: atsisukęs į dešinę;atsisukęs|dešinę|į|neįgaliųjų prieinamumas|prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje
👩‍🦽;moteris rankomis valdomame vežimėlyje;moteris|neįgaliųjų prieinamumas|prieinamumas|vežimėlis
👩‍🦽‍➡️;moteris rankomis valdomame vežimėlyje: atsisukęs į dešinę;atsisukęs|dešinę|į|moteris|moteris rankomis valdomame vežimėlyje|neįgaliųjų prieinamumas|prieinamumas|vežimėlis
🏃;bėgikas;atbėgu|bėgantis žmogus|bėgiojimas|greitas|greitis|lenktynės|maratonas|skubėti
🏃‍♂️;bėgantis vyras;bėgimas|lenktynės|maratonas|vyras
🏃‍♀️;bėganti moteris;bėgimas|lenktynės|maratonas|moteris|skubėti|sportas
🏃‍➡️;bėgikas: atsisukęs į dešinę;atbėgu|atsisukęs|bėgantis žmogus|bėgikas|bėgiojimas|dešinę|greitas|greitis|į|lenktynės|maratonas|skubėti
🏃‍♀️‍➡️;bėganti moteris: atsisukęs į dešinę;atsisukęs|bėganti moteris|bėgimas|dešinę|į|lenktynės|maratonas|moteris|skubėti|sportas
🏃‍♂️‍➡️;bėgantis vyras: atsisukęs į dešinę;atsisukęs|bėgantis vyras|bėgimas|dešinę|į|lenktynės|maratonas|vyras
🧑‍🩰;baleto šokėjas;baletas|šokėjas
💃;šokanti moteris;moteris|šokis|tango
🕺;šokantis vyras;elegantiškas|flamenko|salsa|šokėja|šokiai|šokti|šventinis|tango
🕴️;į orą kylantis vyras su kostiumu;kostiumas|sklandantis vyras su kostiumu|verslas|vyras
👯;besilinksminančios moterys;ausys|dvynės|geriausios draugės|kiškučio ausys|merginos|moterys|pora|šokėjos|vakarėlis|zuikutis
👯‍♂️;vakarėlyje dalyvaujantys vyrai;dvyniai|kiškio ausytės|šokėjas|vakarėlis|vyrai
👯‍♀️;vakarėlyje dalyvaujančios moterys;kiškio ausytės|moteris|moterys|šokėja|vakarėlis
🧖;asmuo garų kambaryje;atsipalaidavimas|garai|garų kambarys|moteris|moteris pirtyje|pirtis|prabanga|sauna|SPA
🧖‍♂️;vyras garų kambaryje;garų kambarys|sauna
🧖‍♀️;moteris garų kambaryje;garų kambarys|sauna
🧗;kopiantis žmogus;alpinistas|kalnas|kopimas į kalną|kopimas į uolą|laipiotojas|uola
🧗‍♂️;kopiantis vyras;alpinistas
🧗‍♀️;kopianti moteris;
🤺;fechtuotojas;fechtavimas|kardas
🏇;arklių lenktynės;arklys|jojikas|lenktynės|sportas
⛷️;slidininkas;slidės|slidinėti|sniegas
🏂;snieglenčių sporto mėgėjas;slidinėti|sniegas|snieglentė|sportas
🏌️;golfo žaidėjas;golfas|kamuoliukas|lygiosios|patarnaujantysis|varyti kamuoliuką į duobutę|žaisti golfą|žalia
🏌️‍♂️;golfo žaidėjas vyras;golfas|vyras
🏌️‍♀️;golfo žaidėja;golfas|kamuolys|moteris|sportas
🏄;banglentininkas;bangavimas|banglenčių sportas|bangos|paplūdimys|sportas|vandenynas
🏄‍♂️;vyras banglentininkas;banglenčių sportas|vyras
🏄‍♀️;banglentininkė;banglenčių sportas|moteris|paplūdimys|sportas
🚣;irkluojantis žmogus;ežeras|irklas|irkluoti|kanoja|kelionė jūra|laivas|plaustas|transporto priemonė|upė|valtis|žvejoti|žvejyba
🚣‍♂️;irkluotojas;valtis|vyras
🚣‍♀️;irkluotoja;irkluojanti moteris|moteris|valtis
🏊;plaukikas;laisvasis stilius|plaukiantis žmogus|plaukimas|plaukti|sportas|triatlonas
🏊‍♂️;vyras plaukikas;plaukimas|vyras
🏊‍♀️;plaukikė;moteris|plaukimas|sportas
⛹️;žmogus su kamuoliu;atletas|baudos metimas|čempionatas|kamuolys|krepšininkas|krepšinis|krepšys|sportas|varytis kamuolį|vyras
⛹️‍♂️;vyras su kamuoliu;kamuolys|vyras
⛹️‍♀️;moteris su kamuoliu;kamuolys|krepšinis|moteris|sportas
🏋️;svorių kilnotojas;kilnotojas|pakėlimas|sportas|štanga|svoris|treniruotė
🏋️‍♂️;svorius keliantis vyras;keliantis svorį|vyras
🏋️‍♀️;svorius kelianti moteris;kelianti svorį|moteris
🚴;dviratininkas;dviračiu važiuojantis asmuo|dviratis|sportas|važiuoti dviračiu
🚴‍♂️;vyras dviratininkas;dviratininkas|dviratis|važinėjimas dviračiu|vyras
🚴‍♀️;dviratininkė;dviratis|moteris|sportas|važinėjimas dviračiu
🚵;kalnų dviratininkas;atletas|dviratininkas|dviratis|kalnas|sportas|važiuoti dviračiu
🚵‍♂️;kalnų dviratininkas vyras;dviratininkas|dviratis|kalnas|važinėjimas dviračiu|vyras
🚵‍♀️;kalnų dviratininkė moteris;dviratininkė|dviratis|kalnas|moteris|sportas|važinėjimas dviračiu
🤸;persivertimas šonu;aktyvus|gimnastika|kūliavirstis|laimingas|persivertimas|susijaudinęs|vertimasis kūliais|žmogus
🤸‍♂️;vyras daro suktuką;aktyvus|gimnastika|kūliavirstis|laimingas|suktukas|susijaudinęs|vertimasis kūliais|vyras
🤸‍♀️;moteris daro suktuką;aktyvi|gimnastika|kūliavirstis|laiminga|moteris|suktukas|susijaudinusi|vertimasis kūliais
🤼;imtynininkai;dvikova|grumtynės|imtynės|imtynininkas|imtynių turnyras|kova|ringe|žmonės
🤼‍♂️;vyrų imtynės;dvikova|grumtynės|imtynės|imtynių turnyras|kova|ringe|vyrai
🤼‍♀️;moterų imtynės;dvikova|grumtynės|imtynės|imtynių turnyras|kova|moteris|moterys|ringe
🤽;vandensvydis;Marco|plaukimas|vandens sportas|vandensvydžio žaidėjas|vanduo|žmogus
🤽‍♂️;vandensvydžio žaidėjas;plaukimas|vandens sportas|vandensvydis|vyras
🤽‍♀️;vandensvydžio žaidėja;moteris|plaukimas|vandens sportas|vandensvydis|žaidimas
🤾;rankinis;atletas|gaudyti|kamuolys|mesti|rankininkas|sportas|sviesti|žmogus
🤾‍♂️;rankininkas;rankinis|vyras
🤾‍♀️;rankininkė;atletė|gaudyti|kamuolys|mesti|moteris|rankinis|sportas|sviesti
🤹;žongliravimas;balansuoti|daug darbų vienu metu|įgūdis|išlaikyti pusiausvyrą|įveikti|pusiausvyra|reakcija|žmogus|žonglierius|žongliruoti
🤹‍♂️;žongliruotojas;balansuoti|daug darbų vienu metu|išlaikyti pusiausvyrą|įveikti|sudėtinga|vyras|žonglierius|žongliravimas|žongliruoti
🤹‍♀️;žongliruotoja;moteris|sudėtinga|žmogus|žonglierė|žongliravimas
🧘;žmogus lotoso pozoje;atsipalaidavimas|joga|jogas|jogė|lotoso poza|meditacija|ramybė|sukryžiuotos kojos
🧘‍♂️;vyras lotoso pozoje;joga|meditacija
🧘‍♀️;moteris lotoso pozoje;joga|meditacija
🛀;žmogus prausiasi vonioje;vonia
🛌;žmogus lovoje;labanakt|miegoti|viešbutis
🧑‍🤝‍🧑;rankomis susikibę žmonės;asmuo|laikyti|pora|ranka|susikibę rankomis|susikibusios rankos|žmogus
👭;dvi moterys, susikibusios už rankų;draugės|dvi moterys|laikyti|lgbt|moteris|pora|ranka|susikibusios už rankų
👫;vyras ir moteris, susikibę už rankų;draugai|laikyti|moteris|pora|ranka|susikibę už rankų|vyras|vyras ir moteris
👬;du vyrai, susikibę už rankų;draugai|du vyrai|dvyniai|laikyti|lgbt|pora|ranka|susikibę už rankų|vyras|zodiakas
💏;bučinys;meilė|metinės|pora
👩‍❤️‍💋‍👨;bučinys: moteris vyras;bučinys|meilė|metinės|moteris|pora|vyras
👨‍❤️‍💋‍👨;bučinys: vyras vyras;bučinys|meilė|metinės|pora|vyras
👩‍❤️‍💋‍👩;bučinys: moteris moteris;bučinys|meilė|metinės|moteris|pora
💑;pora su širdele;meilė|metinės|pora
👩‍❤️‍👨;pora su širdele: moteris vyras;meilė|metinės|moteris|pora|pora su širdele|vyras
👨‍❤️‍👨;pora su širdele: vyras vyras;meilė|metinės|pora|pora su širdele|vyras
👩‍❤️‍👩;pora su širdele: moteris moteris;meilė|metinės|moteris|pora|pora su širdele
👨‍👩‍👦;šeima: vyras moteris berniukas;berniukas|mama|moteris|šeima|tėvas|vaikas|vyras
👨‍👩‍👧;šeima: vyras moteris mergaitė;mama|mergaitė|moteris|šeima|tėvas|vaikas|vyras
👨‍👩‍👧‍👦;šeima: vyras moteris mergaitė berniukas;berniukas|mama|mergaitė|moteris|šeima|tėvas|vaikas|vyras
👨‍👩‍👦‍👦;šeima: vyras moteris berniukas berniukas;berniukas|mama|moteris|šeima|tėvas|vaikas|vyras
👨‍👩‍👧‍👧;šeima: vyras moteris mergaitė mergaitė;mama|mergaitė|moteris|šeima|tėvas|vaikas|vyras
👨‍👨‍👦;šeima: vyras vyras berniukas;berniukas|mama|šeima|tėvas|vaikas|vyras
👨‍👨‍👧;šeima: vyras vyras mergaitė;mama|mergaitė|šeima|tėvas|vaikas|vyras
👨‍👨‍👧‍👦;šeima: vyras vyras mergaitė berniukas;berniukas|mama|mergaitė|šeima|tėvas|vaikas|vyras
👨‍👨‍👦‍👦;šeima: vyras vyras berniukas berniukas;berniukas|mama|šeima|tėvas|vaikas|vyras
👨‍👨‍👧‍👧;šeima: vyras vyras mergaitė mergaitė;mama|mergaitė|šeima|tėvas|vaikas|vyras
👩‍👩‍👦;šeima: moteris moteris berniukas;berniukas|mama|moteris|šeima|tėvas|vaikas
👩‍👩‍👧;šeima: moteris moteris mergaitė;mama|mergaitė|moteris|šeima|tėvas|vaikas
👩‍👩‍👧‍👦;šeima: moteris moteris mergaitė berniukas;berniukas|mama|mergaitė|moteris|šeima|tėvas|vaikas
👩‍👩‍👦‍👦;šeima: moteris moteris berniukas berniukas;berniukas|mama|moteris|šeima|tėvas|vaikas
👩‍👩‍👧‍👧;šeima: moteris moteris mergaitė mergaitė;mama|mergaitė|moteris|šeima|tėvas|vaikas
👨‍👦;šeima: vyras berniukas;berniukas|mama|šeima|tėvas|vaikas|vyras
👨‍👦‍👦;šeima: vyras berniukas berniukas;berniukas|mama|šeima|tėvas|vaikas|vyras
👨‍👧;šeima: vyras mergaitė;mama|mergaitė|šeima|tėvas|vaikas|vyras
👨‍👧‍👦;šeima: vyras mergaitė berniukas;berniukas|mama|mergaitė|šeima|tėvas|vaikas|vyras
👨‍👧‍👧;šeima: vyras mergaitė mergaitė;mama|mergaitė|šeima|tėvas|vaikas|vyras
👩‍👦;šeima: moteris berniukas;berniukas|mama|moteris|šeima|tėvas|vaikas
👩‍👦‍👦;šeima: moteris berniukas berniukas;berniukas|mama|moteris|šeima|tėvas|vaikas
👩‍👧;šeima: moteris mergaitė;mama|mergaitė|moteris|šeima|tėvas|vaikas
👩‍👧‍👦;šeima: moteris mergaitė berniukas;berniukas|mama|mergaitė|moteris|šeima|tėvas|vaikas
👩‍👧‍👧;šeima: moteris mergaitė mergaitė;mama|mergaitė|moteris|šeima|tėvas|vaikas
🗣️;kalbanti galva;galva|kalbėjimas|kalbėti|siluetas|veidas
👤;biusto siluetas;biustas|paslaptingas|siluetas
👥;biustų siluetai;biustas|draugai|siluetas|žmonės
🫂;apsikabinę žmonės;apsikabinti|atsisveikinimas|dėkui|labas|pasisveikinimas|viso|žmonės
👪;šeima;mama|tėvas|vaikas
🧑‍🧑‍🧒;šeima: suaugusysis, suaugusysis, vaikas;šeima: suaugusysis|suaugusysis|vaikas
🧑‍🧑‍🧒‍🧒;šeima: suaugusysis, suaugusysis, vaikas, vaikas;šeima: suaugusysis|suaugusysis|vaikas
🧑‍🧒;šeima: suaugusysis, vaikas;šeima: suaugusysis|vaikas
🧑‍🧒‍🧒;šeima: suaugusysis, vaikas, vaikas;šeima: suaugusysis|vaikas
👣;pėdsakai;drabužiai|kūnas|pėdsakas
🫆;piršto atspaudas;kriminalistika|saugumas|tapatybė
🐵;beždžionės snukutis;bananas|beždžionė|veidas
🐒;beždžionė;bananas|gyvūnas
🦍;gorila;gyvūnas
🦧;orangutangas;beždžionė|gyvūnas
🐶;šuns snukutis;gyvūnas|naminis gyvūnas|šuo|veidas
🐕;šuo;augintinis|gyvūnas|naminis gyvūnas
🦮;šuo vedlys;aklas|gyvūnas|neįgaliųjų prieinamumas|neregys|prieinamumas|šuo|vedlys
🐕‍🦺;tarnaujantis šuo;aptarnavimas|neįgaliųjų prieinamumas|pagalba|prieinamumas|šuo|tarnyba|tarnybinis šuo
🐩;pudelis;gyvūnas|šuo
🐺;vilko snukis;gyvūnas|veidas|vilkas
🦊;lapės snukis;gyvūnas|lapė|snukis|veidas
🦝;meškėnas;gudrus|gyvūnas|smalsus
🐱;katės snukutis;augintinis|gyvūnas|katė|naminis gyvūnas|veidas
🐈;katė;augintinis|gyvūnas|naminis gyvūnas
🐈‍⬛;juoda katė;gyvūnas|juoda|katė|nelaimė
🦁;liūto snukis;gyvūnas|liūtas|stiprus|veidas|zodiakas
🐯;tigro snukis;gyvūnas|plėšrūnas|tigras|veidas
🐅;tigras;gyvūnas
🐆;leopardas;gyvūnas|plėšrūnas
🐴;arklio snukis;arklys|ferma|gyvūnas|veidas
🫎;briedis;gyvūnas|ragai|žinduolis
🫏;asilas;gyvūnas|mulas|užsispyręs|žinduolis
🐎;arklys;arklių varžybos|gyvūnas|varžytis|žirgas|žirgų lenktynės
🦄;vienaragio snukis;veidas|vienaragis
🦓;zebras;dryžis|gyvūnas
🦌;elnias;gyvūnas
🦬;bizonas;banda|buivolas|gyvūnas
🐮;karvės snukis;gyvūnas|karvė|veidas
🐂;jautis;bulius|gyvūnas|tauras|zodiakas
🐃;azijinis buivolas;azijinis|buivolas|gyvūnas
🐄;karvė;gyvūnas|pienas
🐷;kiaulės snukis;gyvūnas|kiaulė|paršelis|veidas
🐖;kiaulė;ferma|gyvūnas|kiauliena
🐗;šernas;gyvūnas|kiaulė
🐽;kiaulės nosis;gyvūnas|kiaulė|kiaulės šnipas|nosis|veidas
🐏;avinas (gyvūnas);avinas|avis|gyvūnas|zodiakas
🐑;avis;gyvūnas
🐐;ožys;ferma|gyvūnas|ožiaragis|zodiakas
🐪;kupranugaris;dykuma|gyvūnas|kupra|vienakupris kupranugaris
🐫;dvikupris kupranugaris;dykuma|gyvūnas|kupra|kupranugaris
🦙;lama;alpaka|guanakas|gyvūnas|lamos vilna|vilna
🦒;žirafa;dėmė|gyvūnas
🐘;dramblys;gyvūnas
🦣;mamutas;didelis|gyvūnas|iltis|išnykimas
🦏;raganosis;gyvūnas
🦛;begemotas;gyvūnas
🐭;pelės snukutis;gyvūnas|pelė|veidas
🐁;pelė;gyvūnas
🐀;žiurkė;gyvūnas
🐹;žiurkėno snukutis;augintinis|gyvūnas|naminis gyvūnas|veidas|žiurkėnas
🐰;triušio snukutis;gyvūnas|naminis gyvūnas|triušis|veidas|zuikis
🐇;triušis;augintinis|gyvūnas|naminis gyvūnas|triušiukas
🐿️;voverė;burundukas|gyvūnas
🦫;bebras;dantys|gyvūnas|užtvanka
🦔;ežys;gyvūnas|spygliuotas
🦇;šikšnosparnis;gyvūnas|vampyras
🐻;meškos snukis;gyvūnas|meška|veidas
🐻‍❄️;baltoji meška;baltasis lokys|lokys|meška|poliarinis lokys|šiaurė
🐨;koala;Australija|gyvūnas|meška
🐼;pandos snukis;bambukas|gyvūnas|panda|veidas
🦥;tinginys;gyvūnas|lėtas|tingus
🦦;ūdra;gyvūnas|žaisminga|žvejojanti|žvejoti
🦨;skunkas;gyvūnas|smirdantis
🦘;kengūra;Australija|gyvūnas|jauniklis|šokinėti|sterblinis gyvūnas
🦡;barsukas;gyvūnas|įkyruolis
🐾;pėdutės;letenos|pėdos|pėdsakai
🦃;kalakutas;gyvūnas|Padėkos diena|paukštis
🐔;višta;gyvūnas|paukštis
🐓;gaidys;gyvūnas|paukštis
🐣;išsiritęs viščiukas;gyvūnas|išsiridenti|mažas|paukštis|viščiukas
🐤;viščiukas;gyvūnas|mažas
🐥;atsisukęs snapu viščiukas;gyvūnas|mažas|paukštis|viščiukas
🐦;paukštis;gyvūnas|ornitologija
🐧;pingvinas;antarktida|gyvūnas|paukštis
🕊️;balandis;gyvūnas|paukštis|skristi|taika
🦅;erelis;gyvūnas|paukštis
🦆;antis;gyvūnas|paukštis
🦢;gulbė;bjaurusis ančiukas|gyvūnas|paukštis
🦉;pelėda;gyvūnas|išmintis|paukštis
🦤;drontas;didelis|gyvūnas|išnykimas|Mauricijus|paukštsi
🪶;plunksna;lengvumas|skrydis
🦩;flamingas;gyvūnas|spalvingas|tropinis
🦚;povas;gyvūnas|išdidus|mėgstantis pasirodyti|paukštis|povė
🦜;papūga;gyvūnas|kalbantis|kalbėti|paukštis|piratas
🪽;sparnas;angeliškas|aviacija|dieviškas|kilti|mitologija|paukštis|skrenda|skristi
🐦‍⬛;juodas paukštis;juodas|kovarnis|kranklys|kranksėjimas|paukštis|snapas|varna|varnas
🪿;žąsis;antis|būrys|gaga|kvailas|naminis paukštis|paukštis|višta|žąsinas|žąsys
🐦‍🔥;feniksas;atgaivinimas|atgimimas|atsinaujinimas|fantazija|nemirtingas|pakilimas|pasaka|reinkarnacija|reinkarnuotis|šlovė|transformacija|ugnies paukštis
🐸;varlės snukutis;gyvūnas|princesė|varlė|veidas
🐊;krokodilas;gyvūnas
🐢;vėžlys;gyvūnas
🦎;driežas;gyvūnas|roplys
🐍;gyvatė;gyvatnešis|gyvūnas|žaltys|zodiakas
🐲;drakono snukis;drakonas|gyvūnas|pasaka|veidas
🐉;drakonas;gyvūnas|kinų|pasaka
🦕;sauropodas;brachiozauras|brontozauas|dinozauras|diplodokas
🦖;Reksas;dinozauras|gyvūnas|tiranozauras Reksas
🐳;purškiantis banginis;banginis|gyvūnas|paplūdimys|purkšti|veidas
🐋;banginis;gyvūnas|paplūdimys|vandenynas
🐬;delfinas;fliperis|gyvūnas|paplūdimys|vandenynas
🫍;orka;banginis|jūrinis|vandenynas
🦭;ruonis;gyvūnas|jūrų liūtas|vandenynas
🐟;žuvis;gyvūnas|zodiakas|žuvys
🐠;tropinė žuvis;gyvūnas|tropinė|žuvis
🐡;fugu;gyvūnas|žuvis
🦈;ryklys;gyvūnas|žuvis
🐙;aštuonkojis;gyvūnas|vandenynas
🐚;susisukusi kriauklė;gyvūnas|kriauklė|paplūdimys|spiralė
🪸;koralas;jūra|klimato kaita|rifas|vandenynas
🪼;medūza;akvariumas|bestuburis|čiuptuvai|deginti|geluonis|gyvūnas|jūrinis|oi|planktonas|vandenynas|želė
🦀;krabas;maistas|vėžys|zodiakas
🦞;omaras;gyvūnas|jūrų gėrybė|jūrų gėrybės|maistas|žnyplės
🦐;krevetė;jūros gėrybės|kiaukutinis|maistas|mažas
🦑;kalmaras;gyvūnas|jūros gėrybės|maistas|moliuskas
🦪;austrė;jūros gėrybės|maistas|nardymas|perlas
🐌;sraigė;gamta|gyvūnas
🦋;drugelis;gražus|gyvūnas|vabzdys
🐛;vabalas;gyvūnas|vabzdys
🐜;skruzdėlė;gyvūnas|vabzdys
🐝;bitė;gamta|gyvūnas|kamanė|vabzdys
🪲;vabaliukas;gyvūnas|vabalas|vabzdys
🐞;boružė;gamta|gyvūnas|vabalas|vabzdys
🦗;svirplys;gyvūnas|vabzdys|žiogas
🪳;tarakonas;gyvūnas|vabzdys
🕷️;voras;gyvūnas|vabzdys
🕸️;voratinklis;tinklas|voras
🦂;skorpionas (gyvūnas);gyvūnas|skorpionas|zodiakas
