😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
👨‍🦯‍➡️;man med vit käpp: åt höger;åt|blind|blindkäpp|höger|man|man med blindkäpp|man med vit käpp|vit käpp
👩‍🦯;kvinna med vit käpp;blind|blindkäpp|kvinna|kvinna med blindkäpp|vit käpp
👩‍🦯‍➡️;kvinna med vit käpp: åt höger;åt|blind|blindkäpp|höger|kvinna|kvinna med blindkäpp|kvinna med vit käpp|vit käpp
🧑‍🦼;person i permobil;eldriven rullstol|elektrisk rullstol|tillträde
🧑‍🦼‍➡️;person i permobil: åt höger;åt|eldriven rullstol|elektrisk rullstol|höger|person i permobil|tillträde
👨‍🦼;man i permobil;man|permobil|rullstol
👨‍🦼‍➡️;man i permobil: åt höger;åt|höger|man|man i permobil|permobil|rullstol
👩‍🦼;kvinna i permobil;kvinna|permobil|rullstol
👩‍🦼‍➡️;kvinna i permobil: åt höger;åt|höger|kvinna|kvinna i permobil|permobil|rullstol
🧑‍🦽;person i manuell rullstol;rullstol|tillträde
🧑‍🦽‍➡️;person i manuell rullstol: åt höger;åt|höger|person i manuell rullstol|rullstol|tillträde
👨‍🦽;man i manuell rullstol;man|rullstol
👨‍🦽‍➡️;man i manuell rullstol: åt höger;åt|höger|man|man i manuell rullstol|rullstol
👩‍🦽;kvinna i manuell rullstol;kvinna|rullstol
👩‍🦽‍➡️;kvinna i manuell rullstol: åt höger;åt|höger|kvinna|kvinna i manuell rullstol|rullstol
🏃;person som springer;löpare|löpning|maraton|person som löper
🏃‍♂️;man som springer;jogga|löpa|man|man springer
🏃‍♀️;kvinna som springer;jogga|kvinna|kvinna springer|löpa
🏃‍➡️;person som springer: åt höger;åt|höger|löpare|löpning|maraton|person som löper|person som springer
🏃‍♀️‍➡️;kvinna som springer: åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|löpa
🏃‍♂️‍➡️;man som springer: åt höger;åt|höger|jogga|löpa|man|man som springer|man springer
🧑‍🩰;balettdansare;balett|ballerina|dansare
💃;dansande kvinna;dans|människor
🕺;dansande man;dans|man
🕴️;svävande man i kostym;kostym|människor|svävar
👯;personer med kaninöron;kaninöron|kvinna|kvinnor med kaninöron|människor|tjej
👯‍♂️;män med kaninöron;dans|kaninöron|man|män|party
👯‍♀️;kvinnor med kaninöron;dans|kaninöron|kvinna|kvinnor|party
🧖;person i ångbastu;ångbastu|bastu|slappna av|spa
🧖‍♂️;man i ångbastu;ångbastu|bastu
🧖‍♀️;kvinna i ångbastu;ångbastu|bastu
🧗;person som klättrar;bergsklättring|klättra upp|klättrare|person klättrar
🧗‍♂️;man som klättrar;klättrare|man klättrar
🧗‍♀️;kvinna som klättrar;klättrare|kvinna klättrar
🤺;person som fäktas;fäktare|fäktning|person|sport|svärd
🏇;hästkapplöpning;häst|jockey|kapplöpning|person som galopperar med en häst
⛷️;skidåkare;skidor|snö|vinter
🏂;snowboardåkare;snowboard
🏌️;person som spelar golf;birdie|golf|golfspelare|putt|sport|tee
🏌️‍♂️;man som spelar golf;golf|man|man spelar golf|manlig
🏌️‍♀️;kvinna som spelar golf;golf|kvinna|kvinna spelar golf|kvinnlig
🏄;person som surfar;hav|strand|surfare|surfing|surfning
🏄‍♂️;man som surfar;man|man surfar|manlig|surfing
🏄‍♀️;kvinna som surfar;kvinna surfar|kvinnlig|surfing|woman
🚣;person som ror en båt;båt|roddbåt
🚣‍♂️;man som ror en båt;eka|man|man ror|manlig|roddbåt
🚣‍♀️;kvinna som ror en båt;eka|kvinna|kvinna ror|kvinnlig|roddbåt
🏊;person som simmar;simma|simmare|simning
🏊‍♂️;man som simmar;man|simmare|simning
🏊‍♀️;kvinna som simmar;kvinna|simmare|simning
⛹️;person med boll;basket|basketspelare|boll|dribbla|sport
⛹️‍♂️;man med boll;boll|man|manlig
⛹️‍♀️;kvinna med boll;boll|kvinna|kvinnlig
🏋️;person som lyfter tyngder;kroppsbyggare|sport|tyngdlyftare
🏋️‍♂️;man som lyfter tyngder;man|man lyfter tyngder|manlig|tyngdlyftare
🏋️‍♀️;kvinna som lyfter tyngder;kvinna|kvinna lyfter tyngder|kvinnlig|tyngdlyftare
🚴;person som cyklar;cykel|cykla|cyklist
🚴‍♂️;man som cyklar;cykel|cyklist|man|man cyklar|manlig
🚴‍♀️;kvinna som cyklar;cykel|cyklist|kvinna|kvinna cyklar|kvinnlig
🚵;person som cyklar på en mountainbike;cykel|cykla|cyklist|mountainbikeåkare
🚵‍♂️;man som cyklar på en mountainbike;cykel|cyklist|man|man åker mountainbike
🚵‍♀️;kvinna som cyklar på en mountainbike;cykel|cyklist|kvinna|kvinna åker mountainbike|kvinna som cyklar
🤸;person som hjular;gymnastik|hjula|person
🤸‍♂️;man som hjular;gymnastik|kullerbytta|man|volt
🤸‍♀️;kvinna som hjular;gymnastik|kullerbytta|kvinna|volt
🤼;brottande personer;brottare|brottning|person|sport
🤼‍♂️;brottande män;brottning|män|män som brottas|manlig|person|sport
🤼‍♀️;brottande kvinnor;brottning|kvinnor|sport
🤽;person som spelar vattenpolo;person|polo|sport|vattenpolo
🤽‍♂️;man som spelar vattenpolo;man|sport|vattenpolo
🤽‍♀️;kvinna som spelar vattenpolo;kvinna|sport|vattenpolo
🤾;person som spelar handboll;boll|handboll|person|sport
🤾‍♂️;man som spelar handboll;handboll|man|sport
🤾‍♀️;kvinna som spelar handboll;boll|handboll|kasta|kvinna|sport
🤹;person som jonglerar;balans|färdighet|jonglera|jonglering|multitasking
🤹‍♂️;man som jonglerar;jonglera|jonglering|man|multitasking
🤹‍♀️;kvinna som jonglerar;jonglering|kvinna|kvinna jonglerar|kvinnlig|multitask
🧘;person i lotusposition;ben|fokus|frid|korsade|lotusposition|meditation|yoga
🧘‍♂️;man i lotusposition;meditering|yoga
🧘‍♀️;kvinna i lotusposition;meditering|yoga
🛀;person som badar;bad|badar|badkar
🛌;person i en säng;hotell|hotellnatt|ligger i sängen|säng|sömn|sömnig|sova|sova middag|trött
🧑‍🤝‍🧑;personer som håller hand;håller hand|människor|par
👭;två kvinnor håller hand;håller hand|människor|par|två kvinnor
👫;man och kvinna håller hand;håller hand|människor|par
👬;två män håller hand;håller hand|människor|par|två män
💏;puss;kärlek|kyssas|människor
👩‍❤️‍💋‍👨;puss: kvinna, man;kärlek|kvinna|kyssas|man|människor|puss
👨‍❤️‍💋‍👨;puss: man, man;kärlek|kyssas|man|människor|puss
👩‍❤️‍💋‍👩;puss: kvinna, kvinna;kärlek|kvinna|kyssas|människor|puss
💑;par med hjärta;hjärta|kärlek|människor
👩‍❤️‍👨;par med hjärta: kvinna, man;hjärta|kärlek|kvinna|man|människor|par med hjärta
👨‍❤️‍👨;par med hjärta: man, man;hjärta|kärlek|man|människor|par med hjärta
👩‍❤️‍👩;par med hjärta: kvinna, kvinna;hjärta|kärlek|kvinna|människor|par med hjärta
👨‍👩‍👦;familj: man, kvinna, pojke;barn|familj|kvinna|mamma|man|människor|pappa|pojke
👨‍👩‍👧;familj: man, kvinna, flicka;barn|familj|flicka|kvinna|mamma|man|människor|pappa
👨‍👩‍👧‍👦;familj: man, kvinna, flicka, pojke;barn|familj|flicka|kvinna|mamma|man|människor|pappa|pojke
👨‍👩‍👦‍👦;familj: man, kvinna, pojke, pojke;barn|familj|kvinna|mamma|man|människor|pappa|pojke
👨‍👩‍👧‍👧;familj: man, kvinna, flicka, flicka;barn|familj|flicka|kvinna|mamma|man|människor|pappa
👨‍👨‍👦;familj: man, man, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👨‍👧;familj: man, man, flicka;barn|familj|flicka|mamma|man|människor|pappa
👨‍👨‍👧‍👦;familj: man, man, flicka, pojke;barn|familj|flicka|mamma|man|människor|pappa|pojke
👨‍👨‍👦‍👦;familj: man, man, pojke, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👨‍👧‍👧;familj: man, man, flicka, flicka;barn|familj|flicka|mamma|man|människor|pappa
👩‍👩‍👦;familj: kvinna, kvinna, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👩‍👧;familj: kvinna, kvinna, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
👩‍👩‍👧‍👦;familj: kvinna, kvinna, flicka, pojke;barn|familj|flicka|kvinna|mamma|människor|pappa|pojke
👩‍👩‍👦‍👦;familj: kvinna, kvinna, pojke, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👩‍👧‍👧;familj: kvinna, kvinna, flicka, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
👨‍👦;familj: man, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👦‍👦;familj: man, pojke, pojke;barn|familj|mamma|man|människor|pappa|pojke
👨‍👧;familj: man, flicka;barn|familj|flicka|mamma|man|människor|pappa
👨‍👧‍👦;familj: man, flicka, pojke;barn|familj|flicka|mamma|man|människor|pappa|pojke
👨‍👧‍👧;familj: man, flicka, flicka;barn|familj|flicka|mamma|man|människor|pappa
👩‍👦;familj: kvinna, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👦‍👦;familj: kvinna, pojke, pojke;barn|familj|kvinna|mamma|människor|pappa|pojke
👩‍👧;familj: kvinna, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
👩‍👧‍👦;familj: kvinna, flicka, pojke;barn|familj|flicka|kvinna|mamma|människor|pappa|pojke
👩‍👧‍👧;familj: kvinna, flicka, flicka;barn|familj|flicka|kvinna|mamma|människor|pappa
🗣️;silhuett som talar;silhuett|talar
👤;figur i silhuett;figur|människa
👥;figurer i silhuett;figurer|människor
🫂;personer kramas;adjö|hej|kram|tack
👪;familj;barn|mamma|människor|pappa
🧑‍🧑‍🧒;familj: vuxen, vuxen, barn;barn|familj|vuxna
🧑‍🧑‍🧒‍🧒;familj: vuxen, vuxen, barn, barn;barn|familj|vuxen
🧑‍🧒;familj: vuxen, barn;barn|familj|vuxen
🧑‍🧒‍🧒;familj: vuxen, barn, barn;barn|familj|vuxen
👣;fotavtryck;avtryck|fötter
🫆;fingeravtryck;identitet|kriminalteknik|säkerhet
🐵;apansikte;apa|djur
🐒;apa;djur
🦍;gorilla;djur
🦧;orangutang;apa
🐶;hundansikte;djur|hund
🐕;hund;djur|valp
🦮;ledarhund;blindhund|hjälp|hund|service
🐕‍🦺;servicehund;hjälp|hund|service|tillgång
🐩;pudel;djur|hund
🐺;vargansikte;djur|varg
🦊;rävansikte;ansikte|djur|räv
🦝;tvättbjörn;nyfiken|slug
🐱;kattansikte;djur|katt
🐈;katt;djur
🐈‍⬛;svart katt;djur|halloween|katt|mjau|otur|skrock|svart
🦁;lejonansikte;djur|lejon
🐯;tigeransikte;djur|tiger
🐅;tiger;djur
🐆;leopard;djur
🐴;hästansikte;djur|häst
🫎;älg;alces|älghorn|däggdjur|djur|hjortdjur|horn
🫏;åsna;däggdjur|djur|envis|mula|mulåsna
🐎;häst;djur|galopp|galopperande häst|hästlopp|trav
🦄;enhörningsansikte;djur|enhörning
🦓;zebra;ränder
🦌;hjort;djur
🦬;bisonoxe;buffalo|hjord|visent
🐮;koansikte;djur|ko
🐂;oxe;oxen|stjärntecken|tjur
🐃;vattenbuffel;djur
🐄;ko;djur|kossa
🐷;grisansikte;djur|gris
🐖;gris;so|sugga
🐗;vildsvin;djur|svin
🐽;gristryne;djur|gris|tryne
🐏;vädur;bagge|får|stjärntecken
🐑;tacka;får
🐐;get;stenbock|stjärntecken
🐪;dromedar;puckel
🐫;kamel;puckel|pucklar
🦙;lama;alpaca|guanaco|ull|vicuña
🦒;giraff;prickar
🐘;elefant;djur
🦣;mammut;betar|stor|utrotad
🦏;noshörning;djur|horn|näsa
🦛;flodhäst;hovdjur
🐭;musansikte;djur|mus
🐁;mus;djur
🐀;råtta;djur
🐹;hamsteransikte;djur|hamster
🐰;kaninansikte;djur|kanin
🐇;kanin;djur
🐿️;jordekorre;djur
🦫;bäver;damm
🦔;igelkott;taggig
🦇;fladdermus;djur|vampyr
🐻;björnansikte;björn|djur
🐻‍❄️;isbjörn;djur|vit
🐨;koala;Australien|djur|koala-ansikte|koalabjörn|pungdjur
🐼;pandaansikte;djur|panda
🦥;sengångare;långsam|lat
🦦;utter;fiskar|lekfull
🦨;skunk;stank
🦘;känguru;Australien|hoppa|joey|pungdjur
🦡;grävling;honungsgrävling|plåga
🐾;tassavtryck;djur|tassar
🦃;kalkon;fågel
🐔;höna;fågel
🐓;tupp;fågel
🐣;nykläckt kyckling;fågel|kläckt|kyckling
🐤;kyckling;djur|kycklingansikte
🐥;kyckling framifrån;fågel|kyckling
🐦;fågel;djur|fågelansikte
🐧;pingvin;fågel|pingvinansikte
🕊️;duva;fågel|fred|fredsduva
🦅;örn;fågel
🦆;and;fågel
🦢;svan;den fula ankungen|fågel
🦉;uggla;fågel|vis
🦤;dront;Mauritius|stor|utrotad
🪶;fågelfjäder;fågel|fjäder|fjäderdräkt|lätt
🦩;flamingo;flambojant|tropisk
🦚;påfågel;fågel|praktfull|stolt
🦜;papegoja;fågel|pirat|prata
🪽;vinge;änglalik|fågel|flyga|flyger|himmelsk|mytologi|stiga
🐦‍⬛;koltrast;djur|fågel|korp|kråka|kraxa|näbb|råka|svart
🪿;gås;and|anka|dum|fä|fågel|fånig|flock|kackel|rolig
🐦‍🔥;fenix;eldfågel|fantasy|förnyelse|pånyttfödelse|reinkarnation
🐸;grodansikte;djur|groda
🐊;krokodil;djur
🐢;sköldpadda;havssköldpadda|padda
🦎;ödla;kräldjur
🐍;orm;djur
🐲;drakansikte;djur|drake
🐉;drake;djur
🦕;sauropod;brachiosaurus|brontosaurus|diplodocus
🦖;T-rex;Tyrannosaurus Rex
🐳;val som sprutar vatten;djur|val|vatten
🐋;val;djur
🐬;delfin;djur
🫍;späckhuggare;hav|ocean|val
🦭;säl;sjölejon
🐟;fisk;fiskarna|stjärntecken
🐠;tropisk fisk;djur|fisk|tropisk
🐡;blåsfisk;djur|fisk
🦈;haj;fisk
🐙;bläckfisk;djur
🐚;snäcka;djur|snäckskal
🪸;korall;klimatförändring|ocean|rev
🪼;manet;bränner|brännmanet|hav|nässeldjur|ocean|svida|svider|tentakler
🦀;krabba;kräfta|skaldjur|stjärntecken
🦞;hummer;fisksoppa|klor|skaldjur
🦐;räka;liten|mat|skaldjur
🦑;mindre bläckfisk;bläck|bläckfisk|mat|skaldjur
🦪;ostron;dyka|pärlor
🐌;snigel;djur
🦋;fjäril;insekt|sommar|vacker
🐛;tusenfoting;djur|kryp|larv
🐜;myra;djur|insekt
🐝;bi;djur|geting|insekt
🪲;skalbagge;insekt|småkryp
🐞;nyckelpiga;djur|insekt|skalbagge
🦗;syrsa;gräshoppa
🪳;kackerlacka;insekt|skadedjur
🕷️;spindel;djur|insekt
🕸️;spindelnät;nät|spindel
🦂;skorpion;skorpionen|stjärntecken
🦟;mygga;insekt|malaria|sjukdom|virus
🪰;fluga;asätande insekt|sjukdom
🪱;mask;daggmask|parasit|ringmask
🦠;mikrob;amöba|bakterie|mikrober|virus
💐;blombukett;blommor|kärlek
🌸;körsbärsblomma;blomma|körsbär
💮;vit blomma;blomma
🪷;lotus;blomma|buddhism|frid|hinduism|renhet|stillhet
🏵️;bandros;blomma
🌹;ros;blomma
🥀;vissnad blomma;blomma|torkad|vissen
🌺;hibiskus;blomma|hibiskusblomma
🌻;solros;blomma
🌼;blomma;blomster|växt
🌷;tulpan;blomma
🪻;hyacint;blomma|bluebonnet|lavendel|lila|luktärter|lupin|purpur|violblå|violett
🌱;skott;grodd|växtskott
🪴;krukväxt;inomhus|odla|växt
🌲;barrträd;gran|träd|vintergrön
🌳;lövträd;lövfällande|träd
🌴;palm;träd
🌵;kaktus;växt
🌾;risax;planta|ris|risplanta
🌿;ört;blad
☘️;treklöver;Irland
🍀;fyrklöver;Irland|klöver|lycka|tur
🍁;lönnlöv;höst|löv
🍂;fallande löv;faller|fallna löv|höst|höstlöv|löv
🍃;löv i vinden;blåser|fladdrande|höst|löv|vind
🪹;tomt bo;rede|ruva
🪺;bo med ägg;fågelbo|rede med ägg|ruva
🍄;svamp;flugsvamp|växt
🪾;träd utan löv;kargt|torka|vinter
🍇;vindruvor;frukt
🍈;melon;frukt
🍉;vattenmelon;frukt|melon|vattenmelonskiva
🍊;mandarin;citrusfrukt|frukt
🍋;citron;citrusfrukt|frukt
🍋‍🟩;lime;citrusfrukt|frukt|tropisk
🍌;banan;frukt
🍍;ananas;frukt
🥭;mango;frukt|tropisk frukt
🍎;rött äpple;äpple|frukt|hälsa|mat|moget|nyttigt|rött|sunt
🍏;grönt äpple;äpple|frukt|grönt
🍐;päron;frukt
🍑;persika;frukt
🍒;körsbär;frukt
🍓;jordgubbe;bär|frukt
🫐;blåbär;
🥝;kiwifrukt;frukt|kiwi|mat
🍅;tomat;grönsak
🫒;oliv;mat
🥥;kokosnöt;halv kokosnöt|palm|piña colada
🥑;avokado;frukt|mat
🍆;aubergine;äggplanta|grönsak
🥔;potatis;grönsak|mat
🥕;morot;grönsak|mat|rotfrukt
🌽;majskolv;majs
🌶️;chili;peppar|starkt|växt
🫑;paprika;grönsak
🥒;gurka;grönsak|mat
🥬;sallat;bok choy|grönkål|kål|sallad|salladsblad
🥦;broccoli;kål
🧄;vitlök;smaksättning
🧅;lök;gul lök|smaksättning
🥜;jordnötter;grönsak|jordnöt|mat|nöt
🫘;bönor;kidneybönor|mat|små
🌰;kastanj;växt
🫚;ingefära;hälsa|krydda|kryddväxt|öl|ört|rot
🫛;ärtskida;ärta|bönor|bönstjälk|edamame|grönsaker|sojaböna
🍄‍🟫;brun svamp;brun flugsvamp|brunsvamp|grönsaker|mat|natur|sopp|svamp|trädgårdschampinjon|tryffel
🫜;rotfrukt;grönsak|rödbeta|rova|trädgård
🍞;bröd;limpa
🥐;croissant;bröd|fransk|mat
🥖;baguette;bröd|fransk|mat
🫓;tunnbröd;naanbröd|pitabröd
🥨;pretzel;snurrad
🥯;bagel;bakverk|bröd
🥞;pannkakor;crêpes|mat|pannkaka
🧇;våffla;våffeldagen|våffeljärn
🧀;ostbit;ost
🍖;köttben;kött|på ben
🍗;kycklinglår;kyckling|lår
🥩;styckdel;fläskkotlett|lammkotlett|stek
🥓;bacon;kött|mat
🍔;hamburgare;burgare
🍟;pommes frites;pommes
🍕;pizzabit;bit|pizza|slice
🌭;varmkorv;korv|mat
🥪;smörgås;bröd|macka
🌮;taco;fredagsmys|mat|mexikanskt
🌯;burrito;fredagsmys|mat|mexikanskt
🫔;tamale;mexikanskt|wrap
🥙;pitabröd;falafel|gyro|kebab|mat|pita
🧆;falafel;kikärter|köttbulle
🥚;ägg;mat
🍳;matlagning;laga mat|steka ägg
🥘;paella;mat|stekpanna
🍲;gryta;mat|varm gryta
🫕;fondue;choklad|gryta|ost|schweiziskt|smältande
🥣;skål och sked;flingor|frukost
🥗;grönsallad;grön|mat|sallad
🍿;popcorn;bio|snacks
🧈;smör;mjölkprodukt
🧂;salt;krydda|saltkar|saltströare
🥫;konserv;burk|konservburk
🍱;bentolåda;bento|låda
🍘;riskaka;kex|ris
🍙;risboll;ris|risportion
🍚;kokt ris;ris
🍛;curry och ris;curry|ris
🍜;skål nudelsoppa;nudelsoppa|nudlar|rykande|skål|soppa
🍝;spagetti;mat|pasta
🍠;rostad sötpotatis;mat|rostad|sötpotatis
🍢;skaldjursspett;skaldjur|spett
🍣;sushi;
🍤;friterad räka;friterad|räka|tempura
🍥;fiskkaka;fisk|snurrad fiskkaka
🥮;månkaka;festival|höst|månfest
🍡;dango;efterrätt|japan
🥟;dumpling;degknyte|empanada|gyōza|jiaozi|pirog
🥠;lyckokaka;profetia
🥡;hämtmatkartong;takeout box
🍦;mjukglass;efterrätt|glass
🍧;kakigōri;dessert|efterrätt|is
🍨;glass;efterrätt
🍩;munk;donut
🍪;kaka;desert|efterrätt|småbröd
🎂;födelsedagstårta;fest|födelsedag|fördelsedagstårta|Grattis|tårta|Tårta med ljus på
🍰;tårtbit;kaka|kakbit|tårta
🧁;muffin;bakelse|bakverk
🥧;paj;deg|fyllnad
🍫;chokladkaka;choklad|chokladbit|godis
🍬;godis;karamell
🍭;klubba;godis
🍮;brylépudding;efterrätt
🍯;honungsburk;burk|honung
🍼;nappflaska;dryck|flaska|mjölk
🥛;mjölkglas;dryck|glas|mjölk
☕;varm dryck;ångande|dryck|kaffe|te|varm
🫖;tekanna;dryck|kanna|te
🍵;tekopp;te|varm dryck
🍶;sake;dryck|flaska|flaska och kopp med saké|kopp
🍾;champagne;bubbel|fest|nyår
🍷;vinglas;dryck|glas|rödvinsglas|vin
🍸;cocktailglas;cocktail|drink
🍹;tropisk drink;alkohol|bar|cocktail|drink|drinkar|festa|full|mai tai|nattklubb|party|supa|tropisk
🍺;ölstop;glas|öl|ölglas|stop
🍻;skålande ölstop;glas|öl|skål|skålande ölglas
🥂;skålande glas;dryck|fira|glas|skål
🥃;whiskyglas;brännvin|glas|shot|sprit|whisky
🫗;hälla vätska;dryck|glas|hälla|oj då!|spilla|tomt
🥤;mugg med sugrör;juice|läskedryck
🧋;bubbelte;mjölk|pärlor|tapiokapärlor|te
🧃;dryckeskartong;dryckesförpackning
🧉;mate-te;dryck
🧊;isbit;isberg|kallt
🥢;ätpinnar;
🍽️;tallrik, kniv och gaffel;äta|bestick|dukning|kniv och gaffel|tallrik
🍴;kniv och gaffel;äta|bestick|gaffel|gaffel och kniv|hungrig|kniv|mat|matdags|middag
🥄;sked;bestick
🔪;kökskniv;kniv
🫙;burk;behållare|förvaring|krydda|sås|tom
🏺;amfora;kruka|krus
🌍;jordglob Europa–Afrika;Afrika|Europa|Europa-Afrika|jorden|jordglob|världen|visar
🌎;jordglob nord- och sydamerika;jorden|jordglob|nord- och sydamerika|Nordamerika|Sydamerika|världen|visar
🌏;jordglob Asien–Australien;Asien|Asien-Australien|Australien|jorden|jordglob|världen|visar
🌐;jordglob med meridianer;meridianer
🗺️;världskarta;karta|världen
🗾;karta över Japan;Japan|karta
🧭;kompass;magnetisk|navigation|orientering
🏔️;snöklätt berg;berg|kallt|snö|snöklädda berg
⛰️;berg;
🛘;jordskred;berg|fallande|fara|ras|stenar
🌋;vulkan;vulkanutbrott
🗻;Fuji;berg
🏕️;camping;tält
🏖️;strand med parasoll;parasoll|strand
🏜️;öken;torrt|varmt
🏝️;öde ö;ö|öde
🏞️;nationalpark;park
🏟️;stadion;
🏛️;klassisk byggnad;byggnad|sevärdhet
🏗️;byggarbetsplats;bygge
🧱;tegelsten;bruk|lera|tegelstenar|tegelstensvägg|vägg
🪨;sten;berg|bumling|klippa
🪵;trästockar;stock|stubbe|timmerstock|trä|trästock|ved
🛖;koja;hydda|kåta
🏘️;flera hus;byggnader|hus
🏚️;fallfärdigt hus;förfallet|hus|öde|ödehus
🏠;hus;byggnad
🏡;hus med trädgård;hus|trädgård
🏢;kontorsbyggnad;byggnad|kontor
🏣;japanskt postkontor;byggnad|postkontor
🏤;postkontor;byggnad|europeiskt postkontor
🏥;sjukhus;byggnad
🏦;bank;byggnad
🏨;hotell;byggnad
🏩;kärlekshotell;byggnad|hotell|hotell med hjärta|kärlek
🏪;jourbutik;affär|butik|butik som har öppet dygnet runt|byggnad
🏫;skola;byggnad|skolbyggnad
🏬;varuhus;butik
🏭;fabrik;byggnad
🏯;japanskt slott;slott
🏰;slott;europeiskt slott
💒;bröllop;bröllopskapell|kärlek|kyrka
🗼;Tokyo Tower;Tokyo|torn|torn i Tokyo
🗽;Frihetsgudinnan;frihet|new york|ny|nyc|staty
⛪;kyrka;byggnad|kristen
🕌;moské;islam|muslim|religion
🛕;hindutempel;hindu|tempel
🕍;synagoga;judisk|religion|tempel
⛩️;shintohelgedom;religion|shinto
🕋;kaba;islam|muslim|religion
⛲;fontän;springbrunn
⛺;tält;camping
🌁;dimmigt;dimma
🌃;stjärnklar natt;natt|stjärnor
🏙️;stadsbild;höga hus|skyskrapa|storstad
🌄;soluppgång över berg;berg|morgonsol|soluppgång|soluppgång vid berg
🌅;soluppgång;morgonsol
🌆;stad i skymning;byggnader|kväll|skymning|solnedgång|stadsvy
🌇;solnedgång;byggnader|skymning|solnedgång över stad
🌉;bro på natten;bro|natt
♨️;varma källor;ångande|het källa|termalkälla
🎠;karusellhäst;häst|karusell
🛝;rutschbana;leka|lekplats|nöjesfält
🎡;pariserhjul;karusell|nöjespark
🎢;berg- och dalbana;karusell|nöjespark
💈;barberarstolpe;barberare|frisör|stolpe
🎪;cirkustält;cirkus|tält
🚂;ånglok;fordon|lok|lokomotiv|tåg
🚃;tågvagn;fordon|järnväg|tåg
🚄;snabbtåg;fordon|tåg
🚅;höghastighetståg;fordon|Shinkansen|tåg|TGV
🚆;tåg;fordon|järnväg
🚇;tunnelbana;fordon|metro
🚈;snabbspårväg;anlänt|balkbana|enskensbana|lättbana|monorail|spårväg|spårvagn
🚉;tågstation;station|tåg
🚊;spårvagn;fordon
🚝;monorail;balkbana|fordon|tåg
🚞;bergbana;bergsbana|bergståg|järnväg
🚋;spårvagnsvagn;fordon|spårvagn
🚌;buss;fordon
🚍;mötande buss;buss|fordon|mötande
🚎;trådbuss;buss|fordon
🚐;minibuss;buss|fordon
🚑;ambulans;fordon
🚒;brandbil;fordon
🚓;polisbil;fordon|polis
🚔;mötande polisbil;fordon|polis|polisbil
🚕;taxi;fordon
🚖;mötande taxi;fordon|taxi|taxi framifrån
🚗;bil;fordon
🚘;mötande bil;bil|bilar|fordon|körde|mötande
🚙;SUV;bil|fordon
🛻;pickup;lastbil|transportvagn|varubil
🚚;budbil;fordon|skåpbil
🚛;lastbil;fordon
🚜;traktor;fordon
🏎️;racerbil;bil|sport
🏍️;motorcykel;racing
🛵;skoter;motor
🦽;manuell rullstol;tillgänglighet
🦼;eldriven rullstol;tillgänglighet
🛺;automatisk riksha;motordriven|rickshaw|riksha|tuk-tuk
🚲;cykel;fordon
🛴;sparkcykel;cykel|sparka
🛹;skateboard;bräda
🛼;rullskridsko;
🚏;busshållplats;buss|hållplats
🛣️;motorväg;väg
🛤️;räls;järnväg|tåg|tågräls
🛢️;oljefat;olja
⛽;bränslepump;bensin|bensinpump|bensinstation|bränsle
🛞;hjul;cirkel|däck|rulla
🚨;polisbilslampa;lampa|polisbil|saftblandare
🚥;vågräta trafikljus;trafikljus
🚦;lodräta trafikljus;trafikljus
🛑;stoppskylt;åttakantig|skylt|stopp
🚧;skylt för byggområde;bygge
⚓;ankare;hopp
🛟;livboj;flytetyg|frälsarkrans|livräddning|räddning|säkerhet
⛵;segelbåt;båt|segling
🛶;kanot;båt
🚤;racerbåt;båt|fordon
🛳️;passagerarfartyg;fartyg|fordon|passagerare
⛴️;färja;båt|passagerare
🛥️;motorbåt;båt|fordon
🚢;fartyg;båt|fordon
✈️;flygplan;fordon
🛩️;litet flygplan;flygplan|fordon
🛫;avgång med flyg;avgång|flyg|flyg som avgår|resa
🛬;ankomst med flyg;ankomst|flyg|flyg som landar|resa
🪂;fallskärm;fallskärmshopp|hängflygning|parasegling
💺;flygstol;stol
🚁;helikopter;fordon
🚟;hängbana;fordon
🚠;linbana;gondolbana|kabinbana|skidlift
🚡;kabinbana;funifor|gondolbana|linbana
🛰️;satellit;fordon|rymden
🚀;raket;fordon|rymdraket
🛸;flygande tefat;UFO
🛎️;receptionsklocka;hotell|klocka|piccolo|plingklocka
🧳;bagage;packning|resa|resväska
⌛;utrunnet timglas;sand|timglas
⏳;timglas med rinnande sand;sand|tid|timglas
⌚;armbandsur;klocka
⏰;väckarklocka;klocka
⏱️;tidtagarur;klocka|stoppur
⏲️;timer;klocka|tid|tidtagarklocka
🕰️;mantelklocka;klocka
🕛;klockan tolv;00.00|24.00|klocka som visar tolv|tolv
🕧;halv ett;00.30|12.30|klocka som visar halv ett
