😀;کھل کے ہنستا چہرہ;چہرہ|کھلا|منہ|ہنسی
👩‍🎓;عورت طالب علم;اسکول|طالب علم|عورت|گریجوئیشن|لوگ
🧑‍🏫;استاد;پروفیسر|معلم
👨‍🏫;مرد استاد;آدمی|استاد|اسکول|پروفیسر|پیشہ|تعلیم|ٹیچر|دانشور|شغل|عِلم|لوگ|مدرس|مرد|معلم
👩‍🏫;استانی;اسکول|پروفیسر|تعلیم|ٹیچر|خاتون|علم|عورت|لوگ|مدرسہ
🧑‍⚖️;جج;پیمانے
👨‍⚖️;مرد جج;انصاف|انصاف کا ترازو|پیشہ|ترازو|شغل|عدالت|عدل|کورٹ|لوگ|مرد|منصف
👩‍⚖️;عورت جج;اعتدال|انصاف|انصاف کا ترازو|پیشہ|ترازو|شغل|عادل|عدالت|عدل|عورت|کورٹ|لوگ|منصفہ
🧑‍🌾;کسان;کاشتکار|مالی
👨‍🌾;مرد کاشت کار;باغ|باغات|باغبان|بغیچہ|پیشہ|دہقان|شغل|کاشت کار|کسان|کھلیہان|کھیت|گلستان|گلشن|لوگ|مرد
👩‍🌾;عورت کاشت کار;باغ|باغات|باغبان|باغیچہ|پیشہ|خاتون|شغل|عورت|کاشت کار|کسان|کھلیہان|کھیت|گلستان|گلشن|لوگ
🧑‍🍳;باورچی;شیف
👨‍🍳;مرد باورچی;باورچی|خان ساماں|شیف|لوگ|مرد
👩‍🍳;عورت باورچی;باورچی|بورچی خانہ|پیشہ|خاتون|خاتونِ خانہ|خانساماں|شغل|شیف|عورت|کھانا پکانے والی|لوگ
🧑‍🔧;مکینک;الیکٹریشن|پلمبر|کاریگر
👨‍🔧;مرد مکینک;الیکٹریشن|پلمبر|کاریگر|لوگ|مرد|مکینک
👩‍🔧;عورت مکینک;الیکٹریشن|پلمبر|پیشہ|خاتون|شغل|عورت|کارکن|کاریگر|لوگ|مرد|مکینک
🧑‍🏭;فیکٹری ورکر;اسمبلی|صنعتی|فیکٹری|کارکن
👨‍🏭;مرد فیکٹری کارکن;فیکٹری|کارکن|کاریگر|لوگ|مرد
👩‍🏭;عورت فیکٹری کارکن;عورت|فیکٹری|کارکن|کاریگر|لوگ
🧑‍💼;آفس ورکر;کاروبار|ماہر تعمیرات|مینیجر|وائٹ کالر
👨‍💼;مرد دفتر کارکن;بزنس|دفتر|کارکن|کاروبار|کاروبار کے لیے|لوگ|ماہرِ تعمیرات|مرد|ملازم|منتظم
👩‍💼;عورت دفتر کارکن;آرکی ٹیکٹ|آفس|انتظام|بزنس|پیشہ|خاتون|دفتر|شغل|عورت|کارکن|کاروبار|لوگ|معزز|ملازم|منتظمہ|منیجر
🧑‍🔬;سائنسدان;انجینیئر|کیمسٹ|ماہر حیاتیات|ماہر طبیعات
👨‍🔬;مرد سائنسدان;اعداد|انجینئر|بیالوجسٹ|حیاتیات|دوا فروش|ریاضی|سائنس دان|سائنسدان|شماریات|علم ریاضی|کیمسٹ|کیمیاداں|لوگ|ماہرِ طبیعیات|مرد
👩‍🔬;عورت سائنسدان;انجینئر|بیالوجسٹ|پیشہ|حیاتیات|خاتون|خاتون کیمیا گر|سائنسدان|شغل|عورت|کیمسٹ|کیمیاداں|لوگ|ماہرِ حیاتیات|ماہرِ طبعیات
🧑‍💻;ٹیکنالوجسٹ;،موجد|ڈویلپر|سافٹ ویئر|کوڈر
👨‍💻;مرد ٹیکنولاجسٹ;ایجاد کرنے والا|تکنیک دان|تکنیک کار|فنی ماہر|کمپیوٹر|کوڈر|لوگ|لیپ ٹاپ|مرد|موجد
👩‍💻;عورت ٹیکنولاجسٹ;تکنیک داں خاتون|تکنیک کار خاتون|خاتون کوڈر|ڈیویلپر|سافٹ ویئر|عورت|کمپیوٹر|کوڈر|لوگ|لیپ ٹاپ|موجد
🧑‍🎤;سنگر;اداکار|اسٹار|تفریح فراہم کرنے والا|راک
👨‍🎤;گلوکار;اسٹار|راک اسٹار|سنگر|فنکار|گیت سنگیت|لوگ
👩‍🎤;گلوکارہ;اسٹار|سنگر|فنکار|فنکارہ|لوگ
🧑‍🎨;آرٹسٹ;رنگوں کی تختی
👨‍🎨;فنکار;آدمی|آرٹسٹ|تصویر کش|رنگ ریز|سنگر|لوگ|مصور|نقاش
👩‍🎨;فنکارہ;آرٹسٹ|پیلیٹ|رنگ خانہ|سنگر|لوگ|مُصوّرہ
🧑‍✈️;پائیلٹ;جہاز
👨‍✈️;مرد پائلٹ;آسمان|پائلٹ|پلین چلانے والا|پیشہ|لوگ|مرد|ہوائی جہاز
👩‍✈️;عورت پائلٹ;آسمان|پائلٹ|پلین اڑانے والی|پیشہ|خاتون پائلٹ|شغل|عورت|لوگ|ہوائی جہاز
🧑‍🚀;خلا باز;خلاباز|راکٹ
👨‍🚀;مرد خلاباز;اڑتا سیارہ|افلاک|خلا|خلا باز|خلا باز مرد|خلاباز|راکٹ|راکیٹ|فلک|لوگ|مرد
👩‍🚀;عورت خلاباز;آسمان|افلاک|پیشہ|خاتون|خلا|خلاباز|خلاباز عورت|راکٹ|شغل|لوگ|ماہرِ افلاکیات|مرد
🧑‍🚒;فائر فائٹر;فائر ٹرک
👨‍🚒;مرد فائر فائٹر;آگ|آگ بجھانے والا|فائر فائٹر|لوگ|مرد
👩‍🚒;عورت فائر فائٹر;آؤگ بجھانے والی خاتون|آتش فشاں|آگ|آگ بجھانے والی|پیشہ|خاتون|شعلہ بجھانے والی|شغل|عورت|فائر فائٹر|لوگ|مرد
👮;پولیس آفیسر;آدمی|آفیسر|افسر|پولیس|تھانیدار|عملدار|لوگ|محکمۂ پولیس|مرد
👮‍♂️;مرد پولیس آفیسر;آفیسر|پولیس|پولیس اسٹیشن|مرد
👮‍♀️;عورت پولیس آفیسر;آفیسر|پولیس|پولیس اسٹیشن|پولیس انسپکٹر|خاتون افسر|خاتون پولس|عورت|قانون
🕵️;جاسوس;سراغ رساں|سراغ کا پتا لگانے والا|لوگ|مرد
🕵️‍♂️;مرد جاسوس;جاسوس|سراغ کا پتا لگانے والا|مرد
🕵️‍♀️;عورت جاسوس;پیشہ|جاسوس عورت|خاتون جاسوس|خاتون سراغ رساں|سراغ کا پتا لگانے والی|لوگ
💂;گارڈ;بکنگھام محل|حفاظت|دربان|سنتری|سیکیورٹی|لندن|لوگ
💂‍♂️;مرد گارڈ;آدمی|گارڈ
💂‍♀️;عورت گارڈ;بکنگھم محل|حفاظت|خاتون|خود|سنتری|سیکیورٹی|عورت|گارڈ|لگاوٹ|لندن|لوگ|محافظ
🥷;ننجا;پوشیدگی|جنگ|خفیہ|سپاہی|صلاحیت|فرد|فوجی|قاتل|لڑاکا|مہارت
👷;بند آنکھوں والا مستری;تعمیر|ٹوپی|سخت ٹوپی|کارکن|لوگ|مرد|مرمت|مزدور|مستری|ہیلمیٹ
👷‍♂️;مرد مزدور;تعمیر|عمارت|مرد|مزدور
👷‍♀️;عورت مزدور;پیشہ|تعمیر|خاتون|عمارت|عورت|کاریگر|لوگ|مزدور|مزدورن|ہیلمیٹ
🫅;تاج پہنے شخص;اشرافیہ|بادشاہ|رائلٹی|ریگل|شاہانہ|شاہی|شاہی خون|شہنشاہ|ملکہ|نوبل
🤴;شہزادہ;باد شاہ کا بیٹا|راج کمار|شاہ زادہ|شاہی خاندان|شاہی خاندان سے منسلک|لوگ
👸;شہزادی;افسانوی|پریوں کی کہانی|تاج|داستان|رانی|شاہ زادی|شاہی|کہانی|لوگ|ملکہ
👳;پگڑی والا شخص;آدمی|پگڑی|پگڑی والا آدمی|کسان|لوگ|مولانا|مولوی
👳‍♂️;پگڑی والا مرد;پگڑی|سردار|مرد
👳‍♀️;پگڑی والی عورت;پگڑی|خاتون|دستار|دستار والی عورت|سردارنی|صافہ|عورت|لوگ
👲;چینی ٹوپی والا شخص;آدمی|اشیاء|ٹوپی|چیز|چینی ٹوپی|لباس|لوگ|مرد
🧕;سر پر اسکارف پہنے عورت;اسکارف|اسکارف والی عورت|حجاب|حجاب والی عورت|رومال|سر ڈھکنے کا رومال|سر کا اسکارف|لوگ
🤵;سوٹڈ بوٹڈ شخص;پر تکلف|تقریب|دلہا|دولہا|سوٹ|سوٹڈ بوٹڈ آدمی|لوگ|نوشاہ
🤵‍♂️;کوٹ پینٹ پہنا ہوا مرد;کوٹ پینٹ پہنا ہوا|مرد
🤵‍♀️;کوٹ پینٹ پہنی ہوئی عورت;عورت|کوٹ پینٹ پہنی ہوئی
👰;نقاب پوش شخص;خاتون|دلہن|روایتی سفید لباس میں دلہن|شادی|عورت|لوگ|نقاب|نواب
👰‍♂️;پردہ دار مرد;مرد|نقاب|نقاب پوش مرد
👰‍♀️;نقاب پوش عورت;عورت|نقاب
🤰;حاملہ عورت;امید|انسان|بچہ|پیٹ کا بچہ|حاملہ|حمل|خاتون|عورت|لوگ|ماں بننے والی عورت|نطفہ مقرر
🫃;حاملہ مرد;پُر شکم|پھولا ہوا|پیٹ|حاملہ|زیادہ کھا لینا|مکمل
🫄;حاملہ شخص;پھولا ہوا|پیٹ|حاملہ|زیادہ کھا لینا|مکمل
🤱;دودھ پلانا;بچہ|بچے کو چھاتی سے دودھ پلانا|پرورش|پستان|سینہ|طفل|لوگ|مامتا|ماں
👩‍🍼;بچے کو دودھ پلاتی عورت;بچہ|پیدائش|دایہ گیری|دودھ پلانا|عورت|غذا|نومولود|والدہ|ولادت
👨‍🍼;بچے کو دودھ پلاتا مرد;باپ|بچہ|پیدائش|دایہ گیری|دودھ پلانا|مرد|نومولود|ولادت
🧑‍🍼;بچے کو دودھ پلاتا شخص;بچہ، دودھ پلانا، دایہ گیری، شخص|پیدائش|عورت|لوگ|مرد|نانی|والد|والدہ|ولادت
👼;بے بی فرشتہ;افسانہ|افسانوی|بچہ|پریوں کی کہانی|چہرہ|طفل|فرشتہ|کلیسہ|کہانی|لوگ|ملک
🎅;سانتا کلاز;افسانہ|باپ|پادری|پدر|جشن|داستان|سانتا|قصہ|کرسمس|کہانی|لوگ
🤶;مدر کرسمس;بیگم سانتا کلوس|جشن|کرسمس|لوگ|مدر
🧑‍🎄;میکس کلاؤز;ٹوپی|جسم|چھٹی|سانتا کلاؤز|کرسمس|کلاؤز، کرسمس|لوگ|میری کرسمس
🦸;سپر ہیرو;اچھا|سپر پاور|سُپر مین|ہیرو|ہیروئن
🦸‍♂️;مرد سپر ہیرو;اچھا|سپر پاور|مرد|ہیرو
🦸‍♀️;خاتون سپر ہیرو;اچھا|سپر پاور|عورت|ہیرو|ہیروئن
🦹;سپر ولن;برا آدمی|برائی|سپر پاور|مجرم|ولن
🦹‍♂️;مرد سپر ولن;برائی|سپر پاور|مجرم|مرد|ولن
🦹‍♀️;خاتون سپر ولن;برائی|سپر پاور|عورت|مجرم|ولن
🧙;جادوگر;جادوگرنی|ڈائن|ساحر|شعبدہ کار|کرشمہ کار|لوگ|ماہر جادوگر
🧙‍♂️;جادوگر آدمی;جادوگر
🧙‍♀️;جادوگر عورت;جادوگرنی|چڑیل
🧚;پری;افسانہ|اوبیران|بد روح|پر|پک|تاتیانہ|ٹائٹینیا|داستان|قصہ|کہانی
🧚‍♂️;مرد پری;اوبیران|پک
🧚‍♀️;پری عورت;ٹائٹینیا
🧛;خون خوار;بن مرا|خون|خونخوار|دانت|ڈریکلا|ڈریکیولا|زندہ|لہو|نا مردہ|نکیلے دانت|ویمپائر
🧛‍♂️;خون خوار آدمی;ڈریکلا|زندہ
🧛‍♀️;خون خوار عورت;زندہ
🧜;پانی کے جاندار;پریوں کی کہانی|جل پری|جل دیو|جلدیوی|سمندری مخلوق
🧜‍♂️;جل مانس;سمندری دیوتا
🧜‍♀️;جل پری;سمندری عورت
🧝;پریت;افسانہ|اہرمن|جادوئی|داستان|دیومالائی ہستی|کہانی|لارڈ آف دھ رنگ جیسا|لوگ|لیگولاس
🧝‍♂️;پریت آدمی;جادوئی
🧝‍♀️;پریت عورت;جادوئی
🧞;جن;آسیب|افسانہ|پری|جادو|جنات|شعبدہ|قصہ|کہانی|مردانہ جن
🧞‍♂️;مرد جن;جن
🧞‍♀️;عورت جن;جن
🧟;زندہ مردہ;آسیب|بھوت|چلتا پھرتا مردہ|زندہ|لاش جس میں جادو کے زور سے جان ڈال دی گئی ہو|ہیلووین
🧟‍♂️;زندہ مردہ مرد;چلتا پھرتا مردہ|زندہ
🧟‍♀️;زندہ مردہ عورت;چلتا پھرتا مردہ|زندہ
🧌;ٹرول;بلا|بھوت|پریوں کی کہانی|جن|دیو|عفریت|فسانوی
🫈;بالوں والی مخلوق;بالوں والا|بڑ قدما|بگ فٹ|پُراسرار|جنگل|دیو|ووڈ ووز|یتی
💆;چہرے کا مساج;تھراپی|راحت|سر درد کا علاج|سیلون|علاج|مالش|مالش کرواتی خاتون|مساج
💆‍♂️;چہرے کی مالش کراتا ہوا مرد;آرام|چہرا|درد سر|سر درد|سیلون|لوگ|مالش|مالش کراتا ہوا مرد|مرد|مساج
💆‍♀️;چہرے کی مالش کراتی ہوئی عورت;چہرا|عورت|مالش|مساج
💇;حجامت;اسٹائل|بال|بال کٹواتی عورت|بننا سنورنا|بیوٹی پارلر|حجام|حسن|سجاوٹ|سیلون
💇‍♂️;بال کٹواتا ہوا مرد;بال|بال کٹوانا|حجام|حجام کی دکان|گیسو|لوگ|مرد
💇‍♀️;بال کٹواتی ہوئی عورت;بال کٹوانا|حجام|عورت
🚶;پیدل چلتا شخص;اترا کر چلنا|اکڑ کر چلنا|بل کھا کر چلنا|پیدل|ٹہلنا|چال|چہل قدمی کرنا|شخص|لوگ
🚶‍♂️;پیدل چلتا ہوا مرد;پیدل چلنا|ٹہلنا|چہل قدمی کرنا|مرد
🚶‍♀️;پیدل چلتی ہوئی عورت;پیدل چلنا|پیدل سیر کرنا|ٹہلنا|چہل قدمی کرنا|عورت|لوگ
🚶‍➡️;پیدل چلتا شخص: دائیں طرف دیکھنے والا;اترا کر چلنا|اکڑ کر چلنا|بل کھا کر چلنا|پیدل|پیدل چلتا شخص|ٹہلنا|چال|چہل قدمی کرنا|دائیں|دیکھنے|شخص|طرف|لوگ|والا
🚶‍♀️‍➡️;پیدل چلتی ہوئی عورت: دائیں طرف دیکھنے والا;پیدل چلتی ہوئی عورت|پیدل چلنا|پیدل سیر کرنا|ٹہلنا|چہل قدمی کرنا|دائیں|دیکھنے|طرف|عورت|لوگ|والا
🚶‍♂️‍➡️;پیدل چلتا ہوا مرد: دائیں طرف دیکھنے والا;پیدل چلتا ہوا مرد|پیدل چلنا|ٹہلنا|چہل قدمی کرنا|دائیں|دیکھنے|طرف|مرد|والا
🧍;کھڑا ہوا شخص;آدمی|کھڑا آدمی|کھڑا شخص|کھڑا ہوا|کھڑا ہوا بندہ|کھڑا ہوا فرد|کھڑا ہونا|لوگ
🧍‍♂️;کھڑا ہوا مرد;کھڑا ہوا|مرد
🧍‍♀️;کھڑی ہوئی عورت;عورت|کھڑی ہوئی
🧎;گھٹنوں کے بل بیٹھا شخص;جھکنا|گھٹنوں پر بیٹھا ہوا|گھٹنوں کے بل بیٹھنا|گھٹنے
🧎‍♂️;گھٹنوں کے بل بیٹھا مرد;گھٹنوں کے بل بیٹھنا|مرد
🧎‍♀️;گھٹنوں کے بل بیٹھی عورت;عورت|گھٹنوں کے بل بیٹھنا
🧎‍➡️;گھٹنوں کے بل بیٹھا شخص: دائیں طرف دیکھنے والا;جھکنا|دائیں|دیکھنے|طرف|گھٹنوں پر بیٹھا ہوا|گھٹنوں کے بل بیٹھا شخص|گھٹنوں کے بل بیٹھنا|گھٹنے|والا
🧎‍♀️‍➡️;گھٹنوں کے بل بیٹھی عورت: دائیں طرف دیکھنے والا;دائیں|دیکھنے|طرف|عورت|گھٹنوں کے بل بیٹھنا|گھٹنوں کے بل بیٹھی عورت|والا
🧎‍♂️‍➡️;گھٹنوں کے بل بیٹھا مرد: دائیں طرف دیکھنے والا;دائیں|دیکھنے|طرف|گھٹنوں کے بل بیٹھا مرد|گھٹنوں کے بل بیٹھنا|مرد|والا
🧑‍🦯;ٹٹولنے والی چھڑی کے ساتھ فرد;رسائی|نابینا
🧑‍🦯‍➡️;ٹٹولنے والی چھڑی کے ساتھ فرد: دائیں طرف دیکھنے والا;ٹٹولنے والی چھڑی کے ساتھ فرد|دائیں|دیکھنے|رسائی|طرف|نابینا|والا
👨‍🦯;نابینا افراد والی چھڑی کے ساتھ مرد;اندھا|اندھے کی لاٹھی|دسترس|راستہ دکھانے والی چھڑی کے ساتھ مرد|راستے کا اندازہ لگانے والی چھڑی|رسائی|مرد|نابینا|نابینا کی لاٹھی
👨‍🦯‍➡️;نابینا افراد والی چھڑی کے ساتھ مرد: دائیں طرف دیکھنے والا;اندھا|اندھے کی لاٹھی|دائیں|دسترس|دیکھنے|راستہ دکھانے والی چھڑی کے ساتھ مرد|راستے کا اندازہ لگانے والی چھڑی|رسائی|طرف|مرد|نابینا|نابینا افراد والی چھڑی کے ساتھ مرد|نابینا کی لاٹھی|والا
👩‍🦯;نابینا افراد والی چھڑی کے ساتھ عورت;اندھا|اندھے کی لاٹھی|اندھے کی لاٹھی لے کر چلتی عورت|خاتون|دسترس|راستہ دکھانے والی چھڑی کے ساتھ خاتون|راستہ دکھانے والی چھڑی کے ساتھ عورت|رسائی|عورت|نا بینا کی لاٹھی|نابینا|نابینا افراد والی چھڑی کے ساتھ خاتون
👩‍🦯‍➡️;نابینا افراد والی چھڑی کے ساتھ عورت: دائیں طرف دیکھنے والا;اندھا|اندھے کی لاٹھی|اندھے کی لاٹھی لے کر چلتی عورت|خاتون|دائیں|دسترس|دیکھنے|راستہ دکھانے والی چھڑی کے ساتھ خاتون|راستہ دکھانے والی چھڑی کے ساتھ عورت|رسائی|طرف|عورت|نا بینا کی لاٹھی|نابینا|نابینا افراد والی چھڑی کے ساتھ خاتون|نابینا افراد والی چھڑی کے ساتھ عورت|والا
🧑‍🦼;برقی وہیل چئیر میں بیٹھا فرد;رسائی|موٹر وہیل چئیر میں بیٹھا فرد|وہیل چیئر
🧑‍🦼‍➡️;برقی وہیل چئیر میں بیٹھا فرد: دائیں طرف دیکھنے والا;برقی وہیل چئیر میں بیٹھا فرد|دائیں|دیکھنے|رسائی|طرف|موٹر وہیل چئیر میں بیٹھا فرد|والا|وہیل چیئر
👨‍🦼;برقی وہیل چئیر میں مرد;آدمی|الیکٹرانک وہیل چیئر|الیکٹرانک وہیل چیئر پر آدمی|برقی وہیل چیئر میں مرد|دسترس|رسائی|مرد|موٹر والی وہیل چیئر میں مرد|وہیل چئیر
👨‍🦼‍➡️;برقی وہیل چئیر میں مرد: دائیں طرف دیکھنے والا;آدمی|الیکٹرانک وہیل چیئر|الیکٹرانک وہیل چیئر پر آدمی|برقی وہیل چئیر میں مرد|برقی وہیل چیئر میں مرد|دائیں|دسترس|دیکھنے|رسائی|طرف|مرد|موٹر والی وہیل چیئر میں مرد|والا|وہیل چئیر
👩‍🦼;برقی وہیل چئیر میں عورت;الیکٹرانک وہیل چیئر|الیکٹرانک وہیل چیئر پر عورت|برقی وہیل چیئر میں خاتون|برقی وہیل چیئر میں عورت|خاتون|دسترس|رسائی|عورت|موٹر والی وہیل چیئر میں خاتون|موٹر والی وہیل چیئر میں عورت|وہیل چئیر|وہیل چیئر
👩‍🦼‍➡️;برقی وہیل چئیر میں عورت: دائیں طرف دیکھنے والا;الیکٹرانک وہیل چیئر|الیکٹرانک وہیل چیئر پر عورت|برقی وہیل چئیر میں عورت|برقی وہیل چیئر میں خاتون|برقی وہیل چیئر میں عورت|خاتون|دائیں|دسترس|دیکھنے|رسائی|طرف|عورت|موٹر والی وہیل چیئر میں خاتون|موٹر والی وہیل چیئر میں عورت|والا|وہیل چئیر|وہیل چیئر
🧑‍🦽;دستی وہیل چیئر میں بیٹھا فرد;رسائی|وہیل چیئر
🧑‍🦽‍➡️;دستی وہیل چیئر میں بیٹھا فرد: دائیں طرف دیکھنے والا;دائیں|دستی وہیل چیئر میں بیٹھا فرد|دیکھنے|رسائی|طرف|والا|وہیل چیئر
👨‍🦽;دستی وہیل چئیر میں مرد;آدمی|دسترس|دستی وہیل چیئر میں مرد|رسائی|مرد|مینوئل وہیل چیئر|مینوئل وہیل چیئر میں آدمی|ہاتھ سے چلنے والی وہیل چیئر|وہیل چئیر|وہیل چیئر
👨‍🦽‍➡️;دستی وہیل چئیر میں مرد: دائیں طرف دیکھنے والا;آدمی|دائیں|دسترس|دستی وہیل چئیر میں مرد|دستی وہیل چیئر میں مرد|دیکھنے|رسائی|طرف|مرد|مینوئل وہیل چیئر|مینوئل وہیل چیئر میں آدمی|ہاتھ سے چلنے والی وہیل چیئر|والا|وہیل چئیر|وہیل چیئر
👩‍🦽;دستی وہیل چئیر میں عورت;خاتون|دسترس|دستی وہیل چیئر میں خاتون|دستی وہیل چیئر میں عورت|رسائی|عورت|مینوئل وہیل چیئر میں بیٹھی عورت|ہاتھ سے چلنے والی وہیل چیئر|وہیل چئیر|وہیل چیئر
👩‍🦽‍➡️;دستی وہیل چئیر میں عورت: دائیں طرف دیکھنے والا;خاتون|دائیں|دسترس|دستی وہیل چئیر میں عورت|دستی وہیل چیئر میں خاتون|دستی وہیل چیئر میں عورت|دیکھنے|رسائی|طرف|عورت|مینوئل وہیل چیئر میں بیٹھی عورت|ہاتھ سے چلنے والی وہیل چیئر|والا|وہیل چئیر|وہیل چیئر
🏃;دوڑتا ہوا شخص;بھاگنا|تیزی|جلد بازی|جلدباز آدمی|دوڑنا|ریس|شخص|لوگ|میراتھن
🏃‍♂️;دوڑتا ہوا مرد;بھاگنا|تیز چلنا|دوڑنا|مرد
🏃‍♀️;دوڑتی ہوئی عورت;بھاگتی ہوئی عورت|بھاگنا|تیز چلنا|جلد باز عورت|جلد بازی|خاتون|دوڑ|دوڑنا|طویل دوڑ|عجلت|عورت|لوگ|میراتھون
🏃‍➡️;دوڑتا ہوا شخص: دائیں طرف دیکھنے والا;بھاگنا|تیزی|جلد بازی|جلدباز آدمی|دائیں|دوڑتا ہوا شخص|دوڑنا|دیکھنے|ریس|شخص|طرف|لوگ|میراتھن|والا
🏃‍♀️‍➡️;دوڑتی ہوئی عورت: دائیں طرف دیکھنے والا;بھاگتی ہوئی عورت|بھاگنا|تیز چلنا|جلد باز عورت|جلد بازی|خاتون|دائیں|دوڑ|دوڑتی ہوئی عورت|دوڑنا|دیکھنے|طرف|طویل دوڑ|عجلت|عورت|لوگ|میراتھون|والا
🏃‍♂️‍➡️;دوڑتا ہوا مرد: دائیں طرف دیکھنے والا;بھاگنا|تیز چلنا|دائیں|دوڑتا ہوا مرد|دوڑنا|دیکھنے|طرف|مرد|والا
🧑‍🩰;بیلے ڈانسر;
💃;ڈانسر;ٹینگو|جشن|ڈانس|رقاصہ|رقص|سا|لڑکی|لوگ|ناچ|ناچ گانا|ناچتی عورت
🕺;ناچتا ہوا شخص;آجا نچ لے!|آدمی|خاتون|رقاص|رقص|سالسا|عورت|لوگ|مزہ|ناچ|ناچ گانا
🕴️;بزنس سوٹ پہنے ہوا میں معلق شخص;بزنس|سوٹ|شخص|کاروبار|لوگ|معلق|ہوا
👯;پارٹی کرتی عورتیں;ایک جیسی|پارٹی|جڑواں|خرگوش کے کان|ڈانس|رقاصہ|سہیلیاں|عورت|عورتیں|لڑکی|مزہ
👯‍♂️;ڈانس کرتے ہوئے مرد;پارٹی|تفریح|جشن|خرگوش کے کان|ڈانس|رقاص|رقصس|لوگ|مرد|مزہ
👯‍♀️;ڈانس کرتی ہوئی عورتیں;پارٹی|تفریح|ڈانس|عورت
🧖;ایک شخص بھاپ سے بھرے کمرے میں;بھاپ سے بھرا|بھاپ کا غسل|بھاپ والا غسل خانہ|بھاپ والا کمرہ|بھاپ والے حمام میں کوئی شخص|حمام|غسل خانہ|لوگ
🧖‍♂️;ایک مرد بھاپ سے بھرے کمرے میں;بھاپ سے بھرا|غسل خانہ
🧖‍♀️;ایک خاتون بھاپ سے بھرے کمرے میں;بھاپ سے بھرا|غسل خانہ
🧗;چڑھتا ہوا شخص;پہاڑ|پہاڑ پر چڑھنے والا|چڑھنے والا|کوہ|کوہ پیمائی|کوہ پیمائی کرنے والا|لوگ
🧗‍♂️;چڑھتا ہوا آدمی;چڑھنے والا
🧗‍♀️;چڑھتی ہوئی عورت;چرھنے والی
🤺;تلوار بازی;بندہ|تلوار|کھیل
🏇;گھڑ دوڑ;دوڑ|کھیل|گھوڑا
⛷️;اسکائر;اسکائی|برف
🏂;سنو بورڈر;اسکائی|اسکی|برف|سنو بورڈ
🏌️;گالف کا کھلاڑی;آدمی|کھلاڑی|گالف
🏌️‍♂️;گالف کھیلتا ہوا مرد;کھلاڑی|کھیلنا|گالف|مرد
🏌️‍♀️;گالف کھیلتی ہوئی عورت;عورت|کھلاڑی|کھیلنا|گالف
🏄;سرفر;آدمی|پانی|تختہ|سرف|سرفنگ کرتا آدمی|لہریں|واٹر اسپورٹس
🏄‍♂️;سرفنگ کرتا ہوا مرد;آدمی|سرفنگ
🏄‍♀️;سرفنگ کرتی ہوئی عورت;پانی|تختہ|عورت|کھیلنا
🚣;چپوؤں والی کشتی;بوٹ|چپو چلانا|سواری|کشتی|کشتی رانی
🚣‍♂️;کشتی چلاتا ہوا مرد;پانی|سواری|کشتی|مرد
🚣‍♀️;کشتی چلاتی ہوئی عورت;پانی|سواری|عورت|کشتی
🏊;تیراک;پانی|تیراکی|تیراکی کرتا شخص
🏊‍♂️;تیراکی کرتا ہوا مرد;پانی|تیراکی|مرد
🏊‍♀️;تیراکی کرتی ہوئی عورت;پانی|تیراکی|عورت
⛹️;بال سے کھیلتا شخص;باسکٹ بال|بال|بال اچھالنا|بندہ|کھلاڑی|کھیل کود
⛹️‍♂️;بال سے کھیلتا ہوا مرد;بال|کھیلنا|مرد|میدان
⛹️‍♀️;بال سے کھیلتی ہوئی عورت;بال|عورت|کھیلنا|میدان
🏋️;وزن اٹھائے شخص;اٹھانا|باڈی بلڈر|ڈمبل|وزن|ویٹ لفٹر
🏋️‍♂️;وزن اٹھاتا ہوا مرد;اٹھانا|جم|مرد|وزن
🏋️‍♀️;وزن اٹھاتی ہوئی عورت;اٹھانا|جم|عورت|وزن
🚴;سائیکل سوار;بائی سائیکل|سائیکل|سائیکل ریس|سوار|کھیل
🚴‍♂️;سائیکل سوار مرد;چلانا|سائیکل|سڑک|مرد
🚴‍♀️;سائیکل سوار عورت;چلانا|سائیکل|سڑک|عورت
🚵;ماؤنٹین بائیک;اسپورٹس بائیک|بائی سائیکل|بائیک|سائیکل|سوار|ماؤنٹین
🚵‍♂️;ماؤنٹین بائیک پر سوار مرد;چلانا|سائیکل|ماؤنٹین|مرد
🚵‍♀️;ماؤنٹین بائیک پر سوار عورت;پہاڑ|چلانا|سائیکل|عورت|کوہ پیمائی|ماؤنٹین
🤸;قلابازی لگاتا شخص;بندہ|پرجوش|جمناسٹکس|قلابازی|کھیل
🤸‍♂️;قلابازی کھاتا ہوا مرد;پر جوش|جمناسٹکس|چُست|قلابازی|کھیل|مرد
🤸‍♀️;قلابازی کھاتی ہوئی عورت;پر جوش|جمناسٹکس|چُست|عورت|قلابازی|کھیل
🤼;پہلوان;اکھاڑا|بندہ|دنگل|کشتی|کھیل|مقابلہ
🤼‍♂️;مردوں کی کشتی;پہلوان|دنگل|کشتی|کشتی کا اکھاڑا|کھیل|مرد
🤼‍♀️;عورتوں کی کشتی;اکھاڑا|پہلوان|دنگل|ریسلر|عورت|کشتی|کھیل|مقابلہ
🤽;واٹر پولو;بندہ|پانی|پولو|تیراکی|کھیل|واٹر اسپورٹس
🤽‍♂️;واٹر پولو کھیلتا ہوا مرد;پانی|پولو|تیراکی|کھیل|مرد|واٹر اسپورٹس
