😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
🫈;იეტი;გიგანტი|დევგმირი|დევი|დევკაცი|თმიანი|თოვლის კაცი|იეთი
💆;სახის მასაჟი;მასაჟი|სალონი
💆‍♂️;სახის მასაჟი - კაცი;კაცი|სახის მასაჟი
💆‍♀️;სახის მასაჟი - ქალი;სახის მასაჟი|ქალი
💇;თმის შეჭრა;სალონი|საპარიკმახერო|სილამაზე
💇‍♂️;კაცის თმის შეჭრა;ვარცხნილობა|თმა|კაცი|პარიკმახერი|სალონი
💇‍♀️;ქალის თმის შეჭრა;ვარცხნილობა|თმა|პარიკმახერი|სალონი|ქალი
🚶;ქვეითი;სიარული
🚶‍♂️;მოსიარულე კაცი;კაცი|სეირნობა|სიარული
🚶‍♀️;მოსიარულე ქალი;სეირნობა|სიარული|ქალი
🚶‍➡️;ქვეითი: მარჯვნივ მიმართული;მარჯვნივ|მიმართული|სიარული|ქვეითი
🚶‍♀️‍➡️;მოსიარულე ქალი: მარჯვნივ მიმართული;მარჯვნივ|მიმართული|მოსიარულე ქალი|სეირნობა|სიარული|ქალი
🚶‍♂️‍➡️;მოსიარულე კაცი: მარჯვნივ მიმართული;კაცი|მარჯვნივ|მიმართული|მოსიარულე კაცი|სეირნობა|სიარული
🧍;ფეხზე მდგომი ადამიანი;დაყუდება|დგომა|ფეხზე დგომა
🧍‍♂️;ფეხზე მდგომი კაცი;დაყუდება|დგომა|კაცი
🧍‍♀️;ფეხზე მდგომი ქალი;დაყუდება|დგომა|ქალი
🧎;დაჩოქილი ადამიანი;დაჩოქება|მუხლმოდრეკილი
🧎‍♂️;დაჩოქილი კაცი;დაჩოქება|კაცი|მუხლმოდრეკილი
🧎‍♀️;დაჩოქილი ქალი;დაჩოქება|მუხლმოდრეკილი|ქალი
🧎‍➡️;დაჩოქილი ადამიანი: მარჯვნივ მიმართული;დაჩოქება|დაჩოქილი ადამიანი|მარჯვნივ|მიმართული|მუხლმოდრეკილი
🧎‍♀️‍➡️;დაჩოქილი ქალი: მარჯვნივ მიმართული;დაჩოქება|დაჩოქილი ქალი|მარჯვნივ|მიმართული|მუხლმოდრეკილი|ქალი
🧎‍♂️‍➡️;დაჩოქილი კაცი: მარჯვნივ მიმართული;დაჩოქება|დაჩოქილი კაცი|კაცი|მარჯვნივ|მიმართული|მუხლმოდრეკილი
🧑‍🦯;ადამიანი თეთრი ხელჯოხით;დამხმარე საშუალებები|უსინათლო|შშმ პირი
🧑‍🦯‍➡️;ადამიანი თეთრი ხელჯოხით: მარჯვნივ მიმართული;ადამიანი თეთრი ხელჯოხით|დამხმარე საშუალებები|მარჯვნივ|მიმართული|უსინათლო|შშმ პირი
👨‍🦯;კაცი თეთრი ჯოხით;კაცი|უსინათლო|უსინათლოთა ჯოხი|შშმ პირი
👨‍🦯‍➡️;კაცი თეთრი ჯოხით: მარჯვნივ მიმართული;კაცი|კაცი თეთრი ჯოხით|მარჯვნივ|მიმართული|უსინათლო|უსინათლოთა ჯოხი|შშმ პირი
👩‍🦯;ქალი თეთრი ჯოხით;უსინათლო|უსინათლოთა ჯოხი|ქალი|შშმ პირი
👩‍🦯‍➡️;ქალი თეთრი ჯოხით: მარჯვნივ მიმართული;მარჯვნივ|მიმართული|უსინათლო|უსინათლოთა ჯოხი|ქალი|ქალი თეთრი ჯოხით|შშმ პირი
🧑‍🦼;ადამიანი მოტორიან ეტლში;დამხმარე საშუალებები|მოტორიანი ეტლი|შშმ პირი
🧑‍🦼‍➡️;ადამიანი მოტორიან ეტლში: მარჯვნივ მიმართული;ადამიანი მოტორიან ეტლში|დამხმარე საშუალებები|მარჯვნივ|მიმართული|მოტორიანი ეტლი|შშმ პირი
👨‍🦼;კაცი მოტორიან ეტლში;კაცი|შშმ|შშმ პირის ეტლი
👨‍🦼‍➡️;კაცი მოტორიან ეტლში: მარჯვნივ მიმართული;კაცი|კაცი მოტორიან ეტლში|მარჯვნივ|მიმართული|შშმ|შშმ პირის ეტლი
👩‍🦼;ქალი მოტორიან ეტლში;ქალი|შშმ|შშმ პირის ეტლი
👩‍🦼‍➡️;ქალი მოტორიან ეტლში: მარჯვნივ მიმართული;მარჯვნივ|მიმართული|ქალი|ქალი მოტორიან ეტლში|შშმ|შშმ პირის ეტლი
🧑‍🦽;ადამიანი მექანიკურ ბორბლიან ეტლში;ბორბლიანი ეტლი|დამხმარე საშუალებები|შშმ პირი
🧑‍🦽‍➡️;ადამიანი მექანიკურ ბორბლიან ეტლში: მარჯვნივ მიმართული;ადამიანი მექანიკურ ბორბლიან ეტლში|ბორბლიანი ეტლი|დამხმარე საშუალებები|მარჯვნივ|მიმართული|შშმ პირი
👨‍🦽;კაცი შშმ პირის მექანიკურ ეტლში;კაცი|კაცი ინვალიდის მექანიკურ ეტლში|შშმ|შშმ პირის ეტლი
👨‍🦽‍➡️;კაცი შშმ პირის მექანიკურ ეტლში: მარჯვნივ მიმართული;კაცი|კაცი ინვალიდის მექანიკურ ეტლში|კაცი შშმ პირის მექანიკურ ეტლში|მარჯვნივ|მიმართული|შშმ|შშმ პირის ეტლი
👩‍🦽;ქალი შშმ პირის მექანიკურ ეტლში;ქალი|შშმ|შშმ პირის ეტლი
👩‍🦽‍➡️;ქალი შშმ პირის მექანიკურ ეტლში: მარჯვნივ მიმართული;მარჯვნივ|მიმართული|ქალი|ქალი შშმ პირის მექანიკურ ეტლში|შშმ|შშმ პირის ეტლი
🏃;მორბენალი;მარათონი|სირბილი
🏃‍♂️;მორბენალი კაცი;კაცი|მარათონი|სირბილი
🏃‍♀️;მორბენალი ქალი;მარათონი|სირბილი|ქალი
🏃‍➡️;მორბენალი: მარჯვნივ მიმართული;მარათონი|მარჯვნივ|მიმართული|მორბენალი|სირბილი
🏃‍♀️‍➡️;მორბენალი ქალი: მარჯვნივ მიმართული;მარათონი|მარჯვნივ|მიმართული|მორბენალი ქალი|სირბილი|ქალი
🏃‍♂️‍➡️;მორბენალი კაცი: მარჯვნივ მიმართული;კაცი|მარათონი|მარჯვნივ|მიმართული|მორბენალი კაცი|სირბილი
🧑‍🩰;ბალერინა;ბალეტი|მოცეკვავე
💃;მოცეკვავე ქალი;ქალი|ცეკვა
🕺;მოცეკვავე კაცი;კაცი|ცეკვა
🕴️;ჰაერში გაჩერებული კაცი ბიზნეს კოსტიუმში;ბიზნესი|კაცი|კოსტიუმი
👯;ქალები ერთობიან;ბაჭია|გოგო|კურდღელი|მოცეკვავე|ქალი|ყური
👯‍♂️;მოცეკვავე კაცები;კაცები|კაცი|კურდღლის ყურები|მოცეკვავე
👯‍♀️;მოცეკვავე ქალები;კურდღლის ყურები|მოცეკვავე|ქალები|ქალი
🧖;ადამიანი საუნაში;ორთქლიანი ოთახი|საუნა
🧖‍♂️;კაცი საუნაში;ორთქლიანი ოთახი|საუნა
🧖‍♀️;ქალი საუნაში;ორთქლიანი ოთახი|საუნა
🧗;მთასვლელი;კლდეზე მცოცავი
🧗‍♂️;მთასვლელი კაცი;კლდეზე მცოცავი|მთასვლელი
🧗‍♀️;მთასვლელი ქალი;კლდეზე მცოცავი|მთასვლელი
🤺;მოფარიკავე;ადამიანი|სპორტი|ფარიკაობა|ხმალი
🏇;დოღი;მხედარი|სადოღე ცხენი|ცხენი
⛷️;მოთხილამურე;თოვლი|თხილამური
🏂;სნოუბორდისტი;თოვლი|თხილამური|სნოუბორდი
🏌️;გოლფის მოთამაშე;ბურთი|გოლფი
🏌️‍♂️;გოლფის მოთამაშე კაცი;გოლფი|კაცი
🏌️‍♀️;გოლფის მოთამაშე ქალი;გოლფი|ქალი
🏄;სერფერი;სერფინგი
🏄‍♂️;სერფერი კაცი;ბიჭი|კაცი|სერფერი|სერფინგი
🏄‍♀️;სერფერი ქალი;გოგო|სერფერი|სერფინგი|ქალი
🚣;ნავი;გემი|ტრანსპორტი
🚣‍♂️;ნიჩბოსანი კაცი;კაცი|ნავი|სერფინგი
🚣‍♀️;ნიჩბოსანი ქალი;ნავი|ქალი
🏊;მოცურავე;ცურვა
🏊‍♂️;მოცურავე კაცი;კაცი|ცურვა
🏊‍♀️;მოცურავე ქალი;ქალი|ცურვა
⛹️;პიროვნება ბურთით;ბურთი
⛹️‍♂️;კაცი ბურთით;ბურთი|კაცი
⛹️‍♀️;ქალი ბურთით;ბურთი|ქალი
🏋️;ძალოსანი;წონა
🏋️‍♂️;ძალოსანი კაცი;კაცი|ძალოსნობა
🏋️‍♀️;ძალოსანი ქალი;ქალი|ძალოსნობა
🚴;ველოსიპედისტი;ველოსიპედი
🚴‍♂️;კაცი ველოსიპედით;ველოსიპედი|კაცი
🚴‍♀️;ქალი ველოსიპედით;ველოსიპედი|ქალი
🚵;მთის ველოსიპედისტი;ველოსიპედი|ველოსიპედისტი|მთა
🚵‍♂️;კაცი სამთო ველოსიპედით;კაცი|სამთო ველოსიპედი
🚵‍♀️;ქალი სამთო ველოსიპედით;სამთო ველოსიპედი|ქალი
🤸;აკრობატული ილეთი;ადამიანი|აკრობატიკა|სპორტი|ტანვარჯიში
🤸‍♂️;აკრობატი კაცი;აკრობატი|კაცი|სპორტი
🤸‍♀️;აკრობატი ქალი;აკრობატი|სპორტი|ქალი
🤼;მოჭიდავეები;მოჭიდავე|პირი|სპორტი|ჭიდაობა
🤼‍♂️;მოჭიდავე კაცები;კაცი|სპორტი|ჭიდაობა
🤼‍♀️;მოჭიდავე ქალები;სპორტი|ქალი|ჭიდაობა
🤽;წყალბურთი;ადამიანი|სპორტი|წყალი
🤽‍♂️;წყალბურთელი კაცი;კაცი|სპორტი|წყალბურთი|წყალი
🤽‍♀️;წყალბურთელი ქალი;სპორტი|ქალი|წყალბურთი|წყალი
🤾;ხელბურთი;ადამიანი|ბურთი|სპორტი
🤾‍♂️;ხელბურთელი კაცი;ბურთი|კაცი|სპორტი|ხელბურთი
🤾‍♀️;ხელბურთელი ქალი;ბურთი|სპორტი|ქალი|ხელბურთი
🤹;ჟონგლიორობა;ბალანსი|პარალელური ქმედება|უნარი
🤹‍♂️;ჟონგლიორი კაცი;ბალანსი|კაცი|პარალელური ქმედება|ჟონგლიორობა
🤹‍♀️;ჟონგლიორი ქალი;ბალანსი|პარალელური ქმედება|ჟონგლიორობა|ქალი
🧘;ფეხმორთხმული ადამიანი;იოგა|ლოტუსი|მედიტაცია
🧘‍♂️;ფეხმორთხმული კაცი;იოგა|ლოტუსი|მედიტაცია
🧘‍♀️;ფეხმორთხმული ქალი;იოგა|ლოტუსი|მედიტაცია
🛀;ადამიანი აბაზანაში;აბაზანა|ვარცლი|სააბაზანო
🛌;ადამიანი საწოლში;სასტუმრო|ძილი
🧑‍🤝‍🧑;ხელჩაკიდებული ხალხი;ადამიანი|ჩაკიდება|წყვილი|ხელი
👭;ორი ხელჩაკიდებული ქალი;ქალი|ჩაკიდება|წყვილი|ხელი
👫;ხელჩაკიდებული კაცი და ქალი;კაცი|ქალი|ჩაკიდება|წყვილი|ხელი
👬;ორი ხელჩაკიდებული კაცი;ზოდიაქო|კაცი|ტყუპები|ჩაკიდება|წყვილი|ხელი|ჰოროსკოპი
💏;კოცნა;რომანტიკა|წყვილი
👩‍❤️‍💋‍👨;კოცნა: ქალი, კაცი;კაცი|კოცნა|რომანტიკა|ქალი|წყვილი
👨‍❤️‍💋‍👨;კოცნა: კაცი, კაცი;კაცი|კოცნა|რომანტიკა|წყვილი
👩‍❤️‍💋‍👩;კოცნა: ქალი, ქალი;კოცნა|რომანტიკა|ქალი|წყვილი
💑;წყვილი და გული;გული|რომანტიკა|სიყვარული|წყვილი
👩‍❤️‍👨;წყვილი და გული: ქალი, კაცი;გული|კაცი|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული
👨‍❤️‍👨;წყვილი და გული: კაცი, კაცი;გული|კაცი|რომანტიკა|სიყვარული|წყვილი|წყვილი და გული
👩‍❤️‍👩;წყვილი და გული: ქალი, ქალი;გული|რომანტიკა|სიყვარული|ქალი|წყვილი|წყვილი და გული
👨‍👩‍👦;ოჯახი: კაცი, ქალი, ბიჭი;ბავშვი|ბიჭი|დედა|კაცი|მამა|ოჯახი|ქალი
👨‍👩‍👧;ოჯახი: კაცი, ქალი, გოგო;ბავშვი|გოგო|დედა|კაცი|მამა|ოჯახი|ქალი
👨‍👩‍👧‍👦;ოჯახი: კაცი, ქალი, გოგო, ბიჭი;ბავშვი|ბიჭი|გოგო|დედა|კაცი|მამა|ოჯახი|ქალი
👨‍👩‍👦‍👦;ოჯახი: კაცი, ქალი, ბიჭი, ბიჭი;ბავშვი|ბიჭი|დედა|კაცი|მამა|ოჯახი|ქალი
👨‍👩‍👧‍👧;ოჯახი: კაცი, ქალი, გოგო, გოგო;ბავშვი|გოგო|დედა|კაცი|მამა|ოჯახი|ქალი
👨‍👨‍👦;ოჯახი: კაცი, კაცი, ბიჭი;ბავშვი|ბიჭი|დედა|კაცი|მამა|ოჯახი
👨‍👨‍👧;ოჯახი: კაცი, კაცი, გოგო;ბავშვი|გოგო|დედა|კაცი|მამა|ოჯახი
👨‍👨‍👧‍👦;ოჯახი: კაცი, კაცი, გოგო, ბიჭი;ბავშვი|ბიჭი|გოგო|დედა|კაცი|მამა|ოჯახი
👨‍👨‍👦‍👦;ოჯახი: კაცი, კაცი, ბიჭი, ბიჭი;ბავშვი|ბიჭი|დედა|კაცი|მამა|ოჯახი
👨‍👨‍👧‍👧;ოჯახი: კაცი, კაცი, გოგო, გოგო;ბავშვი|გოგო|დედა|კაცი|მამა|ოჯახი
👩‍👩‍👦;ოჯახი: ქალი, ქალი, ბიჭი;ბავშვი|ბიჭი|დედა|მამა|ოჯახი|ქალი
👩‍👩‍👧;ოჯახი: ქალი, ქალი, გოგო;ბავშვი|გოგო|დედა|მამა|ოჯახი|ქალი
👩‍👩‍👧‍👦;ოჯახი: ქალი, ქალი, გოგო, ბიჭი;ბავშვი|ბიჭი|გოგო|დედა|მამა|ოჯახი|ქალი
👩‍👩‍👦‍👦;ოჯახი: ქალი, ქალი, ბიჭი, ბიჭი;ბავშვი|ბიჭი|დედა|მამა|ოჯახი|ქალი
👩‍👩‍👧‍👧;ოჯახი: ქალი, ქალი, გოგო, გოგო;ბავშვი|გოგო|დედა|მამა|ოჯახი|ქალი
👨‍👦;ოჯახი: კაცი, ბიჭი;ბავშვი|ბიჭი|დედა|კაცი|მამა|ოჯახი
👨‍👦‍👦;ოჯახი: კაცი, ბიჭი, ბიჭი;ბავშვი|ბიჭი|დედა|კაცი|მამა|ოჯახი
👨‍👧;ოჯახი: კაცი, გოგო;ბავშვი|გოგო|დედა|კაცი|მამა|ოჯახი
👨‍👧‍👦;ოჯახი: კაცი, გოგო, ბიჭი;ბავშვი|ბიჭი|გოგო|დედა|კაცი|მამა|ოჯახი
👨‍👧‍👧;ოჯახი: კაცი, გოგო, გოგო;ბავშვი|გოგო|დედა|კაცი|მამა|ოჯახი
👩‍👦;ოჯახი: ქალი, ბიჭი;ბავშვი|ბიჭი|დედა|მამა|ოჯახი|ქალი
👩‍👦‍👦;ოჯახი: ქალი, ბიჭი, ბიჭი;ბავშვი|ბიჭი|დედა|მამა|ოჯახი|ქალი
👩‍👧;ოჯახი: ქალი, გოგო;ბავშვი|გოგო|დედა|მამა|ოჯახი|ქალი
👩‍👧‍👦;ოჯახი: ქალი, გოგო, ბიჭი;ბავშვი|ბიჭი|გოგო|დედა|მამა|ოჯახი|ქალი
👩‍👧‍👧;ოჯახი: ქალი, გოგო, გოგო;ბავშვი|გოგო|დედა|მამა|ოჯახი|ქალი
🗣️;მოლაპარაკე თავი;თავი|ლაპარაკი|სახე|სილუეტი
👤;ბიუსტის სილუეტი;ბიუსტი|სილუეტი
👥;ბიუსტების სილუეტი;ბიუსტი|სილუეტი
🫂;ჩახუტებული ხალხი;გაგიმარჯოს|გადახვევა|გამარჯობა|გაუმარჯოს|ნახვამდის
👪;ოჯახი;ბავშვი|დედა|მამა
🧑‍🧑‍🧒;ოჯახი: ზრდასრული, ზრდასრული, ბავშვი;ბავშვი|ზრდასრული|ოჯახი: ზრდასრული
🧑‍🧑‍🧒‍🧒;ოჯახი: ზრდასრული, ზრდასრული, ბავშვი, ბავშვი;ბავშვი|ზრდასრული|ოჯახი: ზრდასრული
🧑‍🧒;ოჯახი: ზრდასრული, ბავშვი;ბავშვი|ოჯახი: ზრდასრული
🧑‍🧒‍🧒;ოჯახი: ზრდასრული, ბავშვი, ბავშვი;ბავშვი|ოჯახი: ზრდასრული
👣;ფეხების ნაკვალევი;ნაკვალევი|სხეული|ტანი|ტანსაცმელი|ფეხის ნაკვალევი
🫆;თითის ანაბეჭდი;ანაბეჭდი|დანაშაული|დეტექტივი|იდენტობა|იდუმალება|კვალი|კრიმინალისტიკა|სამხილი|უსაფრთხოება
🐵;მაიმუნის სახე;მაიმუნი|სახე
🐒;მაიმუნი;
🦍;გორილა;ცხოველი
🦧;ორანგუტანი;მაიმუნი
🐶;ძაღლის სახე;სახე|შინაური ცხოველი|ძაღლი
🐕;ძაღლი;შინაური ცხოველი
🦮;გამყოლი ძაღლი;გამყოლი|მარტივი წვდომა|მცირემხედველი|უსინათლო|ძაღლი
🐕‍🦺;მაშველი ძაღლი;დახმარება|მარტივი წვდომა|მაშველი|ძაღლი
🐩;პუდელი;ძაღლი
🐺;მგლის სახე;მგელი|სახე
🦊;მელიის თავი;თავი|მელა|ცხოველი
🦝;ენოტი;მზაკვარი|ცნობისმოყვარე
🐱;კატის სახე;კატა|სახე|შინაური ცხოველი
🐈;კატა;შინაური ცხოველი
🐈‍⬛;შავი კატა;კატა|უიღბლო|შავი
🦁;ლომის სახე;ზოდიაქო|ლომი|სახე|ჰოროსკოპი
🐯;ვეფხვის სახე;ვეფხვი|სახე
🐅;ვეფხვი;
🐆;ლეოპარდი;
🐴;ცხენის სახე;სახე|ცხენი
🫎;ლოსი;ელაკი|ცხოველი|ძუძუმწოვარი
🫏;ვირი;ჩოკინა|ცხოველი|ძუძუმწოვარი|ჯიუტი|ჯორი
🐎;ცხენი;დოღი|სადოღე ცხენი
🦄;ზღაპრული მარტორქის სახე;მარტორქა|სახე|უნიკორნი
🦓;ზებრა;ზოლები|შავ-თეთრი
🦌;ირემი;ცხოველო
🦬;ბიზონი;ბუფალო|გარეული ხარი|კამეჩი|ნახირი
🐮;ძროხის სახე;სახე|ძროხა
🐂;ხარი;ზოდიაქო|კურო|ჰოროსკოპი
🐃;კამეჩი;წყალი
🐄;ძროხა;
🐷;ღორის სახე;სახე|ღორი
🐖;ღორი;ნევზი
🐗;ტახი;ღორი
🐽;ღორის დინგი;დინგი|სახე|ღორი|ცხვირი
🐏;ერკემალი;ვერძი|ზოდიაქო|ცხვარი|ჰოროსკოპი
🐑;ცხვარი;
🐐;თხა;ზოდიაქო|თხის რქა|ჰოროსკოპი
🐪;აქლემი;დრომადერი|კუზი
🐫;ორკუზიანი აქლემი;აქლემი|ბაქტრიანი|კუზი
🦙;ლამა;შალი|ჰუანაკო
🦒;ჟირაფი;ხალები
🐘;სპილო;ხორთუმი
🦣;მამონტი;ბეწვიანი|გადაშენება|დიდი|ეშვებიანი
🦏;მარტორქა;ცხოველი
🦛;ბეჰემოთი;ჰიპო|ჰიპოპოტამი
🐭;თაგვის სახე;თაგვი|სახე
🐁;თაგვი;
🐀;ვირთხა;
🐹;ზაზუნას სახე;ზაზუნა|სახე|შინაური ცხოველი
🐰;კურდღლის სახე;ბაჭია|ბოცვერი|კურდღელი|სახე|შინაური ცხოველი
🐇;კურდღელი;ბაჭია|შინაური ცხოველი
🐿️;ციყვი;
🦫;თახვი;მღრღნელი
🦔;ზღარბი;გაბურძგნული|ეკლები|ეკლიანი|მჩხვლეტავი
🦇;ღამურა;ვამპირი|ცხოველი
🐻;დათვის სახე;დათვი|სახე
🐻‍❄️;პოლარული დათვი;დათვი|თეთრი|პოლარული
🐨;კოალა;დათვი
🐼;პანდას სახე;პანდა|სახე
🦥;ზარმაცა;ზარმაცასებრი|ზოზინა|უქნარა
🦦;წავი;თამაში|კვერნა
🦨;მყრალა;სიმყრალე|სკუნსი|ყროლვა
🦘;კენგურუ;ავსტრალია|ხტუნაობა
🦡;მაჩვი;კვერნა
🐾;თათების ნაკვალევი;თათი|ნაკვალევი|ფეხები
🦃;ინდაური;ფრინველი
🐔;ქათამი;ფრინველი
🐓;მამალი;ფრინველი
🐣;გამოჩეკილი წიწილა;გამოჩეკა|პატარა|ფრინველი|წიწილა
🐤;პატარა წიწილა;პატარა|წიწილა
🐥;პატარა წიწილა წინიდან;პატარა|წიწილა
🐦;ჩიტი;ფრინველი
🐧;პინგვინი;ფრინველი
🕊️;მტრედი;მშვიდობა|ფრენა|ფრინველი|ჩიტი
🦅;არწივი;ფრინველი
🦆;იხვი;ფრინველი
🦢;გედი;მყივანი|სისინა|ფრინველი
🦉;ბუ;ბრძენი|ჩიტი
🦤;დოდო;გადაშენება|მავრიკი|მავრიკული დრონტი
🪶;ბუმბული;მსუბუქი|ფაფუკი|ფრინველი
🦩;ფლამინგო;ტროპიკული|ჩიტი
🦚;ფარშევანგი;ლურჯფრთიანი|ჩიტი
🦜;თუთიყუში;ყბედი|ჩიტი
🪽;ფრთა;ავიაცია|ანგელოზი|მითოლოგია|ფრენა|ღვთაებრივი|ჩიტი
🐦‍⬛;შავი ჩიტი;ფრინველი|ყვავი|ყორანი|ჩიტი|ჭილყვავი
🪿;ბატი;სულელი|ფრინველი|ჩერჩეტი|ჩიტი
🐦‍🔥;ფენიქსი;რეინკარნაცია|ფასკუნჯი|ხელახლა დაბადება
🐸;ბაყაყის სახე;ბაყაყი|სახე
🐊;ნიანგი;
🐢;კუ;ბაკანი
🦎;ხვლიკი;ქვეწარმავალი
🐍;გველი;გველისმჭერი|ზოდიაქო|ჰოროსკოპი
🐲;დრაკონის სახე;გველეშაპი|დრაკონი|ზღაპარი|სახე|ურჩხული
🐉;დრაკონი;ზღაპარი
🦕;ზაუროპოდი;ბრაქიოზავრი|ბრონტოზავრი|დიპლოდოკუსი
🦖;ტი-რექსი;ტირანოზავრი რექსი
🐳;ვეშაპი ჭავლით;ვეშაპი|სახე|ჭავლი
🐋;ვეშაპი;
🐬;დელფინი;ფარფლი
🫍;ცელნამგალა ვეშაპი;ვეშაპი|ოკეანე|ორკა|ცელნამგალა
🦭;სელაპი;ზღვის ლომი
🐟;თევზი;ზოდიაქო|თევზები|ჰოროსკოპი
🐠;ტროპიკული თევზი;თევზი|ტროპიკული
🐡;მუცელნემსა;თევზი
🦈;ზვიგენი;თევზი
🐙;რვაფეხა;
🐚;სპირალური ნიჟარა;ნიჟარა|სპირალური
🪸;მარჯანი;ოკეანე|რიფი
🪼;მედუზა;დასუსხვა|ზღვა|კბენა|უხერხემლო|შხამი
🦀;კიბორჩხალა;ზოდიაქო|კირჩხიბი|ჰოროსკოპი
🦞;კიბო;ზღვის პროდუქტები|კირჩხიბი|ლანგუსტი
🦐;კრევეტი;მოლუსკი|პატარა|საკვები
🦑;კალმარი;მოლუსკი|საკვები
🦪;ხამანწკა;მარგალიტი|ყვინთვა
🐌;ლოკოკინა;
🦋;პეპელა;ლამაზი|მწერი
🐛;ბაღლინჯო;მწერი
🐜;ჭიანჭველა;მწერი
🐝;ფუტკარი;მწერი
🪲;ხოჭო;ბაღლინჯო|ინსექტი
🐞;ჭიამაია;მწერი|ხოჭო
🦗;კრიკეტი;კალია
🪳;ტარაკანი;აბანოს ჭია|ინსექტი|ხოჭო
🕷️;ობობა;მწერი
🕸️;ობობის ქსელი;ობობა|ქსელი
🦂;მორიელი;ზოდიაქო|ღრიანკალი|ჰოროსკოპი
🦟;კოღო;დაავადება|ვირუსი|მალარია|მწერი
🪰;ბუზი;დაავადება|დალპობა|მავნებელი
🪱;მატლი;პარაზიტი|ჭია|ჭიაყელა
🦠;მიკრობი;ამება|ბაქტერია|ვირუსი
💐;თაიგული;მცენარე|რომანტიკა|ყვავილი
🌸;აყვავებული ალუბალი;ალუბალი|აყვავება|ბალი|მცენარე|ყვავილი
💮;თეთრი ყვავილი;ყვავილი
🪷;ლოტოსი;ბუდიზმი|ვიეტნამი|ინდოეთი|ინდუიზმი|სიწმინდეს|ყვავილი
🏵️;როზეტი;მცენარე
🌹;ვარდი;მცენარე|ყვავილი
🥀;დამჭკნარი ყვავილი;დამჭკნარი|ყვავილი
🌺;ჰიბისკუსი;მცენარე|ყვავილი
🌻;მზესუმზირა;მზე|მცენარე|ყვავილი
🌼;ყვავილობა;მცენარე|ყვავილი
🌷;ტიტა;მცენარე|ყვავილი
🪻;ჰიაცინტი;ლავანდა|ყვავილი
🌱;ნათესარი;ახალგაზრდა|მცენარე
🪴;მცენარე ქოთანში;გაზრდა|მოვლა|მოსაბეზრებელი|მცენარე|სახლი
🌲;მარადმწვანე;მცენარე|ხე
🌳;ფოთლოვანი ხე;მცენარე|ფოთლოვანი|ხე
🌴;პალმა;მცენარე|ხე
🌵;კაქტუსი;მცენარე
🌾;ბრინჯის კონა;ბრინჯი|მცენარე|ყური
🌿;სამკურნალო მცენარე;მცენარე|ფოთოლი
☘️;სამყურა;მცენარე
🍀;ოთხფოთლიანი სამყურა;4|მცენარე|ოთხი|სამყურა|ფოთოლი
🍁;ნეკერჩხლის ფოთოლი;მცენარე|ნეკერჩხალი|ფოთოლი|ფოთოლცვენა
🍂;ჩამოვარდნილი ფოთოლი;მცენარე|ფოთოლი|ფოთოლცვენა
🍃;ქარში მოფარფატე ფოთოლი;მცენარე|ფარფატი ფოთოლი|ქარი
🪹;ცარიელი ბუდე;ბუდობს
🪺;ბუდე კვერცხებით;ბუდობს
🍄;სოკო;მცენარე
🪾;უფოთლო ხე;გვალვა|ვარჯი|ზამთარი|მკვდარი|ტოტები|უნაყოფო|უფოთლო|შეშა|შიშველი|ხე
🍇;ყურძენი;მცენარე|ხილი
🍈;ნესვი;მცენარე|ხილი
🍉;საზამთრო;მცენარე|ხილი
🍊;მანდარინი;მცენარე|ნარინჯისფერი|სტაფილოსფერი|ხილი
🍋;ლიმონი;მცენარე|ციტრუსი|ხილი
🍋‍🟩;ლაიმი;ტროპიკული|ციტრუსი|ხილი
🍌;ბანანი;მცენარე|ხილი
🍍;ანანასი;მცენარე|ხილი
🥭;მანგო;ტროპიკული|ხილი
🍎;წითელი ვაშლი;ვაშლი|მცენარე|წითელი|ხილი
🍏;მწვანე ვაშლი;ვაშლი|მცენარე|მწვანე|ხილი
🍐;მსხალი;მცენარე|ხილი
🍑;ატამი;მცენარე|ხილი
🍒;ალუბალი;ბალი|მცენარე|ხილი
🍓;მარწყვი;კენკრა|მცენარე|ხილი
🫐;მოცვი;კენკრა
🥝;კივი;საკვები|ხილი
🍅;პამიდორი;ბოსტნეული|მცენარე
🫒;ზეითუნი;ზეთისხილი|საკვები
🥥;ქოქოსი;პალმა|პინა კოლადა
🥑;ავოკადო;საკვები|ხილი
🍆;ბადრიჯანი;ბოსტნეული|მცენარე
🥔;კარტოფილი;ბოსტნეული|საკვები
🥕;სტაფილო;ბოსტნეული|საკვები
🌽;სიმინდის ტარო;მცენარე|სიმინდი|ტარო
🌶️;ცხარე წიწაკა;მცენარე|ცხარე|წიწაკა
🫑;ბულგარული წიწაკა;ბოსტნეული|წიწაკა
🥒;კიტრი;ბოსტნეული|მწნილი|საკვები
🥬;სალათის ფოთოლი;კომბოსტო|სალათი
🥦;ბროკოლი;კომბოსტო
🧄;ნიორი;არომატიზატორი|საკმაზი|სუნელი|სუნი
🧅;ხახვი;მწარე|საკმაზი|ტირილი
🥜;მიწის თხილი;არაქისი|ბოსტნეული|საკვები
🫘;ლობიო;თირკმელი|პარკოსნები|საკვები
🌰;წაბლი;მცენარე
🫚;ჯანჯაფილის ფესვი;კოჭა|ლუდი|სანელებელი
